City/Town,TOWN_ID,Sen12D,Sen12R,POP2010
Abington,1,3312,4969,15985
Acton,2,6977,4965,21924
Acushnet,3,2765,2547,10303
Adams,4,2692,1199,8485
Agawam,5,6109,8207,28438
Alford,6,216,87,494
Amesbury,7,4076,4386,16283
Amherst,8,12330,3002,37819
Andover,9,8106,10591,33201
Aquinnah,104,238,60,311
Arlington,10,17748,8314,42844
Ashburnham,11,1424,1803,6081
Ashby,12,703,1132,3074
Ashfield,13,879,247,1737
Ashland,14,4175,4358,16593
Athol,15,2095,2635,11584
Attleboro,16,8807,10492,43593
Auburn,17,3719,5105,16188
Avon,18,1059,1335,4356
Ayer,19,1671,1977,7427
Barnstable,20,11457,14116,45193
Barre,21,1102,1587,5398
Becket,22,641,314,1779
Bedford,23,3953,3709,13320
Belchertown,24,4067,3606,14649
Bellingham,25,3476,5059,16332
Belmont,26,8668,5612,24729
Berkley,27,1353,1954,6411
Berlin,28,779,1025,2866
Bernardston,29,708,464,2129
Beverly,30,10305,10547,39502
Billerica,31,8084,12049,40243
Blackstone,32,1806,2524,9026
Blandford,33,263,399,1233
Bolton,34,1354,1717,4897
Boston,35,187432,64827,617594
Bourne,36,4109,6111,19754
Boxborough,37,1423,1525,4996
Boxford,38,1714,3443,7965
Boylston,39,1040,1632,4355
Braintree,40,8478,11050,35744
Brewster,41,3314,3221,9820
Bridgewater,42,4654,7383,26563
Brimfield,43,782,1260,3609
Brockton,44,23155,11022,93810
Brookfield,45,701,1031,3390
Brookline,46,21068,7496,58732
Buckland,47,684,342,1902
Burlington,48,5858,7464,24498
Cambridge,49,42622,7637,105162
Canton,50,5624,6763,21561
Carlisle,51,1810,1543,4852
Carver,52,2366,3686,11509
Charlemont,53,425,210,1266
Charlton,54,2329,4375,12981
Chatham,55,2075,2559,6125
Chelmsford,56,7939,11580,33802
Chelsea,57,6315,2039,35177
Cheshire,58,1115,625,3235
Chester,59,285,379,1337
Chesterfield,60,415,302,1222
Chicopee,61,12180,10678,55298
Chilmark,62,554,176,866
Clarksburg,63,518,334,1702
Clinton,64,3256,3257,13606
Cohasset,65,1894,3007,7542
Colrain,66,563,324,1671
Concord,67,6764,4232,17668
Conway,68,880,374,1897
Cummington,69,369,168,872
Dalton,70,2168,1214,6756
Danvers,71,5952,8605,26493
Dartmouth,72,8751,7318,34032
Dedham,73,6715,6951,24729
Deerfield,74,1940,1073,5125
Dennis,75,4418,4851,14207
Dighton,76,1512,2140,7086
Douglas,77,1462,3060,8471
Dover,78,1285,2292,5589
