City/Town,TOWN_ID,Sen14D,Sen14R,POP2010
Abington,1,2993,2670,15985
Acton,2,5701,2774,21924
Acushnet,3,1824,1184,10303
Adams,4,1665,493,8485
Agawam,5,4933,4722,28438
Alford,6,155,46,494
Amesbury,7,3328,2407,16283
Amherst,8,6809,852,37819
Andover,9,6615,6176,33201
Aquinnah,104,171,22,311
Arlington,10,14884,4216,42844
Ashburnham,11,1092,1036,6081
Ashby,12,602,653,3074
Ashfield,13,679,156,1737
Ashland,14,3151,2419,16593
Athol,15,1659,1561,11584
Attleboro,16,6397,5388,43593
Auburn,17,3123,2923,16188
Avon,18,927,687,4356
Ayer,19,1325,1073,7427
Barnstable,20,9156,9134,45193
Barre,21,888,974,5398
Becket,22,393,182,1779
Bedford,23,3369,2116,13320
Belchertown,24,2955,2094,14649
Bellingham,25,2706,2695,16332
Belmont,26,7082,2866,24729
Berkley,27,992,1055,6411
Berlin,28,725,631,2866
Bernardston,29,521,256,2129
Beverly,30,8699,5392,39502
Billerica,31,7190,6513,40243
Blackstone,32,1419,1377,9026
Blandford,33,224,272,1233
Bolton,34,1168,1059,4897
Boston,35,119145,28138,617594
Bourne,36,3454,3859,19754
Boxborough,37,1242,799,4996
Boxford,38,1488,2086,7965
Boylston,39,969,1035,4355
Braintree,40,7674,5910,35744
Brewster,41,2692,2116,9820
Bridgewater,42,4008,3903,26563
Brimfield,43,570,801,3609
Brockton,44,14939,5364,93810
Brookfield,45,561,625,3390
Brookline,46,14848,3438,58732
Buckland,47,550,174,1902
Burlington,48,4979,3976,24498
Cambridge,49,28524,3208,105162
Canton,50,4671,3676,21561
Carlisle,51,1493,951,4852
Carver,52,1882,2061,11509
Charlemont,53,284,138,1266
Charlton,54,1808,2573,12981
Chatham,55,1754,1760,6125
Chelmsford,56,7134,6414,33802
Chelsea,57,3668,889,35177
Cheshire,58,650,334,3235
Chester,59,204,239,1337
Chesterfield,60,322,204,1222
Chicopee,61,9435,5828,55298
Chilmark,62,403,98,866
Clarksburg,63,381,168,1702
Clinton,64,2485,1815,13606
Cohasset,65,1658,1791,7542
Colrain,66,399,178,1671
Concord,67,5508,2524,17668
Conway,68,716,211,1897
Cummington,69,306,106,872
Dalton,70,1395,605,6756
Danvers,71,5346,4395,26493
Dartmouth,72,5811,3280,34032
Dedham,73,5706,3624,24729
Deerfield,74,1596,587,5125
Dennis,75,3663,3162,14207
Dighton,76,1115,1113,7086
Douglas,77,1138,1802,8471
Dover,78,1174,1437,5589
Dracut,79,5022,5138,29457
Dudley,80,1648,1756,11390
Dunstable,81,636,707,3179
Duxbury,82,3103,3675,15059
E. Bridgewater,83,2262,2466,13794
E. Brookfield,84,368,472,2183
E. Longmeadow,85,2932,3036,15720
Eastham,86,1668,1088,4956
Easthampton,87,4301,1694,16053
Easton,88,3996,3921,23112
Edgartown,89,1063,607,4067
Egremont,90,468,137,1225
Erving,91,335,170,1800
Essex,92,853,741,3504
Everett,93,6747,1970,41667
Fairhaven,94,3267,1779,15873
Fall River,95,11383,4670,88857
Falmouth,96,8061,5973,31531
Fitchburg,97,4983,3569,40318
Florida,98,137,93,752
Foxborough,99,3485,3248,16865
Framingham,100,12409,5996,68318
Franklin,101,5886,5804,31635
Freetown,102,1444,1388,8870
Gardner,103,3162,2289,20228
Georgetown,105,1568,1741,8183
Gill,106,471,152,1500
Gloucester,107,6752,3844,28789
Goshen,108,285,144,1054
Gosnold,109,27,19,75
Grafton,110,3087,3191,17765
Granby,111,1285,1149,6240
Granville,112,258,411,1566
Great Barrington,113,2167,488,7104
Greenfield,114,3951,1227,17456
Groton,115,2356,1915,10646
Groveland,116,1265,1496,6459
Hadley,117,1503,614,5250
Halifax,118,1331,1460,7518
Hamilton,119,1555,1611,7764
Hampden,120,959,1130,5139
Hancock,121,141,92,717
Hanover,122,2676,3326,13879
Hanson,123,1903,2048,10209
Hardwick,124,525,442,2990
Harvard,125,1602,981,6520
Harwich,126,3215,2722,12243
Hatfield,127,995,436,3279
Haverhill,128,10132,7803,60879
Hawley,129,90,49,337
Heath,130,198,107,706
Hingham,131,5228,4785,22157
Hinsdale,132,431,222,2032
Holbrook,133,2478,1602,10791
Holden,134,3553,4089,17346
Holland,135,397,471,2481
Holliston,136,3214,2763,13547
Holyoke,137,7065,2681,39880
Hopedale,138,1185,1109,5911
Hopkinton,139,2477,3680,14925
Hubbardston,140,823,993,4382
Hudson,141,3885,2995,19063
Hull,142,2583,1565,10293
Huntington,143,413,418,2180
Ipswich,144,3279,2627,13175
Kingston,145,2299,2507,12629
Lakeville,146,1773,2271,10602
Lancaster,147,1300,1472,8055
Lanesborough,148,592,315,3091
Lawrence,149,10396,2483,76377
Lee,150,1260,449,5943
Leicester,151,1985,1931,10970
Lenox,152,1495,459,5025
Leominster,153,6453,5559,40759
Leverett,154,787,125,1851
Lexington,155,9526,3336,31394
Leyden,156,263,94,711
Lincoln,157,2000,724,6362
Littleton,158,2270,1656,8924
Longmeadow,159,3842,3124,15784
Lowell,160,13446,6232,106519
Ludlow,161,3429,2820,21103
Lunenburg,162,1961,2136,10086
Lynn,163,14450,5162,90329
Lynnfield,164,2329,2821,11596
Malden,165,10476,3132,59450
Manchester-by-the-Sea,166,1398,1156,5136
Mansfield,167,4033,3846,23184
Marblehead,168,5595,3800,19808
Marion,169,1185,1077,4907
