City/Town,TOWN_ID,Sen10D,Sen10R,POP2010
Abington,1,2088,4163,9767
Acton,2,5375,3901,27999
Acushnet,3,1627,2139,4355
Adams,4,1651,748,8264
Agawam,5,3661,6726,95072
Alford,6,157,68,19808
Amesbury,7,2544,3481,15784
Amherst,8,6554,1180,1566
Andover,9,5905,8338,16767
Aquinnah,104,150,42,16719
Arlington,10,13287,6847,8283
Ashburnham,11,866,1575,37819
Ashby,12,475,949,17668
Ashfield,13,671,212,899
Ashland,14,2897,3470,55874
Athol,15,1171,2107,21822
Attleboro,16,4831,8607,4680
Auburn,17,2407,4037,12981
Avon,18,706,1155,32112
Ayer,19,989,1467,3257
Barnstable,20,7544,12332,17416
Barre,21,729,1263,10106
Becket,22,384,225,28961
Bedford,23,2976,2901,40318
Belchertown,24,2629,2749,5839
Bellingham,25,2179,4097,8055
Belmont,26,6533,4407,7086
Berkley,27,746,1618,35177
Berlin,28,538,825,11584
Bernardston,29,445,378,3235
Beverly,30,6744,8400,3504
Billerica,31,4972,9587,9872
Blackstone,32,1052,2102,10172
Blandford,33,196,343,1225
Bolton,34,996,1362,5125
Boston,35,105544,46575,1897
Bourne,36,2809,5137,6756
Boxborough,37,1141,1087,27982
Boxford,38,1239,2837,28886
Boylston,39,729,1321,1234
Braintree,40,5612,9320,24747
Brewster,41,2430,2751,92271
Bridgewater,42,2794,6138,51251
Brimfield,43,489,995,28438
Brockton,44,11768,9638,12024
Brookfield,45,430,813,181045
Brookline,46,15312,5236,13787
Buckland,47,522,263,12994
Burlington,48,3660,5640,31531
Cambridge,49,27373,4927,4382
Canton,50,3788,5770,15873
Carlisle,51,1442,1215,20675
Carver,52,1611,3222,25132
Charlemont,53,278,176,1054
Charlton,54,1272,3461,14155
Chatham,55,1490,2179,10303
Chelmsford,56,5694,9421,4907
Chelsea,57,2568,1503,24498
Cheshire,58,740,436,5025
Chester,59,194,292,337
Chesterfield,60,264,242,1779
Chicopee,61,7046,8343,7104
Chilmark,62,366,142,393
Clarksburg,63,395,186,521
Clinton,64,1663,2725,10646
Cohasset,65,1419,2401,2003
Colrain,66,401,249,10300
Concord,67,5455,3277,2750
Conway,68,685,303,6081
Cummington,69,306,130,16283
Dalton,70,1424,845,717
Danvers,71,3651,6347,18272
Dartmouth,72,5115,5815,3410
Dedham,73,4647,5979,4875
Deerfield,74,1482,853,6916
Dennis,75,3134,4359,4852
Dighton,76,829,1770,26628
Douglas,77,840,2440,31394
Dover,78,1058,1889,3091
Dracut,79,3166,7658,648
Dudley,80,1125,2516,9268
Dunstable,81,502,969,24729
Duxbury,82,2676,4985,75
E. Bridgewater,83,1583,3851,847
E. Brookfield,84,245,645,4119
E. Longmeadow,85,2092,4294,23116
Eastham,86,1544,1473,88857
Easthampton,87,3708,2494,780
Easton,88,3297,5940,27003
Edgartown,89,1002,772,8485
Egremont,90,445,172,7891
Erving,91,296,208,3609
Essex,92,685,1023,1306
Everett,93,4248,3798,26493
Fairhaven,94,2834,3045,1612
Fall River,95,10388,7520,1671
Falmouth,96,7139,8045,3032
Fitchburg,97,3786,5578,2820
Florida,98,144,125,6411
Foxborough,99,2479,4832,12629
Framingham,100,10341,9169,8437
Franklin,101,4470,8828,11292
Freetown,102,1191,2221,59450
Gardner,103,2441,3274,21437
Georgetown,105,1239,2311,28549
Gill,106,402,226,35744
Gloucester,107,5563,5525,18133
Goshen,108,244,204,11227
Gosnold,109,18,29,14489
Grafton,110,2442,4372,1702
Granby,111,1045,1512,4806
Granville,112,207,472,41094
Great Barrington,113,2026,592,41340
Greenfield,114,3842,1994,38499
Groton,115,2135,2664,14649
Groveland,116,992,1984,8870
Hadley,117,1410,937,752
Halifax,118,992,2149,1156
Hamilton,119,1381,2320,10506
Hampden,120,754,1511,9820
Hancock,121,158,118,4067
Hanover,122,1895,4733,13606
Hanson,123,1254,3067,6590
Hardwick,124,377,588,43593
Harvard,125,1568,1306,12243
Harwich,126,2637,3602,26962
Hatfield,127,875,652,18165
Haverhill,128,7267,11078,6666
Hawley,129,63,64,13879
Heath,130,203,123,13457
Hingham,131,4419,6800,5250
Hinsdale,132,415,285,13708
Holbrook,133,1527,2402,23184
Holden,134,2865,5397,2129
Holland,135,299,631,29457
Holliston,136,2921,3725,1771
Holyoke,137,4871,3772,31635
Hopedale,138,999,1623,7277
Hopkinton,139,2603,4126,40759
Hubbardston,140,607,1389,51755
Hudson,141,3070,4181,10955
Hull,142,2040,2411,4356
Huntington,143,346,467,7518
Ipswich,144,2606,3606,85146
Kingston,145,1702,3579,13175
Lakeville,146,1260,3248,7542
Lancaster,147,1014,1860,16188
Lanesborough,148,654,399,55298
Lawrence,149,6463,3336,7764
Lee,150,1272,705,56468
Leicester,151,1321,2682,5398
Lenox,152,1533,594,4897
Leominster,153,4711,8127,16332
Leverett,154,779,164,3179
Lexington,155,9397,4959,692
Leyden,156,211,116,42844
Lincoln,157,1931,901,2990
Littleton,158,1859,2389,167
