City/Town,TOWN_ID,Pres12D,Pres12R,POP2010
Richmond,249,702,228,1475
Rochester,250,1366,1704,5232
Rockland,251,4597,4051,17489
Rockport,252,2982,1671,6952
Rowe,253,140,92,393
Rowley,254,1596,1935,5856
Royalston,255,391,267,1258
Russell,256,388,386,1775
Rutland,257,2075,2332,7973
Salem,258,13605,5725,41340
Salisbury,259,2280,1939,8283
Sandisfield,260,294,154,915
Sandwich,261,5845,6511,20675
Saugus,262,6990,6590,26628
Savoy,263,241,103,692
Scituate,264,5582,5697,18133
Seekonk,265,3788,3390,13722
Sharon,266,6564,3665,17612
Sheffield,267,1291,503,3257
Shelburne,268,873,226,1893
Sherborn,269,1452,1182,4119
Shirley,270,1554,1483,7211
Shrewsbury,271,9754,8180,35608
Shutesbury,272,1028,156,1771
Somerset,273,6134,3697,18165
Somerville,274,28853,4885,75754
South Hadley,275,5437,3273,17514
Southampton,276,1866,1590,5792
Southborough,277,2956,2791,9767
Southbridge,278,4284,2295,16719
Southwick,279,2050,2772,9502
Spencer,280,2617,2785,11688
Springfield,281,43869,10515,153060
Sterling,282,2050,2679,7808
Stockbridge,283,945,226,1947
Stoneham,284,6696,5609,21437
Stoughton,285,8119,5594,26962
Stow,286,2354,1835,6590
Sturbridge,287,2534,2624,9268
Sudbury,288,6133,4387,17659
Sunderland,289,1366,404,3684
Sutton,290,2189,3097,8963
Swampscott,291,4936,3209,13787
Swansea,292,4516,3277,15865
Taunton,293,13769,8925,55874
Templeton,294,1860,1857,8013
Tewksbury,295,7578,8360,28961
Tisbury,296,1845,595,3949
Tolland,297,110,155,485
Topsfield,298,1801,2164,6085
Townsend,299,2088,2728,8926
Truro,300,1043,399,2003
Tyngsborough,301,2840,3363,11292
Tyringham,302,173,85,327
Upton,303,1995,2142,7542
Uxbridge,304,3321,3728,13457
Wakefield,305,7515,6820,24932
Wales,306,482,434,1838
Walpole,307,6385,7466,24070
Waltham,308,15906,8856,60632
Ware,309,2393,1789,9872
Wareham,310,6098,4650,21822
Warren,311,1219,1002,5135
Warwick,312,334,109,780
Washington,313,239,69,538
Watertown,314,11912,4526,31915
Wayland,315,5170,2976,12994
Webster,316,3476,3116,16767
Wellesley,317,8530,6264,27982
Wellfleet,318,1569,619,2750
Wendell,319,427,70,848
Wenham,320,1060,1266,4875
West Boylston,321,2046,2091,7669
West Bridgewater,322,1735,2171,6916
West Brookfield,323,965,951,3701
West Newbury,324,1390,1349,4235
West Springfield,325,6175,5172,28391
West Stockbridge,326,707,161,1306
West Tisbury,327,1573,373,2740
Westborough,328,5089,3897,18272
Westfield,329,9281,8218,41094
Westford,330,6406,6309,21951
Westhampton,331,639,385,1607
Westminster,332,1947,2248,7277
Weston,333,3430,3177,11261
Westport,334,5095,3386,15532
Westwood,335,4393,4575,14618
Weymouth,336,15166,12362,53743
Whately,337,627,301,1496
Whitman,338,3655,3656,14489
Wilbraham,339,3746,4334,14219
Williamsburg,340,1240,325,2482
Williamstown,341,3070,646,7754
Wilmington,342,5904,6452,22325
Winchendon,343,2142,1933,10300
Winchester,344,7107,5635,21374
Windsor,345,385,127,899
Winthrop,346,5239,3578,17497
Woburn,347,10385,8730,38120
Worcester,348,42210,17949,181045
Worthington,349,481,208,1156
Wrentham,350,2718,3542,10955
Yarmouth,351,7198,6541,23793
