City/Town,TOWN_ID,Pres12D,Pres12R,POP2010
Abington,1,4144,4061,15985
Acton,2,7872,3875,21924
Acushnet,3,3046,2196,10303
Adams,4,3013,819,8485
Agawam,5,7288,6870,28438
Alford,6,233,64,494
Amesbury,7,4863,3427,16283
Amherst,8,12798,1911,37819
Andover,9,9401,9096,33201
Aquinnah,104,252,38,311
Arlington,10,18850,6694,42844
Ashburnham,11,1632,1535,6081
Ashby,12,827,961,3074
Ashfield,13,892,187,1737
Ashland,14,4979,3409,16593
Athol,15,2543,2079,11584
Attleboro,16,10502,8470,43593
Auburn,17,4520,4121,16188
Avon,18,1222,1131,4356
Ayer,19,2025,1558,7427
Barnstable,20,12947,12355,45193
Barre,21,1345,1279,5398
Becket,22,686,259,1779
Bedford,23,4469,3061,13320
Belchertown,24,4600,2914,14649
Bellingham,25,4263,4133,16332
Belmont,26,9313,4752,24729
Berkley,27,1573,1689,6411
Berlin,28,921,830,2866
Bernardston,29,809,329,2129
Beverly,30,12158,8328,39502
Billerica,31,9839,9959,40243
Blackstone,32,2222,2028,9026
Blandford,33,300,348,1233
Bolton,34,1554,1463,4897
Boston,35,200190,48985,617594
Bourne,36,4812,5296,19754
Boxborough,37,1753,1140,4996
Boxford,38,2066,3034,7965
Boylston,39,1283,1343,4355
Braintree,40,10059,9232,35744
Brewster,41,3678,2752,9820
Bridgewater,42,5777,6098,26563
Brimfield,43,897,1095,3609
Brockton,44,25262,8710,93810
Brookfield,45,830,858,3390
Brookline,46,22277,5880,58732
Buckland,47,750,252,1902
Burlington,48,6983,6191,24498
Cambridge,49,43515,5476,105162
Canton,50,6488,5779,21561
Carlisle,51,1972,1318,4852
Carver,52,2872,3111,11509
Charlemont,53,456,166,1266
Charlton,54,2914,3662,12981
Chatham,55,2293,2280,6125
Chelmsford,56,9651,9573,33802
Chelsea,57,6802,1515,35177
Cheshire,58,1219,493,3235
Chester,59,331,305,1337
Chesterfield,60,455,228,1222
Chicopee,61,14302,8241,55298
Chilmark,62,589,127,866
Clarksburg,63,616,232,1702
Clinton,64,3768,2621,13606
Cohasset,65,2250,2601,7542
Colrain,66,618,232,1671
Concord,67,7316,3527,17668
Conway,68,926,288,1897
Cummington,69,368,139,872
Dalton,70,2444,891,6756
Danvers,71,7367,6997,26493
Dartmouth,72,9880,5985,34032
Dedham,73,7757,5734,24729
Deerfield,74,2104,839,5125
Dennis,75,4921,4247,14207
Dighton,76,1743,1843,7086
Douglas,77,1897,2542,8471
Dover,78,1534,2004,5589
Dracut,79,6941,8042,29457
Dudley,80,2471,2549,11390
Dunstable,81,821,1036,3179
Duxbury,82,4247,5325,15059
E. Bridgewater,83,3349,3878,13794
E. Brookfield,84,470,663,2183
E. Longmeadow,85,4092,4528,15720
Eastham,86,2188,1446,4956
Easthampton,87,6283,2463,16053
Easton,88,5262,6060,23112
Edgartown,89,1701,827,4067
Egremont,90,677,152,1225
Erving,91,557,200,1800
Essex,92,1163,966,3504
Everett,93,9409,3589,41667
Fairhaven,94,5011,3056,15873
Fall River,95,21878,7390,88857
Falmouth,96,11127,8163,31531
Fitchburg,97,8547,5602,40318
Florida,98,255,127,752
Foxborough,99,4787,4817,16865
Framingham,100,18499,8978,68318
Franklin,101,8616,8566,31635
Freetown,102,2318,2247,8870
Gardner,103,4699,3331,20228
Georgetown,105,2273,2579,8183
Gill,106,653,213,1500
Gloucester,107,9780,5535,28789
Goshen,108,395,198,1054
Gosnold,109,49,36,75
Grafton,110,4877,4438,17765
Granby,111,1870,1575,6240
Granville,112,377,502,1566
Great Barrington,113,2928,597,7104
Greenfield,114,6187,1895,17456
Groton,115,3229,2814,10646
Groveland,116,1832,2084,6459
Hadley,117,2142,891,5250
Halifax,118,1938,2071,7518
Hamilton,119,2189,2223,7764
Hampden,120,1286,1569,5139
Hancock,121,228,142,717
Hanover,122,3359,4911,13879
Hanson,123,2513,3003,10209
Hardwick,124,710,560,2990
Harvard,125,2167,1362,6520
Harwich,126,4415,3622,12243
Hatfield,127,1362,638,3279
Haverhill,128,15592,11894,60879
Hawley,129,127,65,337
Heath,130,295,124,706
Hingham,131,6803,7249,22157
Hinsdale,132,728,297,2032
Holbrook,133,3024,2403,10791
Holden,134,5080,5315,17346
Holland,135,593,690,2481
Holliston,136,4637,3511,13547
Holyoke,137,12536,3656,39880
Hopedale,138,1701,1536,5911
Hopkinton,139,4208,4336,14925
Hubbardston,140,1160,1381,4382
Hudson,141,5642,4185,19063
Hull,142,3584,2418,10293
Huntington,143,554,479,2180
Ipswich,144,4464,3758,13175
Kingston,145,3179,3726,12629
Lakeville,146,2422,3312,10602
Lancaster,147,1728,1915,8055
Lanesborough,148,1144,430,3091
Lawrence,149,18278,3462,76377
Lee,150,2198,719,5943
Leicester,151,2764,2674,10970
Lenox,152,2318,675,5025
Leominster,153,9792,8552,40759
Leverett,154,1004,183,1851
Lexington,155,12750,5293,31394
Leyden,156,339,115,711
Lincoln,157,2613,1074,6362
Littleton,158,2939,2363,8924
Longmeadow,159,4860,4530,15784
Lowell,160,22771,10643,106519
Ludlow,161,5240,4295,21103
Lunenburg,162,2751,3040,10086
Lynn,163,23124,8512,90329
Lynnfield,164,2776,4420,11596
Malden,165,15010,5730,59450
Manchester-by-the-Sea,166,1926,1559,5136
Mansfield,167,5932,5870,23184
Marblehead,168,6991,5510,19808
Marion,169,1727,1458,4907
Marlborough,170,9587,6870,38499
Marshfield,171,7046,7874,25132
Mashpee,172,4135,4062,14006
Mattapoisett,173,2041,1855,6045
Maynard,174,3635,2023,10106
Medfield,175,3448,3864,12024
Medford,176,18874,8359,56173
Medway,177,3627,3526,12752
Melrose,178,9368,5971,26983
Mendon,179,1524,1844,5839
Merrimac,180,1847,1660,6338
Methuen,181,11092,10198,47255
Middleborough,182,5224,6053,23116
Middlefield,183,202,77,521
Middleton,184,1921,2658,8987
Milford,185,7159,5519,27999
Millbury,186,3411,3263,13261
Millis,187,2421,2233,7891
Millville,188,717,813,3190
Milton,189,9569,6133,27003
Monroe,190,32,21,121
Monson,191,2178,2035,8560
Montague,192,3214,873,8437
Monterey,193,420,97,961
Montgomery,194,220,274,838
Mount Washington,195,83,19,167
Nahant,196,1374,898,3410
Nantucket,197,3830,2187,10172
Natick,198,11685,6792,33006
Needham,199,10452,6614,28886
New Ashford,200,107,40,228
New Bedford,201,25253,7550,95072
New Braintree,202,284,257,999
New Marlborough,203,573,240,1509
New Salem,204,381,205,990
Newbury,205,2291,2104,6666
Newburyport,206,6794,4063,17416
Newton,207,32099,12154,85146
Norfolk,208,2433,3203,11227
North Adams,209,4465,1152,13708
North Andover,210,7073,8045,28352
North Attleborough,211,6651,7359,28712
North Brookfield,212,1051,1273,4680
North Reading,213,3989,4642,14892
Northampton,214,13259,2182,28549
Northborough,215,4398,3879,14155
Northbridge,216,3445,4109,15707
Northfield,217,1115,474,3032
Norton,218,4475,4457,19031
Norwell,219,2729,3688,10506
Norwood,220,8235,6389,28602
Oak Bluffs,221,1969,796,4527
Oakham,222,509,609,1902
Orange,223,1818,1325,7839
Orleans,224,2530,1943,5890
Otis,225,489,312,1612
Oxford,226,3126,3263,13709
Palmer,227,3018,2468,12140
Paxton,228,1124,1362,4806
Peabody,229,15027,11622,51251
Pelham,230,728,132,1321
Pembroke,231,4583,5079,17837
Pepperell,232,2936,3426,11497
Peru,233,324,136,847
Petersham,234,451,338,1234
Phillipston,235,464,469,1682
Pittsfield,236,15648,4057,44737
Plainfield,237,287,83,648
Plainville,238,2087,2281,8264
Plymouth,239,15233,14347,56468
Plympton,240,780,930,2820
Princeton,241,1115,1149,3413
Provincetown,242,2121,210,2942
Quincy,243,24849,14850,92271
Randolph,244,11441,3552,32112
Raynham,245,3222,3658,13383
Reading,246,7515,6683,24747
Rehoboth,247,2914,3247,11608
Revere,248,11665,5921,51755
