City/Town,Ward,Pct,Edward J. Markey,Gabriel E. Gomez,Total Votes Cast,pop by share of vote
Bellingham,-,3,213,275,491,3447.554600171969
Bellingham,-,4,127,244,371,2604.975064488392
Bellingham,-,4A,13,26,39,273.8383490971625
Bellingham,-,5,144,227,373,2619.0180567497846
Belmont,-,1,698,275,980,3563.885294117647
Belmont,-,2,535,334,871,3167.4939705882352
Belmont,-,3,548,249,797,2898.3842647058823
Belmont,-,4,457,192,654,2378.3479411764706
Belmont,-,5,507,273,781,2840.1983823529413
Belmont,-,6,682,240,926,3367.5079411764705
Belmont,-,7,584,239,831,3022.0292647058823
Belmont,-,8,565,389,960,3491.1529411764704
Berkley,-,1,149,285,437,3420.7655677655675
Berkley,-,2,140,238,382,2990.2344322344325
Berlin,-,1,343,419,768,2866.0
Bernardston,-,1,224,190,419,2129.0
Beverly,1,1,251,291,547,3025.002659946801
Beverly,1,2,292,308,602,3329.1619767604648
Beverly,2,1,283,164,451,2494.1063978720426
Beverly,2,2,412,239,654,3616.730785384292
Beverly,3,1,224,152,376,2079.3436931261376
Beverly,3,2,259,214,476,2632.3606327873445
Beverly,4,1,234,226,463,2560.4684306313875
Beverly,4,2,502,306,809,4473.907041859163
Beverly,5,1,332,274,611,3378.9335013299733
Beverly,5,2,305,316,625,3456.355872882542
Beverly,6,1,390,389,782,4324.592468150637
Beverly,6,2,303,442,747,4131.036539269215
Billerica,-,1,283,305,592,3455.2365482233504
Billerica,-,2,323,388,717,4184.805076142132
Billerica,-,3,259,340,603,3519.438578680203
Billerica,-,4,224,318,545,3180.9187817258885
Billerica,-,5,321,463,789,4605.03654822335
Billerica,-,6,196,337,533,3110.880203045685
Billerica,-,7,256,352,609,3554.4578680203044
Billerica,-,8,235,439,678,3957.179695431472
Billerica,-,9,202,373,579,3379.361421319797
Billerica,-,10,248,425,679,3963.016243654822
Billerica,-,11,206,358,571,3332.669035532995
Blackstone,-,1,149,217,370,2778.3860232945094
Blackstone,-,2,174,256,433,3251.462562396007
Blackstone,-,3,140,258,399,2996.151414309484
Blandford,-,1,98,191,292,1233.0
Bolton,-,1,583,703,1294,4897.0
Boston,1,1,241,84,328,2193.9158480716537
Boston,1,2,149,46,197,1317.6872624088896
Boston,1,3,395,93,490,3277.4962364485073
Boston,1,4,94,46,140,936.4274961281449
Boston,1,5,146,63,210,1404.6412441922173
Boston,1,6,140,48,189,1264.1771197729954
Boston,1,7,161,53,219,1464.8401546575979
