City/Town,Ward,Pct,Edward J. Markey,Gabriel E. Gomez,Total Votes Cast,pop by share of vote
Chelsea,3,1,121,20,143,1823.237042406669
Chelsea,3,2,132,48,180,2294.9836897426603
Chelsea,3,3,152,34,188,2396.9829648423342
Chelsea,3,4,107,40,148,1886.986589343965
Chelsea,4,1,108,43,155,1976.2359550561798
Chelsea,4,2,203,112,322,4105.47082276187
Chelsea,4,3,158,87,250,3187.477346864806
Chelsea,4,4,135,55,194,2473.4824211670893
Cheshire,-,1,310,194,513,3235.0
Chester,-,1,95,184,282,1337.0
Chesterfield,-,1,163,143,308,1222.0
Chicopee,1,A,179,255,437,3281.980986011137
Chicopee,1,B,270,302,580,4355.9473040880075
Chicopee,2,A,165,112,277,2080.340350400652
Chicopee,2,B,215,249,467,3507.288605188103
Chicopee,3,A,161,162,323,2425.8120331386663
Chicopee,3,B,133,110,247,1855.0327312236861
Chicopee,4,A,187,236,429,3221.8989542306126
Chicopee,4,B,193,196,394,2959.040065190819
Chicopee,5,A,153,194,349,2621.07863642537
Chicopee,5,B,185,197,388,2913.978541355426
Chicopee,6,AN,69,67,137,1028.9047942414777
Chicopee,6,AS,134,194,331,2485.894064919191
Chicopee,6,BE,164,364,529,3972.9243514871655
Chicopee,6,BW,33,67,103,773.5561591742496
Chicopee,7,A,123,99,226,1697.31739779981
Chicopee,7,B,160,129,292,2192.9941599891345
Chicopee,8,A,192,257,452,3394.63479559962
Chicopee,8,B,157,192,354,2658.6299062881976
Chicopee,9,A,213,252,468,3514.7988591606677
Chicopee,9,B,266,311,580,4355.9473040880075
Chilmark,-,1,255,79,334,866.0
Clarksburg,-,1,144,79,224,1702.0
Clinton,-,1,332,419,760,3431.981413873216
Clinton,-,2,318,377,712,3215.224692997013
Clinton,-,3,328,421,754,3404.8868237636907
Clinton,-,4,377,400,787,3553.9070693660806
Cohasset,-,1,493,937,1441,3851.177179305457
Cohasset,-,2,536,843,1381,3690.8228206945428
Colrain,-,1,194,127,324,1671.0
Concord,-,1,725,308,1038,3443.3691325572663
Concord,-,2,810,339,1152,3821.542621104018
Concord,-,3,801,405,1208,4007.312054074352
Concord,-,4,781,373,1160,3848.081111528352
Concord,-,5,518,249,768,2547.695080736012
Conway,-,1,448,162,612,1897.0
Cummington,-,1,159,66,226,872.0
Dalton,-,1,406,209,1052,3408.782733812949
Dalton,-,2,397,205,1033,3347.2172661870504
Danvers,-,1,285,249,541,2990.3427915710413
Danvers,-,2,282,312,600,3316.461506363447
Danvers,-,3,202,255,459,2537.0930523680368
Danvers,-,4,280,353,634,3504.3943250573757
Danvers,-,5,332,379,715,3952.116628416441
Danvers,-,6,284,421,709,3918.9520133528063
Danvers,-,7,303,358,667,3686.799707907365
Danvers,-,8,169,294,468,2586.8399749634887
Dartmouth,-,1,153,260,414,3118.4701195219122
Dartmouth,-,2,186,196,385,2900.026560424967
Dartmouth,-,3,10,4,14,105.45551128818062
Dartmouth,-,4,232,202,436,3284.185922974768
Dartmouth,-,5,319,277,601,4527.054448871182
Dartmouth,-,6,170,186,357,2689.1155378486055
Dartmouth,-,7,255,316,574,4323.675962815405
Dartmouth,-,8,478,402,882,6643.697211155379
Dartmouth,-,9,423,428,855,6440.318725099602
Dedham,-,1,605,422,1033,4420.324796677625
Dedham,-,2,401,406,815,3487.4779373594047
Dedham,-,3,313,309,631,2700.1209551825577
Dedham,-,4,371,340,715,3059.5665340024225
Dedham,-,5,388,433,830,3551.6646478629523
Dedham,-,6,406,423,835,3573.0602180308015
Dedham,-,7,401,513,920,3936.7849108842356
Deerfield,-,1,812,422,1240,5125.0
Dennis,-,1,481,616,1102,3448.483259911894
Dennis,-,2,514,618,1136,3554.8792951541855
Dennis,-,3,302,372,681,2131.0499999999997
Dennis,-,4,424,469,898,2810.1070484581496
Dennis,-,5,341,381,723,2262.4803964757707
Dighton,-,1,166,302,469,3426.117525773196
Dighton,-,2,170,324,501,3659.8824742268043
Douglas,-,1,106,311,420,2717.9679144385027
Douglas,-,2,141,330,473,3060.9495798319326
Douglas,-,3,120,292,416,2692.0825057295647
Dover,-,1,626,1026,1663,5589.0
Dracut,-,1,154,264,423,2389.3213806327904
Dracut,-,2,164,288,457,2581.370853307766
Dracut,-,3,212,441,660,3728.019175455417
Dracut,-,4,205,486,707,3993.4993288590604
Dracut,-,5,180,344,528,2982.4153403643336
Dracut,-,6,249,334,591,3338.2717162032595
Dracut,-,6A,11,8,20,112.97027804410354
Dracut,-,7,181,317,499,2818.6084372003834
Dracut,-,8,256,504,764,4315.464621284756
Dracut,-,9,195,363,566,3197.0588686481306
Dudley,-,1,318,537,870,4551.814423518604
Dudley,-,2,249,424,682,3568.2039503904457
Dudley,-,3,231,381,625,3269.981626090951
Dunstable,-,1,254,409,668,3179.0
Duxbury,-,1,286,415,703,2875.197447039652
Duxbury,-,2,253,451,704,2879.2873438348724
Duxbury,-,3,238,330,568,2323.061379684954
Duxbury,-,4,204,339,547,2237.1735469853343
Duxbury,-,5,219,356,579,2368.050244432374
Duxbury,-,6,224,357,581,2376.2300380228135
E. Bridgewater,-,1,186,308,498,3154.0
E. Bridgewater,-,2,164,312,477,3021.0
E. Bridgewater,-,3,253,420,679,4300.333333333333
E. Bridgewater,-,4,191,332,524,3318.6666666666665
E. Brookfield,-,1,125,323,450,2183.0
E. Longmeadow,-,1,266,498,768,3842.4443029917247
E. Longmeadow,-,2,307,415,727,3637.313812858052
E. Longmeadow,-,3,277,459,741,3707.358370464672
E. Longmeadow,-,4,279,624,906,4532.883513685551
Eastham,-,1,994,866,1875,4956.0
Easthampton,-,1,416,227,644,3149.948811700183
Easthampton,-,2,385,150,541,2646.1526508226693
Easthampton,-,3,412,175,593,2900.49634369287
Easthampton,-,4,552,246,804,3932.54478976234
Easthampton,-,5,359,335,700,3423.857404021938
Easton,-,1,145,241,389,2365.938947368421
Easton,-,2,344,440,784,4768.370526315789
Easton,-,3,226,328,563,3424.2252631578945
Easton,-,4,273,474,748,4549.414736842105
Easton,-,5,353,361,717,4360.869473684211
Easton,-,6,240,354,599,3643.181052631579
Edgartown,-,1,555,368,924,4067.0
Egremont,-,1,270,79,349,1225.0
Erving,-,1,141,112,258,1800.0
Essex,-,1,417,525,947,3504.0
Everett,1,1,272,97,374,3307.8874973466354
Everett,1,2,221,98,326,2883.345786457228
Everett,2,1,216,113,332,2936.4135003184037
Everett,2,2,206,89,296,2618.007217151348
Everett,3,1,374,170,546,4829.161961367014
Everett,3,2,269,126,398,3520.1583527913394
Everett,4,1,309,169,485,4289.640203778391
Everett,4,2,274,132,416,3679.3614943748676
Everett,5,1,278,131,412,3643.9830184674165
Everett,5,2,266,96,366,3237.1305455317342
Everett,6,1,275,121,398,3520.1583527913394
Everett,6,2,262,98,362,3201.7520696242836
Fairhaven,-,1,232,233,470,2960.440476190476
Fairhaven,-,2,238,218,457,2878.5559523809525
Fairhaven,-,3,163,129,293,1845.5511904761906
Fairhaven,-,4,196,215,416,2620.304761904762
Fairhaven,-,5,221,247,471,2966.739285714286
Fairhaven,-,6,191,219,413,2601.4083333333333
Fall River,1,A,191,140,336,4248.747972107585
Fall River,1,B,157,93,254,3211.851145581329
Fall River,1,C,133,95,230,2908.3691475736446
Fall River,2,A,110,31,144,1820.8919880461078
Fall River,2,B,86,32,120,1517.409990038423
Fall River,2,C,94,76,170,2149.664152554433
Fall River,3,A,195,92,290,3667.0741425928563
Fall River,3,B,167,73,246,3110.6904795787677
Fall River,3,C,159,107,270,3414.172477586452
Fall River,4,A,133,57,191,2415.210900811157
Fall River,4,B,144,36,181,2288.760068307955
Fall River,4,C,187,41,231,2921.0142308239647
Fall River,5,A,86,28,116,1466.8296570371424
Fall River,5,B,80,30,113,1428.894407286182
Fall River,5,B1,10,5,15,189.67624875480288
Fall River,5,C,97,17,117,1479.4747402874627
Fall River,6,A,185,126,315,3983.201223850861
Fall River,6,B,151,39,193,2440.501067311797
Fall River,6,C,156,100,262,3313.0118115838904
Fall River,6,C1,4,1,5,63.22541625160097
Fall River,7,A,192,139,333,4210.812722356624
Fall River,7,B,109,46,159,2010.5682368009107
Fall River,7,C,198,55,259,3275.0765618329297
Fall River,8,A,158,73,234,2958.9494805749255
Fall River,8,B,286,181,473,5981.124377401452
Fall River,8,C,279,178,462,5842.028461647929
Fall River,9,A,340,261,603,7624.985199943077
Fall River,9,B,214,128,344,4349.908638110147
Fall River,9,C,218,141,361,4564.875053365589
Falmouth,-,1,913,447,1366,4715.4966060871475
Falmouth,-,2,631,421,1060,3659.170133566893
Falmouth,-,3,475,546,1029,3552.156667396541
Falmouth,-,4,487,525,1013,3496.923910663455
Falmouth,-,5,577,622,1207,4166.621086052113
Falmouth,-,6,496,492,989,3414.0747755638276
Falmouth,-,7,364,477,851,2937.692248740968
Falmouth,-,8,397,492,894,3086.1302824611344
Falmouth,-,9,336,389,725,2502.734289467922
Fitchburg,1,A,117,164,282,2627.004621072089
Fitchburg,1,B,171,215,391,3642.407116451017
Fitchburg,2,A,94,84,180,1676.81146025878
Fitchburg,2,B,157,261,424,3949.8225508317933
Fitchburg,3,A,263,380,645,6008.5743992606285
Fitchburg,3,B,163,210,377,3511.9884473197785
Fitchburg,4,A,117,120,239,2226.4329944547135
Fitchburg,4,B,149,116,267,2487.2703327171903
Fitchburg,5,A,229,377,610,5682.527726432532
Fitchburg,5,B,112,63,175,1630.2333641404805
Fitchburg,6,A,202,283,488,4546.022181146026
Fitchburg,6,B,126,122,250,2328.9048059149723
Florida,-,1,53,45,100,752.0
Foxborough,-,1,251,313,568,2781.451800232288
Foxborough,-,2,360,424,788,3858.774680603949
Foxborough,-,3,311,412,727,3560.0624274099882
Foxborough,-,4,311,402,720,3525.7839721254354
Foxborough,-,5,237,400,641,3138.927119628339
Framingham,-,1,668,440,1113,6787.283227706864
Framingham,-,2,646,410,1064,6488.472016424173
Framingham,-,3,445,226,676,4122.375078104079
Framingham,-,4,618,395,1018,6207.955369097563
Framingham,-,5,573,347,928,5659.118450415068
Framingham,-,6,528,346,876,5342.012675176292
Framingham,-,7,485,312,801,4884.648576274212
Framingham,-,8,513,230,746,4549.248237079354
Framingham,-,9,296,176,478,2914.9338570025884
Framingham,-,10,234,99,333,2030.6965991252343
Framingham,-,11,623,405,1031,6287.231812907257
Framingham,-,12,289,138,433,2640.515397661341
Framingham,-,13,388,157,549,3347.9052039632243
Framingham,-,14,205,72,278,1695.2962599303758
Framingham,-,15,230,104,338,2061.1875390520395
Framingham,-,16,113,56,170,1036.691957511381
Framingham,-,17,84,22,107,652.5061144336339
Framingham,-,18,152,108,264,1609.9216281353208
Franklin,-,1,300,370,678,3939.8475385745774
Franklin,-,2,244,336,584,3393.614988978692
Franklin,-,3,331,309,644,3742.2740631888314
Franklin,-,4,292,436,734,4265.262674504042
Franklin,-,5,305,414,726,4218.7747979426895
Franklin,-,6,278,289,576,3347.12711241734
Franklin,-,7,309,474,786,4567.433872152828
Franklin,-,8,275,437,716,4160.664952240999
Freetown,-,1,153,268,424,2783.7749814951885
Freetown,-,2,196,252,450,2954.478164322724
Freetown,-,3,181,295,477,3131.746854182087
Gardner,1,A,205,221,430,2995.1928374655645
Gardner,1,B,38,76,114,794.0743801652893
Gardner,2,A,139,160,301,2096.6349862258953
Gardner,2,B,114,184,301,2096.6349862258953
Gardner,3,A,148,124,274,1908.564738292011
Gardner,3,B,210,189,405,2821.0537190082646
Gardner,4,A,146,124,271,1887.668044077135
Gardner,4,B,84,76,160,1114.4903581267217
Gardner,5,A,115,120,236,1643.8732782369148
Gardner,5,B,167,242,412,2869.8126721763083
Georgetown,-,1,221,369,593,3012.1160769708254
Georgetown,-,2,188,360,550,2793.699565487275
Georgetown,-,3,188,278,468,2377.1843575418998
Gill,-,1,236,115,353,1500.0
Gloucester,1,1,464,307,774,3941.0481075344887
Gloucester,1,2,311,224,538,2739.3848602759113
Gloucester,2,1,186,122,310,1578.4559603820303
Gloucester,2,2,258,105,367,1868.6881853555005
Gloucester,3,1,218,139,358,1822.8620445702156
Gloucester,3,2,257,186,446,2270.939865581889
Gloucester,4,1,293,274,568,2892.1386628935265
Gloucester,4,2,520,325,849,4322.932614078529
Gloucester,5,1,363,364,735,3742.4681641315883
Gloucester,5,2,360,348,709,3610.0815351963215
Goshen,-,1,144,94,239,1054.0
Gosnold,-,1,15,15,30,75.0
Grafton,-,1,264,399,668,3691.1415241057543
Grafton,-,2,237,410,647,3575.1026438569206
Grafton,-,3,247,381,632,3492.2177293934683
Grafton,-,4,189,325,515,2845.7153965785383
Grafton,-,5,300,452,753,4160.822706065319
Granby,-,1,319,377,705,3365.8760520275437
Granby,-,2,221,377,602,2874.1239479724563
Granville,-,1,105,260,366,1566.0
Great Barrington,-,A,278,78,356,1747.7705597788527
Great Barrington,-,B,319,62,382,1875.4167242570834
Great Barrington,-,C,225,35,262,1286.2805805114028
Great Barrington,-,D,356,90,447,2194.532135452661
Greenfield,-,1,210,148,362,1770.0481792717087
Greenfield,-,2,355,209,569,2782.202801120448
Greenfield,-,3,299,128,435,2126.991596638655
Greenfield,-,4,327,128,457,2234.5635854341735
Greenfield,-,5,363,116,487,2381.2526610644254
Greenfield,-,6,315,82,401,1960.7439775910366
Greenfield,-,7,205,102,310,1515.7871148459383
Greenfield,-,8,186,43,229,1119.7266106442576
Greenfield,-,9,192,127,320,1564.6834733893559
Groton,-,1,464,438,916,3933.7377974989913
Groton,-,2,347,404,754,3238.0330778539733
Groton,-,3,417,374,809,3474.229124647035
Groveland,-,1,284,476,762,3214.7341606792947
Groveland,-,2,274,493,769,3244.2658393207053
Hadley,-,1,840,444,1288,5250.0
Halifax,-,1,251,482,740,3909.5713281799017
Halifax,-,2,247,430,683,3608.4286718200983
Hamilton,-,1,279,390,671,2936.665163472379
Hamilton,-,2,245,383,631,2761.6031567080045
Hamilton,-,3,204,267,472,2065.7316798196166
Hampden,-,1,340,723,1069,5139.0
Hancock,-,1,69,44,115,717.0
Hanover,-,1,237,552,792,3587.5221932114882
Hanover,-,2,266,506,775,3510.5172976501303
Hanover,-,3,272,485,763,3456.16090078329
Hanover,-,4,207,524,734,3324.7996083550916
Hanson,-,1,205,418,630,3332.4715025906735
Hanson,-,2,273,480,755,3993.6761658031087
Hanson,-,3,185,355,545,2882.852331606218
Hardwick,-,1,314,226,546,2990.0
Harvard,-,1,975,686,1672,6520.0
Harwich,-,1,530,508,1041,3489.8584337349403
Harwich,-,2,476,520,1001,3355.7620481927715
Harwich,-,3,409,495,908,3043.987951807229
Harwich,-,4,353,344,702,2353.39156626506
Hatfield,-,1,480,342,826,3279.0
Haverhill,1,1,103,71,175,1174.2339909621955
Haverhill,1,2,198,126,327,2194.1400859693595
Haverhill,1,3,148,186,336,2254.529262647415
Haverhill,2,1,162,165,328,2200.8499944891437
Haverhill,2,2,138,213,354,2375.3076160035266
Haverhill,2,3,110,90,202,1355.401520996363
Haverhill,3,1,112,45,159,1066.8754546456519
Haverhill,3,2,184,119,308,2066.651824093464
Haverhill,3,3,142,165,307,2059.9419155736805
Haverhill,4,1,223,326,556,3730.70913699989
Haverhill,4,2,279,393,677,4542.608067893751
Haverhill,4,3,233,329,569,3817.937947757082
Haverhill,5,1,238,259,504,3381.793893971123
Haverhill,5,2,226,336,568,3811.2280392372973
Haverhill,5,3,208,446,656,4401.699988978287
Haverhill,6,1,164,206,371,2489.3760608398547
Haverhill,6,2,239,288,537,3603.2208751239946
Haverhill,6,3,234,312,548,3677.029868841618
Haverhill,7,1,276,337,616,4133.303648186928
Haverhill,7,2,171,222,393,2636.994048275102
Haverhill,7,3,214,363,582,3905.166758514273
Hawley,-,1,45,45,93,337.0
Heath,-,1,124,71,196,706.0
Hingham,-,1,415,400,823,3014.0844628099176
Hingham,-,2,397,498,903,3307.0695867768595
Hingham,-,3,427,571,1005,3680.625619834711
Hingham,-,4,372,554,927,3394.9651239669424
Hingham,-,5,249,396,647,2369.5171900826444
Hingham,-,5A,465,325,796,2915.2019834710745
Hingham,-,6,370,574,949,3475.536033057851
Hinsdale,-,1,199,128,332,2032.0
Holbrook,-,1,210,258,471,2742.8823529411766
Holbrook,-,2,191,283,478,2783.6470588235293
Holbrook,-,3,184,290,476,2772.0
Holbrook,-,4,202,224,428,2492.470588235294
Holden,-,1,320,539,867,3341.996
Holden,-,2,344,564,914,3523.1653333333334
Holden,-,3,348,504,856,3299.5946666666664
Holden,-,4,316,564,884,3407.5253333333335
Holden,-,5,371,604,979,3773.7186666666666
Holland,-,1,193,382,583,2481.0
Holliston,-,1,484,528,1020,4025.033498397903
Holliston,-,2,455,389,848,3346.3023594523743
Holliston,-,3,426,353,780,3077.9667928925137
Holliston,-,4,372,411,785,3097.6973492572097
Holyoke,1,A,138,20,161,1329.884009942005
Holyoke,1,B,129,39,169,1395.9652029826013
Holyoke,2,A,152,63,219,1808.9726594863296
Holyoke,2,B,61,29,90,743.4134217067109
Holyoke,3,A,230,105,338,2791.9304059652027
Holyoke,3,B,256,209,467,3857.489643744822
Holyoke,4,A,87,30,120,991.2178956089479
Holyoke,4,B,167,69,240,1982.4357912178957
Holyoke,5,A,302,385,690,5699.502899751449
Holyoke,5,B,287,156,446,3684.026512013256
Holyoke,6,A,208,86,295,2436.7439933719966
Holyoke,6,B,204,119,324,2676.2883181441593
Holyoke,7,A,364,333,700,5782.104391052196
Holyoke,7,B,359,206,569,4700.024855012427
Hopedale,-,1,485,649,1143,5911.0
Hopkinton,-,1,381,469,852,3900.644171779141
Hopkinton,-,2,336,453,792,3625.950920245399
Hopkinton,-,3,314,489,808,3699.20245398773
Hopkinton,-,4,338,465,808,3699.20245398773
Hubbardston,-,1,391,678,1084,4382.0
Hudson,-,1,271,277,553,2868.5276190476193
Hudson,-,2,214,203,422,2189.002993197279
Hudson,-,3,242,350,598,3101.952108843537
Hudson,-,4,275,366,646,3350.9382312925172
Hudson,-,5,346,350,696,3610.298775510204
Hudson,-,6,194,173,371,1924.455238095238
Hudson,-,7,209,174,389,2017.8250340136053
Hull,-,1,494,366,864,3623.941320293399
Hull,-,2,364,342,707,2965.4242053789735
Hull,-,3,433,442,883,3703.6344743276286
Huntington,-,1,171,278,452,2180.0
Ipswich,-,1,525,345,874,3363.9935728892788
Ipswich,-,2,542,451,998,3841.2649722465676
Ipswich,-,3,334,439,774,2979.0972830850133
Ipswich,-,4,377,399,777,2990.644171779141
Kingston,-,1,209,323,533,2929.180591818973
Kingston,-,2,217,405,624,3429.2845953002616
Kingston,-,3,174,357,538,2956.6588337684943
Kingston,-,4,247,353,603,3313.875979112271
Lakeville,-,1,204,407,618,3410.7423217074443
Lakeville,-,2,185,450,637,3515.6033315981263
Lakeville,-,3,202,459,666,3675.6543466944304
Lancaster,-,1,277,450,729,3906.9161676646704
Lancaster,-,2,302,466,774,4148.083832335329
Lanesborough,-,1,404,189,595,3091.0
Lawrence,A,1,174,90,265,3261.3446664518206
Lawrence,A,2,156,26,183,2252.173864002578
Lawrence,A,3,120,71,192,2362.9365130518854
Lawrence,A,4,128,60,190,2338.3225910409283
Lawrence,B,1,353,62,422,5193.537544311956
Lawrence,B,2,200,36,238,2929.056719303899
Lawrence,B,3,189,43,235,2892.1358362874635
Lawrence,B,4,378,22,403,4959.705285207863
Lawrence,C,1,107,27,135,1661.439735739607
Lawrence,C,2,194,103,298,3667.474379632614
Lawrence,C,3,191,17,209,2572.1548501450206
Lawrence,C,4,217,27,247,3039.8193683532068
Lawrence,D,1,158,73,234,2879.828875281985
Lawrence,D,2,214,18,233,2867.5219142765063
Lawrence,D,3,204,27,234,2879.828875281985
Lawrence,D,4,193,24,219,2695.224460199807
Lawrence,E,1,216,226,444,5464.290686432485
Lawrence,E,2,205,228,436,5365.8349983886565
Lawrence,E,3,135,62,200,2461.392201095714
Lawrence,E,4,182,69,254,3125.9680953915567
Lawrence,F,1,162,183,348,4282.822429906542
Lawrence,F,2,138,37,177,2178.332097969707
Lawrence,F,3,127,46,174,2141.411214953271
Lawrence,F,4,159,76,236,2904.442797292942
Lee,-,1,677,261,943,5943.0
Leicester,-,1,183,371,558,3002.0892594409024
Leicester,-,2,146,290,447,2404.8994605198627
Leicester,-,3,149,345,499,2684.664051005395
Leicester,-,4,184,345,535,2878.34722903384
Lenox,-,1,964,294,1262,5025.0
Leominster,1,A,209,315,525,3485.6613454960093
Leominster,1,B,217,317,535,3552.0548949340287
Leominster,1,C,110,188,300,1991.8064831405768
Leominster,2,A,129,119,249,1653.1993810066785
Leominster,2,B,143,183,327,2171.0690666232285
Leominster,2,C,88,103,192,1274.756149209969
Leominster,3,A,136,180,320,2124.593582016615
Leominster,3,B,198,319,521,3459.1039257208013
Leominster,3,C,207,346,555,3684.8419938100665
Leominster,4,A,221,383,604,4010.170386056361
Leominster,4,B,166,414,585,3884.0226421241246
Leominster,4,C,123,172,301,1998.4458380843785
Leominster,5,A,146,185,336,2230.823261117446
Leominster,5,B,205,319,526,3492.300700439811
Leominster,5,C,112,149,263,1746.1503502199055
Leverett,-,1,581,94,677,1851.0
Lexington,-,1,615,202,820,2787.2542226071896
Lexington,-,2,951,220,1179,4007.5277176266777
Lexington,-,3,693,187,885,3008.1951061065397
Lexington,-,4,843,278,1123,3817.178648765699
Lexington,-,5,772,284,1058,3596.237765266349
Lexington,-,6,775,321,1102,3745.7977479428323
Lexington,-,7,781,261,1046,3555.4486790818532
Lexington,-,8,747,265,1015,3450.0768731052403
Lexington,-,9,710,291,1008,3426.283239497618
Leyden,-,1,148,70,218,711.0
Lincoln,-,1,913,307,1224,4047.3430353430354
Lincoln,-,2,479,221,700,2314.6569646569646
Littleton,-,1,354,381,740,3040.4051565377536
Littleton,-,2,367,364,739,3036.29650092081
Littleton,-,3,350,339,693,2847.2983425414363
Longmeadow,-,A,410,424,836,3314.6003516704345
Longmeadow,-,B,348,393,746,2957.7653855815124
Longmeadow,-,C,346,466,817,3239.2685254961066
Longmeadow,-,D,338,455,796,3156.0070334086913
Longmeadow,-,E,386,399,786,3116.3587038432556
Lowell,1,1,187,78,266,2858.5607344632767
Lowell,1,2,350,435,785,8435.978107344632
Lowell,1,3,356,354,721,7748.204096045198
Lowell,2,1,74,36,111,1192.8580508474577
Lowell,2,2,189,31,221,2374.9696327683614
Lowell,2,3,272,77,355,3814.9964689265535
Lowell,3,1,135,117,254,2729.603107344633
Lowell,3,2,118,53,172,1848.3926553672318
Lowell,3,3,129,75,207,2224.51906779661
Lowell,4,1,168,110,280,3009.0112994350284
Lowell,4,2,97,44,141,1515.2521186440677
Lowell,4,3,136,46,184,1977.3502824858756
Lowell,5,1,134,138,277,2976.771892655367
Lowell,5,2,119,70,192,2063.322033898305
Lowell,5,3,139,151,291,3127.2224576271187
Lowell,6,1,211,228,446,4792.925141242938
Lowell,6,2,236,201,442,4749.939265536723
Lowell,6,3,230,210,447,4803.671610169491
Lowell,7,1,133,73,210,2256.758474576271
Lowell,7,2,125,36,163,1751.6744350282488
Lowell,7,3,76,29,108,1160.6186440677966
Lowell,8,1,159,90,251,2697.3637005649716
Lowell,8,2,167,135,303,3256.1800847457625
Lowell,8,3,313,255,574,6168.473163841808
Lowell,9,1,154,117,277,2976.771892655367
Lowell,9,2,241,183,427,4588.742231638418
Lowell,9,3,143,148,292,3137.968926553672
Lowell,10,1,185,122,310,3331.4053672316386
Lowell,10,2,106,53,162,1740.927966101695
Lowell,10,3,68,26,95,1020.9145480225988
Lowell,11,1,127,111,238,2557.659604519774
Lowell,11,2,179,177,358,3847.2358757062148
Lowell,11,3,206,143,352,3782.757062146893
Ludlow,-,1,208,283,494,3604.7309820193636
Ludlow,-,2,138,185,326,2378.8305670816044
Ludlow,-,3,160,362,528,3852.829875518672
Ludlow,-,4,229,260,495,3612.028008298755
Ludlow,-,5,144,249,395,2882.3253803596126
Ludlow,-,6,235,408,654,4772.255186721992
Lunenburg,-,A,177,362,542,2635.7820636451297
Lunenburg,-,B,188,292,482,2343.9980713596915
Lunenburg,-,C,175,339,517,2514.205400192864
Lunenburg,-,D,200,330,533,2592.0144648023147
Lynn,1,1,382,395,778,6980.824674679647
Lynn,1,2,369,345,718,6442.457733187643
Lynn,1,3,344,242,591,5302.914373696235
Lynn,1,4,291,189,486,4360.772226085229
Lynn,2,1,404,327,734,6586.022250918844
Lynn,2,2,235,84,321,2880.2631369822193
Lynn,2,3,159,55,218,1956.066554087613
Lynn,2,4,162,61,224,2009.9032482368134
Lynn,3,1,234,143,379,3400.6845137578225
Lynn,3,2,199,85,289,2593.1341015198172
Lynn,3,3,203,101,306,2745.6714016092183
Lynn,3,4,262,106,369,3310.9566901758217
Lynn,4,1,114,18,133,1193.380053640608
Lynn,4,2,184,34,219,1965.039336445813
Lynn,4,3,230,50,282,2530.3246250124166
Lynn,4,4,312,122,436,3912.133108175226
Lynn,5,1,217,106,326,2925.12704877322
Lynn,5,2,110,15,126,1130.5705771332075
Lynn,5,3,119,18,137,1229.271183073408
Lynn,5,4,424,117,544,4881.1936028608325
Lynn,6,1,200,63,267,2395.732889639416
Lynn,6,2,121,29,150,1345.917353730009
Lynn,6,3,193,38,235,2108.603854177014
Lynn,6,4,157,58,215,1929.148207013013
Lynn,7,1,377,207,588,5275.996026621635
Lynn,7,2,272,164,438,3930.078672891626
Lynn,7,3,170,91,263,2359.8417602066156
Lynn,7,4,188,106,295,2646.9707956690177
Lynnfield,-,1,238,425,666,3095.3651302605213
Lynnfield,-,2,201,299,505,2347.0861723446897
Lynnfield,-,3,218,335,555,2579.4709418837674
Lynnfield,-,4,237,526,769,3574.077755511022
Malden,1,1,280,82,365,2660.852237890864
Malden,1,2,369,120,493,3593.9730226854695
Malden,2,1,381,125,511,3725.1931330472103
Malden,2,2,374,182,558,4067.823421213979
Malden,3,1,423,172,601,4381.293684855917
Malden,3,2,555,247,808,5890.324954015941
Malden,4,1,263,87,355,2587.9521765787863
Malden,4,2,242,67,316,2303.6419374616803
Malden,5,1,369,98,470,3426.302881667689
Malden,5,2,547,253,808,5890.324954015941
Malden,6,1,386,167,555,4045.953402820356
Malden,6,2,418,171,594,4330.263641937462
Malden,7,1,294,61,356,2595.242182709994
Malden,7,2,375,92,472,3440.8828939301043
Malden,8,1,394,161,558,4067.823421213979
Malden,8,2,222,113,335,2442.152053954629
Manchester-by-the-Sea,-,1,730,804,1545,5136.0
Mansfield,-,1,238,462,704,4548.923076923077
Mansfield,-,2,294,358,654,4225.846153846153
Mansfield,-,3,248,402,654,4225.846153846153
Mansfield,-,4,222,364,587,3792.923076923077
Mansfield,-,5,227,253,484,3127.3846153846157
Mansfield,-,6,252,249,505,3263.0769230769233
Marblehead,-,1,558,475,1046,3620.333391577844
Marblehead,-,2,525,442,972,3364.210379171763
Marblehead,-,3,430,367,806,2789.6641621527174
Marblehead,-,4,492,517,1016,3516.4997378997027
Marblehead,-,5,536,406,951,3291.5268215970646
Marblehead,-,6,488,440,932,3225.7655076009087
Marion,-,1,604,743,1360,4907.0
Marlborough,1,1,281,203,492,3058.5351202971096
Marlborough,1,2,306,366,677,4208.594057807201
Marlborough,2,1,273,272,548,3406.6610689488134
Marlborough,2,2,191,184,379,2356.0666881963507
Marlborough,3,1,159,114,277,1721.9801388664623
Marlborough,3,2,289,274,565,3512.3421605037947
Marlborough,4,1,99,100,200,1243.3069594703697
Marlborough,4,2,305,325,633,3935.0665267237205
Marlborough,5,1,165,90,259,1610.082512514129
Marlborough,5,2,201,211,413,2567.428871306314
Marlborough,6,1,161,144,308,1914.6927175843693
Marlborough,6,2,292,294,595,3698.8382044243504
Marlborough,7,1,245,181,429,2666.8934280639432
Marlborough,7,2,178,239,418,2598.5115452930727
Marshfield,-,1,281,421,702,3251.5046074456322
Marshfield,-,2,305,497,804,3723.9454478437156
Marshfield,-,3,321,378,702,3251.5046074456322
