City/Town,TOWN_ID,Pres16D,Pres16R,POP2010
New Braintree,202,246,326,999
New Marlborough,203,564,218,1509
New Salem,204,337,208,990
Newbury,205,2465,1716,6666
Newburyport,206,7385,3114,17416
Newton,207,36463,7764,85146
Norfolk,208,2956,2458,11227
North Adams,209,3730,1570,13708
North Andover,210,8499,6391,28352
North Attleborough,211,7059,6716,28712
North Brookfield,212,907,1413,4680
North Reading,213,4283,3986,14892
Northampton,214,13512,1878,28549
Northborough,215,5130,2964,14155
Northbridge,216,3425,3977,15707
Northfield,217,1013,533,3032
Norton,218,4555,4428,19031
Norwell,219,3277,2837,10506
Norwood,220,9000,5692,28602
Oak Bluffs,221,2098,738,4527
Oakham,222,435,633,1902
Orange,223,1487,1550,7839
Orleans,224,2687,1511,5890
Otis,225,431,407,1612
Oxford,226,2744,3576,13709
Palmer,227,2475,3083,12140
Paxton,228,1213,1197,4806
Peabody,229,14395,12036,51251
Pelham,230,748,98,1321
Pembroke,231,4630,4913,17837
Pepperell,232,2932,3098,11497
Peru,233,255,207,847
Petersham,234,417,312,1234
Phillipston,235,374,550,1682
Pittsfield,236,13907,4771,44737
Plainfield,237,263,107,648
Plainville,238,2216,2223,8264
Plymouth,239,15602,14309,56468
Plympton,240,727,883,2820
Princeton,241,1183,898,3413
Provincetown,242,2082,208,2942
Quincy,243,25477,13321,92271
Randolph,244,11509,3098,32112
Raynham,245,3327,3806,13383
Reading,246,8848,5373,24747
Rehoboth,247,2784,3574,11608
Revere,248,11964,6895,51755
Richmond,249,706,218,1475
Rochester,250,1368,1743,5232
Rockland,251,4403,4313,17489
Rockport,252,3122,1371,6952
Rowe,253,122,99,393
Rowley,254,1679,1809,5856
Royalston,255,314,321,1258
Russell,256,278,480,1775
Rutland,257,2022,2344,7973
Salem,258,14950,5458,41340
Salisbury,259,2098,2249,8283
Sandisfield,260,254,190,915
Sandwich,261,6017,5846,20675
Saugus,262,6385,7305,26628
Savoy,263,184,163,692
Scituate,264,6512,4457,18133
Seekonk,265,3663,3572,13722
Sharon,266,7219,2447,17612
Sheffield,267,1242,530,3257
Shelburne,268,821,230,1893
Sherborn,269,1766,617,4119
Shirley,270,1637,1432,7211
Shrewsbury,271,10620,6808,35608
Shutesbury,272,980,142,1771
Somerset,273,4901,4566,18165
Somerville,274,33740,4128,75754
South Hadley,275,5208,3254,17514
Southampton,276,1744,1692,5792
Southborough,277,3530,1898,9767
Southbridge,278,3714,2586,16719
Southwick,279,1859,2961,9502
Spencer,280,2265,3045,11688
Springfield,281,40341,11231,153060
Sterling,282,2162,2327,7808
Stockbridge,283,965,252,1947
Stoneham,284,6962,5243,21437
Stoughton,285,8451,4920,26962
Stow,286,2708,1261,6590
Sturbridge,287,2534,2415,9268
Sudbury,288,7402,2510,17659
Sunderland,289,1353,387,3684
Sutton,290,2312,2881,8963
Swampscott,291,5554,2586,13787
Swansea,292,3928,4351,15865
Taunton,293,12365,9973,55874
Templeton,294,1521,2068,8013
Tewksbury,295,7602,8432,28961
Tisbury,296,1942,476,3949
Tolland,297,101,190,485
Topsfield,298,2100,1566,6085
Townsend,299,2082,2550,8926
Truro,300,1095,361,2003
Tyngsborough,301,3061,3167,11292
Tyringham,302,201,70,327
Upton,303,2296,1818,7542
Uxbridge,304,3266,3698,13457
Wakefield,305,8294,6060,24932
Wales,306,365,550,1838
Walpole,307,7270,6046,24070
Waltham,308,17355,7592,60632
Ware,309,1853,2189,9872
Wareham,310,5435,5104,21822
Warren,311,904,1266,5135
Warwick,312,271,142,780
Washington,313,217,89,538
Watertown,314,13166,3941,31915
Wayland,315,6114,1684,12994
Webster,316,3119,3575,16767
Wellesley,317,10568,3235,27982
Wellfleet,318,1554,515,2750
Wendell,319,402,104,848
Wenham,320,1368,774,4875
West Boylston,321,2136,1838,7669
West Bridgewater,322,1623,2150,6916
West Brookfield,323,869,1008,3701
West Newbury,324,1620,1020,4235
West Springfield,325,5711,5537,28391
West Stockbridge,326,659,178,1306
West Tisbury,327,1688,329,2740
Westborough,328,6023,2752,18272
Westfield,329,8225,9021,41094
Westford,330,7854,4706,21951
Westhampton,331,629,408,1607
Westminster,332,1958,2165,7277
Weston,333,4368,1648,11261
Westport,334,4383,4285,15532
Westwood,335,5319,3218,14618
Weymouth,336,15398,11983,53743
Whately,337,582,328,1496
Whitman,338,3393,3815,14489
Wilbraham,339,3744,4010,14219
Williamsburg,340,1207,347,2482
Williamstown,341,2916,478,7754
Wilmington,342,6205,6167,22325
Winchendon,343,1789,2312,10300
Winchester,344,8062,3701,21374
Windsor,345,313,159,899
Winthrop,346,5194,3852,17497
Woburn,347,10915,8342,38120
Worcester,348,43084,17732,181045
Worthington,349,430,229,1156
Wrentham,350,3052,2993,10955
Yarmouth,351,7304,5848,23793
