City/Town,TOWN_ID,Sen13D,Sen13R,POP2010
Abington,1,1143,1681,15985
Acton,2,3420,1692,21924
Acushnet,3,1250,1246,10303
Adams,4,780,335,8485
Agawam,5,1743,3009,28438
Alford,6,106,37,494
Amesbury,7,1387,1387,16283
Amherst,8,4561,567,37819
Andover,9,3130,3721,33201
Aquinnah,104,105,21,311
Arlington,10,9655,3254,42844
Ashburnham,11,530,752,6081
Ashby,12,343,534,3074
Ashfield,13,423,121,1737
Ashland,14,1716,1399,16593
Athol,15,603,917,11584
Attleboro,16,2461,2873,43593
Auburn,17,1335,2001,16188
Avon,18,389,475,4356
Ayer,19,569,684,7427
Barnstable,20,4712,6580,45193
Barre,21,369,634,5398
Becket,22,266,109,1779
Bedford,23,1843,1383,13320
Belchertown,24,1350,1144,14649
Bellingham,25,938,1380,16332
Belmont,26,4576,2191,24729
Berkley,27,289,523,6411
Berlin,28,343,419,2866
Bernardston,29,224,190,2129
Beverly,30,3787,3321,39502
Billerica,31,2753,4098,40243
Blackstone,32,463,731,9026
Blandford,33,98,191,1233
Bolton,34,583,703,4897
Boston,35,70223,21457,617594
Bourne,36,1637,2618,19754
Boxborough,37,736,591,4996
Boxford,38,715,1396,7965
Boylston,39,419,660,4355
Braintree,40,3191,4373,35744
Brewster,41,1546,1485,9820
Bridgewater,42,1402,2243,26563
Brimfield,43,283,520,3609
Brockton,44,6817,3751,93810
Brookfield,45,250,413,3390
Brookline,46,10480,2260,58732
Buckland,47,328,129,1902
Burlington,48,2135,2455,24498
Cambridge,49,18759,2248,105162
Canton,50,2226,2500,21561
Carlisle,51,919,685,4852
Carver,52,716,1217,11509
Charlemont,53,174,100,1266
Charlton,54,613,1454,12981
Chatham,55,1030,1403,6125
Chelmsford,56,3347,4383,33802
Chelsea,57,2022,683,35177
Cheshire,58,310,194,3235
Chester,59,95,184,1337
Chesterfield,60,163,143,1222
Chicopee,61,3352,3945,55298
Chilmark,62,255,79,866
Clarksburg,63,144,79,1702
Clinton,64,1355,1617,13606
Cohasset,65,1029,1780,7542
Colrain,66,194,127,1671
Concord,67,3635,1674,17668
Conway,68,448,162,1897
Cummington,69,159,66,872
Dalton,70,803,414,6756
Danvers,71,2137,2621,26493
Dartmouth,72,2226,2271,34032
Dedham,73,2885,2846,24729
Deerfield,74,812,422,5125
Dennis,75,2062,2456,14207
Dighton,76,336,626,7086
Douglas,77,367,933,8471
Dover,78,626,1026,5589
Dracut,79,1807,3349,29457
Dudley,80,798,1342,11390
Dunstable,81,254,409,3179
Duxbury,82,1424,2248,15059
E. Bridgewater,83,794,1372,13794
E. Brookfield,84,125,323,2183
E. Longmeadow,85,1129,1996,15720
Eastham,86,994,866,4956
Easthampton,87,2124,1133,16053
Easton,88,1581,2198,23112
Edgartown,89,555,368,4067
Egremont,90,270,79,1225
Erving,91,141,112,1800
Essex,92,417,525,3504
Everett,93,3222,1440,41667
Fairhaven,94,1241,1261,15873
Fall River,95,4519,2421,88857
Falmouth,96,4676,4411,31531
Fitchburg,97,1900,2395,40318
Florida,98,53,45,752
Foxborough,99,1470,1951,16865
Framingham,100,7090,4043,68318
Franklin,101,2334,3065,31635
Freetown,102,530,815,8870
Gardner,103,1366,1516,20228
Georgetown,105,597,1007,8183
Gill,106,236,115,1500
Gloucester,107,3230,2394,28789
Goshen,108,144,94,1054
Gosnold,109,15,15,75
Grafton,110,1237,1967,17765
Granby,111,540,754,6240
Granville,112,105,260,1566
Great Barrington,113,1178,265,7104
Greenfield,114,2452,1083,17456
Groton,115,1228,1216,10646
Groveland,116,558,969,6459
Hadley,117,840,444,5250
Halifax,118,498,912,7518
Hamilton,119,728,1040,7764
Hampden,120,340,723,5139
Hancock,121,69,44,717
Hanover,122,982,2067,13879
Hanson,123,663,1253,10209
Hardwick,124,314,226,2990
Harvard,125,975,686,6520
Harwich,126,1768,1867,12243
Hatfield,127,480,342,3279
Haverhill,128,4002,4997,60879
Hawley,129,45,45,337
Heath,130,124,71,706
Hingham,131,2695,3318,22157
Hinsdale,132,199,128,2032
Holbrook,133,787,1055,10791
Holden,134,1699,2775,17346
Holland,135,193,382,2481
Holliston,136,1737,1681,13547
Holyoke,137,2944,1849,39880
Hopedale,138,485,649,5911
Hopkinton,139,1369,1876,14925
Hubbardston,140,391,678,4382
Hudson,141,1751,1893,19063
Hull,142,1291,1150,10293
Huntington,143,171,278,2180
Ipswich,144,1778,1634,13175
Kingston,145,847,1438,12629
Lakeville,146,591,1316,10602
Lancaster,147,579,916,8055
Lanesborough,148,404,189,3091
Lawrence,149,4500,1653,76377
Lee,150,677,261,5943
Leicester,151,662,1351,10970
Lenox,152,964,294,5025
Leominster,153,2410,3692,40759
Leverett,154,581,94,1851
Lexington,155,6887,2309,31394
Leyden,156,148,70,711
Lincoln,157,1392,528,6362
Littleton,158,1071,1084,8924
Longmeadow,159,1828,2137,15784
Lowell,160,5662,4152,106519
Ludlow,161,1114,1747,21103
Lunenburg,162,740,1323,10086
Lynn,163,6632,3369,90329
Lynnfield,164,894,1585,11596
Malden,165,5892,2198,59450
Manchester-by-the-Sea,166,730,804,5136
Mansfield,167,1481,2088,23184
Marblehead,168,3029,2647,19808
Marion,169,604,743,4907
Marlborough,170,3145,2997,38499
Marshfield,171,2144,3266,25132
Mashpee,172,1422,2046,14006
Mattapoisett,173,759,925,6045
Maynard,174,1420,970,10106
Medfield,175,1276,1807,12024
Medford,176,7694,3557,56173
Medway,177,1100,1361,12752
Melrose,178,3933,2676,26983
Mendon,179,404,718,5839
Merrimac,180,576,728,6338
Methuen,181,2530,3861,47255
Middleborough,182,1437,2443,23116
Middlefield,183,90,56,521
Middleton,184,530,907,8987
Milford,185,1949,2101,27999
Millbury,186,868,1482,13261
Millis,187,977,1272,7891
Millville,188,151,337,3190
Milton,189,3907,3111,27003
Monroe,190,9,11,121
Monson,191,538,895,8560
Montague,192,1332,622,8437
Monterey,193,213,45,961
Montgomery,194,72,169,838
Mount Washington,195,33,15,167
Nahant,196,621,522,3410
Nantucket,197,1114,877,10172
Natick,198,4666,3051,33006
Needham,199,5174,3051,28886
New Ashford,200,54,19,228
New Bedford,201,5007,2591,95072
New Braintree,202,101,153,999
New Marlborough,203,215,101,1509
New Salem,204,168,127,990
Newbury,205,920,1018,6666
