City/Town,Ward,Pct,Elizabeth A. Warren,Scott P. Brown,Total Votes Cast,pop by share of vote
Belchertown,-,A,992,824,1828,3475.453861129137
Belchertown,-,B,857,988,1852,3521.083452303699
Belchertown,-,C,980,1085,2073,3941.25593770279
Belchertown,-,D,1238,709,1952,3711.2067488643743
Bellingham,-,1,638,994,1637,3114.571761416589
Bellingham,-,2,802,1061,1876,3569.295433364399
Bellingham,-,3,690,946,1645,3129.792637465051
Bellingham,-,4,582,896,1488,2831.0829450139795
Bellingham,-,4A,63,114,178,338.66449207828515
Bellingham,-,5,701,1048,1760,3348.592730661696
Belmont,-,1,1159,676,1846,3172.3234190410008
Belmont,-,2,998,969,1984,3409.4743571924946
Belmont,-,3,1079,618,1714,2945.4833912439194
Belmont,-,4,998,549,1556,2673.9627519110495
Belmont,-,5,1067,662,1745,2998.756428075052
Belmont,-,6,1211,619,1842,3165.4494788047255
Belmont,-,7,1144,606,1764,3031.4076441973593
Belmont,-,8,1012,913,1939,3332.142529534399
Berkley,-,1,717,1049,1782,3422.529059316956
Berkley,-,2,636,905,1556,2988.470940683044
Berlin,-,1,779,1025,1814,2866.0
Bernardston,-,1,708,464,1181,2129.0
Beverly,1,1,767,875,1659,3117.688772597526
Beverly,1,2,900,991,1900,3570.5899143672696
Beverly,2,1,858,660,1532,2879.023025689819
Beverly,2,2,1025,766,1809,3399.577450047574
Beverly,3,1,717,556,1287,2418.6048525214082
Beverly,3,2,881,801,1701,3196.61760228354
Beverly,4,1,554,558,1121,2106.648049476689
Beverly,4,2,1186,930,2128,3999.060704091342
Beverly,5,1,906,1004,1924,3615.6921027592766
Beverly,5,2,816,999,1830,3439.04186489058
Beverly,6,1,879,1134,2027,3809.2556612749763
Beverly,6,2,816,1273,2102,3950.2000000000003
Billerica,-,1,880,1086,1974,3923.722315519115
Billerica,-,2,803,1124,1939,3854.152770917712
Billerica,-,3,757,1057,1826,3629.5425269188972
Billerica,-,4,636,910,1557,3094.850884125259
Billerica,-,5,777,1290,2074,4122.492442951694
Billerica,-,6,593,982,1583,3146.53111725773
Billerica,-,7,771,971,1753,3484.4403338931147
Billerica,-,8,748,1306,2077,4128.455546774671
Billerica,-,9,719,1102,1825,3627.554825644572
Billerica,-,10,760,1186,1952,3879.9928874839475
Billerica,-,11,640,1035,1686,3351.264348513286
Blackstone,-,1,605,777,1388,2883.998158379374
Blackstone,-,2,638,814,1457,3027.3669429097604
Blackstone,-,3,563,933,1499,3114.6348987108654
Blandford,-,1,263,399,667,1233.0
Bolton,-,1,1354,1717,3086,4897.0
Boston,1,1,604,251,863,2089.959736649139
Boston,1,2,423,184,621,1503.8991847730185
Boston,1,3,917,264,1194,2891.554954297881
Boston,1,4,264,113,388,939.6342732559278
Boston,1,5,440,235,691,1673.420832009913
Boston,1,6,384,183,573,1387.6557695248628
Boston,1,7,508,173,691,1673.420832009913
Boston,1,8,675,248,940,2276.4335486097225
Boston,1,9,413,164,585,1416.7166233369016
Boston,1,10,300,95,400,968.695127067967
Boston,1,11,545,361,914,2213.4683653503043
Boston,1,12,499,394,907,2196.516200626615
Boston,1,13,728,431,1171,2835.8549844914733
Boston,1,14,371,249,633,1532.9600385850576
Boston,1,15,19,2,21,50.85649417106826
Boston,2,1,717,693,1420,3438.867701091283
Boston,2,2,1049,604,1669,4041.880417691092
Boston,2,3,593,549,1151,2787.420228138075
Boston,2,4,538,386,936,2266.7465973390426
Boston,2,5,588,583,1179,2855.2288870328325
Boston,2,6,781,613,1414,3424.337274185263
Boston,2,7,512,444,961,2327.290042780791
Boston,3,1,1186,1164,2372,5744.362103513044
Boston,3,2,590,538,1137,2753.5158986906963
Boston,3,3,532,469,1010,2445.9551958466163
Boston,3,4,572,551,1136,2751.094160873026
Boston,3,5,1125,684,1817,4400.29761470624
Boston,3,6,1395,1050,2465,5969.583720556346
Boston,3,7,1832,631,2480,6005.909787821395
Boston,3,8,1631,749,2472,5986.535885280036
Boston,4,1,1044,404,1454,3521.20678689206
Boston,4,2,1271,708,1991,4821.6799949808055
Boston,4,3,720,228,955,2312.759615874771
Boston,4,4,1025,354,1390,3366.215566561185
Boston,4,5,770,323,1108,2683.2855019782687
Boston,4,6,650,242,913,2211.0466275326344
Boston,4,7,744,231,985,2385.4117504048686
Boston,4,8,718,252,989,2395.0987016755485
Boston,4,9,608,108,736,1782.3990338050592
Boston,4,10,414,128,553,1339.2210131714642
Boston,5,1,1980,644,2662,6446.66607063732
Boston,5,2,662,187,864,2092.381474466809
Boston,5,2A,425,186,620,1501.4774469553488
Boston,5,3,767,523,1293,3131.306998247203
Boston,5,4,995,564,1571,3804.55011155944
Boston,5,5,301,219,524,1268.9906164590366
Boston,5,6,678,663,1348,3264.5025782190487
Boston,5,7,890,691,1594,3860.2500813658485
Boston,5,8,815,575,1406,3404.963371643904
Boston,5,9,1137,738,1899,4598.880115755173
Boston,5,10,983,379,1386,3356.5286152905055
Boston,5,11,540,374,925,2240.1074813446735
Boston,6,1,1335,734,2088,5056.5885632947875
Boston,6,2,389,342,739,1789.664247258069
Boston,6,3,507,501,1015,2458.063884934966
Boston,6,4,511,570,1093,2646.9594347132197
