City/Town,Ward,Pct,Obama/ Biden,Romney/ Ryan,Total Votes Cast,pop by share of vote
Belchertown,-,A,1119,649,1828,3475.453861129137
Belchertown,-,B,1009,800,1852,3521.083452303699
Belchertown,-,C,1133,902,2073,3941.25593770279
Belchertown,-,D,1339,563,1952,3711.2067488643743
Bellingham,-,1,802,803,1637,3114.571761416589
Bellingham,-,2,949,897,1876,3569.295433364399
Bellingham,-,3,857,752,1645,3129.792637465051
Bellingham,-,4,691,759,1488,2831.0829450139795
Bellingham,-,4A,79,94,178,338.66449207828515
Bellingham,-,5,885,828,1760,3348.592730661696
Belmont,-,1,1238,576,1846,3172.3234190410008
Belmont,-,2,1092,867,1984,3409.4743571924946
Belmont,-,3,1163,511,1714,2945.4833912439194
Belmont,-,4,1093,428,1556,2673.9627519110495
Belmont,-,5,1154,543,1745,2998.756428075052
Belmont,-,6,1269,524,1842,3165.4494788047255
Belmont,-,7,1212,507,1764,3031.4076441973593
Belmont,-,8,1092,796,1939,3332.142529534399
Berkley,-,1,853,885,1782,3422.529059316956
Berkley,-,2,720,804,1556,2988.470940683044
Berlin,-,1,921,830,1814,2866.0
Bernardston,-,1,809,329,1181,2129.0
Beverly,1,1,939,683,1659,3117.688772597526
Beverly,1,2,1090,764,1900,3570.5899143672696
Beverly,2,1,1001,452,1532,2879.023025689819
Beverly,2,2,1165,598,1809,3399.577450047574
Beverly,3,1,830,420,1287,2418.6048525214082
Beverly,3,2,1042,617,1701,3196.61760228354
Beverly,4,1,629,459,1121,2106.648049476689
Beverly,4,2,1347,728,2128,3999.060704091342
Beverly,5,1,1084,811,1924,3615.6921027592766
Beverly,5,2,985,806,1830,3439.04186489058
Beverly,6,1,1035,944,2027,3809.2556612749763
Beverly,6,2,1011,1046,2102,3950.2000000000003
Billerica,-,1,1093,836,1974,3923.722315519115
Billerica,-,2,982,919,1939,3854.152770917712
Billerica,-,3,910,882,1826,3629.5425269188972
Billerica,-,4,770,751,1557,3094.850884125259
Billerica,-,5,960,1071,2074,4122.492442951694
Billerica,-,6,757,790,1583,3146.53111725773
Billerica,-,7,903,807,1753,3484.4403338931147
Billerica,-,8,929,1104,2077,4128.455546774671
Billerica,-,9,854,934,1825,3627.554825644572
Billerica,-,10,921,983,1952,3879.9928874839475
Billerica,-,11,760,882,1686,3351.264348513286
Blackstone,-,1,764,593,1388,2883.998158379374
Blackstone,-,2,771,658,1457,3027.3669429097604
Blackstone,-,3,687,777,1499,3114.6348987108654
Blandford,-,1,300,348,667,1233.0
Bolton,-,1,1554,1463,3086,4897.0
Boston,1,1,645,188,863,2089.959736649139
Boston,1,2,464,139,621,1503.8991847730185
Boston,1,3,959,205,1194,2891.554954297881
Boston,1,4,286,90,388,939.6342732559278
Boston,1,5,484,183,691,1673.420832009913
Boston,1,6,414,138,573,1387.6557695248628
Boston,1,7,547,128,691,1673.420832009913
Boston,1,8,731,186,940,2276.4335486097225
Boston,1,9,445,123,585,1416.7166233369016
Boston,1,10,315,77,400,968.695127067967
Boston,1,11,601,291,914,2213.4683653503043
Boston,1,12,557,328,907,2196.516200626615
Boston,1,13,814,338,1171,2835.8549844914733
Boston,1,14,421,195,633,1532.9600385850576
Boston,1,15,20,1,21,50.85649417106826
Boston,2,1,869,520,1420,3438.867701091283
Boston,2,2,1175,475,1669,4041.880417691092
Boston,2,3,702,430,1151,2787.420228138075
Boston,2,4,640,277,936,2266.7465973390426
Boston,2,5,705,449,1179,2855.2288870328325
Boston,2,6,919,456,1414,3424.337274185263
Boston,2,7,588,349,961,2327.290042780791
Boston,3,1,1382,941,2372,5744.362103513044
Boston,3,2,705,410,1137,2753.5158986906963
Boston,3,3,641,341,1010,2445.9551958466163
Boston,3,4,691,428,1136,2751.094160873026
Boston,3,5,1225,559,1817,4400.29761470624
Boston,3,6,1563,845,2465,5969.583720556346
Boston,3,7,2031,412,2480,6005.909787821395
Boston,3,8,1827,577,2472,5986.535885280036
Boston,4,1,1122,310,1454,3521.20678689206
Boston,4,2,1381,578,1991,4821.6799949808055
Boston,4,3,771,169,955,2312.759615874771
Boston,4,4,1116,242,1390,3366.215566561185
Boston,4,5,831,260,1108,2683.2855019782687
Boston,4,6,700,175,913,2211.0466275326344
Boston,4,7,782,168,985,2385.4117504048686
Boston,4,8,777,174,989,2395.0987016755485
Boston,4,9,650,57,736,1782.3990338050592
Boston,4,10,455,82,553,1339.2210131714642
Boston,5,1,2102,505,2662,6446.66607063732
Boston,5,2,699,129,864,2092.381474466809
Boston,5,2A,468,139,620,1501.4774469553488
Boston,5,3,833,435,1293,3131.306998247203
Boston,5,4,1126,408,1571,3804.55011155944
Boston,5,5,336,182,524,1268.9906164590366
Boston,5,6,755,557,1348,3264.5025782190487
Boston,5,7,1022,539,1594,3860.2500813658485
Boston,5,8,911,463,1406,3404.963371643904
Boston,5,9,1277,587,1899,4598.880115755173
Boston,5,10,1042,291,1386,3356.5286152905055
Boston,5,11,610,295,925,2240.1074813446735
Boston,6,1,1466,572,2088,5056.5885632947875
Boston,6,2,495,229,739,1789.664247258069
Boston,6,3,619,378,1015,2458.063884934966
Boston,6,4,637,430,1093,2646.9594347132197
Boston,6,5,606,437,1073,2598.5246783598213
Boston,6,6,575,488,1085,2627.5855321718605
Boston,6,7,497,475,997,2414.4726042169073
Boston,6,8,565,468,1065,2579.1507758184616
Boston,6,9,510,547,1074,2600.9464161774913
Boston,7,1,479,480,977,2366.0378478635093
Boston,7,2,646,565,1247,3019.907058634387
Boston,7,3,760,614,1399,3388.0112069202146
Boston,7,4,688,439,1164,2818.902819767784
Boston,7,5,554,286,866,2097.2249501021483
Boston,7,6,543,189,755,1828.4120523407878
Boston,7,7,560,83,656,1588.6600083914657
Boston,7,8,468,191,690,1670.9990941922429
Boston,7,9,562,158,741,1794.5077228934088
Boston,7,10,685,44,737,1784.8207716227291
Boston,8,1,618,62,686,1661.3121429215635
Boston,8,2,1150,199,1374,3327.4677614784664
Boston,8,3,725,32,765,1852.6294305174868
Boston,8,4,436,13,450,1089.7820179514629
Boston,8,5,837,37,877,2123.8640660965175
Boston,8,6,254,15,276,668.3996376768971
Boston,8,7,548,26,584,1414.2948855192317
Boston,9,1,1054,118,1185,2869.7593139388523
Boston,9,2,1154,217,1395,3378.3242556495347
Boston,9,3,1673,101,1806,4373.658498711871
Boston,9,4,1187,64,1268,3070.763552805455
Boston,9,5,1274,16,1305,3160.367852059242
Boston,10,1,541,53,605,1465.1513796903
Boston,10,2,580,77,679,1644.3599781978737
Boston,10,3,558,76,658,1593.5034840268056
Boston,10,4,923,147,1100,2663.911599436909
Boston,10,5,659,98,795,1925.2815650475843
Boston,10,6,674,38,733,1775.1338203520495
Boston,10,7,1016,33,1070,2591.2594649068114
Boston,10,8,951,107,1099,2661.489861619239
Boston,10,9,1241,132,1443,3494.5676708976907
Boston,11,1,593,22,629,1523.273087314378
Boston,11,2,980,23,1014,2455.642147117296
Boston,11,3,791,18,816,1976.1380592186524
Boston,11,4,1143,43,1225,2966.6288266456486
Boston,11,5,908,39,973,2356.3508965928295
Boston,11,6,757,53,863,2089.959736649139
Boston,11,7,1067,56,1166,2823.746295403124
Boston,11,8,1028,83,1153,2792.263703773415
Boston,11,9,625,57,725,1755.7599178106902
Boston,11,10,928,45,1035,2506.4986412883645
Boston,12,1,1074,10,1097,2656.646385983899
Boston,12,2,1406,13,1425,3450.9763901796323
Boston,12,3,713,16,734,1777.5555581697192
Boston,12,4,693,11,706,1709.7468992749616
Boston,12,5,553,5,559,1353.751440077484
Boston,12,6,552,12,571,1382.8122938895228
Boston,12,7,1406,26,1443,3494.5676708976907
Boston,12,8,496,9,512,1239.9297626469977
Boston,12,9,661,10,681,1649.2034538332139
Boston,13,1,894,17,915,2215.8901031679743
Boston,13,2,376,6,386,934.7907976205881
Boston,13,3,709,92,822,1990.668486124672
Boston,13,4,627,15,645,1562.0208923970968
Boston,13,5,553,35,604,1462.72964187263
Boston,13,6,787,101,903,2186.8292493559356
Boston,13,7,688,187,897,2172.298822449916
Boston,13,8,565,173,762,1845.364217064477
Boston,13,9,698,148,876,2121.4423282788475
Boston,13,10,843,350,1232,2983.580991369338
Boston,14,1,1348,36,1389,3363.7938287435154
