City/Town,Ward,Pct,Obama/ Biden,Romney/ Ryan,Total Votes Cast,pop by share of vote
Canton,-,5,1092,1021,2149,3715.3868174164063
Canton,-,6,1077,868,1991,3442.222035121482
Carlisle,-,1,1972,1318,3374,4852.0
Carver,-,1,931,1003,1967,3719.7178770949718
Carver,-,2,921,983,1942,3672.441340782123
Carver,-,3,1020,1125,2177,4116.840782122905
Charlemont,-,1,456,166,643,1266.0
Charlton,-,1,728,865,1641,3157.696560924993
Charlton,-,2,746,989,1767,3400.152238363474
Charlton,-,3,756,933,1733,3334.7276904832497
Charlton,-,4,684,875,1605,3088.4235102282837
Chatham,-,1,2293,2280,4654,6125.0
Chelmsford,-,1,1100,1096,2246,3860.8264849471116
Chelmsford,-,2,1045,852,1946,3345.1328315703827
Chelmsford,-,3,1011,1093,2162,3716.4322620016274
Chelmsford,-,4,957,966,1967,3381.2313873067533
Chelmsford,-,5,1065,1001,2131,3663.1439178193655
Chelmsford,-,6,1171,1178,2385,4099.7645443449965
Chelmsford,-,7,1149,1213,2396,4118.673311635476
Chelmsford,-,8,1125,1079,2264,3891.768104149715
Chelmsford,-,9,1028,1095,2167,3725.027156224573
Chelsea,1,1,410,93,515,2096.04940414208
Chelsea,1,2,255,36,305,1241.349647113271
Chelsea,1,3,367,57,437,1778.5894943885226
Chelsea,1,4,295,26,330,1343.0996181881292
Chelsea,2,1,766,255,1059,4310.128774730996
Chelsea,2,2,368,45,440,1790.7994909175054
Chelsea,2,3,248,30,289,1176.2296656253613
Chelsea,2,4,371,39,423,1721.609510586602
Chelsea,3,1,448,58,527,2144.889390258012
Chelsea,3,2,478,90,583,2372.809325465695
Chelsea,3,3,429,91,545,2218.14936943191
Chelsea,3,4,421,110,546,2222.2193682749044
Chelsea,4,1,422,115,559,2275.129353233831
Chelsea,4,2,567,196,807,3284.489066296425
Chelsea,4,3,491,164,673,2739.109221335185
Chelsea,4,4,466,110,605,2462.3493000115704
Cheshire,-,1,1219,493,1761,3235.0
Chester,-,1,331,305,667,1337.0
Chesterfield,-,1,455,228,723,1222.0
Chicopee,1,A,807,529,1377,3281.5611963454576
Chicopee,1,B,1029,666,1743,4153.784433718324
Chicopee,2,A,706,246,971,2314.0130149974143
Chicopee,2,B,860,546,1439,3429.3148595069815
Chicopee,3,A,771,363,1172,2793.0208584726774
Chicopee,3,B,681,290,994,2368.824857783141
Chicopee,4,A,751,442,1239,2952.690139631098
Chicopee,4,B,796,417,1240,2955.0732632304776
Chicopee,5,A,792,450,1269,3024.1838476124803
Chicopee,5,B,803,411,1256,2993.203240820548
Chicopee,6,AN,225,164,401,955.6325633511462
Chicopee,6,AS,466,350,835,1989.9082054818134
Chicopee,6,BE,699,671,1396,3326.840544733667
Chicopee,6,BW,160,104,274,652.9758662299604
Chicopee,7,A,686,261,987,2352.142992587485
Chicopee,7,B,677,305,1019,2428.4029477676263
Chicopee,8,A,835,495,1380,3288.710567143596
Chicopee,8,B,756,439,1241,2957.456386829857
Chicopee,9,A,819,478,1333,3176.703757972763
Chicopee,9,B,983,614,1638,3903.5564557834855
Chilmark,-,1,589,127,738,866.0
Clarksburg,-,1,616,232,865,1702.0
Clinton,-,1,962,725,1725,3574.527870849832
Clinton,-,2,912,614,1577,3267.843740481267
Clinton,-,3,908,706,1654,3427.402375875723
Clinton,-,4,986,576,1610,3336.226012793177
Cohasset,-,1,1098,1382,2512,3852.2781618544127
Cohasset,-,2,1152,1219,2406,3689.7218381455878
Colrain,-,1,618,232,893,1671.0
Concord,-,1,1413,691,2137,3415.3338760741744
Concord,-,2,1717,701,2462,3934.745906829489
Concord,-,3,1572,818,2433,3888.398371777476
Concord,-,4,1601,774,2436,3893.1929443690638
Concord,-,5,1013,543,1587,2536.328900949796
Conway,-,1,926,288,1260,1897.0
Cummington,-,1,368,139,538,872.0
Dalton,-,1,1235,421,1699,3359.2168568920106
Dalton,-,2,1209,470,1718,3396.7831431079894
Danvers,-,1,1025,768,1824,3301.218199207542
Danvers,-,2,964,853,1836,3322.936739991802
Danvers,-,3,851,781,1675,3031.5463178029786
Danvers,-,4,889,921,1853,3353.7046727695038
Danvers,-,5,1038,965,2047,3704.8210821150433
Danvers,-,6,934,1040,1998,3616.137040579314
Danvers,-,7,893,902,1838,3326.5564967891787
Danvers,-,8,773,767,1567,2836.079450744637
Dartmouth,-,1,1062,843,1945,4086.192974874992
Dartmouth,-,2,784,505,1312,2756.3419964195323
Dartmouth,-,3,664,120,803,1686.9989505525034
Dartmouth,-,4,1189,603,1825,3834.0885239829618
Dartmouth,-,5,1182,796,2016,4235.35477498611
Dartmouth,-,6,1124,488,1655,3476.940551885919
Dartmouth,-,7,1088,825,1955,4107.201679115995
Dartmouth,-,8,1390,854,2289,4808.89240076548
Dartmouth,-,9,1397,951,2399,5039.988147416508
Dedham,-,1,1186,831,2052,3686.1766671509513
Dedham,-,2,1185,779,2008,3607.135841929391
Dedham,-,3,1074,636,1763,3167.0221560366117
Dedham,-,4,1047,801,1877,3371.809748656109
Dedham,-,5,1063,872,1967,3533.484163882028
Dedham,-,6,1192,834,2077,3731.086226935929
Dedham,-,7,1010,981,2022,3632.285195408979
Deerfield,-,1,2104,839,3036,5125.0
Dennis,-,1,990,973,1993,3037.390152327827
Dennis,-,2,1092,1004,2130,3246.182149753272
Dennis,-,3,916,670,1624,2475.023385539584
Dennis,-,4,996,855,1881,2866.6988843595796
Dennis,-,5,927,745,1694,2581.7054280197385
Dighton,-,1,868,928,1846,3548.7672273467174
Dighton,-,2,875,915,1840,3537.2327726532826
Douglas,-,1,617,903,1562,2911.90625
Douglas,-,2,653,896,1586,2956.6474471830984
Douglas,-,3,627,743,1396,2602.4463028169016
Dover,-,1,1534,2004,3593,5589.0
Dracut,-,1,689,648,1358,2611.306612703179
Dracut,-,2,675,717,1440,2768.984920686729
Dracut,-,3,808,934,1782,3426.6188393498273
Dracut,-,4,776,1125,1937,3724.669299562635
Dracut,-,5,719,883,1635,3143.9516286963903
Dracut,-,6,814,840,1689,3247.788563222143
Dracut,-,6A,35,30,69,132.68052744957242
Dracut,-,7,715,772,1524,2930.5090410601215
Dracut,-,8,892,1197,2131,4097.713101377374
Dracut,-,9,818,896,1754,3372.7774658920293
Dudley,-,1,966,999,1989,4426.4771395076195
Dudley,-,2,815,792,1642,3654.236029699101
Dudley,-,3,690,758,1487,3309.286830793279
Dunstable,-,1,821,1036,1901,3179.0
Duxbury,-,1,766,922,1709,2653.4520053613774
Duxbury,-,2,686,1008,1714,2661.215176822353
Duxbury,-,3,678,820,1512,2347.583049798948
Duxbury,-,4,696,860,1586,2462.4779874213837
Duxbury,-,5,720,840,1580,2453.162181668213
Duxbury,-,6,701,875,1598,2481.1095989277246
E. Bridgewater,-,1,825,926,1782,3337.0768395329897
E. Bridgewater,-,2,822,983,1846,3456.9269617159925
E. Bridgewater,-,3,915,1051,2000,3745.316318218843
E. Bridgewater,-,4,787,918,1738,3254.679880532175
E. Brookfield,-,1,470,663,1157,2183.0
E. Longmeadow,-,1,1064,1093,2201,3949.739726027397
E. Longmeadow,-,2,1060,962,2049,3676.972602739726
E. Longmeadow,-,3,1006,1117,2167,3888.72602739726
E. Longmeadow,-,4,962,1356,2343,4204.561643835616
Eastham,-,1,2188,1446,3702,4956.0
Easthampton,-,1,1224,512,1788,3161.44553364908
Easthampton,-,2,1258,384,1707,3018.225685648199
Easthampton,-,3,1202,354,1659,2933.3546646106397
Easthampton,-,4,1383,497,1952,3451.4215221940744
Easthampton,-,5,1216,716,1973,3488.5525938980063
Easton,-,1,15,487,1145,2178.7617322575334
Easton,-,2,1085,1124,2243,4268.089576815412
Easton,-,3,1003,987,2023,3849.4628684340523
Easton,-,4,1028,1179,2251,4283.312366211098
Easton,-,5,1147,1133,2318,4410.803227399967
Easton,-,6,984,1150,2166,4121.570228881937
Edgartown,-,1,1701,827,2584,4067.0
Egremont,-,1,677,152,844,1225.0
Erving,-,1,557,200,778,1800.0
Essex,-,1,1163,966,2180,3504.0
Everett,1,1,726,287,1036,3260.1021070916095
Everett,1,2,670,245,931,2929.6863529944867
Everett,2,1,768,269,1051,3307.304357676913
Everett,2,2,682,246,943,2967.4481534627294
Everett,3,1,917,355,1299,4087.7149006872596
Everett,3,2,880,319,1218,3832.822747526622
Everett,4,1,810,379,1210,3807.6482138811266
Everett,4,2,789,284,1099,3458.351559549883
Everett,5,1,812,328,1160,3650.3073785967827
Everett,5,2,827,293,1143,3596.811494600106
Everett,6,1,748,305,1078,3392.2684087304583
Everett,6,2,780,279,1073,3376.534325202024
Fairhaven,-,1,843,576,1466,2806.6358702207212
Fairhaven,-,2,884,490,1411,2701.3391629477746
Fairhaven,-,3,706,379,1111,2126.9934869135204
Fairhaven,-,4,876,509,1425,2728.1419611627066
Fairhaven,-,5,882,582,1502,2875.5573513448317
Fairhaven,-,6,820,520,1376,2634.3321674104454
Fall River,1,A,1042,444,1541,4526.117641225664
Fall River,1,B,840,270,1136,3336.57990943047
Fall River,1,C,844,317,1199,3521.6191121541665
Fall River,2,A,678,154,863,2534.74336429445
Fall River,2,B,644,160,826,2426.0695468218028
Fall River,2,C,736,241,1017,2987.06141539682
Fall River,3,A,905,278,1218,3577.4245859914718
Fall River,3,B,892,271,1196,3512.8077215482763
Fall River,3,C,839,304,1171,3439.37946649919
Fall River,4,A,658,195,896,2631.6686609592434
Fall River,4,B,730,137,899,2640.480051565134
Fall River,4,C,811,110,997,2928.3188113575516
Fall River,5,A,561,90,665,1953.1915843056886
Fall River,5,B,444,74,535,1571.3646580504414
Fall River,5,B1,101,13,121,355.3927544375764
Fall River,5,C,656,134,804,2361.4526823786073
Fall River,6,A,905,372,1306,3835.892043764255
Fall River,6,B,742,191,965,2834.3306448947214
Fall River,6,C,794,280,1111,3263.151654381384
Fall River,6,C1,19,5,25,73.42825504908605
Fall River,7,A,814,359,1209,3550.990414173801
Fall River,7,B,621,223,873,2564.1146663140844
Fall River,7,C,802,186,1019,2992.935675800747
Fall River,8,A,724,234,1005,2951.8158529732586
Fall River,8,B,1130,469,1619,4755.213796978812
Fall River,8,C,1110,500,1664,4887.384656067167
Fall River,9,A,1214,651,1914,5621.667206558028
Fall River,9,B,786,348,1172,3442.3165967011537
Fall River,9,C,836,380,1287,3780.0865699269493
Falmouth,-,1,1703,686,2445,3924.721020210762
Falmouth,-,2,1301,775,2117,3398.2144784401567
Falmouth,-,3,1152,914,2096,3364.505218143868
Falmouth,-,4,1171,963,2168,3480.079824874001
Falmouth,-,5,1244,1126,2424,3891.0117599144737
Falmouth,-,6,1310,952,2301,3693.5718067504963
Falmouth,-,7,1095,924,2059,3305.11271190755
Falmouth,-,8,1049,1025,2104,3377.346841113883
Falmouth,-,9,1102,798,1929,3096.43633864481
Fitchburg,1,A,658,349,1038,2875.701504844362
Fitchburg,1,B,693,432,1167,3233.0863739435167
Fitchburg,2,A,583,246,846,2343.7798392084105
Fitchburg,2,B,812,599,1455,4030.9688723974436
Fitchburg,3,A,963,918,1920,5319.216656359514
Fitchburg,3,B,733,526,1290,3573.848690991548
Fitchburg,4,A,415,295,739,2047.3443276300418
Fitchburg,4,B,652,261,948,2626.3632240775096
Fitchburg,5,A,854,867,1763,4884.25987768845
Fitchburg,5,B,624,206,857,2374.2545179688036
Fitchburg,6,A,880,596,1517,4202.735243592387
Fitchburg,6,B,680,307,1013,2806.440871298014
Florida,-,1,255,127,393,752.0
Foxborough,-,1,943,795,1778,3065.109884493509
Foxborough,-,2,1030,1065,2132,3675.373607277931
Foxborough,-,3,969,1009,2029,3497.8109986711643
Foxborough,-,4,999,986,2012,3468.5045487069406
Foxborough,-,5,846,962,1832,3158.2009608504545
Framingham,-,1,1413,878,2336,5686.877668103909
Framingham,-,2,1413,820,2281,5552.982859993585
Framingham,-,3,1196,602,1842,4484.258846167551
Framingham,-,4,1361,826,2230,5428.825856109468
Framingham,-,5,1326,733,2105,5124.519474040551
Framingham,-,6,1345,773,2155,5246.242026868119
Framingham,-,7,1171,654,1855,4515.906709902719
Framingham,-,8,1328,540,1900,4625.457007447529
Framingham,-,9,924,450,1396,3398.493674945658
Framingham,-,10,752,290,1071,2607.2970815664758
Framingham,-,11,1389,857,2300,5599.237430068061
Framingham,-,12,685,321,1036,2522.091294587179
Framingham,-,13,1020,395,1447,3522.6506788297756
Framingham,-,14,720,200,944,2298.1217973844564
Framingham,-,15,760,234,1016,2473.402273456152
Framingham,-,16,452,118,586,1426.5883191390799
Framingham,-,17,583,62,651,1584.8276378149162
Framingham,-,18,661,225,912,2220.219363574814
Franklin,-,1,1068,996,2104,3793.4594779436907
Franklin,-,2,988,922,1962,3537.437022683233
Franklin,-,3,1127,984,2155,3885.4112048330103
Franklin,-,4,1041,1251,2339,4217.158611649379
Franklin,-,5,1163,1105,2308,4161.26638550097
Franklin,-,6,1103,854,2008,3620.3738743873246
Franklin,-,7,1128,1258,2427,4375.820414909381
Franklin,-,8,998,1196,2243,4044.0730080930125
Freetown,-,1,728,798,1565,2952.8930014890448
Freetown,-,2,851,687,1583,2986.855988087641
Freetown,-,3,739,762,1553,2930.2510104233143
Gardner,1,A,607,462,1094,2672.9595361758666
Gardner,1,B,204,214,431,1053.0580988042034
Gardner,2,A,536,334,889,2172.0850344244473
Gardner,2,B,526,452,1013,2475.053025727745
Gardner,3,A,471,262,762,1861.7871723638123
Gardner,3,B,581,388,999,2440.846962193502
Gardner,4,A,485,306,820,2003.4980070056772
Gardner,4,B,358,181,548,1338.9230583403794
Gardner,5,A,399,277,703,1717.633047469501
Gardner,5,B,532,455,1020,2492.156057494866
Georgetown,-,1,872,937,1832,3030.3731554477463
Georgetown,-,2,719,853,1615,2671.426116838488
Georgetown,-,3,682,789,1500,2481.200727713766
Gill,-,1,653,213,900,1500.0
Gloucester,1,1,1140,669,1845,3385.537956530053
Gloucester,1,2,948,536,1518,2785.4995219580596
Gloucester,2,1,770,371,1177,2159.7713684747278
Gloucester,2,2,835,311,1176,2157.936388552489
Gloucester,3,1,880,399,1304,2392.8138185990188
Gloucester,3,2,862,484,1381,2534.107272611384
Gloucester,4,1,998,623,1659,3044.23169099369
Gloucester,4,2,1292,624,1975,3624.085346421059
Gloucester,5,1,1038,759,1828,3354.343297851998
Gloucester,5,2,1017,759,1826,3350.673338007521
Goshen,-,1,395,198,616,1054.0
Gosnold,-,1,49,36,87,75.0
Grafton,-,1,983,892,1927,3592.1463798530954
Grafton,-,2,1002,925,1972,3676.0314795383
Grafton,-,3,944,875,1849,3446.745540398741
Grafton,-,4,846,725,1619,3017.9994753410283
Grafton,-,5,1102,1021,2163,4032.077124868835
Granby,-,1,1043,777,1871,3306.4401019541206
Granby,-,2,827,798,1660,2933.5598980458794
Granville,-,1,377,502,900,1566.0
Great Barrington,-,A,789,157,969,1901.070422535211
Great Barrington,-,B,751,169,944,1852.0231980115989
Great Barrington,-,C,599,93,718,1408.6362883181441
Great Barrington,-,D,789,178,990,1942.2700911350455
Greenfield,-,1,625,230,894,1841.5935803634648
Greenfield,-,2,792,350,1182,2434.8586263865946
Greenfield,-,3,684,201,928,1911.6318149634176
Greenfield,-,4,790,240,1066,2195.9046495161674
Greenfield,-,5,811,185,1050,2162.94548029266
Greenfield,-,6,741,146,948,1952.8307764928015
Greenfield,-,7,565,211,825,1699.4571630870898
Greenfield,-,8,623,125,789,1625.2990323341985
Greenfield,-,9,556,207,792,1631.4788765636063
Groton,-,1,1143,958,2242,3751.702609242376
Groton,-,2,1034,969,2081,3482.2895315938385
Groton,-,3,1052,887,2039,3412.0078591637853
Groveland,-,1,908,1038,1990,3211.7466266866563
Groveland,-,2,924,1046,2012,3247.253373313343
Hadley,-,1,2142,891,3130,5250.0
Halifax,-,1,975,1056,2075,3801.133040935673
Halifax,-,2,963,1015,2029,3716.8669590643276
Hamilton,-,1,828,785,1668,2859.428571428571
Hamilton,-,2,752,853,1635,2802.8571428571427
Hamilton,-,3,609,585,1226,2101.714285714286
Hampden,-,1,1286,1569,2918,5139.0
Hancock,-,1,228,142,383,717.0
Hanover,-,1,794,1208,2028,3352.3835159599807
Hanover,-,2,902,1223,2156,3563.9737970462124
Hanover,-,3,911,1153,2107,3482.9743925678895
Hanover,-,4,752,1327,2105,3479.6682944259173
Hanson,-,1,758,1030,1817,3297.7338666666665
Hanson,-,2,945,1054,2037,3697.0191999999997
Hanson,-,3,810,919,1771,3214.2469333333333
Hardwick,-,1,710,560,1322,2990.0
Harvard,-,1,2167,1362,3642,6520.0
Harwich,-,1,1165,942,2148,3205.1144424131626
Harwich,-,2,1121,929,2086,3112.601828153565
Harwich,-,3,1080,970,2091,3120.0625228519193
Harwich,-,4,1049,781,1880,2805.221206581353
Hatfield,-,1,1362,638,2049,3279.0
Haverhill,1,1,613,219,857,1855.1826974362623
Haverhill,1,2,804,360,1190,2576.0413184937597
Haverhill,1,3,714,401,1142,2472.1337695124985
Haverhill,2,1,661,445,1142,2472.1337695124985
Haverhill,2,2,667,592,1288,2788.185897663834
Haverhill,2,3,571,249,840,1818.3821071720656
Haverhill,3,1,599,112,730,1580.2606407566761
Haverhill,3,2,657,306,990,2143.093197738506
Haverhill,3,3,729,355,1109,2400.6973295878815
Haverhill,4,1,762,777,1578,3415.9606727589517
Haverhill,4,2,818,855,1710,3701.706432457419
Haverhill,4,3,824,756,1608,3480.90289087224
Haverhill,5,1,853,605,1496,3238.451943249298
Haverhill,5,2,778,801,1610,3485.232372079792
Haverhill,5,3,773,1009,1804,3905.1920492123886
Haverhill,6,1,754,566,1351,2924.564555701739
Haverhill,6,2,858,568,1465,3171.3449845322334
Haverhill,6,3,852,728,1617,3500.385556306226
Haverhill,7,1,783,712,1532,3316.3826049852432
Haverhill,7,2,761,587,1380,2987.3420332112505
Haverhill,7,3,761,891,1684,3645.4231767592364
Hawley,-,1,127,65,201,337.0
Heath,-,1,295,124,435,706.0
Hingham,-,1,1110,1003,2152,3345.8609220405588
Hingham,-,2,1139,1213,2388,3712.786190442776
Hingham,-,3,1164,1177,2373,3689.464669146025
Hingham,-,4,1021,1301,2355,3661.478843589923
Hingham,-,5,716,951,1685,2619.7842256683743
Hingham,-,5A,604,404,1010,1570.3157673145745
Hingham,-,6,1049,1200,2288,3557.3093817977688
Hinsdale,-,1,728,297,1067,2032.0
Holbrook,-,1,794,560,1384,2692.8856833754057
Holbrook,-,2,748,662,1439,2799.90064911648
Holbrook,-,3,722,655,1411,2745.420302921024
Holbrook,-,4,760,526,1312,2552.79336458709
Holden,-,1,978,1090,2125,3474.432085964747
Holden,-,2,1038,1012,2091,3418.8411725893106
Holden,-,3,984,1001,2031,3320.7395607503063
Holden,-,4,985,1067,2086,3410.666038269394
Holden,-,5,1095,1145,2276,3721.3211424262417
Holland,-,1,593,690,1334,2481.0
Holliston,-,1,1204,1040,2299,3736.150791746641
Holliston,-,2,1257,857,2162,3513.5093570057584
Holliston,-,3,1142,752,1927,3131.606166026871
Holliston,-,4,1034,862,1948,3165.733685220729
Holyoke,1,A,879,36,924,2223.7113028785225
Holyoke,1,B,803,80,900,2165.952567738821
Holyoke,2,A,780,124,921,2216.4914609860602
Holyoke,2,B,684,45,739,1778.4877195099873
Holyoke,3,A,1055,213,1300,3128.598153400519
Holyoke,3,B,974,447,1455,3501.623317844427
Holyoke,4,A,665,68,746,1795.334017259067
Holyoke,4,B,845,148,1015,2442.7131736165593
Holyoke,5,A,1034,734,1810,4355.971275119185
Holyoke,5,B,958,312,1290,3104.5320137589765
Holyoke,6,A,897,241,1159,2789.2655844547708
Holyoke,6,B,949,260,1254,3017.893911049424
Holyoke,7,A,954,588,1592,3831.329430933559
Holyoke,7,B,1059,360,1466,3528.0960714501234
Hopedale,-,1,1701,1536,3314,5911.0
Hopkinton,-,1,1059,1065,2158,3700.810065494657
Hopkinton,-,2,1065,1081,2193,3760.832471561531
Hopkinton,-,3,1058,1093,2185,3747.113064460531
Hopkinton,-,4,1026,1097,2167,3716.2443984832817
Hubbardston,-,1,1160,1381,2631,4382.0
Hudson,-,1,899,592,1526,2885.9263888888886
Hudson,-,2,708,521,1263,2388.548511904762
Hudson,-,3,845,745,1633,3088.281646825397
Hudson,-,4,862,753,1662,3143.1255952380952
Hudson,-,5,891,726,1649,3118.540376984127
Hudson,-,6,680,410,1121,2120.0022817460317
Hudson,-,7,757,438,1226,2318.5751984126982
Hull,-,1,1282,793,2120,3570.8001963672064
Hull,-,2,1105,753,1889,3181.7177221404027
Hull,-,3,1197,872,2102,3540.482081492391
Huntington,-,1,554,479,1113,2180.0
Ipswich,-,1,1214,771,2028,3175.9063354332584
Ipswich,-,2,1318,936,2308,3614.394389635089
Ipswich,-,3,885,1138,2066,3235.4154285035065
Ipswich,-,4,1047,913,2011,3149.2838464281467
Kingston,-,1,853,799,1680,3028.3642592063948
Kingston,-,2,761,1057,1848,3331.200685127034
Kingston,-,3,751,1027,1804,3251.8863831001995
Kingston,-,4,814,843,1674,3017.548672566372
Lakeville,-,1,823,1003,1890,3395.658362989324
Lakeville,-,2,782,1141,1962,3525.016776817489
Lakeville,-,3,817,1168,2049,3681.3248601931878
Lancaster,-,1,829,950,1827,3931.7352391130107
Lancaster,-,2,899,965,1916,4123.264760886989
Lanesborough,-,1,1144,430,1612,3091.0
Lawrence,A,1,768,180,967,3349.2000272084165
Lawrence,A,2,670,56,735,2545.669100308362
Lawrence,A,3,650,196,861,2982.0695175040814
Lawrence,A,4,633,88,732,2535.2786141846545
Lawrence,B,1,889,98,998,3456.5683838200616
Lawrence,B,2,804,45,852,2950.8980591329587
Lawrence,B,3,849,71,928,3214.1237076002176
Lawrence,B,4,981,41,1041,3605.4986849265374
Lawrence,C,1,699,61,764,2646.1104661708687
Lawrence,C,2,804,212,1043,3612.425675675676
Lawrence,C,3,745,24,775,2684.20891529113
Lawrence,C,4,882,62,953,3300.7110919644474
Lawrence,D,1,793,168,975,3376.90799020497
Lawrence,D,2,794,40,848,2937.0440776346813
Lawrence,D,3,633,35,681,2358.6403500816255
Lawrence,D,4,688,46,741,2566.4500725557773
Lawrence,E,1,865,470,1356,4696.499727915835
Lawrence,E,2,796,457,1276,4419.420097950299
Lawrence,E,3,680,172,863,2988.99650825322
Lawrence,E,4,729,160,901,3120.6093324868493
Lawrence,F,1,767,451,1241,4298.197759840377
Lawrence,F,2,719,94,823,2850.456693270452
Lawrence,F,3,705,95,810,2805.431253401052
Lawrence,F,4,735,140,888,3075.5838926174497
Lee,-,1,2198,719,3000,5943.0
Leicester,-,1,721,746,1504,2948.8614834673817
Leicester,-,2,670,586,1298,2544.9615728328868
Leicester,-,3,677,696,1407,2758.6756032171584
Leicester,-,4,696,646,1386,2717.501340482574
Lenox,-,1,2318,675,3079,5025.0
Leominster,1,A,703,824,1562,3391.3363873648323
Leominster,1,B,758,721,1512,3282.778884568263
Leominster,1,C,590,462,1078,2340.4997602940393
Leominster,2,A,570,305,899,1951.8639002823204
Leominster,2,B,671,492,1185,2572.812816278698
Leominster,2,C,451,268,736,1597.9664411655035
Leominster,3,A,592,397,1013,2199.375006658499
Leominster,3,B,682,729,1442,3130.7983806530656
Leominster,3,C,769,754,1544,3352.255686358067
Leominster,4,A,726,849,1612,3499.893890161402
Leominster,4,B,650,790,1478,3208.959782666596
Leominster,4,C,577,424,1021,2216.74420710595
Leominster,5,A,651,482,1164,2527.218665104139
Leominster,5,B,791,677,1502,3261.067384008949
Leominster,5,C,611,378,1025,2225.4288073296757
Leverett,-,1,1004,183,1242,1851.0
Lexington,-,1,1204,525,1762,2999.958132219752
Lexington,-,2,1609,528,2197,3740.583437279679
Lexington,-,3,1294,471,1794,3054.4409132816313
Lexington,-,4,1514,609,2174,3701.423938391453
Lexington,-,5,1455,683,2189,3726.962742014209
Lexington,-,6,1417,685,2135,3635.0230489722867
Lexington,-,7,1477,589,2106,3585.6480286349583
Lexington,-,8,1425,555,2027,3451.143662888443
Lexington,-,9,1355,648,2055,3498.8160963175874
Leyden,-,1,339,115,463,711.0
Lincoln,-,1,1627,581,2246,3810.4138666666668
Lincoln,-,2,986,493,1504,2551.5861333333332
Littleton,-,1,985,823,1851,3035.898548061018
Littleton,-,2,1044,823,1917,3144.1477669546043
Littleton,-,3,910,717,1673,2743.9536849843776
Longmeadow,-,A,1061,866,1956,3243.6965749106957
Longmeadow,-,B,899,770,1702,2822.4803530153395
Longmeadow,-,C,997,971,1994,3306.7131750367726
Longmeadow,-,D,933,1049,2007,3328.27148560622
Longmeadow,-,E,970,874,1859,3082.838411430973
Lowell,1,1,710,200,928,2888.1444515865132
Lowell,1,2,1033,920,1979,6159.092531993221
Lowell,1,3,978,744,1766,5496.188686963128
Lowell,2,1,518,132,675,2100.751621574242
Lowell,2,2,818,98,928,2888.1444515865132
Lowell,2,3,850,229,1120,3485.691579500964
Lowell,3,1,618,275,919,2860.1344299655234
Lowell,3,2,544,169,737,2293.7095482966165
Lowell,3,3,576,200,789,2455.545228773447
Lowell,4,1,754,286,1066,3317.631449775025
Lowell,4,2,526,143,676,2103.863846198796
Lowell,4,3,623,156,796,2477.330801145328
Lowell,5,1,610,383,1012,3149.5713200490854
Lowell,5,2,583,215,824,2564.4730906328523
Lowell,5,3,671,455,1157,3600.8438906094784
Lowell,6,1,721,506,1265,3936.9641500613566
Lowell,6,2,919,558,1500,4668.336936831649
Lowell,6,3,831,500,1367,4254.411061765909
Lowell,7,1,538,203,771,2399.5251855314673
Lowell,7,2,675,113,804,2502.2285981417635
Lowell,7,3,449,144,611,1901.5692456027582
Lowell,8,1,647,243,903,2810.3388359726523
Lowell,8,2,697,357,1076,3348.753696020569
Lowell,8,3,993,627,1659,5163.180652135803
Lowell,9,1,674,327,1031,3208.7035879156197
Lowell,9,2,794,448,1275,3968.0863963069014
Lowell,9,3,636,358,1025,3190.030240168293
Lowell,10,1,713,286,1021,3177.5813416700753
Lowell,10,2,506,101,616,1917.1303687255304
Lowell,10,3,457,112,580,1805.0902822415708
Lowell,11,1,646,284,951,2959.725617951265
Lowell,11,2,699,485,1224,3809.362940454625
Lowell,11,3,764,386,1175,3656.8639338514577
Ludlow,-,1,1017,696,1754,3805.7435739255607
Ludlow,-,2,742,491,1256,2725.2074850915074
Ludlow,-,3,851,923,1809,3925.079888957434
Ludlow,-,4,999,655,1681,3647.3517376105283
Ludlow,-,5,648,589,1263,2740.3957433682913
Ludlow,-,6,983,941,1963,4259.221571046679
Lunenburg,-,A,701,843,1589,2694.4609952925352
Lunenburg,-,B,682,626,1341,2273.928379287155
Lunenburg,-,C,678,822,1543,2616.458977807666
Lunenburg,-,D,690,749,1475,2501.1516476126426
Lynn,1,1,968,841,1834,5135.734445236692
Lynn,1,2,1094,793,1928,5398.961837740646
Lynn,1,3,1006,593,1634,4575.676163313389
Lynn,1,4,966,516,1516,4245.241776978641
Lynn,2,1,1139,695,1868,5230.944353163654
Lynn,2,2,879,241,1132,3169.929875685898
Lynn,2,3,701,111,822,2301.839538704777
Lynn,2,4,681,163,855,2394.249155222122
Lynn,3,1,949,371,1349,3777.5931115726817
Lynn,3,2,887,244,1154,3231.536286697461
Lynn,3,3,807,227,1066,2985.1106426512074
Lynn,3,4,907,274,1210,3388.3526056359856
Lynn,4,1,563,82,650,1820.189416250736
Lynn,4,2,624,89,729,2041.4124376104412
Lynn,4,3,846,158,1022,2861.897820628081
Lynn,4,4,906,287,1228,3438.757851009083
Lynn,5,1,784,295,1096,3069.119384939703
Lynn,5,2,529,77,618,1730.5800911430078
Lynn,5,3,567,64,639,1789.3862107449545
Lynn,5,4,1004,312,1342,3757.9910717053663
Lynn,6,1,692,215,938,2626.6733422202933
Lynn,6,2,492,86,590,1652.1719316737451
Lynn,6,3,761,186,966,2705.081501689556
Lynn,6,4,661,139,813,2276.6369160182285
Lynn,7,1,1105,488,1618,4530.871500759525
