City/Town,Ward,Pct,Clinton/ Kaine,Trump/ Pence,Total Votes Cast,pop by share of vote,turnout,new_r_share,new_d_votes,new_r_votes
Abington,-,1,818,717,1709,3065.346162477558,0.5575226775101658,0.361522992855898,1091.1572052092702,617.8427947907297
Abington,-,2,739,785,1671,2997.1875,0.5575226775101658,0.30588325319370724,1159.8690839133153,511.1309160866848
Abington,-,3,773,808,1726,3095.8381956912026,0.5575226775101658,0.4359741480432679,973.5086204773195,752.4913795226804
Abington,-,4,877,878,1919,3442.012455116697,0.5575226775101657,0.31023231102964133,1323.6641951341182,595.3358048658818
Abington,-,5,908,829,1887,3384.6156867145423,0.5575226775101657,0.2143521779165247,1482.517440271518,404.4825597284821
Acton,-,1,1459,438,2084,3523.5301920259117,0.5914522897281519,0.22536110805966328,1614.3474508036618,469.65254919633827
Acton,-,2,1550,480,2228,3766.998688979718,0.5914522897281518,0.26089228169067025,1646.7319963931866,581.2680036068133
Acton,-,3,1580,435,2235,3778.8339631371946,0.5914522897281518,0.3273727072057988,1503.3219993950397,731.6780006049603
Acton,-,4,1675,414,2312,3909.0219788694376,0.5914522897281518,0.38096191608056945,1431.2160500217233,880.7839499782766
Acton,-,5,1580,387,2167,3663.8627284645636,0.5914522897281519,0.41547702299609635,1266.6612911674592,900.3387088325408
Acton,-,6,1354,401,1941,3281.752448523174,0.5914522897281519,0.32262810451690505,1314.7788491326874,626.2211508673126
Acushnet,-,1,783,786,1702,3091.6265867418897,0.5505192662331361,0.1439385966806931,1457.0165084494604,244.98349155053964
Acushnet,-,2,756,1043,1958,3556.642101551481,0.550519266233136,0.34898746249314155,1274.682548438429,683.3174515615711
Acushnet,-,3,862,1005,2012,3654.731311706629,0.550519266233136,0.26390174064826366,1481.0296978156935,530.9703021843064
Adams,-,1,439,255,767,1595.0968137254902,0.4808485562757808,0.45521963593231435,417.8465392399149,349.1534607600851
Adams,-,2,476,270,829,1724.0355392156862,0.4808485562757808,0.35154151177080906,537.5720867419993,291.42791325800073
