City/Town,Ward,Pct,Clinton/ Kaine,Trump/ Pence,Total Votes Cast,pop by share of vote,turnout,new_r_share,new_d_votes,new_r_votes
Abington,-,1,818,717,1709,3065.346162477558,0.5575226775101658,0.5377346964927276,790.0114036939284,918.9885963060716
Abington,-,2,739,785,1671,2997.1875,0.5575226775101658,0.5822750443031282,698.0184009694729,972.9815990305271
Abington,-,3,773,808,1726,3095.8381956912026,0.5575226775101658,0.021443063027842935,1688.989273213943,37.01072678605691
Abington,-,4,877,878,1919,3442.012455116697,0.5575226775101657,0.355892308224267,1236.0426605176317,682.9573394823683
Abington,-,5,908,829,1887,3384.6156867145423,0.5575226775101657,0.39056089625711543,1150.0115887628233,736.9884112371768
Acton,-,1,1459,438,2084,3523.5301920259117,0.5914522897281519,0.5148940515068171,1010.9607966597931,1073.0392033402068
Acton,-,2,1550,480,2228,3766.998688979718,0.5914522897281518,0.18673983155578727,1811.943655293706,416.05634470629406
Acton,-,3,1580,435,2235,3778.8339631371946,0.5914522897281518,0.4019977480934315,1336.5350330111808,898.4649669888194
Acton,-,4,1675,414,2312,3909.0219788694376,0.5914522897281518,0.36540117503565117,1467.1924833175744,844.8075166824256
Acton,-,5,1580,387,2167,3663.8627284645636,0.5914522897281519,0.012530484898907623,2139.846439224067,27.15356077593282
Acton,-,6,1354,401,1941,3281.752448523174,0.5914522897281519,0.5696145909324322,835.3780790001492,1105.6219209998508
Acushnet,-,1,783,786,1702,3091.6265867418897,0.5505192662331361,0.32879065945345964,1142.3982976102118,559.6017023897883
Acushnet,-,2,756,1043,1958,3556.642101551481,0.550519266233136,0.5255646372516547,928.9444402612601,1029.05555973874
Acushnet,-,3,862,1005,2012,3654.731311706629,0.550519266233136,0.25435273739145065,1500.2422923684012,511.7577076315987
Adams,-,1,439,255,767,1595.0968137254902,0.4808485562757808,0.2678759972846717,561.5391100826567,205.4608899173432
Adams,-,2,476,270,829,1724.0355392156862,0.4808485562757808,0.25647033442137973,616.3860927646763,212.6139072353238
Adams,-,3,475,268,819,1703.2389705882354,0.48084855627578077,0.3885752987145821,500.7568303527573,318.2431696472427
