City/Town,Ward,Pct,Clinton/ Kaine,Trump/ Pence,Total Votes Cast,pop by share of vote,turnout,new_r_share,new_d_votes,new_r_votes
Abington,-,1,818,717,1709,3065.346162477558,0.5575226775101658,0.3371766823243063,1132.7650499077606,576.2349500922395
Abington,-,2,739,785,1671,2997.1875,0.5575226775101658,0.3699265247081642,1052.8527772126577,618.1472227873423
Abington,-,3,773,808,1726,3095.8381956912026,0.5575226775101658,0.3890601464325127,1054.482187257483,671.5178127425169
Abington,-,4,877,878,1919,3442.012455116697,0.5575226775101657,0.41568547915256204,1121.2995655062334,797.7004344937666
Abington,-,5,908,829,1887,3384.6156867145423,0.5575226775101657,0.1713202109119536,1563.7187620091436,323.2812379908564
Acton,-,1,1459,438,2084,3523.5301920259117,0.5914522897281519,0.4247752724260394,1198.768332264134,885.2316677358662
Acton,-,2,1550,480,2228,3766.998688979718,0.5914522897281518,0.41461329315174567,1304.2415828579105,923.7584171420893
Acton,-,3,1580,435,2235,3778.8339631371946,0.5914522897281518,0.4316329541209994,1270.3003475395665,964.6996524604336
Acton,-,4,1675,414,2312,3909.0219788694376,0.5914522897281518,0.4098800450806268,1364.3573357735909,947.6426642264092
Acton,-,5,1580,387,2167,3663.8627284645636,0.5914522897281519,0.4325051665755976,1229.7613040306799,937.23869596932
Acton,-,6,1354,401,1941,3281.752448523174,0.5914522897281519,0.4250776331602826,1115.9243140358915,825.0756859641085
Acushnet,-,1,783,786,1702,3091.6265867418897,0.5505192662331361,0.39961837207625894,1021.8495307262073,680.1504692737927
Acushnet,-,2,756,1043,1958,3556.642101551481,0.550519266233136,0.2297854822347879,1508.0800257842852,449.9199742157147
Acushnet,-,3,862,1005,2012,3654.731311706629,0.550519266233136,0.3430528769440422,1321.7776115885872,690.2223884114129
Adams,-,1,439,255,767,1595.0968137254902,0.4808485562757808,0.404841189242952,456.48680785065585,310.51319214934415
Adams,-,2,476,270,829,1724.0355392156862,0.4808485562757808,0.43124903172789925,471.4945526975716,357.5054473024285
Adams,-,3,475,268,819,1703.2389705882354,0.48084855627578077,0.43407069897078715,463.49609754292527,355.5039024570747
Adams,-,4,446,233,740,1538.9460784313726,0.48084855627578077,0.33529807558169444,491.87942406954613,248.1205759304539
Adams,-,5,577,259,925,1923.6825980392157,0.48084855627578077,0.41419445030065183,541.870133471897,383.1298665281029
Agawam,-,1,631,827,1605,3068.023795119984,0.5231380547155215,0.3436544959735238,1053.4345339624942,551.5654660375058
Agawam,-,2,850,1069,2099,4012.325199973113,0.5231380547155214,0.31363664722329604,1440.6766774783016,658.3233225216984
Agawam,-,3,770,921,1814,3467.5359279424615,0.5231380547155214,0.33196306820580357,1211.8189942746724,602.1810057253276
Agawam,-,4,700,724,1564,2989.650601599785,0.5231380547155214,0.4312651469199614,889.5013102171805,674.4986897828196
Agawam,-,5,861,998,2050,3918.6596760099483,0.5231380547155214,0.2951847546449967,1444.8712529777567,605.1287470222433
Agawam,-,6,783,882,1812,3463.71284533172,0.5231380547155215,0.24635354966156145,1365.6073680132506,446.39263198674934
Agawam,-,7,750,991,1914,3658.690058479532,0.5231380547155214,0.3768788567385558,1192.6538682024043,721.3461317975958
Agawam,-,8,863,1009,2019,3859.4018955434562,0.5231380547155215,0.4295671181340066,1151.7039884874407,867.2960115125593
Alford,-,1,226,52,307,494.0,0.6214574898785425,0.4280669577834264,175.5834439604881,131.4165560395119
Amesbury,-,1,930,623,1740,3013.4460753031267,0.5774120248111528,0.24739809575248992,1309.5273133906676,430.47268660933247
Amesbury,-,2,901,503,1576,2729.4201233780045,0.5774120248111527,0.42219589446965,910.6192703158316,665.3807296841684
Amesbury,-,3,960,498,1622,2809.0859391618806,0.5774120248111527,0.3212172006443025,1100.9857005549413,521.0142994450587
