City/Town,Ward,Pct,Clinton/ Kaine,Trump/ Pence,Total Votes Cast,pop by share of vote,turnout,new_r_share,new_d_votes,new_r_votes
Abington,-,1,818,717,1709,3065.346162477558,0.5575226775101658,0.614094563112145,659.5123916413442,1049.487608358656
Abington,-,2,739,785,1671,2997.1875,0.5575226775101658,0.5760124579046463,708.4831828413361,962.5168171586639
Abington,-,3,773,808,1726,3095.8381956912026,0.5575226775101658,0.5575149519398054,763.7291929518959,962.2708070481041
Abington,-,4,877,878,1919,3442.012455116697,0.5575226775101657,0.16957078860604952,1593.593656664991,325.406343335009
Abington,-,5,908,829,1887,3384.6156867145423,0.5575226775101657,0.15468848783332917,1595.1028234585078,291.8971765414921
Acton,-,1,1459,438,2084,3523.5301920259117,0.5914522897281519,0.06756101619597621,1943.2028422475855,140.79715775241442
Acton,-,2,1550,480,2228,3766.998688979718,0.5914522897281518,0.39171883667087354,1355.250431897294,872.7495681027062
Acton,-,3,1580,435,2235,3778.8339631371946,0.5914522897281518,0.29760907776125095,1569.843711203604,665.1562887963959
Acton,-,4,1675,414,2312,3909.0219788694376,0.5914522897281518,0.11873206262840003,2037.491471203139,274.50852879686084
Acton,-,5,1580,387,2167,3663.8627284645636,0.5914522897281519,0.06349851787411198,2029.3987117667994,137.60128823320068
Acton,-,6,1354,401,1941,3281.752448523174,0.5914522897281519,0.25337105301011015,1449.2067861073763,491.7932138926238
Acushnet,-,1,783,786,1702,3091.6265867418897,0.5505192662331361,0.5366619222098021,788.6014083989168,913.3985916010832
Acushnet,-,2,756,1043,1958,3556.642101551481,0.550519266233136,0.5213560532263474,937.1848477828119,1020.8151522171881
Acushnet,-,3,862,1005,2012,3654.731311706629,0.550519266233136,0.5168855287217824,972.0263162117739,1039.9736837882263
Adams,-,1,439,255,767,1595.0968137254902,0.4808485562757808,0.17164850208088428,635.3455989039618,131.65440109603824
Adams,-,2,476,270,829,1724.0355392156862,0.4808485562757808,0.18028557593343003,679.5432575511865,149.4567424488135
Adams,-,3,475,268,819,1703.2389705882354,0.48084855627578077,0.5412558124176284,375.71148962996233,443.28851037003767
Adams,-,4,446,233,740,1538.9460784313726,0.48084855627578077,0.4247454582555016,425.68836089092883,314.31163910907117
Adams,-,5,577,259,925,1923.6825980392157,0.48084855627578077,0.3295688699737099,620.1487952743184,304.8512047256816
Agawam,-,1,631,827,1605,3068.023795119984,0.5231380547155215,0.49791297205247087,805.8496798557843,799.1503201442157
Agawam,-,2,850,1069,2099,4012.325199973113,0.5231380547155214,0.37086193040398086,1320.560808082044,778.4391919179558
Agawam,-,3,770,921,1814,3467.5359279424615,0.5231380547155214,0.2680910480810096,1327.6828387810485,486.3171612189514
Agawam,-,4,700,724,1564,2989.650601599785,0.5231380547155214,0.28191614555350447,1123.083148354319,440.916851645681
Agawam,-,5,861,998,2050,3918.6596760099483,0.5231380547155214,0.14341406716034022,1756.0011623213024,293.99883767869744
Agawam,-,6,783,882,1812,3463.71284533172,0.5231380547155215,0.5646925445242411,788.7771093220751,1023.2228906779249
Agawam,-,7,750,991,1914,3658.690058479532,0.5231380547155214,0.13268395799465693,1660.0429043982267,253.95709560177337
Agawam,-,8,863,1009,2019,3859.4018955434562,0.5231380547155215,0.2865059279741021,1440.5445314202877,578.4554685797121
Alford,-,1,226,52,307,494.0,0.6214574898785425,0.26454133768380944,225.78580933107048,81.2141906689295
Amesbury,-,1,930,623,1740,3013.4460753031267,0.5774120248111528,0.5548532367934436,774.5553679794082,965.4446320205918
Amesbury,-,2,901,503,1576,2729.4201233780045,0.5774120248111527,0.1791726586673434,1293.6238899402667,282.37611005973315
Amesbury,-,3,960,498,1622,2809.0859391618806,0.5774120248111527,0.3745046930360806,1014.5533878954773,607.4466121045227
Amesbury,-,4,805,502,1457,2523.3281216762393,0.5774120248111527,0.4976931827945945,731.8610326682758,725.1389673317242
Amesbury,-,5,745,675,1595,2762.3255690278665,0.5774120248111527,0.6498002560367211,558.5685916214298,1036.43140837857
Amesbury,-,6,833,430,1412,2445.3941714528823,0.5774120248111527,0.5473339254417312,639.1644972762755,772.8355027237245
Amherst,-,1,955,101,1203,3019.796694544006,0.39837118908485153,0.08661750216854947,1098.799144891235,104.20085510876501
Amherst,-,2,1409,143,1731,4345.193747510952,0.39837118908485153,0.5526805778392192,774.3099197603116,956.6900802396884
Amherst,-,3,908,125,1154,2896.7958316739678,0.39837118908485153,0.20777921702878838,914.2227835487781,239.7772164512218
Amherst,-,4,910,162,1186,2977.1229257931764,0.3983711890848516,0.5741555798654236,505.05148227960757,680.9485177203925
Amherst,-,5,1023,95,1207,3029.8375813089074,0.39837118908485153,0.29840031160135966,846.830823897159,360.1691761028411
Amherst,-,6,1464,134,1758,4412.969733174034,0.39837118908485153,0.5350358519436917,817.40697228299,940.59302771701
Amherst,-,7,1440,131,1717,4310.050643833798,0.39837118908485153,0.09666122140082323,1551.0326828547866,165.96731714521349
Amherst,-,8,1644,124,1932,4849.748307447232,0.39837118908485153,0.1530606179523898,1636.286886115983,295.71311388401705
Amherst,-,9,1382,79,1645,4129.314682065578,0.39837118908485153,0.4923807939807126,835.0335939017278,809.9664060982723
Amherst,-,10,1222,154,1533,3848.1698526483474,0.39837118908485153,0.49454776446331183,774.858277077743,758.141722922257
Andover,-,1,1101,433,1697,2878.709227467811,0.5895003162555345,0.5007799506259398,847.1764237877801,849.8235762122199
Andover,-,2,1312,865,2376,4030.532188841202,0.5895003162555345,0.16723372500410555,1978.6526693902451,397.3473306097548
Andover,-,3,1431,651,2292,3888.038626609442,0.5895003162555345,0.5138447210364501,1114.2678993844565,1177.7321006155435
Andover,-,4,1162,818,2190,3715.010729613734,0.5895003162555345,0.47137647419855927,1157.685521505155,1032.3144784948447
Andover,-,5,1257,758,2219,3764.204935622318,0.5895003162555345,0.10254203428995384,1991.4592259105923,227.5407740894076
