City/Town,Ward,Pct,Clinton/ Kaine,Trump/ Pence,Total Votes Cast,pop by share of vote,turnout,new_r_share,new_d_votes,new_r_votes
Abington,-,1,818,717,1709,3065.346162477558,0.5575226775101658,0.3573427676995194,1098.3012100015214,610.6987899984787
Abington,-,2,739,785,1671,2997.1875,0.5575226775101658,0.26062268075589046,1235.499500456907,435.50049954309293
Abington,-,3,773,808,1726,3095.8381956912026,0.5575226775101658,0.3194731313670213,1174.5893752605211,551.4106247394787
Abington,-,4,877,878,1919,3442.012455116697,0.5575226775101657,0.39071839053089225,1169.2114085712178,749.7885914287822
Abington,-,5,908,829,1887,3384.6156867145423,0.5575226775101657,0.4169568459106164,1100.202431766667,786.7975682333331
Acton,-,1,1459,438,2084,3523.5301920259117,0.5914522897281519,0.3185555821382433,1420.130166823901,663.8698331760991
Acton,-,2,1550,480,2228,3766.998688979718,0.5914522897281518,0.4199794224699689,1292.2858467369092,935.7141532630907
Acton,-,3,1580,435,2235,3778.8339631371946,0.5914522897281518,0.3468369612969774,1459.8193915012555,775.1806084987445
Acton,-,4,1675,414,2312,3909.0219788694376,0.5914522897281518,0.4049035094761951,1375.863086091037,936.136913908963
Acton,-,5,1580,387,2167,3663.8627284645636,0.5914522897281519,0.41694935982018966,1263.470737269649,903.529262730351
Acton,-,6,1354,401,1941,3281.752448523174,0.5914522897281519,0.31290730092582764,1333.6469289029685,607.3530710970315
Acushnet,-,1,783,786,1702,3091.6265867418897,0.5505192662331361,0.3543507641225326,1098.8949994634497,603.1050005365505
Acushnet,-,2,756,1043,1958,3556.642101551481,0.550519266233136,0.1522214619429933,1659.950377515619,298.04962248438085
Acushnet,-,3,862,1005,2012,3654.731311706629,0.550519266233136,0.2611040799067864,1486.6585912275457,525.3414087724543
Adams,-,1,439,255,767,1595.0968137254902,0.4808485562757808,0.33362226573679155,511.11172217988087,255.88827782011913
Adams,-,2,476,270,829,1724.0355392156862,0.4808485562757808,0.33985891299007176,547.2569611312305,281.7430388687695
Adams,-,3,475,268,819,1703.2389705882354,0.48084855627578077,0.33135294509216473,547.621937969517,271.3780620304829
Adams,-,4,446,233,740,1538.9460784313726,0.48084855627578077,0.42773061792353445,423.47934273658444,316.5206572634155
Adams,-,5,577,259,925,1923.6825980392157,0.48084855627578077,0.40704375724320946,548.4845245500312,376.51547544996873
