City/Town,Ward,Pct,Clinton/ Kaine,Trump/ Pence,Total Votes Cast,pop by share of vote,turnout,new_r_share,new_d_votes,new_r_votes
Abington,-,1,818,717,1709,3065.346162477558,0.5575226775101658,0.4499280719062393,940.072925112237,768.927074887763
Abington,-,2,739,785,1671,2997.1875,0.5575226775101658,0.38601986623273765,1025.9608035250953,645.0391964749047
Abington,-,3,773,808,1726,3095.8381956912026,0.5575226775101658,0.4004257562956115,1034.8651446337747,691.1348553662255
Abington,-,4,877,878,1919,3442.012455116697,0.5575226775101657,0.39481701651708695,1161.34614530371,757.6538546962898
Abington,-,5,908,829,1887,3384.6156867145423,0.5575226775101657,0.09447868600167597,1708.7187195148374,178.28128048516257
Acton,-,1,1459,438,2084,3523.5301920259117,0.5914522897281519,0.4084032909536455,1232.8875416526027,851.1124583473973
Acton,-,2,1550,480,2228,3766.998688979718,0.5914522897281518,0.41634285716870467,1300.388114228126,927.611885771874
Acton,-,3,1580,435,2235,3778.8339631371946,0.5914522897281518,0.3994692507626303,1342.1862245455213,892.8137754544787
Acton,-,4,1675,414,2312,3909.0219788694376,0.5914522897281518,0.44480154970377084,1283.6188170848818,1028.3811829151182
Acton,-,5,1580,387,2167,3663.8627284645636,0.5914522897281519,0.28235995638651756,1555.1259745104164,611.8740254895836
Acton,-,6,1354,401,1941,3281.752448523174,0.5914522897281519,0.20776882231024546,1537.7207158958138,403.27928410418644
Acushnet,-,1,783,786,1702,3091.6265867418897,0.5505192662331361,0.38761583360632856,1042.2778512020288,659.7221487979713
Acushnet,-,2,756,1043,1958,3556.642101551481,0.550519266233136,0.4671977218763437,1043.226860566119,914.7731394338809
Acushnet,-,3,862,1005,2012,3654.731311706629,0.550519266233136,0.41853873408063763,1169.9000670297569,842.0999329702429
Adams,-,1,439,255,767,1595.0968137254902,0.4808485562757808,0.34625618133099906,501.42150891912377,265.5784910808763
Adams,-,2,476,270,829,1724.0355392156862,0.4808485562757808,0.4272688540206491,474.79412001688195,354.2058799831181
Adams,-,3,475,268,819,1703.2389705882354,0.48084855627578077,0.44713469100698366,452.79668806528036,366.20331193471964
Adams,-,4,446,233,740,1538.9460784313726,0.48084855627578077,0.3671384631117963,468.31753729727075,271.68246270272925
Adams,-,5,577,259,925,1923.6825980392157,0.48084855627578077,0.26718497230624694,677.8539006167216,247.14609938327843
Agawam,-,1,631,827,1605,3068.023795119984,0.5231380547155215,0.19073580142362062,1298.869038715089,306.1309612849111
Agawam,-,2,850,1069,2099,4012.325199973113,0.5231380547155214,0.44850847310481473,1157.5807149529937,941.4192850470062
Agawam,-,3,770,921,1814,3467.5359279424615,0.5231380547155214,0.4214064908164187,1049.5686256590166,764.4313743409834
Agawam,-,4,700,724,1564,2989.650601599785,0.5231380547155214,0.4721328997798073,825.5841447443813,738.4158552556187
Agawam,-,5,861,998,2050,3918.6596760099483,0.5231380547155214,0.2353078207320512,1567.6189674992952,482.381032500705
Agawam,-,6,783,882,1812,3463.71284533172,0.5231380547155215,0.4521027359838517,992.7898423972608,819.2101576027393
Agawam,-,7,750,991,1914,3658.690058479532,0.5231380547155214,0.45753555160590215,1038.2769542263034,875.7230457736968
Agawam,-,8,863,1009,2019,3859.4018955434562,0.5231380547155215,0.3632885148701833,1285.5204884771,733.4795115229001
Alford,-,1,226,52,307,494.0,0.6214574898785425,0.45812468872159096,166.3557205624716,140.6442794375284
Amesbury,-,1,930,623,1740,3013.4460753031267,0.5774120248111528,0.2563521836962446,1293.9472003685344,446.0527996314656
Amesbury,-,2,901,503,1576,2729.4201233780045,0.5774120248111527,0.34125598096748205,1038.1805739952483,537.8194260047517
Amesbury,-,3,960,498,1622,2809.0859391618806,0.5774120248111527,0.46921787178801105,860.928611959846,761.0713880401539
Amesbury,-,4,805,502,1457,2523.3281216762393,0.5774120248111527,0.38827027846692974,891.2902042736833,565.7097957263167
Amesbury,-,5,745,675,1595,2762.3255690278665,0.5774120248111527,0.4387850208769882,895.1378917012039,699.8621082987961
