City/Town,Ward,Pct,Clinton/ Kaine,Trump/ Pence,Total Votes Cast,pop by share of vote,turnout,new_r_share,new_d_votes,new_r_votes
Abington,-,1,818,717,1709,3065.346162477558,0.5575226775101658,0.31522946218452125,1170.272849126653,538.7271508733468
Abington,-,2,739,785,1671,2997.1875,0.5575226775101658,0.30173631071273244,1166.798624799024,504.2013752009759
Abington,-,3,773,808,1726,3095.8381956912026,0.5575226775101658,0.2435828674497414,1305.5759707817465,420.4240292182536
Abington,-,4,877,878,1919,3442.012455116697,0.5575226775101657,0.3416826137305814,1263.3110642510144,655.6889357489857
Abington,-,5,908,829,1887,3384.6156867145423,0.5575226775101657,0.6068788773211159,741.8195584950543,1145.1804415049457
Acton,-,1,1459,438,2084,3523.5301920259117,0.5914522897281519,0.16420696826175707,1741.7926781424983,342.2073218575017
Acton,-,2,1550,480,2228,3766.998688979718,0.5914522897281518,0.49652515665562713,1121.7419509712627,1106.2580490287373
Acton,-,3,1580,435,2235,3778.8339631371946,0.5914522897281518,0.2882657082315937,1590.7261421023882,644.273857897612
Acton,-,4,1675,414,2312,3909.0219788694376,0.5914522897281518,0.42149578808772264,1337.5017379411854,974.4982620588147
Acton,-,5,1580,387,2167,3663.8627284645636,0.5914522897281519,0.48639124477982737,1112.9901725621141,1054.0098274378859
Acton,-,6,1354,401,1941,3281.752448523174,0.5914522897281519,0.5012824563141336,968.0107522942667,972.9892477057333
Acushnet,-,1,783,786,1702,3091.6265867418897,0.5505192662331361,0.5067112924995142,839.5773801658269,862.4226198341731
Acushnet,-,2,756,1043,1958,3556.642101551481,0.550519266233136,0.5302285018696157,919.8125933392926,1038.1874066607074
Acushnet,-,3,862,1005,2012,3654.731311706629,0.550519266233136,0.4022337963433916,1202.705601757096,809.294398242904
Adams,-,1,439,255,767,1595.0968137254902,0.4808485562757808,0.414006385340931,449.4571024435059,317.54289755649404
Adams,-,2,476,270,829,1724.0355392156862,0.4808485562757808,0.3517025492530176,537.4385866692485,291.5614133307516
Adams,-,3,475,268,819,1703.2389705882354,0.48084855627578077,0.3442764572333145,537.0375815259154,281.9624184740846
Adams,-,4,446,233,740,1538.9460784313726,0.48084855627578077,0.5499018056383168,333.07266382764556,406.92733617235444
Adams,-,5,577,259,925,1923.6825980392157,0.48084855627578077,0.40774803065398035,547.8330716450681,377.1669283549318
Agawam,-,1,631,827,1605,3068.023795119984,0.5231380547155215,0.2064436489580997,1273.6579434222501,331.34205657775
Agawam,-,2,850,1069,2099,4012.325199973113,0.5231380547155214,0.23493246739494072,1605.8767509380195,493.1232490619806
Agawam,-,3,770,921,1814,3467.5359279424615,0.5231380547155214,0.24875393768939608,1362.7603570314354,451.2396429685645
Agawam,-,4,700,724,1564,2989.650601599785,0.5231380547155214,0.35396307056467347,1010.4017576368507,553.5982423631493
Agawam,-,5,861,998,2050,3918.6596760099483,0.5231380547155214,0.24005826913144823,1557.8805482805312,492.1194517194689
Agawam,-,6,783,882,1812,3463.71284533172,0.5231380547155215,0.3238750122014436,1225.1384778909844,586.8615221090158
Agawam,-,7,750,991,1914,3658.690058479532,0.5231380547155214,0.4171758044928816,1115.5255102006247,798.4744897993754
