City/Town,Ward,Pct,Clinton/ Kaine,Trump/ Pence,Total Votes Cast,pop by share of vote,turnout,new_r_share,new_d_votes,new_r_votes
Abington,-,1,818,717,1709,3065.346162477558,0.5575226775101658,0.2947446854363335,1205.2813325893062,503.7186674106939
Abington,-,2,739,785,1671,2997.1875,0.5575226775101658,0.272211048849844,1216.1353373719107,454.8646626280893
Abington,-,3,773,808,1726,3095.8381956912026,0.5575226775101658,0.27688543225250795,1248.0957439321712,477.9042560678287
Abington,-,4,877,878,1919,3442.012455116697,0.5575226775101657,0.2956662991176191,1351.616371993289,567.3836280067111
Abington,-,5,908,829,1887,3384.6156867145423,0.5575226775101657,0.22059746549381148,1470.7325826131778,416.2674173868223
Acton,-,1,1459,438,2084,3523.5301920259117,0.5914522897281519,0.27724893169058473,1506.2132263568215,577.7867736431785
Acton,-,2,1550,480,2228,3766.998688979718,0.5914522897281518,0.4354028800649861,1257.922383215211,970.077616784789
Acton,-,3,1580,435,2235,3778.8339631371946,0.5914522897281518,0.34123458132342516,1472.3407107421447,762.6592892578552
Acton,-,4,1675,414,2312,3909.0219788694376,0.5914522897281518,0.4217058312019303,1337.016118261137,974.9838817388628
Acton,-,5,1580,387,2167,3663.8627284645636,0.5914522897281519,0.47699173421514884,1133.3589119557726,1033.6410880442274
Acton,-,6,1354,401,1941,3281.752448523174,0.5914522897281519,0.40206886047143353,1160.5843418249476,780.4156581750525
Acushnet,-,1,783,786,1702,3091.6265867418897,0.5505192662331361,0.419578165623892,987.8779621081359,714.1220378918641
Acushnet,-,2,756,1043,1958,3556.642101551481,0.550519266233136,0.47216895782894786,1033.49318057092,924.5068194290799
Acushnet,-,3,862,1005,2012,3654.731311706629,0.550519266233136,0.49733869618998655,1011.354543265747,1000.6454567342529
Adams,-,1,439,255,767,1595.0968137254902,0.4808485562757808,0.4752101027678306,402.51385117707395,364.48614882292605
Adams,-,2,476,270,829,1724.0355392156862,0.4808485562757808,0.4097801635676694,489.29224440240205,339.7077555975979
Adams,-,3,475,268,819,1703.2389705882354,0.48084855627578077,0.44004564252743117,458.60261877003387,360.39738122996613
Adams,-,4,446,233,740,1538.9460784313726,0.48084855627578077,0.4138987003977391,433.71496170567303,306.28503829432697
Adams,-,5,577,259,925,1923.6825980392157,0.48084855627578077,0.47421527981653305,486.3508661697069,438.64913383029307
Agawam,-,1,631,827,1605,3068.023795119984,0.5231380547155215,0.18125656755231895,1314.083209078528,290.9167909214719
Agawam,-,2,850,1069,2099,4012.325199973113,0.5231380547155214,0.0658391481430623,1960.8036280477124,138.19637195228776
Agawam,-,3,770,921,1814,3467.5359279424615,0.5231380547155214,0.2150463609168149,1423.9059012968976,390.0940987031022
Agawam,-,4,700,724,1564,2989.650601599785,0.5231380547155214,0.4173021010873408,911.339513899399,652.660486100601
Agawam,-,5,861,998,2050,3918.6596760099483,0.5231380547155214,0.5034287266755201,1017.9711103151839,1032.0288896848162
Agawam,-,6,783,882,1812,3463.71284533172,0.5231380547155215,0.20667787254584413,1437.4996949469305,374.50030505306955
Agawam,-,7,750,991,1914,3658.690058479532,0.5231380547155214,0.46072188518904,1032.1783117481775,881.8216882518226
Agawam,-,8,863,1009,2019,3859.4018955434562,0.5231380547155215,0.2921349964220954,1429.1794422237895,589.8205577762106
Alford,-,1,226,52,307,494.0,0.6214574898785425,0.35902414619168643,196.77958711915227,110.22041288084773
