City/Town,Ward,Pct,Clinton/ Kaine,Trump/ Pence,Total Votes Cast,pop by share of vote,turnout,new_r_share,new_d_votes,new_r_votes
Abington,-,1,818,717,1709,3065.346162477558,0.5575226775101658,0.43832624490711847,959.9004474537345,749.0995525462655
Abington,-,2,739,785,1671,2997.1875,0.5575226775101658,0.16788029549134648,1390.47202623396,280.52797376603996
Abington,-,3,773,808,1726,3095.8381956912026,0.5575226775101658,0.45314933979131977,943.8642395201821,782.1357604798179
Abington,-,4,877,878,1919,3442.012455116697,0.5575226775101657,0.35770160494053393,1232.5706201191153,686.4293798808847
Abington,-,5,908,829,1887,3384.6156867145423,0.5575226775101657,0.37996108314455357,1170.0134361062273,716.9865638937725
Acton,-,1,1459,438,2084,3523.5301920259117,0.5914522897281519,0.18561568613046214,1697.176910104117,386.82308989588313
Acton,-,2,1550,480,2228,3766.998688979718,0.5914522897281518,0.29704845694109155,1566.176037935248,661.823962064752
Acton,-,3,1580,435,2235,3778.8339631371946,0.5914522897281518,0.1957177008268287,1797.5709386520377,437.42906134796215
Acton,-,4,1675,414,2312,3909.0219788694376,0.5914522897281518,0.08431504478759266,2117.0636164510856,194.93638354891425
Acton,-,5,1580,387,2167,3663.8627284645636,0.5914522897281519,0.38104835514015817,1341.268214411277,825.7317855887228
Acton,-,6,1354,401,1941,3281.752448523174,0.5914522897281519,0.3167727620672921,1326.144068827386,614.855931172614
Acushnet,-,1,783,786,1702,3091.6265867418897,0.5505192662331361,0.2976913993754168,1195.3292382630407,506.6707617369594
Acushnet,-,2,756,1043,1958,3556.642101551481,0.550519266233136,0.47191959896407343,1033.9814252283443,924.0185747716557
Acushnet,-,3,862,1005,2012,3654.731311706629,0.550519266233136,0.33677897487206304,1334.400702557409,677.5992974425908
Adams,-,1,439,255,767,1595.0968137254902,0.4808485562757808,0.05999004153806653,720.9876381403029,46.01236185969703
Adams,-,2,476,270,829,1724.0355392156862,0.4808485562757808,0.161442069405079,695.1645244631895,133.8354755368105
Adams,-,3,475,268,819,1703.2389705882354,0.48084855627578077,0.04757835852184211,780.0333243706114,38.96667562938869
Adams,-,4,446,233,740,1538.9460784313726,0.48084855627578077,0.5817410818769319,309.51159941107045,430.48840058892955
Adams,-,5,577,259,925,1923.6825980392157,0.48084855627578077,0.4559770360918255,503.22124161506144,421.77875838493856
Agawam,-,1,631,827,1605,3068.023795119984,0.5231380547155215,0.2812366406439996,1153.6151917663806,451.38480823361937
Agawam,-,2,850,1069,2099,4012.325199973113,0.5231380547155214,0.5517744003382384,940.8255336900376,1158.1744663099626
Agawam,-,3,770,921,1814,3467.5359279424615,0.5231380547155214,0.26008241295556433,1342.2105028986064,471.7894971013937
Agawam,-,4,700,724,1564,2989.650601599785,0.5231380547155214,0.3044383262649495,1087.858457721619,476.141542278381
Agawam,-,5,861,998,2050,3918.6596760099483,0.5231380547155214,0.26315282677701723,1510.5367051071146,539.4632948928853
Agawam,-,6,783,882,1812,3463.71284533172,0.5231380547155215,0.43266826197658415,1028.0051092984295,783.9948907015705
Agawam,-,7,750,991,1914,3658.690058479532,0.5231380547155214,0.1176978202383539,1688.7263720637907,225.27362793620938
Agawam,-,8,863,1009,2019,3859.4018955434562,0.5231380547155215,0.024409066696019055,1969.7180943407375,49.28190565926247
Alford,-,1,226,52,307,494.0,0.6214574898785425,0.48924768337709323,156.8009612032324,150.1990387967676
Amesbury,-,1,930,623,1740,3013.4460753031267,0.5774120248111528,0.05792002673229246,1639.2191534858111,100.78084651418888
Amesbury,-,2,901,503,1576,2729.4201233780045,0.5774120248111527,0.2621009419804417,1162.9289154388239,413.0710845611761
Amesbury,-,3,960,498,1622,2809.0859391618806,0.5774120248111527,0.3654798213891649,1029.1917297067746,592.8082702932255
Amesbury,-,4,805,502,1457,2523.3281216762393,0.5774120248111527,0.055644799582907245,1375.9255270077042,81.07447299229585
Amesbury,-,5,745,675,1595,2762.3255690278665,0.5774120248111527,0.1336265073982964,1381.8657206997173,213.13427930028277
Amesbury,-,6,833,430,1412,2445.3941714528823,0.5774120248111527,0.16289242872609916,1181.995890638748,230.004109361252
Amherst,-,1,955,101,1203,3019.796694544006,0.39837118908485153,0.1799221671858537,986.553632875418,216.446367124582
Amherst,-,2,1409,143,1731,4345.193747510952,0.39837118908485153,0.4766597500006827,905.9019727488183,825.0980272511817
Amherst,-,3,908,125,1154,2896.7958316739678,0.39837118908485153,0.21327370989434113,907.8821387819303,246.11786121806966
Amherst,-,4,910,162,1186,2977.1229257931764,0.3983711890848516,0.2678711579200275,868.3048067068474,317.69519329315267
Amherst,-,5,1023,95,1207,3029.8375813089074,0.39837118908485153,0.38686667642264394,740.0519215578688,466.94807844213125
Amherst,-,6,1464,134,1758,4412.969733174034,0.39837118908485153,0.5394636087815589,809.6229757620196,948.3770242379804
Amherst,-,7,1440,131,1717,4310.050643833798,0.39837118908485153,0.4052191339941794,1021.238746931994,695.761253068006
Amherst,-,8,1644,124,1932,4849.748307447232,0.39837118908485153,0.3508631679009271,1254.1323596154089,677.8676403845911
Amherst,-,9,1382,79,1645,4129.314682065578,0.39837118908485153,0.04047033140223044,1578.4263048433309,66.57369515666907
Amherst,-,10,1222,154,1533,3848.1698526483474,0.39837118908485153,0.09217882397345395,1391.689862848695,141.3101371513049
Andover,-,1,1101,433,1697,2878.709227467811,0.5895003162555345,0.5525603778760413,759.305038744358,937.694961255642
Andover,-,2,1312,865,2376,4030.532188841202,0.5895003162555345,0.39848656974681507,1429.1959102815674,946.8040897184326
Andover,-,3,1431,651,2292,3888.038626609442,0.5895003162555345,0.5689217686550057,988.031306242727,1303.968693757273
Andover,-,4,1162,818,2190,3715.010729613734,0.5895003162555345,0.4684479637197587,1164.0989594537284,1025.9010405462716
Andover,-,5,1257,758,2219,3764.204935622318,0.5895003162555345,0.06879915129813718,2066.3346832694338,152.66531673056642
Andover,-,6,1207,842,2254,3823.5772532188844,0.5895003162555345,0.3940987734443802,1365.701364656367,888.298635343633
Andover,-,7,980,548,1682,2853.263948497854,0.5895003162555345,0.4112715455889616,990.2412603193666,691.7587396806334
Andover,-,7A,256,163,470,797.2854077253219,0.5895003162555345,0.20976480227018152,371.4105429330147,98.58945706698532
Andover,-,8,1278,685,2176,3691.2618025751076,0.5895003162555345,0.1104618752121792,1935.634959538298,240.36504046170194
Andover,-,9,1232,752,2200,3731.9742489270384,0.5895003162555346,0.1850550848213242,1792.8788133930868,407.1211866069133
Andover,-,9A,6,7,16,27.141630901287556,0.5895003162555345,0.49864491556719126,8.02168135092494,7.97831864907506
Aquinnah,-,1,232,34,287,311.0,0.9228295819935691,0.4280572904182087,164.1475576499741,122.85244235002591
Arlington,-,1,802,173,1048,1646.456382237542,0.6365185323499206,0.41080224274873034,617.4792495993306,430.5207504006694
Arlington,-,2,1028,232,1370,2152.333247772359,0.6365185323499206,0.45477254789852617,746.9616093790191,623.0383906209809
Arlington,-,3,1049,169,1323,2078.4940779582707,0.6365185323499206,0.23820245747115038,1007.8581487656681,315.14185123433197
Arlington,-,4,1022,195,1320,2073.780939459499,0.6365185323499206,0.22001295340005517,1029.582901511927,290.41709848807284
Arlington,-,5,932,233,1259,1977.94712331781,0.6365185323499206,0.418403757787705,732.2296689452794,526.7703310547206
Arlington,-,6,946,178,1206,1894.6816765061787,0.6365185323499206,0.5717586764738426,516.4590361725458,689.5409638274542
Arlington,-,7,938,173,1203,1889.968538007407,0.6365185323499207,0.371799851736102,755.7247783614692,447.27522163853075
Arlington,-,8,1169,153,1424,2237.1697407502475,0.6365185323499206,0.36087830926272846,910.1092876098746,513.8907123901254
Arlington,-,9,813,205,1108,1740.7191522129735,0.6365185323499206,0.22317138020441407,860.7261107335092,247.27388926649078
Arlington,-,10,1129,192,1424,2237.1697407502475,0.6365185323499206,0.45365619530239804,777.9935778893852,646.0064221106148
Arlington,-,11,1007,306,1408,2212.0330020901324,0.6365185323499206,0.20317517577900807,1121.9293525031567,286.0706474968434
Arlington,-,12,1122,229,1455,2285.8721719042205,0.6365185323499206,0.430672263989509,828.3718558952644,626.6281441047356
Arlington,-,13,846,375,1326,2083.2072164570423,0.6365185323499206,0.5241949752861667,630.917462770543,695.082537229457
Arlington,-,14,930,201,1217,1911.9631843350078,0.6365185323499207,0.30148985642086673,850.0868447358051,366.9131552641948
Arlington,-,15,1000,271,1394,2190.038355762532,0.6365185323499206,0.5106835397403213,682.1071456019921,711.8928543980079
Arlington,-,16,924,199,1213,1905.678999669979,0.6365185323499206,0.1739937917129476,1001.9455306521945,211.05446934780545
Arlington,-,17,908,193,1221,1918.2473690000368,0.6365185323499206,0.10469871689774685,1093.162866667851,127.8371333321489
Arlington,-,18,958,323,1404,2205.7488174251034,0.6365185323499207,0.522201055672906,670.82971783524,733.17028216476
Arlington,-,19,1003,268,1356,2130.3386014447583,0.6365185323499206,0.2025625800890723,1081.325141399218,274.67485860078204
Arlington,-,20,1014,225,1315,2065.925708628213,0.6365185323499206,0.3855965683703386,807.9405125930048,507.0594874069953
Arlington,-,21,999,159,1277,2006.2259543104399,0.6365185323499206,0.5737770940698473,544.2866508728049,732.7133491271951
Ashburnham,-,1,1439,1522,3399,6081.0,0.5589541193882586,0.005154162753074121,3381.481000802301,17.518999197698935
Ashby,-,1,722,974,1933,3074.0,0.6288223812621991,0.36457448168644685,1228.277526900098,704.7224730999018
Ashfield,-,1,836,184,1155,1737.0,0.6649395509499136,0.5526131200196216,516.7318463773371,638.2681536226629
Ashland,-,1,1121,536,1847,3286.218207162771,0.5620442355210028,0.2109195050024814,1457.4316742604167,389.56832573958314
Ashland,-,2,1166,588,1941,3453.4648295089,0.5620442355210028,0.2761977170597384,1404.900231187048,536.0997688129522
Ashland,-,3,1139,565,1870,3327.1402530559726,0.5620442355210028,0.2183299802226944,1461.7229369835616,408.27706301643855
Ashland,-,4,1147,576,1877,3339.5947887625994,0.5620442355210028,0.5711649626092752,804.9233651823905,1072.0766348176096
Ashland,-,5,1111,503,1791,3186.5819215097576,0.5620442355210028,0.5651664225800588,778.7869371591147,1012.2130628408853
Athol,-,1,733,856,1837,4208.822784810127,0.43646408839779,0.5012854777912714,916.1385772974344,920.8614227025656
Athol,-,2,608,781,1625,3723.101265822785,0.43646408839779005,0.5556863092395528,722.0097474857267,902.9902525142733
Athol,-,3,735,698,1594,3652.075949367089,0.43646408839779,0.32581982795760644,1074.6431942355753,519.3568057644246
Attleboro,1,A,761,761,1638,3419.631914180355,0.4789989218452504,0.46547377209837804,875.5539613028568,762.4460386971432
Attleboro,1,B,779,758,1666,3478.0871605766006,0.4789989218452504,0.2737208342819438,1209.9810900862815,456.0189099137184
Attleboro,2,A,894,774,1854,3870.572386379962,0.47899892184525045,0.18046476177343268,1519.4183316720557,334.5816683279442
Attleboro,2,B,949,861,1988,4150.322494133423,0.4789989218452504,0.4691948033036372,1055.240731032369,932.7592689676308
Attleboro,3,A,933,650,1759,3672.2420861069872,0.4789989218452504,0.40979547076555445,1038.1697669233897,720.8302330766103
Attleboro,3,B,949,694,1768,3691.0312724486375,0.4789989218452504,0.40537686083445823,1051.293710044678,716.7062899553222
Attleboro,4,A,815,485,1402,2926.937694554859,0.47899892184525034,0.07225842052395615,1300.6936944254135,101.30630557458652
Attleboro,4,B,1072,1021,2283,4766.190268665294,0.4789989218452504,0.34107460257170796,1504.3266823287906,778.6733176712092
Attleboro,5,A,689,349,1150,2400.84047698865,0.47899892184525034,0.3299916552813491,770.5095964264485,379.4904035735515
Attleboro,5,B,912,682,1775,3705.6450840476987,0.4789989218452504,0.3261306357903139,1196.1181214721926,578.8818785278072
Attleboro,6,A,818,762,1734,3620.0499018246255,0.47899892184525034,0.19217822602095963,1400.7629560796559,333.237043920344
Attleboro,6,B,947,774,1864,3891.449260092907,0.47899892184525045,0.34352182551877875,1223.6753172329963,640.3246827670035
Auburn,-,1,934,841,1979,3388.2656795346375,0.5840746231776626,0.17325497645707943,1636.1284015914398,342.8715984085602
Auburn,-,2,959,822,1950,3338.614489687996,0.5840746231776625,0.34199499645572984,1283.1097569113267,666.8902430886732
Auburn,-,3,968,839,1987,3401.9625594923323,0.5840746231776625,0.3874878906232621,1217.061561331578,769.9384386684218
Auburn,-,4,830,746,1809,3097.206980433633,0.5840746231776625,0.5017287354797181,901.37271751719,907.62728248281
Auburn,-,5,805,752,1730,2961.9502908514014,0.5840746231776625,0.1457793442030485,1477.801734528726,252.1982654712739
Avon,-,1,1254,1068,2512,4356.0,0.5766758494031221,0.2167357133187786,1967.5598881432281,544.4401118567719
Ayer,-,1,1078,729,2065,3672.5945881226053,0.562272788474485,0.5314586025668724,967.5379856994085,1097.4620143005914
Ayer,-,2,1084,769,2111,3754.4054118773947,0.5622727884744849,0.3177689050780361,1440.1898413802658,670.8101586197342
Barnstable,-,1,1278,1015,2491,4267.466376042456,0.5837187175004979,0.19441350634541632,2006.715955693568,484.28404430643207
Barnstable,-,2,1022,946,2142,3669.5756633813494,0.5837187175004979,0.48945467950955934,1093.588076490524,1048.411923509476
Barnstable,-,3,912,643,1683,2883.2380212282033,0.5837187175004979,0.26000243410085816,1245.4159034082556,437.5840965917443
