City/Town,Ward,Pct,Clinton/ Kaine,Trump/ Pence,Total Votes Cast,pop by share of vote,turnout,new_r_share,new_d_votes,new_r_votes
Abington,-,1,818,717,1709,3065.346162477558,0.5575226775101658,0.3923832337192497,1038.4170535738024,670.5829464261977
Abington,-,2,739,785,1671,2997.1875,0.5575226775101658,0.20414403900280909,1329.875310826306,341.124689173694
Abington,-,3,773,808,1726,3095.8381956912026,0.5575226775101658,0.4029667104993899,1030.479457678053,695.520542321947
Abington,-,4,877,878,1919,3442.012455116697,0.5575226775101657,0.14404918829770053,1642.5696076567126,276.4303923432873
Abington,-,5,908,829,1887,3384.6156867145423,0.5575226775101657,0.6101448994347497,735.6565747666273,1151.3434252333727
Acton,-,1,1459,438,2084,3523.5301920259117,0.5914522897281519,0.25737153850703215,1547.637713751345,536.362286248655
Acton,-,2,1550,480,2228,3766.998688979718,0.5914522897281518,0.03388694388590552,2152.4998890222023,75.50011097779749
Acton,-,3,1580,435,2235,3778.8339631371946,0.5914522897281518,0.18731662200555682,1816.3473498175804,418.6526501824195
Acton,-,4,1675,414,2312,3909.0219788694376,0.5914522897281518,0.15987013453829152,1942.38024894747,369.61975105253
Acton,-,5,1580,387,2167,3663.8627284645636,0.5914522897281519,0.24845532287012373,1628.5973153404418,538.4026846595581
Acton,-,6,1354,401,1941,3281.752448523174,0.5914522897281519,0.03917589417806333,1864.9595894003792,76.04041059962093
Acushnet,-,1,783,786,1702,3091.6265867418897,0.5505192662331361,0.42982251136177707,970.4420856622554,731.5579143377446
Acushnet,-,2,756,1043,1958,3556.642101551481,0.550519266233136,0.22712969430190277,1513.2800585568743,444.7199414431256
Acushnet,-,3,862,1005,2012,3654.731311706629,0.550519266233136,0.3887703021650033,1229.7941520440133,782.2058479559867
Adams,-,1,439,255,767,1595.0968137254902,0.4808485562757808,0.3627231762788823,488.7913237940973,278.2086762059027
Adams,-,2,476,270,829,1724.0355392156862,0.4808485562757808,0.29943944837296654,580.7646972988107,248.23530270118926
Adams,-,3,475,268,819,1703.2389705882354,0.48084855627578077,0.05101610154905323,777.2178128313254,41.7821871686746
Adams,-,4,446,233,740,1538.9460784313726,0.48084855627578077,0.10555223541751602,661.8913457910381,78.10865420896185
