City/Town,Ward,Pct,Clinton/ Kaine,Trump/ Pence,Total Votes Cast,pop by share of vote,turnout,new_r_share,new_d_votes,new_r_votes
Abington,-,1,818,717,1709,3065.346162477558,0.5575226775101658,0.5526184778748354,764.5750213119063,944.4249786880937
Abington,-,2,739,785,1671,2997.1875,0.5575226775101658,0.5122961667852253,814.9531053018886,856.0468946981114
Abington,-,3,773,808,1726,3095.8381956912026,0.5575226775101658,0.22646872245867,1335.1149850363356,390.88501496366445
Abington,-,4,877,878,1919,3442.012455116697,0.5575226775101657,0.5212700977447843,918.682682427759,1000.317317572241
Abington,-,5,908,829,1887,3384.6156867145423,0.5575226775101657,0.12388370130098886,1653.2314556450342,233.76854435496597
Acton,-,1,1459,438,2084,3523.5301920259117,0.5914522897281519,0.046131908401995436,1987.8611028902415,96.13889710975849
Acton,-,2,1550,480,2228,3766.998688979718,0.5914522897281518,0.06145555279338233,2091.077028376344,136.92297162365583
Acton,-,3,1580,435,2235,3778.8339631371946,0.5914522897281518,0.3799162701770981,1385.8871361541856,849.1128638458143
Acton,-,4,1675,414,2312,3909.0219788694376,0.5914522897281518,0.12659615901182386,2019.3096803646633,292.6903196353368
Acton,-,5,1580,387,2167,3663.8627284645636,0.5914522897281519,0.4988165456224437,1086.0645456361644,1080.9354543638356
Acton,-,6,1354,401,1941,3281.752448523174,0.5914522897281519,0.26672684931693863,1423.2831854758222,517.7168145241778
Acushnet,-,1,783,786,1702,3091.6265867418897,0.5505192662331361,0.2952994314219392,1199.4003677198593,502.59963228014055
Acushnet,-,2,756,1043,1958,3556.642101551481,0.550519266233136,0.29665785129050704,1377.1439271731872,580.8560728268128
Acushnet,-,3,862,1005,2012,3654.731311706629,0.550519266233136,0.5094840275943021,986.9181364802641,1025.0818635197359
Adams,-,1,439,255,767,1595.0968137254902,0.4808485562757808,0.38185281541477395,474.11889057686835,292.88110942313165
Adams,-,2,476,270,829,1724.0355392156862,0.4808485562757808,0.020238173275031524,812.2225543549989,16.777445645001134
Adams,-,3,475,268,819,1703.2389705882354,0.48084855627578077,0.4539193744297475,447.2400323420368,371.7599676579632
Adams,-,4,446,233,740,1538.9460784313726,0.48084855627578077,0.2867444332080472,527.8091194260451,212.19088057395493
Adams,-,5,577,259,925,1923.6825980392157,0.48084855627578077,0.28622339740362823,660.2433574016438,264.7566425983561
Agawam,-,1,631,827,1605,3068.023795119984,0.5231380547155215,0.04458522842997592,1533.4407083698886,71.55929163011135
Agawam,-,2,850,1069,2099,4012.325199973113,0.5231380547155214,0.4363506139150399,1183.100061392331,915.8999386076687
Agawam,-,3,770,921,1814,3467.5359279424615,0.5231380547155214,0.5751669277626058,770.6471930386331,1043.352806961367
Agawam,-,4,700,724,1564,2989.650601599785,0.5231380547155214,0.5204620098043429,749.9974166660078,814.0025833339922
Agawam,-,5,861,998,2050,3918.6596760099483,0.5231380547155214,0.6805162301823222,654.9417281262395,1395.0582718737605
Agawam,-,6,783,882,1812,3463.71284533172,0.5231380547155215,0.04310139586375228,1733.9002706948809,78.09972930511913
Agawam,-,7,750,991,1914,3658.690058479532,0.5231380547155214,0.4598112212187498,1033.921322587313,880.0786774126871
Agawam,-,8,863,1009,2019,3859.4018955434562,0.5231380547155215,0.6295788467083352,747.8803084958712,1271.1196915041287
Alford,-,1,226,52,307,494.0,0.6214574898785425,0.6278802198722555,114.24077249921756,192.75922750078243
Amesbury,-,1,930,623,1740,3013.4460753031267,0.5774120248111528,0.2656309547692604,1277.802138701487,462.1978612985131
Amesbury,-,2,901,503,1576,2729.4201233780045,0.5774120248111527,0.28968479615858445,1119.456761254071,456.5432387459291
Amesbury,-,3,960,498,1622,2809.0859391618806,0.5774120248111527,0.2793885306455757,1168.8318032928762,453.16819670712374
Amesbury,-,4,805,502,1457,2523.3281216762393,0.5774120248111527,0.2176504884607935,1139.883238312624,317.11676168737614
Amesbury,-,5,745,675,1595,2762.3255690278665,0.5774120248111527,0.1329618763928524,1382.9258071534005,212.07419284659957
Amesbury,-,6,833,430,1412,2445.3941714528823,0.5774120248111527,0.051153322634233334,1339.7715084404626,72.22849155953747
Amherst,-,1,955,101,1203,3019.796694544006,0.39837118908485153,0.3416874100815444,791.9500456719021,411.0499543280979
Amherst,-,2,1409,143,1731,4345.193747510952,0.39837118908485153,0.39333997697860923,1050.1284998500273,680.8715001499726
Amherst,-,3,908,125,1154,2896.7958316739678,0.39837118908485153,0.4379828225539399,648.5678227727533,505.43217722724665
Amherst,-,4,910,162,1186,2977.1229257931764,0.3983711890848516,0.571574493749927,508.1126504125866,677.8873495874134
Amherst,-,5,1023,95,1207,3029.8375813089074,0.39837118908485153,0.4362526311177617,680.4430742408616,526.5569257591384
Amherst,-,6,1464,134,1758,4412.969733174034,0.39837118908485153,0.16349567134041854,1470.5746097835442,287.4253902164558
Amherst,-,7,1440,131,1717,4310.050643833798,0.39837118908485153,0.2861623766282067,1225.6591993293691,491.3408006706309
Amherst,-,8,1644,124,1932,4849.748307447232,0.39837118908485153,0.1578286540498841,1627.075040375624,304.9249596243761
Amherst,-,9,1382,79,1645,4129.314682065578,0.39837118908485153,0.6300501707560477,608.5674691063015,1036.4325308936986
Amherst,-,10,1222,154,1533,3848.1698526483474,0.39837118908485153,0.3379880215603404,1014.8643629479982,518.1356370520018
Andover,-,1,1101,433,1697,2878.709227467811,0.5895003162555345,0.6479315988426902,597.4600767639547,1099.5399232360453
Andover,-,2,1312,865,2376,4030.532188841202,0.5895003162555345,0.0409037774570723,2278.812624761996,97.18737523800378
Andover,-,3,1431,651,2292,3888.038626609442,0.5895003162555345,0.23942001778103483,1743.2493192458683,548.7506807541318
Andover,-,4,1162,818,2190,3715.010729613734,0.5895003162555345,0.0673303021493803,2042.546638292857,147.45336170714285
Andover,-,5,1257,758,2219,3764.204935622318,0.5895003162555345,0.22458511793704322,1720.645623297701,498.3543767022989
Andover,-,6,1207,842,2254,3823.5772532188844,0.5895003162555345,0.25279482562399225,1684.2004630435215,569.7995369564785
Andover,-,7,980,548,1682,2853.263948497854,0.5895003162555345,0.33564115236814246,1117.4515817167844,564.5484182832156
Andover,-,7A,256,163,470,797.2854077253219,0.5895003162555345,0.3402335083747649,310.0902510638605,159.9097489361395
Andover,-,8,1278,685,2176,3691.2618025751076,0.5895003162555345,0.10122427925886424,1955.7359683327113,220.26403166728858
Andover,-,9,1232,752,2200,3731.9742489270384,0.5895003162555346,0.4992649410478039,1101.6171296948316,1098.3828703051686
Andover,-,9A,6,7,16,27.141630901287556,0.5895003162555345,0.34447473508375115,10.488404238659982,5.511595761340018
Aquinnah,-,1,232,34,287,311.0,0.9228295819935691,0.13568965691776824,248.05706846460052,38.94293153539949
Arlington,-,1,802,173,1048,1646.456382237542,0.6365185323499206,0.30270486181496137,730.7653048179205,317.2346951820795
Arlington,-,2,1028,232,1370,2152.333247772359,0.6365185323499206,0.5562098395642482,607.99251979698,762.00748020302
Arlington,-,3,1049,169,1323,2078.4940779582707,0.6365185323499206,0.46871892065095405,702.8848679787877,620.1151320212122
Arlington,-,4,1022,195,1320,2073.780939459499,0.6365185323499206,0.419396571116698,766.3965261259586,553.6034738740414
Arlington,-,5,932,233,1259,1977.94712331781,0.6365185323499206,0.3740721957122811,788.0431055982381,470.95689440176193
Arlington,-,6,946,178,1206,1894.6816765061787,0.6365185323499206,0.5882259025108726,496.59956157188765,709.4004384281124
Arlington,-,7,938,173,1203,1889.968538007407,0.6365185323499207,0.4994548434083313,602.1558233797775,600.8441766202226
Arlington,-,8,1169,153,1424,2237.1697407502475,0.6365185323499206,0.24536502678202943,1074.6002018623901,349.3997981376099
Arlington,-,9,813,205,1108,1740.7191522129735,0.6365185323499206,0.4674816687203266,590.0303110578782,517.9696889421218
Arlington,-,10,1129,192,1424,2237.1697407502475,0.6365185323499206,0.2869350765986664,1015.404450923499,408.59554907650096
Arlington,-,11,1007,306,1408,2212.0330020901324,0.6365185323499206,0.013364725626211493,1389.1824663182942,18.817533681705783
Arlington,-,12,1122,229,1455,2285.8721719042205,0.6365185323499206,0.31750079580764073,993.0363420998826,461.96365790011725
Arlington,-,13,846,375,1326,2083.2072164570423,0.6365185323499206,0.35531452168155647,854.8529442502561,471.14705574974386
Arlington,-,14,930,201,1217,1911.9631843350078,0.6365185323499207,0.09826219271067449,1097.4149114711092,119.58508852889085
Arlington,-,15,1000,271,1394,2190.038355762532,0.6365185323499206,0.24407957714032263,1053.7530694663903,340.24693053360977
Arlington,-,16,924,199,1213,1905.678999669979,0.6365185323499206,0.5138675437826956,589.6786693915902,623.3213306084098
Arlington,-,17,908,193,1221,1918.2473690000368,0.6365185323499206,0.2560885593524913,908.3158690306082,312.6841309693919
Arlington,-,18,958,323,1404,2205.7488174251034,0.6365185323499207,0.5509705461295161,630.4373532341593,773.5626467658407
Arlington,-,19,1003,268,1356,2130.3386014447583,0.6365185323499206,0.19761122043931623,1088.0391850842873,267.96081491571283
Arlington,-,20,1014,225,1315,2065.925708628213,0.6365185323499206,0.3197131313054786,894.5772323332956,420.4227676667044
Arlington,-,21,999,159,1277,2006.2259543104399,0.6365185323499206,0.34597854328261496,835.1854002281007,441.8145997718993
Ashburnham,-,1,1439,1522,3399,6081.0,0.5589541193882586,0.43101288538046056,1933.9872025918146,1465.0127974081854
Ashby,-,1,722,974,1933,3074.0,0.6288223812621991,0.3445748125459373,1266.936887348703,666.0631126512968
Ashfield,-,1,836,184,1155,1737.0,0.6649395509499136,0.27448052583944055,837.9749926554463,317.02500734455384
Ashland,-,1,1121,536,1847,3286.218207162771,0.5620442355210028,0.0016015061423918509,1844.0420181550023,2.9579818449977484
Ashland,-,2,1166,588,1941,3453.4648295089,0.5620442355210028,0.5673395757602099,839.7938834494327,1101.2061165505675
Ashland,-,3,1139,565,1870,3327.1402530559726,0.5620442355210028,0.5668650629907994,809.9623322072051,1060.037667792795
Ashland,-,4,1147,576,1877,3339.5947887625994,0.5620442355210028,0.35861563413200626,1203.8784547342243,673.1215452657757
Ashland,-,5,1111,503,1791,3186.5819215097576,0.5620442355210028,0.385099697897455,1101.286441065658,689.7135589343419
Athol,-,1,733,856,1837,4208.822784810127,0.43646408839779,0.2405688645405163,1395.0749958390716,441.92500416092844
Athol,-,2,608,781,1625,3723.101265822785,0.43646408839779005,0.22774263178889625,1254.9182233430436,370.08177665695644
Athol,-,3,735,698,1594,3652.075949367089,0.43646408839779,0.5779684470673414,672.7182953746578,921.2817046253422
Attleboro,1,A,761,761,1638,3419.631914180355,0.4789989218452504,0.2582750421019746,1214.9454810369657,423.0545189630344
Attleboro,1,B,779,758,1666,3478.0871605766006,0.4789989218452504,0.3614832015150794,1063.7689862758778,602.2310137241222
Attleboro,2,A,894,774,1854,3870.572386379962,0.47899892184525045,0.3025815723016544,1293.0137649527328,560.9862350472672
Attleboro,2,B,949,861,1988,4150.322494133423,0.4789989218452504,0.5117213686022305,970.6979192187657,1017.3020807812343
Attleboro,3,A,933,650,1759,3672.2420861069872,0.4789989218452504,0.356786509567947,1131.4125296699813,627.5874703300187
Attleboro,3,B,949,694,1768,3691.0312724486375,0.4789989218452504,0.24331157225685962,1337.8251402498722,430.17485975012784
Attleboro,4,A,815,485,1402,2926.937694554859,0.47899892184525034,0.14491318805166348,1198.8317103515678,203.1682896484322
Attleboro,4,B,1072,1021,2283,4766.190268665294,0.4789989218452504,0.2275483743124721,1763.5070614446263,519.4929385553738
Attleboro,5,A,689,349,1150,2400.84047698865,0.47899892184525034,0.5211556338746631,550.6710210441374,599.3289789558626
Attleboro,5,B,912,682,1775,3705.6450840476987,0.4789989218452504,0.39395184019541185,1075.735483653144,699.264516346856
Attleboro,6,A,818,762,1734,3620.0499018246255,0.47899892184525034,0.32789260022888655,1165.4342312031108,568.5657687968893
Attleboro,6,B,947,774,1864,3891.449260092907,0.47899892184525045,0.642329801707128,666.6972496179135,1197.3027503820865
Auburn,-,1,934,841,1979,3388.2656795346375,0.5840746231776626,0.5612052304786644,868.3748488827231,1110.625151117277
Auburn,-,2,959,822,1950,3338.614489687996,0.5840746231776625,0.20665256885447342,1547.0274907337769,402.97250926622314
Auburn,-,3,968,839,1987,3401.9625594923323,0.5840746231776625,0.028260992282415742,1930.84540833484,56.15459166516008
Auburn,-,4,830,746,1809,3097.206980433633,0.5840746231776625,0.20693761176545478,1434.6498603162922,374.3501396837077
Auburn,-,5,805,752,1730,2961.9502908514014,0.5840746231776625,0.10000135717790037,1556.9976520822324,173.00234791776765
Avon,-,1,1254,1068,2512,4356.0,0.5766758494031221,0.4091287300169878,1484.2686301973267,1027.7313698026733
Ayer,-,1,1078,729,2065,3672.5945881226053,0.562272788474485,0.3627732003733333,1315.8733412290667,749.1266587709333
Ayer,-,2,1084,769,2111,3754.4054118773947,0.5622727884744849,0.1573155980854486,1778.906772441618,332.09322755838195
Barnstable,-,1,1278,1015,2491,4267.466376042456,0.5837187175004979,0.019222684102088827,2443.1162939016967,47.88370609830327
Barnstable,-,2,1022,946,2142,3669.5756633813494,0.5837187175004979,0.5048211794236851,1060.6730336744665,1081.3269663255335
Barnstable,-,3,912,643,1683,2883.2380212282033,0.5837187175004979,0.39613840356610097,1016.299066798252,666.700933201748
Barnstable,-,4,994,879,2037,3489.694503411675,0.5837187175004979,0.5069783899576323,1004.2850196563029,1032.714980343697
Barnstable,-,5,1049,1115,2327,3986.5091357088704,0.5837187175004979,0.06210964813297648,2182.4708487945636,144.52915120543628
Barnstable,-,6,1033,1006,2246,3847.74366944655,0.583718717500498,0.5661711591953243,974.3795764473015,1271.6204235526984
Barnstable,-,7,1252,994,2447,4192.08760424564,0.5837187175004979,0.09795122241564369,2207.31335874892,239.68664125108012
Barnstable,-,8,875,575,1598,2737.619939347991,0.5837187175004979,0.32334626129055405,1081.2926744576948,516.7073255423054
Barnstable,-,9,620,341,1051,1800.524753601213,0.5837187175004979,0.04581127505799609,1002.8523499140462,48.14765008595389
Barnstable,-,10,928,929,2036,3487.9813495072026,0.5837187175004979,0.5242927322847426,968.539997068264,1067.460002931736
Barnstable,-,11,1124,1101,2424,4152.6850644427595,0.5837187175004979,0.3561369137505853,1560.724121068581,863.2758789314188
Barnstable,-,12,1050,1032,2272,3892.2856709628504,0.5837187175004979,0.4393333792273497,1273.8345623954615,998.1654376045385
Barnstable,-,13,868,619,1626,2785.5882486732376,0.5837187175004979,0.3208239490357389,1104.3402588678885,521.6597411321114
Barre,-,1,639,712,1521,2796.4434604904627,0.5439051500555763,0.27660516749850694,1100.283540234771,420.71645976522905
Barre,-,2,562,717,1415,2601.556539509537,0.5439051500555762,0.34144692860625614,931.8525960221475,483.14740397785243
Becket,-,1,571,368,1047,1779.0,0.5885328836424958,0.0093981291551537,1037.160158774554,9.839841225445925
Bedford,-,1,1419,548,2181,3601.6513761467886,0.6055555555555556,0.4475613059842861,1204.868791648272,976.131208351728
Bedford,-,2,1165,648,1985,3277.981651376147,0.6055555555555555,0.32446881358527696,1340.9294050332253,644.0705949667748
Bedford,-,3,1379,512,2070,3418.3486238532114,0.6055555555555555,0.39080746838360503,1261.0285404459376,808.9714595540624
Bedford,-,4,1122,503,1830,3022.0183486238534,0.6055555555555555,0.5455912244885761,831.5680591859057,998.4319408140943
Belchertown,-,A,1103,698,2001,3482.139344262295,0.5746467335654312,0.11114056005162226,1778.607739336704,222.39226066329616
Belchertown,-,B,977,894,2104,3661.3799002138276,0.5746467335654311,0.15278097501301346,1782.5488285726196,321.4511714273803
Belchertown,-,C,1048,955,2217,3858.0224518888094,0.5746467335654312,0.28472393584786226,1585.7670342252893,631.2329657747107
Belchertown,-,D,1280,606,2096,3647.4583036350678,0.5746467335654311,0.4651278309942626,1121.0920662360256,974.9079337639744
Bellingham,-,1,797,786,1766,3211.1235804943217,0.5499632623071271,0.32697324320898313,1188.5652524929358,577.4347475070642
Bellingham,-,2,846,834,1889,3434.7748830995324,0.5499632623071271,0.3995683728480517,1134.2153436900303,754.7846563099696
Bellingham,-,3,895,791,1849,3362.042752171009,0.5499632623071271,0.0595158423947153,1738.9552074121714,110.0447925878286
Bellingham,-,4,687,711,1561,2838.371409485638,0.5499632623071271,0.6466131441257666,551.6368820196783,1009.3631179803217
Bellingham,-,4A,104,92,213,387.29859719438883,0.549963262307127,0.3876197905405576,130.43698461486122,82.56301538513877
Bellingham,-,5,704,845,1704,3098.3887775551107,0.549963262307127,0.2670876312182296,1248.8826764041369,455.11732359586324
Belmont,-,1,1326,339,1841,3098.9101490708595,0.5940798253063205,0.06028824840666702,1730.009334683326,110.99066531667398
Belmont,-,2,1248,501,1946,3275.6540739228103,0.5940798253063204,0.2929512684566334,1375.9168315833915,570.0831684166086
Belmont,-,3,1317,366,1822,3066.9279150500306,0.5940798253063205,0.4370735872386601,1025.6519240511614,796.3480759488386
Belmont,-,4,1132,322,1603,2698.290586073106,0.5940798253063204,0.40550695998367847,952.9723431461634,650.0276568538366
Belmont,-,5,1275,350,1791,3014.7463753318357,0.5940798253063205,0.441859607032728,999.6294438043842,791.3705561956158
Belmont,-,6,1366,339,1849,3112.3763528691034,0.5940798253063205,0.27987069448356866,1331.5190858998815,517.4809141001184
Belmont,-,7,1339,345,1868,3144.3585868899327,0.5940798253063205,0.32480565924130433,1261.2630285372436,606.7369714627565
Belmont,-,8,1249,544,1971,3317.7359607923217,0.5940798253063205,0.5560643525474784,874.99716112892,1096.00283887108
Berkley,-,1,793,1003,1965,3424.1954335417236,0.5738574325378256,0.4732686008784808,1035.0271992737853,929.9728007262148
Berkley,-,2,662,923,1714,2986.8045664582764,0.5738574325378256,0.05730027519340264,1615.787328318508,98.21267168149213
Berlin,-,1,1009,745,1966,2866.0,0.685973482205164,0.21513210923053488,1543.0502732527684,422.9497267472316
Bernardston,-,1,711,382,1244,2129.0,0.5843118835133866,0.032837254291567364,1203.1504556612902,40.8495443387098
Beverly,1,1,941,640,1757,3096.6409672957657,0.5673889929623817,0.07422963368216073,1626.5785336204435,130.42146637955642
Beverly,1,2,1072,705,1991,3509.0564404586626,0.5673889929623817,0.43389334483981734,1127.1183504239236,863.8816495760764
Beverly,2,1,1111,435,1747,3079.0163744255565,0.5673889929623817,0.5402660270332781,803.1552507728632,943.8447492271368
Beverly,2,2,1336,484,2024,3567.2175969303526,0.5673889929623817,0.04227000289151439,1938.4455141475748,85.55448585242513
Beverly,3,1,916,396,1497,2638.401552670325,0.5673889929623817,0.04925110491217444,1423.2710959464748,73.72890405352513
Beverly,3,2,1005,607,1810,3190.051309507875,0.5673889929623817,0.6686268335344889,599.785431302575,1210.214568697425
Beverly,4,1,741,332,1172,2065.6022843885244,0.5673889929623817,0.5230626321968566,558.9705950652841,613.0294049347159
Beverly,4,2,1489,557,2242,3951.4337215009145,0.5673889929623817,0.26157917646104134,1655.5394863743454,586.4605136256547
Beverly,5,1,1117,676,1987,3502.0066033105786,0.5673889929623817,0.5635811380068025,867.1642787804833,1119.8357212195167
Beverly,5,2,1073,661,1933,3406.8338018114487,0.5673889929623817,0.4384596429083378,1085.457510258183,847.5424897418169
Beverly,6,1,1250,581,2070,3648.2907241333155,0.5673889929623817,0.2502707731652171,1551.9394995480004,518.0605004519995
Beverly,6,2,1134,830,2183,3847.44862356668,0.5673889929623817,0.0314065049142539,2114.4395997721836,68.56040022781626
Billerica,-,1,1087,834,2125,3824.8669380087667,0.5555748825882761,0.33204166936458485,1419.411452600257,705.5885473997428
Billerica,-,2,999,930,2143,3857.2658108954292,0.5555748825882761,0.681609550583987,682.3107330985159,1460.6892669014842
Billerica,-,3,957,929,2055,3698.8713212273015,0.5555748825882761,0.6057671887505925,810.1484271175323,1244.8515728824677
Billerica,-,4,804,803,1751,3151.690356919223,0.5555748825882763,0.49931632180902147,876.6971205124033,874.3028794875966
Billerica,-,5,953,1093,2232,4017.4602379461494,0.5555748825882761,0.36940192038687353,1407.4949136964983,824.5050863035017
Billerica,-,6,795,820,1791,3223.687852222918,0.5555748825882763,0.14051195294867086,1539.3430922689304,251.6569077310695
Billerica,-,7,979,876,2022,3639.473387601753,0.5555748825882763,0.1618185958644902,1694.8027991620008,327.1972008379992
Billerica,-,8,955,1065,2212,3981.4614902943017,0.5555748825882763,0.4087446175805971,1307.8569059117192,904.1430940882808
Billerica,-,9,860,996,2018,3632.273638071384,0.5555748825882761,0.5228210633390697,962.9470941817573,1055.0529058182428
Billerica,-,10,859,1061,2083,3749.2695679398876,0.5555748825882761,0.4027755380362418,1244.0185542705083,838.9814457294916
Billerica,-,11,852,912,1926,3466.679398872887,0.5555748825882761,0.5217832706040876,921.0454208165273,1004.9545791834727
Blackstone,-,1,578,734,1471,2871.9978369024443,0.5121870152891647,0.024194956519275057,1435.4092189601463,35.59078103985361
Blackstone,-,2,670,776,1592,3108.2396712091713,0.5121870152891647,0.3906446632559315,970.0936960965571,621.9063039034429
Blackstone,-,3,602,817,1560,3045.7624918883844,0.5121870152891645,0.6073963780815043,612.4616501928533,947.5383498071467
Blandford,-,1,256,405,717,1233.0,0.5815085158150851,0.09909362459803783,645.9498711632069,71.05012883679312
Bolton,-,1,1891,1036,3345,4897.0,0.6830712681233408,0.4048626887167544,1990.7343062424568,1354.2656937575434
Boston,1,1,755,189,1016,2262.2653966239554,0.44910734236407734,0.46420937635193277,544.3632736264362,471.6367263735637
Boston,1,2,562,142,755,1681.1125732786284,0.44910734236407734,0.5878544574035103,311.16988466034974,443.83011533965026
Boston,1,3,1276,251,1636,3642.781681965346,0.44910734236407734,0.11055859562938047,1455.1261375503336,180.87386244966646
Boston,1,4,366,88,492,1095.5064715934902,0.44910734236407734,0.58537870186666,203.99367868160328,288.0063213183967
Boston,1,5,652,153,867,1930.4961603080408,0.44910734236407734,0.44456616422218165,481.5611356193685,385.4388643806315
Boston,1,6,556,138,746,1661.072820749479,0.4491073423640774,0.40703588029423904,442.35123330049765,303.64876669950235
Boston,1,7,604,143,806,1794.671170943807,0.4491073423640774,0.19084881730491715,652.1758532522367,153.82414674776322
Boston,1,8,859,187,1123,2500.515787803841,0.4491073423640773,0.31187395356514525,772.7655501463419,350.23444985365813
Boston,1,9,551,146,761,1694.472408298061,0.44910734236407734,0.530910345408689,356.9772271439877,404.0227728560123
Boston,1,10,364,105,496,1104.413028273112,0.44910734236407734,0.5528974274397883,221.762875989865,274.237124010135
Boston,1,11,644,345,1058,2355.784241759985,0.4491073423640774,0.1890252402023852,858.0112958658765,199.98870413412354
Boston,1,12,582,364,1021,2273.3985924734825,0.4491073423640774,0.30259351951937946,712.0520165707136,308.9479834292864
Boston,1,13,927,361,1367,3043.8157452607743,0.4491073423640774,0.5124117086977953,666.5331942101138,700.4668057898862
Boston,1,14,425,219,678,1509.6613571959072,0.4491073423640774,0.5385082852371195,312.891382609233,365.108617390767
Boston,1,15,1,0,1,2.226639169905468,0.44910734236407734,0.04641659940042031,0.9535834005995797,0.04641659940042031
Boston,2,1,1164,384,1709,3805.3263413684444,0.4491073423640774,0.07062435150907997,1588.3029832709824,120.69701672901768
Boston,2,2,1530,378,2067,4602.4631641946025,0.44910734236407734,0.4276987667327129,1182.9466491634823,884.0533508365176
Boston,2,3,876,211,1200,2671.9670038865615,0.44910734236407734,0.17757561113932957,986.9092666328045,213.0907333671955
Boston,2,4,821,187,1118,2489.382591954313,0.4491073423640774,0.23206859545348435,858.5473102830045,259.4526897169955
Boston,2,5,875,280,1276,2841.191580799377,0.4491073423640774,0.6566025929549003,438.1750913895472,837.8249086104528
Boston,2,6,1028,381,1559,3471.330465882624,0.4491073423640774,0.12515276699302574,1363.886836257873,195.11316374212714
Boston,2,7,779,290,1176,2618.52766380883,0.44910734236407746,0.5829345058956819,490.4690210666781,685.5309789333219
Boston,3,1,1165,434,1758,3914.4316606938123,0.4491073423640774,0.39263421164890155,1067.749055921231,690.250944078769
Boston,3,2,856,298,1263,2812.2452715906056,0.4491073423640774,0.5148679598489521,612.7217667107735,650.2782332892265
Boston,3,3,916,329,1371,3052.7223019403964,0.4491073423640774,0.4399748468417024,767.794484980026,603.205515019974
Boston,3,4,931,361,1422,3166.280899605575,0.4491073423640774,0.38311561683245055,877.2095928642553,544.7904071357447
Boston,3,5,1684,386,2229,4963.178709719287,0.4491073423640774,0.49364536267512255,1128.664486597152,1100.3355134028482
Boston,3,6,2121,536,2904,6466.160149405479,0.44910734236407734,0.40586766692739007,1725.3602952428591,1178.6397047571409
Boston,3,7,2451,223,2836,6314.748685851907,0.44910734236407734,0.2135078259348192,2230.4918056488527,605.5081943511473
Boston,3,8,2941,433,3621,8062.6604342277,0.44910734236407734,0.02052148309654933,3546.6917097073947,74.30829029260512
Boston,4,1,1283,121,1502,3344.412033198013,0.44910734236407734,0.5314634288565049,703.7419298575296,798.2580701424704
Boston,4,2,1731,324,2228,4960.952070549382,0.4491073423640774,0.6541789583224662,770.4892808575453,1457.5107191424547
Boston,4,3,858,73,1023,2277.8518708132938,0.44910734236407734,0.2426089528259192,774.8110412590846,248.18895874091535
Boston,4,4,1214,82,1386,3086.121889488978,0.44910734236407746,0.07848734006646296,1277.2165466678823,108.78345333211766
Boston,4,5,901,114,1095,2438.1698910464875,0.44910734236407734,0.541553870476249,501.99851182850733,593.0014881714927
Boston,4,6,741,98,911,2028.4682837838811,0.4491073423640774,0.20537535400768026,723.9030524990033,187.09694750099672
Boston,4,7,819,76,959,2135.346963939344,0.44910734236407734,0.11763649304349,846.1866031712931,112.81339682870691
Boston,4,8,795,113,978,2177.6531081675475,0.4491073423640774,0.3140406742520851,670.8682205814607,307.1317794185392
Boston,4,9,689,24,770,1714.5121608272102,0.4491073423640774,0.18710569323348336,625.9286162102178,144.07138378978217
Boston,4,10,390,45,465,1035.3872140060425,0.4491073423640774,0.3885587482688394,284.3201820549897,180.6798179450103
Boston,5,1,2512,301,3056,6804.60930323111,0.44910734236407734,0.40666762245760074,1813.2237457695724,1242.7762542304279
Boston,5,2,882,77,1029,2291.2117058327262,0.4491073423640774,0.07843764574370748,948.287662529725,80.712337470275
Boston,5,2A,507,76,638,1420.5957903996884,0.4491073423640774,0.4051965134166077,379.4846244402043,258.5153755597957
Boston,5,3,1077,191,1395,3106.1616420181276,0.4491073423640774,0.26757726202903587,1021.729719469495,373.27028053050503
Boston,5,4,1371,174,1684,3749.660362120808,0.4491073423640774,0.5012573204586297,839.8826723476676,844.1173276523324
