City/Town,Ward,Pct,Clinton/ Kaine,Trump/ Pence,Total Votes Cast,pop by share of vote,turnout,new_r_share,new_d_votes,new_r_votes
Abington,-,1,818,717,1709,3065.346162477558,0.5575226775101658,0.14200176183426916,1466.318989025234,242.681010974766
Abington,-,2,739,785,1671,2997.1875,0.5575226775101658,0.21703884748103108,1308.328085859197,362.6719141408029
Abington,-,3,773,808,1726,3095.8381956912026,0.5575226775101658,0.5616563407079597,756.5811559380617,969.4188440619383
Abington,-,4,877,878,1919,3442.012455116697,0.5575226775101657,0.16953709569324504,1593.6583133646627,325.3416866353372
Abington,-,5,908,829,1887,3384.6156867145423,0.5575226775101657,0.4153809207038023,1103.1762026319252,783.8237973680749
Acton,-,1,1459,438,2084,3523.5301920259117,0.5914522897281519,0.45912891057429706,1127.1753503631649,956.824649636835
Acton,-,2,1550,480,2228,3766.998688979718,0.5914522897281518,0.5652794828085227,968.5573123026114,1259.4426876973885
Acton,-,3,1580,435,2235,3778.8339631371946,0.5914522897281518,0.14760999758721122,1905.091655392583,329.90834460741706
Acton,-,4,1675,414,2312,3909.0219788694376,0.5914522897281518,0.11050141791854395,2056.5207217723264,255.47927822767363
Acton,-,5,1580,387,2167,3663.8627284645636,0.5914522897281519,0.24540437285614009,1635.2087240207443,531.7912759792556
Acton,-,6,1354,401,1941,3281.752448523174,0.5914522897281519,0.27540218147265333,1406.44436576158,534.5556342384201
Acushnet,-,1,783,786,1702,3091.6265867418897,0.5505192662331361,0.3754708943917665,1062.9485377452133,639.0514622547865
Acushnet,-,2,756,1043,1958,3556.642101551481,0.550519266233136,0.2546618054095781,1459.372185008046,498.6278149919539
Acushnet,-,3,862,1005,2012,3654.731311706629,0.550519266233136,0.679406090663594,645.0349455848489,1366.9650544151511
Adams,-,1,439,255,767,1595.0968137254902,0.4808485562757808,0.5954457293168418,310.29312561398234,456.70687438601766
Adams,-,2,476,270,829,1724.0355392156862,0.4808485562757808,0.42265019117005365,478.62299152002555,350.37700847997445
Adams,-,3,475,268,819,1703.2389705882354,0.48084855627578077,0.5668927386486514,354.71484704675447,464.28515295324553
Adams,-,4,446,233,740,1538.9460784313726,0.48084855627578077,0.4656846509700026,395.3933582821981,344.60664171780195
Adams,-,5,577,259,925,1923.6825980392157,0.48084855627578077,0.36069237613272037,591.3595520772337,333.6404479227663
Agawam,-,1,631,827,1605,3068.023795119984,0.5231380547155215,0.018907472946257498,1574.6535059212567,30.346494078743284
Agawam,-,2,850,1069,2099,4012.325199973113,0.5231380547155214,0.544882450750238,955.2917358752504,1143.7082641247496
Agawam,-,3,770,921,1814,3467.5359279424615,0.5231380547155214,0.12718275459902567,1583.2904831573676,230.70951684263258
Agawam,-,4,700,724,1564,2989.650601599785,0.5231380547155214,0.5051393923486787,773.9619903666666,790.0380096333334
Agawam,-,5,861,998,2050,3918.6596760099483,0.5231380547155214,0.6039556445446285,811.8909286835117,1238.1090713164883
Agawam,-,6,783,882,1812,3463.71284533172,0.5231380547155215,0.32734217915646774,1218.8559713684806,593.1440286315195
Agawam,-,7,750,991,1914,3658.690058479532,0.5231380547155214,0.5569627194512344,847.9733549703373,1066.0266450296626
Agawam,-,8,863,1009,2019,3859.4018955434562,0.5231380547155215,0.37048525498581986,1270.9902701836297,748.0097298163703
Alford,-,1,226,52,307,494.0,0.6214574898785425,0.1866594449377844,249.69555040410017,57.30444959589982
Amesbury,-,1,930,623,1740,3013.4460753031267,0.5774120248111528,0.30477039278197016,1209.699516559372,530.3004834406281
