City/Town,Ward,Pct,Clinton/ Kaine,Trump/ Pence,Total Votes Cast,pop by share of vote,turnout,new_r_share,new_d_votes,new_r_votes
Abington,-,1,818,717,1709,3065.346162477558,0.5575226775101658,0.4711532872103534,903.799032157506,805.2009678424939
Abington,-,2,739,785,1671,2997.1875,0.5575226775101658,0.25776595050025897,1240.2730967140674,430.72690328593274
Abington,-,3,773,808,1726,3095.8381956912026,0.5575226775101658,0.4581903692677902,935.1634226437941,790.8365773562059
Abington,-,4,877,878,1919,3442.012455116697,0.5575226775101657,0.3491078997801778,1249.0619403218388,669.9380596781613
Abington,-,5,908,829,1887,3384.6156867145423,0.5575226775101657,0.31660461920671323,1289.5670835569322,597.4329164430678
Acton,-,1,1459,438,2084,3523.5301920259117,0.5914522897281519,0.34736165915088835,1360.0983023295487,723.9016976704513
Acton,-,2,1550,480,2228,3766.998688979718,0.5914522897281518,0.3827069739868708,1375.3288619572518,852.6711380427482
Acton,-,3,1580,435,2235,3778.8339631371946,0.5914522897281518,0.4063381809818678,1326.8341655055256,908.1658344944746
Acton,-,4,1675,414,2312,3909.0219788694376,0.5914522897281518,0.5259012829749907,1096.1162337618214,1215.8837662381786
Acton,-,5,1580,387,2167,3663.8627284645636,0.5914522897281519,0.36597260275767096,1373.937369824127,793.062630175873
Acton,-,6,1354,401,1941,3281.752448523174,0.5914522897281519,0.07371103422051922,1797.9268825779723,143.07311742202782
Acushnet,-,1,783,786,1702,3091.6265867418897,0.5505192662331361,0.21109477924059006,1342.7166857325158,359.2833142674843
Acushnet,-,2,756,1043,1958,3556.642101551481,0.550519266233136,0.30355958094791846,1363.6303405039757,594.3696594960244
Acushnet,-,3,862,1005,2012,3654.731311706629,0.550519266233136,0.47389736862529713,1058.518494325902,953.4815056740978
Adams,-,1,439,255,767,1595.0968137254902,0.4808485562757808,0.20825181844865936,607.2708552498783,159.72914475012172
Adams,-,2,476,270,829,1724.0355392156862,0.4808485562757808,0.09049151880423001,753.9825309112933,75.01746908870668
Adams,-,3,475,268,819,1703.2389705882354,0.48084855627578077,0.4204849858659869,474.6227965757567,344.3772034242433
Adams,-,4,446,233,740,1538.9460784313726,0.48084855627578077,0.26544578857400747,543.5701164552345,196.42988354476552
Adams,-,5,577,259,925,1923.6825980392157,0.48084855627578077,0.39920900974194184,555.7316659887038,369.2683340112962
Agawam,-,1,631,827,1605,3068.023795119984,0.5231380547155215,0.43411676280135897,908.2425957038189,696.7574042961811
Agawam,-,2,850,1069,2099,4012.325199973113,0.5231380547155214,0.4464945330237317,1161.807975183187,937.1920248168128
Agawam,-,3,770,921,1814,3467.5359279424615,0.5231380547155214,0.3995696732436883,1089.1806127359494,724.8193872640505
Agawam,-,4,700,724,1564,2989.650601599785,0.5231380547155214,0.44908669571381615,861.6284079035914,702.3715920964084
Agawam,-,5,861,998,2050,3918.6596760099483,0.5231380547155214,0.5112887065681222,1001.8581515353495,1048.1418484646506
Agawam,-,6,783,882,1812,3463.71284533172,0.5231380547155215,0.49169852107664636,921.0422798091168,890.9577201908832
Agawam,-,7,750,991,1914,3658.690058479532,0.5231380547155214,0.4166518206166715,1116.5284153396908,797.4715846603092
Agawam,-,8,863,1009,2019,3859.4018955434562,0.5231380547155215,0.4822367768137658,1045.3639476130068,973.6360523869931
Alford,-,1,226,52,307,494.0,0.6214574898785425,0.3800028805929211,190.33911565797322,116.66088434202678
Amesbury,-,1,930,623,1740,3013.4460753031267,0.5774120248111528,0.5177849767078395,839.0541405283592,900.9458594716408
