City/Town,Ward,Pct,Clinton/ Kaine,Trump/ Pence,Total Votes Cast,pop by share of vote,turnout,new_r_share,new_d_votes,new_r_votes
Abington,-,1,818,717,1709,3065.346162477558,0.5575226775101658,0.13422859219339917,1479.6033359414807,229.39666405851918
Abington,-,2,739,785,1671,2997.1875,0.5575226775101658,0.2336789173420029,1280.5225291215131,390.4774708784869
Abington,-,3,773,808,1726,3095.8381956912026,0.5575226775101658,0.6011444572755843,688.4246667423415,1037.5753332576585
Abington,-,4,877,878,1919,3442.012455116697,0.5575226775101657,0.05324530394700133,1816.8222617257045,102.17773827429556
Abington,-,5,908,829,1887,3384.6156867145423,0.5575226775101657,0.5780315434154263,796.2544775750906,1090.7455224249095
Acton,-,1,1459,438,2084,3523.5301920259117,0.5914522897281519,0.45891115715847774,1127.6291484817323,956.3708515182676
Acton,-,2,1550,480,2228,3766.998688979718,0.5914522897281518,0.4278940575071122,1274.652039874154,953.3479601258459
Acton,-,3,1580,435,2235,3778.8339631371946,0.5914522897281518,0.7272195599067729,609.6642836083626,1625.3357163916373
Acton,-,4,1675,414,2312,3909.0219788694376,0.5914522897281518,0.5915402220538175,944.3590066115739,1367.640993388426
Acton,-,5,1580,387,2167,3663.8627284645636,0.5914522897281519,0.13523233220046327,1873.951536121596,293.0484638784039
Acton,-,6,1354,401,1941,3281.752448523174,0.5914522897281519,0.5035004789309058,963.7055703951119,977.2944296048881
Acushnet,-,1,783,786,1702,3091.6265867418897,0.5505192662331361,0.40844006918262254,1006.8350022511764,695.1649977488236
Acushnet,-,2,756,1043,1958,3556.642101551481,0.550519266233136,0.3939739694581914,1186.5989678008611,771.4010321991387
Acushnet,-,3,862,1005,2012,3654.731311706629,0.550519266233136,0.18329009239824595,1643.2203340947292,368.77966590527086
Adams,-,1,439,255,767,1595.0968137254902,0.4808485562757808,0.19653671711179616,616.2563379752523,150.74366202474766
Adams,-,2,476,270,829,1724.0355392156862,0.4808485562757808,0.2810402819858593,596.0176062337226,232.98239376627734
Adams,-,3,475,268,819,1703.2389705882354,0.48084855627578077,0.10340469972375754,734.3115509262426,84.68844907375743
Adams,-,4,446,233,740,1538.9460784313726,0.48084855627578077,0.12194483174819798,649.7608245063335,90.23917549366651
Adams,-,5,577,259,925,1923.6825980392157,0.48084855627578077,0.5351680615053526,429.9695431075489,495.0304568924511
Agawam,-,1,631,827,1605,3068.023795119984,0.5231380547155215,0.4396191306997882,899.4112952268399,705.5887047731601
Agawam,-,2,850,1069,2099,4012.325199973113,0.5231380547155214,0.49546018235725564,1059.0290772321205,1039.9709227678795
Agawam,-,3,770,921,1814,3467.5359279424615,0.5231380547155214,0.2937759370964314,1281.0904501070734,532.9095498929265
Agawam,-,4,700,724,1564,2989.650601599785,0.5231380547155214,0.5655581377007945,679.4670726359574,884.5329273640426
Agawam,-,5,861,998,2050,3918.6596760099483,0.5231380547155214,0.3837933696900624,1263.2235921353722,786.7764078646279
Agawam,-,6,783,882,1812,3463.71284533172,0.5231380547155215,0.33535313665829813,1204.3401163751637,607.6598836248362
Agawam,-,7,750,991,1914,3658.690058479532,0.5231380547155214,0.46532424866107114,1023.3693880627098,890.6306119372902
Agawam,-,8,863,1009,2019,3859.4018955434562,0.5231380547155215,0.4539818479690347,1102.4106489505189,916.589351049481
Alford,-,1,226,52,307,494.0,0.6214574898785425,0.5963565704922041,123.91853285889333,183.08146714110669
Amesbury,-,1,930,623,1740,3013.4460753031267,0.5774120248111528,0.05631222825723814,1642.0167228324055,97.98327716759437
Amesbury,-,2,901,503,1576,2729.4201233780045,0.5774120248111527,0.45515775480439347,858.671378428276,717.328621571724
Amesbury,-,3,960,498,1622,2809.0859391618806,0.5774120248111527,0.5676470988531438,701.2764056602008,920.7235943397992
Amesbury,-,4,805,502,1457,2523.3281216762393,0.5774120248111527,0.4424773882338841,812.3104453432308,644.6895546567691
Amesbury,-,5,745,675,1595,2762.3255690278665,0.5774120248111527,0.5414852266391329,731.331063510583,863.668936489417
Amesbury,-,6,833,430,1412,2445.3941714528823,0.5774120248111527,0.49043546943119776,719.5051171631487,692.4948828368513
Amherst,-,1,955,101,1203,3019.796694544006,0.39837118908485153,0.42197096389878797,695.368930429758,507.63106957024195
Amherst,-,2,1409,143,1731,4345.193747510952,0.39837118908485153,0.11918782621150642,1524.6858728278823,206.31412717211762
Amherst,-,3,908,125,1154,2896.7958316739678,0.39837118908485153,0.0551763205630752,1090.3265260702112,63.67347392978878
Amherst,-,4,910,162,1186,2977.1229257931764,0.3983711890848516,0.16361070331314925,991.957705870605,194.042294129395
Amherst,-,5,1023,95,1207,3029.8375813089074,0.39837118908485153,0.33869203058476105,798.1987190841934,408.8012809158066
Amherst,-,6,1464,134,1758,4412.969733174034,0.39837118908485153,0.23910478892654669,1337.653781067131,420.3462189328691
Amherst,-,7,1440,131,1717,4310.050643833798,0.39837118908485153,0.13102761504955923,1492.0255849599066,224.9744150400932
Amherst,-,8,1644,124,1932,4849.748307447232,0.39837118908485153,0.16793516715460605,1607.549257057301,324.45074294269887
Amherst,-,9,1382,79,1645,4129.314682065578,0.39837118908485153,0.18230992896550696,1345.100166851741,299.89983314825895
Amherst,-,10,1222,154,1533,3848.1698526483474,0.39837118908485153,0.42842685143107456,876.2216367561628,656.7783632438372
Andover,-,1,1101,433,1697,2878.709227467811,0.5895003162555345,0.22113863658853855,1321.72773370925,375.27226629074994
Andover,-,2,1312,865,2376,4030.532188841202,0.5895003162555345,0.3419389301922371,1563.5531018632446,812.4468981367553
Andover,-,3,1431,651,2292,3888.038626609442,0.5895003162555345,0.13751447240203424,1976.8168292545374,315.18317074546246
Andover,-,4,1162,818,2190,3715.010729613734,0.5895003162555345,0.05925912505637443,2060.22251612654,129.77748387346
Andover,-,5,1257,758,2219,3764.204935622318,0.5895003162555345,0.09657796171383537,2004.6935029569993,214.3064970430007
Andover,-,6,1207,842,2254,3823.5772532188844,0.5895003162555345,0.12950730369450902,1962.0905374725767,291.90946252742333
Andover,-,7,980,548,1682,2853.263948497854,0.5895003162555345,0.12994213208326177,1463.4373338359537,218.5626661640463
Andover,-,7A,256,163,470,797.2854077253219,0.5895003162555345,0.20366571622027768,374.27711337646946,95.72288662353051
Andover,-,8,1278,685,2176,3691.2618025751076,0.5895003162555345,0.23911812984337216,1655.678949460822,520.3210505391778
Andover,-,9,1232,752,2200,3731.9742489270384,0.5895003162555346,0.09779685311208453,1984.846923153414,215.15307684658595
Andover,-,9A,6,7,16,27.141630901287556,0.5895003162555345,0.3600662299988402,10.238940320018557,5.761059679981443
Aquinnah,-,1,232,34,287,311.0,0.9228295819935691,0.37369824939296337,179.7486024242195,107.25139757578049
Arlington,-,1,802,173,1048,1646.456382237542,0.6365185323499206,0.19465642680236872,844.0000647111176,203.99993528888243
Arlington,-,2,1028,232,1370,2152.333247772359,0.6365185323499206,0.11439713824611863,1213.2759206028175,156.72407939718252
Arlington,-,3,1049,169,1323,2078.4940779582707,0.6365185323499206,0.264788517758575,972.6847910054054,350.3152089945947
Arlington,-,4,1022,195,1320,2073.780939459499,0.6365185323499206,0.4527087281481998,722.4244788443762,597.5755211556237
Arlington,-,5,932,233,1259,1977.94712331781,0.6365185323499206,0.2924384177439485,890.8200320603688,368.1799679396312
Arlington,-,6,946,178,1206,1894.6816765061787,0.6365185323499206,0.5743357471371577,513.3510889525878,692.6489110474122
Arlington,-,7,938,173,1203,1889.968538007407,0.6365185323499207,0.19778276489216567,965.0673338347246,237.9326661652753
Arlington,-,8,1169,153,1424,2237.1697407502475,0.6365185323499206,0.199242506214032,1140.2786711512185,283.7213288487816
