City/Town,Ward,Pct,John F. Kerry,Michael E. Cloud,Total Votes Cast,,
Billerica,-,1,877,246,"1,207",,
Billerica,-,2,927,280,"1,290",,
Billerica,-,3,909,239,"1,231",,
Billerica,-,4,884,268,"1,255",,
Billerica,-,5,965,309,"1,385",,
Billerica,-,6,671,225,969,,
Billerica,-,7,769,254,"1,115",,
Billerica,-,8,853,333,"1,288",,
Billerica,-,9,853,260,"1,198",,
Billerica,-,10,954,279,"1,337",,
Billerica,-,11,768,227,"1,087",,
Blackstone,-,1,704,134,897,,
Blackstone,-,2,745,168,971,,
Blackstone,-,3,809,191,"1,085",,
Blandford,-,1,295,103,450,,
Bolton,-,1,"1,360",476,"2,083",,
Boston,1,1,354,57,513,,
Boston,1,2,208,48,368,,
Boston,1,3,373,60,590,,
Boston,1,4,161,35,264,,
Boston,1,5,188,32,294,,
Boston,1,6,243,34,359,,
Boston,1,7,302,43,436,,
Boston,1,8,297,58,457,,
Boston,1,9,272,39,376,,
Boston,1,10,176,41,282,,
Boston,1,11,456,90,690,,
Boston,1,12,468,107,740,,
Boston,1,13,522,99,829,,
Boston,1,14,292,61,442,,
Boston,1,15,3,0,3,,
Boston,2,1,666,131,931,,
Boston,2,2,634,128,922,,
Boston,2,3,586,146,839,,
Boston,2,4,436,110,652,,
Boston,2,5,551,108,759,,
Boston,2,6,729,149,"1,031",,
Boston,2,7,472,80,632,,
Boston,3,1,"1,160",258,"1,701",,
Boston,3,2,475,115,715,,
Boston,3,3,434,95,637,,
Boston,3,4,505,94,738,,
Boston,3,5,806,178,"1,158",,
Boston,3,6,886,284,"1,358",,
Boston,3,7,915,109,"1,154",,
Boston,3,8,469,114,"1,009",,
Boston,4,1,768,136,"1,006",,
Boston,4,2,770,148,"1,040",,
Boston,4,3,494,82,629,,
Boston,4,4,745,73,919,,
Boston,4,5,478,86,655,,
Boston,4,6,359,88,526,,
Boston,4,7,463,82,632,,
Boston,4,8,358,70,498,,
Boston,4,9,168,15,218,,
Boston,4,10,137,26,186,,
Boston,5,1,933,175,"1,436",,
Boston,5,2,627,100,838,,
Boston,5,3,679,174,954,,
Boston,5,4,733,137,995,,
Boston,5,5,245,69,367,,
Boston,5,6,603,166,897,,
Boston,5,7,764,187,"1,104",,
