City/Town,Ward,Pct,John F. Kerry,Michael E. Cloud,Total Votes Cast,,
Fairhaven,-,3,636,76,768,,
Fairhaven,-,4,650,105,837,,
Fairhaven,-,5,709,136,918,,
Fairhaven,-,6,735,148,955,,
Fall River,1,A,691,90,837,,
Fall River,1,B,567,49,682,,
Fall River,1,C,537,78,659,,
Fall River,1,D,594,58,698,,
Fall River,2,A,490,61,587,,
Fall River,2,B,500,50,574,,
Fall River,2,C,622,81,744,,
Fall River,3,A,737,85,864,,
Fall River,3,B,689,90,829,,
Fall River,3,C,712,73,840,,
Fall River,4,A,566,77,679,,
Fall River,4,B,429,40,507,,
Fall River,4,C,628,54,711,,
Fall River,5,A,348,38,403,,
Fall River,5,B,361,46,441,,
Fall River,5,C,401,39,473,,
Fall River,6,A,679,93,826,,
Fall River,6,B,505,42,612,,
Fall River,6,C,634,67,771,,
Fall River,7,A,306,39,360,,
Fall River,7,B,423,85,568,,
Fall River,7,C,392,65,492,,
Fall River,7,D,466,36,546,,
Fall River,8,A,423,77,531,,
Fall River,8,B,765,126,"1,010",,
Fall River,8,C,776,87,950,,
Fall River,8,D,570,53,687,,
Fall River,9,A,"1,128",205,"1,534",,
Fall River,9,B,706,97,882,,
Fall River,9,C,655,112,868,,
Falmouth,-,1,"1,400",311,"1,993",,
Falmouth,-,2,"1,090",241,"1,525",,
Falmouth,-,3,"1,248",329,"1,746",,
Falmouth,-,4,"1,209",299,"1,671",,
Falmouth,-,5,"1,405",355,"2,016",,
Falmouth,-,6,"1,128",323,"1,678",,
Falmouth,-,7,"1,022",272,"1,437",,
Falmouth,-,8,"1,109",290,"1,564",,
Falmouth,-,9,"1,027",241,"1,388",,
Fitchburg,1,A,641,118,827,,
Fitchburg,1,B,754,135,966,,
Fitchburg,2,A,484,85,604,,
Fitchburg,2,B,689,121,881,,
Fitchburg,3,A,"1,030",182,"1,304",,
Fitchburg,3,B,735,167,978,,
Fitchburg,4,A,458,116,638,,
Fitchburg,4,B,437,107,594,,
Fitchburg,5,A,979,260,"1,341",,
Fitchburg,5,B,323,79,429,,
Fitchburg,6,A,792,165,"1,059",,
Fitchburg,6,B,582,138,773,,
Florida,-,1,170,47,235,,
Foxborough,-,1,908,251,"1,267",,
Foxborough,-,2,"1,033",263,"1,418",,
Foxborough,-,3,"1,015",280,"1,415",,
Foxborough,-,4,927,289,"1,349",,
Foxborough,-,5,962,305,"1,405",,
Framingham,-,1,"1,262",318,"1,721",,
Framingham,-,2,"1,351",325,"1,830",,
Framingham,-,3,"1,020",237,"1,387",,
Framingham,-,4,"1,383",337,"1,898",,
Framingham,-,5,"1,149",299,"1,594",,
Framingham,-,6,"1,223",288,"1,641",,
Framingham,-,7,"1,108",275,"1,499",,
Framingham,-,8,"1,128",258,"1,504",,
Framingham,-,9,785,179,"1,042",,
Framingham,-,10,593,147,805,,
Framingham,-,11,"1,381",358,"1,909",,
Framingham,-,12,597,135,830,,
Framingham,-,13,799,158,"1,021",,
Framingham,-,14,505,97,659,,
Framingham,-,15,690,104,860,,
Framingham,-,16,258,50,326,,
Framingham,-,17,252,32,311,,
Framingham,-,18,417,107,561,,
Franklin,-,1,943,245,"1,336",,
Franklin,-,2,"1,014",246,"1,380",,
Franklin,-,3,"1,007",228,"1,356",,
Franklin,-,4,994,267,"1,406",,
Franklin,-,5,"1,049",249,"1,401",,
Franklin,-,6,"1,040",254,"1,423",,
Franklin,-,7,"1,094",277,"1,522",,
Franklin,-,8,"1,047",313,"1,506",,
Freetown,-,1,717,181,979,,
Freetown,-,2,717,158,944,,
Freetown,-,3,740,196,"1,025",,
Gardner,1,A,520,137,746,,
Gardner,1,B,336,95,478,,
Gardner,1,C,80,16,106,,
Gardner,2,A,493,95,646,,
Gardner,2,B,536,105,681,,
Gardner,3,A,440,59,535,,
Gardner,3,B,618,89,763,,
Gardner,4,A,429,102,597,,
Gardner,4,B,344,69,435,,
Gardner,5,A,422,81,544,,
Gardner,5,B,599,156,823,,
Georgetown,-,1,"1,154",327,"1,632",,
Georgetown,-,2,994,344,"1,510",,
Gill,-,1,399,82,583,,
Gloucester,1,1,"1,005",235,"1,430",,
Gloucester,1,2,865,147,"1,113",,
Gloucester,2,1,557,81,690,,
Gloucester,2,2,600,89,768,,
Gloucester,3,1,642,142,865,,
Gloucester,3,2,775,136,996,,
Gloucester,4,1,890,148,"1,167",,
Gloucester,4,2,"1,038",212,"1,464",,
Gloucester,5,1,971,251,"1,386",,
Gloucester,5,2,964,252,"1,381",,
Goshen,-,1,283,54,388,,
Gosnold,-,1,31,15,50,,
Grafton,-,1,"1,028",228,"1,373",,
Grafton,-,2,"1,196",319,"1,669",,
Grafton,-,3,"1,070",279,"1,549",,
Grafton,-,4,897,257,"1,268",,
Granby,-,1,"1,634",469,"2,326",,
Granville,-,1,358,131,580,,
Great Barrington,-,A,536,70,684,,
Great Barrington,-,B,539,78,684,,
Great Barrington,-,C,361,54,489,,
Great Barrington,-,D,525,63,688,,
Greenfield,-,1,469,72,635,,
Greenfield,-,2,628,122,889,,
Greenfield,-,3,451,68,605,,
Greenfield,-,4,578,77,752,,
Greenfield,-,5,476,86,690,,
Greenfield,-,6,394,70,603,,
Greenfield,-,7,396,83,558,,
Greenfield,-,8,363,63,505,,
Greenfield,-,9,419,79,564,,
Groton,-,1,"1,079",325,"1,576",,
Groton,-,2,976,350,"1,448",,
Groton,-,3,"1,049",347,"1,568",,
Groveland,-,1,"1,863",574,"2,694",,
Hadley,-,1,"1,714",326,"2,367",,
Halifax,-,1,"1,008",333,"1,494",,
Halifax,-,2,993,284,"1,389",,
Hamilton,-,1,933,281,"1,386",,
Hamilton,-,2,887,245,"1,295",,
Hamilton,-,3,553,223,923,,
Hampden,-,1,"1,429",416,"2,068",,
Hancock,-,1,199,42,265,,
Hanover,-,1,"1,062",339,"1,557",,
Hanover,-,2,"1,068",320,"1,564",,
Hanover,-,3,"1,091",338,"1,588",,
Hanover,-,4,"1,030",338,"1,504",,
Hanson,-,1,916,258,"1,293",,
Hanson,-,2,989,248,"1,356",,
Hanson,-,3,904,275,"1,300",,
Hardwick,-,1,818,199,"1,108",,
Harvard,-,1,"1,786",536,"2,627",,
Harwich,-,1,"1,082",370,"1,685",,
Harwich,-,2,"1,013",345,"1,554",,
Harwich,-,3,"1,111",395,"1,690",,
Harwich,-,4,968,249,"1,354",,
Hatfield,-,1,"1,258",224,"1,635",,
Haverhill,1,1,350,65,451,,
Haverhill,1,2,344,53,429,,
Haverhill,1,3,542,151,759,,
Haverhill,2,1,511,110,685,,
Haverhill,2,2,611,164,838,,
Haverhill,2,3,375,78,487,,
Haverhill,3,1,244,56,315,,
Haverhill,3,2,463,90,608,,
Haverhill,3,3,531,128,727,,
Haverhill,4,1,786,185,"1,085",,
Haverhill,4,2,787,271,"1,175",,
Haverhill,4,3,762,206,"1,092",,
Haverhill,5,1,809,171,"1,066",,
Haverhill,5,2,811,248,"1,142",,
Haverhill,5,3,832,255,"1,203",,
Haverhill,6,1,656,153,856,,
Haverhill,6,2,678,167,941,,
Haverhill,6,3,781,175,"1,031",,
Haverhill,7,1,745,183,"1,037",,
Haverhill,7,2,599,163,828,,
Haverhill,7,3,914,246,"1,277",,
Hawley,-,1,69,32,118,,
Heath,-,1,174,60,294,,
Hingham,-,1,"1,060",290,"1,516",,
Hingham,-,2,"1,104",303,"1,597",,
Hingham,-,3,"1,167",306,"1,696",,
Hingham,-,4,"1,128",368,"1,746",,
Hingham,-,5,"1,157",337,"1,694",,
Hingham,-,6,"1,146",355,"1,694",,
Hinsdale,-,1,463,89,604,,
Holbrook,-,1,758,218,"1,073",,
Holbrook,-,2,838,226,"1,160",,
Holbrook,-,3,810,199,"1,120",,
Holbrook,-,4,769,160,"1,001",,
Holden,-,1,893,251,"1,318",,
Holden,-,2,"1,070",321,"1,637",,
Holden,-,3,"1,124",277,"1,613",,
Holden,-,4,"1,118",286,"1,599",,
Holden,-,5,"1,055",280,"1,541",,
Holland,-,1,529,144,731,,
Holliston,-,1,"1,151",278,"1,586",,
Holliston,-,2,"1,201",287,"1,651",,
Holliston,-,3,"1,022",254,"1,411",,
Holliston,-,4,"1,040",249,"1,450",,
Holyoke,1,A,320,27,382,,
Holyoke,1,B,377,58,495,,
Holyoke,2,A,400,52,518,,
Holyoke,2,B,208,29,273,,
Holyoke,3,A,769,116,973,,
Holyoke,3,B,941,159,"1,184",,
Holyoke,4,A,286,36,375,,
Holyoke,4,B,474,81,633,,
Holyoke,5,A,949,228,"1,347",,
Holyoke,5,B,693,108,883,,
Holyoke,6,A,683,117,882,,
Holyoke,6,B,680,134,913,,
Holyoke,7,A,822,214,"1,206",,
Holyoke,7,B,827,164,"1,141",,
Hopedale,-,1,"1,735",432,"2,396",,
Hopkinton,-,1,"1,096",342,"1,578",,
Hopkinton,-,2,"1,128",266,"1,523",,
Hopkinton,-,3,"1,039",309,"1,499",,
Hopkinton,-,4,959,307,"1,420",,
Hubbardston,-,1,"1,093",427,"1,672",,
Hudson,-,1,813,234,"1,121",,
Hudson,-,2,625,157,842,,
Hudson,-,3,819,198,"1,102",,
Hudson,-,4,744,272,"1,102",,
Hudson,-,5,863,215,"1,152",,
Hudson,-,6,518,114,694,,
Hudson,-,7,546,151,748,,
Hull,-,1,"1,180",256,"1,547",,
Hull,-,2,"1,020",237,"1,334",,
Hull,-,3,"1,226",279,"1,654",,
Huntington,-,1,475,142,709,,
Ipswich,-,1,964,246,"1,399",,
Ipswich,-,2,"1,093",293,"1,590",,
Ipswich,-,3,948,350,"1,467",,
Ipswich,-,4,"1,078",262,"1,505",,
Kingston,-,1,744,213,"1,071",,
Kingston,-,2,803,248,"1,185",,
Kingston,-,3,767,197,"1,066",,
Kingston,-,4,874,211,"1,215",,
Lakeville,-,1,841,285,"1,206",,
Lakeville,-,2,790,329,"1,266",,
Lakeville,-,3,924,292,"1,362",,
Lancaster,-,1,623,238,947,,
Lancaster,-,2,936,324,"1,462",,
Lanesborough,-,1,698,141,918,,
Lawrence,A,1,434,91,586,,
Lawrence,A,2,223,39,306,,
Lawrence,A,3,374,89,504,,
Lawrence,A,4,328,61,438,,
Lawrence,B,1,471,70,622,,
Lawrence,B,2,268,32,347,,
Lawrence,B,3,310,61,430,,
Lawrence,B,4,298,29,416,,
Lawrence,C,1,250,24,313,,
Lawrence,C,2,237,29,313,,
Lawrence,C,3,245,37,358,,
Lawrence,C,4,317,36,420,,
Lawrence,D,1,389,65,494,,
Lawrence,D,2,557,134,741,,
Lawrence,D,3,262,52,349,,
Lawrence,D,4,341,40,446,,
Lawrence,E,1,596,141,821,,
Lawrence,E,2,701,166,949,,
Lawrence,E,3,348,96,481,,
Lawrence,E,4,421,84,546,,
Lawrence,F,1,627,165,852,,
Lawrence,F,2,289,63,383,,
Lawrence,F,3,265,41,333,,
Lawrence,F,4,375,78,497,,
Lee,-,1,240,42,319,,
Lee,-,2,255,40,323,,
Lee,-,3,278,43,363,,
Lee,-,4,252,44,327,,
Lee,-,5,335,48,439,,
Lee,-,6,312,60,416,,
Leicester,-,1,669,180,915,,
Leicester,-,2,626,159,854,,
Leicester,-,3,690,154,925,,
Leicester,-,4,790,180,"1,034",,
Lenox,-,1,"1,879",281,"2,439",,
Leominster,1,A,833,238,"1,179",,
Leominster,1,B,839,217,"1,161",,
Leominster,1,C,549,138,736,,
Leominster,2,A,442,90,575,,
Leominster,2,B,560,134,758,,
Leominster,2,C,376,82,501,,
Leominster,3,A,513,114,682,,
Leominster,3,B,697,163,923,,
Leominster,3,C,778,199,"1,056",,
Leominster,4,A,960,199,"1,262",,
Leominster,4,B,801,234,"1,171",,
Leominster,4,C,542,115,721,,
Leominster,5,A,662,153,887,,
Leominster,5,B,844,185,"1,154",,
Leominster,5,C,525,86,698,,
Leverett,-,1,611,84,952,,
Lexington,-,1,"1,031",223,"1,441",,
Lexington,-,2,"1,314",208,"1,785",,
Lexington,-,3,"1,036",207,"1,470",,
Lexington,-,4,"1,293",256,"1,743",,
Lexington,-,5,"1,176",261,"1,640",,
Lexington,-,6,"1,249",257,"1,754",,
Lexington,-,7,"1,277",235,"1,715",,
Lexington,-,8,"1,172",261,"1,628",,
Lexington,-,9,"1,102",243,"1,534",,
Leyden,-,1,181,44,284,,
Lincoln,-,1,988,219,"1,538",,
Lincoln,-,2,869,193,"1,300",,
Lincoln,-,3,26,13,47,,
Littleton,-,1,916,263,"1,297",,
Littleton,-,2,894,248,"1,257",,
Littleton,-,3,774,253,"1,164",,
Longmeadow,-,A,"1,157",247,"1,586",,
Longmeadow,-,B,"1,088",185,"1,453",,
Longmeadow,-,C,914,236,"1,319",,
Longmeadow,-,D,"1,127",253,"1,599",,
Longmeadow,-,E,"1,039",221,"1,454",,
Lowell,1,1,433,67,539,,
Lowell,1,2,"1,205",286,"1,653",,
Lowell,1,3,"1,032",235,"1,408",,
Lowell,2,1,159,16,198,,
Lowell,2,2,293,48,385,,
Lowell,2,3,358,72,476,,
Lowell,3,1,414,79,529,,
Lowell,3,2,285,65,382,,
Lowell,3,3,370,84,490,,
Lowell,4,1,539,104,683,,
Lowell,4,2,241,49,301,,
Lowell,4,3,321,45,393,,
Lowell,5,1,484,128,671,,
Lowell,5,2,373,71,484,,
Lowell,5,3,559,161,770,,
Lowell,6,1,750,223,"1,043",,
Lowell,6,2,692,169,943,,
Lowell,6,3,706,135,899,,
Lowell,7,1,308,60,394,,
Lowell,7,2,201,36,258,,
Lowell,7,3,144,27,184,,
Lowell,8,1,403,78,523,,
Lowell,8,2,550,104,701,,
Lowell,8,3,"1,038",223,"1,384",,
Lowell,9,1,536,113,686,,
Lowell,9,2,716,165,950,,
Lowell,9,3,543,126,721,,
Lowell,10,1,512,94,647,,
Lowell,10,2,375,44,454,,
Lowell,10,3,206,16,243,,
Lowell,11,1,413,83,516,,
Lowell,11,2,601,153,816,,
Lowell,11,3,635,150,860,,
Ludlow,-,1,841,150,"1,069",,
Ludlow,-,2,708,133,933,,
Ludlow,-,3,964,215,"1,307",,
Ludlow,-,4,984,170,"1,252",,
Ludlow,-,5,473,127,664,,
Ludlow,-,6,"1,045",235,"1,416",,
Lunenburg,-,A,711,256,"1,086",,
Lunenburg,-,B,685,190,968,,
Lunenburg,-,C,744,254,"1,106",,
Lunenburg,-,D,665,179,951,,
Lynn,1,1,"1,190",239,"1,599",,
Lynn,1,2,"1,124",208,"1,467",,
Lynn,1,3,925,193,"1,217",,
Lynn,1,4,921,188,"1,219",,
Lynn,2,1,"1,128",188,"1,461",,
Lynn,2,2,640,89,789,,
Lynn,2,3,315,55,392,,
Lynn,2,4,343,64,445,,
Lynn,3,1,744,139,965,,
Lynn,3,2,412,83,538,,
Lynn,3,3,606,96,762,,
Lynn,3,4,553,109,722,,
Lynn,4,1,230,40,279,,
Lynn,4,2,275,31,337,,
Lynn,4,3,395,57,493,,
Lynn,4,4,544,86,685,,
Lynn,5,1,607,84,756,,
Lynn,5,2,294,28,344,,
Lynn,5,3,271,40,333,,
Lynn,5,4,791,74,934,,
Lynn,6,1,487,66,602,,
Lynn,6,2,283,33,346,,
Lynn,6,3,296,29,344,,
Lynn,6,4,546,70,648,,
Lynn,7,1,921,122,"1,126",,
Lynn,7,2,821,112,"1,025",,
Lynn,7,3,569,93,706,,
Lynn,7,4,610,108,780,,
Lynnfield,-,1,987,324,"1,502",,
Lynnfield,-,2,989,318,"1,461",,
Lynnfield,-,3,798,273,"1,214",,
Lynnfield,-,4,945,384,"1,548",,
Malden,1,1,654,91,821,,
Malden,1,2,736,120,934,,
Malden,2,1,681,94,856,,
Malden,2,2,829,149,"1,092",,
Malden,3,1,805,155,"1,050",,
Malden,3,2,980,206,"1,318",,
Malden,4,1,570,97,728,,
Malden,4,2,560,107,742,,
Malden,5,1,726,113,916,,
Malden,5,2,"1,062",183,"1,376",,
Malden,6,1,"1,027",162,"1,287",,
Malden,6,2,776,123,997,,
Malden,7,1,545,77,674,,
Malden,7,2,628,98,777,,
Malden,8,1,826,152,"1,076",,
Malden,8,2,623,127,818,,
Manchester-by-the-Sea,-,1,"1,794",560,"2,726",,
Mansfield,-,1,"1,031",316,"1,489",,
Mansfield,-,2,988,303,"1,408",,
Mansfield,-,3,981,269,"1,356",,
Mansfield,-,4,968,240,"1,303",,
Mansfield,-,5,759,247,"1,100",,
Mansfield,-,6,837,202,"1,119",,
Marblehead,-,1,"1,039",274,"1,503",,
Marblehead,-,2,931,217,"1,277",,
Marblehead,-,3,933,210,"1,289",,
Marblehead,-,4,"1,024",302,"1,567",,
Marblehead,-,5,"1,097",225,"1,450",,
Marblehead,-,6,"1,077",269,"1,546",,
Marblehead,-,7,"1,012",286,"1,485",,
Marion,-,1,"1,617",483,"2,408",,
Marlborough,1,1,545,150,815,,
Marlborough,1,2,815,273,"1,209",,
Marlborough,2,1,839,214,"1,144",,
Marlborough,2,2,601,140,817,,
Marlborough,3,1,460,96,597,,
Marlborough,3,2,761,203,"1,065",,
Marlborough,4,1,373,81,503,,
Marlborough,4,2,767,203,"1,050",,
Marlborough,5,1,506,114,671,,
Marlborough,5,2,722,167,966,,
Marlborough,6,1,556,131,756,,
Marlborough,6,2,794,217,"1,097",,
Marlborough,7,1,608,151,831,,
Marlborough,7,2,641,188,916,,
Marshfield,-,1,"1,144",286,"1,526",,
Marshfield,-,2,"1,152",361,"1,633",,
Marshfield,-,3,992,217,"1,315",,
Marshfield,-,4,853,271,"1,243",,
Marshfield,-,5,"1,054",272,"1,445",,
Marshfield,-,6,"1,097",375,"1,622",,
Marshfield,-,7,"1,030",375,"1,569",,
Mashpee,-,1,778,217,"1,099",,
Mashpee,-,2,881,243,"1,228",,
Mashpee,-,3,602,180,849,,
Mashpee,-,4,756,174,"1,028",,
Mashpee,-,5,916,324,"1,411",,
Mattapoisett,-,1,"1,064",327,"1,598",,
Mattapoisett,-,2,"1,046",235,"1,412",,
Maynard,-,1,812,200,"1,121",,
Maynard,-,2,766,217,"1,069",,
Maynard,-,3,883,207,"1,177",,
Maynard,-,4,771,212,"1,069",,
Medfield,-,1,911,267,"1,342",,
Medfield,-,2,942,281,"1,378",,
Medfield,-,3,"1,040",294,"1,515",,
Medfield,-,4,936,303,"1,400",,
Medford,1,1,883,159,"1,119",,
Medford,1,2,930,171,"1,194",,
Medford,2,1,958,191,"1,256",,
Medford,2,2,"1,193",233,"1,573",,
Medford,3,1,"1,205",246,"1,615",,
Medford,3,2,"1,418",297,"1,926",,
Medford,4,1,503,83,652,,
Medford,4,2,"1,043",186,"1,384",,
Medford,5,1,827,148,"1,082",,
Medford,5,2,693,107,886,,
Medford,6,1,"1,169",163,"1,533",,
Medford,6,2,"1,047",201,"1,408",,
Medford,7,1,773,137,987,,
Medford,7,2,956,159,"1,242",,
Medford,8,1,"1,114",246,"1,543",,
Medford,8,2,876,156,"1,159",,
Medway,-,1,956,273,"1,368",,
Medway,-,2,855,207,"1,167",,
Medway,-,3,883,258,"1,258",,
Medway,-,4,865,307,"1,309",,
Melrose,1,1,696,162,977,,
Melrose,1,2,667,110,855,,
Melrose,2,1,759,134,"1,028",,
Melrose,2,2,659,155,927,,
Melrose,3,1,702,150,935,,
Melrose,3,2,648,119,869,,
Melrose,4,1,581,132,805,,
Melrose,4,2,631,191,961,,
Melrose,5,1,679,127,882,,
Melrose,5,2,607,103,776,,
Melrose,6,1,600,109,767,,
Melrose,6,2,718,146,953,,
Melrose,7,1,590,140,800,,
Melrose,7,2,743,170,"1,021",,
Mendon,-,1,"1,401",481,"2,123",,
Merrimac,-,1,"1,812",489,"2,526",,
Methuen,-,1,828,242,"1,199",,
Methuen,-,2,350,58,462,,
Methuen,-,3,868,241,"1,205",,
Methuen,-,4,903,225,"1,265",,
Methuen,-,5,689,183,970,,
Methuen,-,6,797,225,"1,133",,
Methuen,-,7,878,245,"1,238",,
Methuen,-,8,932,302,"1,383",,
Methuen,-,9,881,312,"1,336",,
Methuen,-,10,820,260,"1,193",,
Methuen,-,11,938,296,"1,360",,
Methuen,-,12,866,265,"1,275",,
Middleborough,-,1,932,360,"1,454",,
Middleborough,-,2,662,181,920,,
Middleborough,-,3,772,256,"1,126",,
Middleborough,-,4,615,174,856,,
Middleborough,-,5,867,280,"1,256",,
Middleborough,-,6,707,253,"1,052",,
Middlefield,-,1,143,50,208,,
Middleton,-,1,"1,168",369,"1,718",,
Middleton,-,2,789,280,"1,169",,
Milford,-,1,712,166,969,,
Milford,-,2,886,200,"1,189",,
Milford,-,3,725,159,983,,
Milford,-,4,814,171,"1,092",,
Milford,-,5,"1,086",238,"1,470",,
Milford,-,6,"1,063",214,"1,406",,
Milford,-,7,"1,039",287,"1,477",,
Millbury,-,1,804,205,"1,077",,
Millbury,-,2,968,280,"1,364",,
Millbury,-,3,813,208,"1,115",,
Millbury,-,4,846,174,"1,096",,
Millis,-,1,718,209,"1,021",,
Millis,-,2,793,233,"1,138",,
Millis,-,3,899,258,"1,265",,
Millville,-,1,755,198,"1,031",,
Milton,-,1,742,95,898,,
Milton,-,2,876,156,"1,189",,
Milton,-,3,856,183,"1,188",,
Milton,-,4,860,156,"1,133",,
Milton,-,5,538,170,819,,
Milton,-,6,842,268,"1,242",,
Milton,-,7,864,211,"1,213",,
Milton,-,8,889,249,"1,328",,
Milton,-,9,755,264,"1,226",,
Milton,-,10,911,260,"1,325",,
Milton,-,11,848,168,"1,140",,
Monroe,-,1,27,7,35,,
Monson,-,A,622,160,868,,
Monson,-,B,690,178,965,,
Monson,-,C,699,157,943,,
Montague,-,1,456,90,689,,
Montague,-,2,320,59,443,,
Montague,-,3,434,74,539,,
Montague,-,4,428,71,550,,
Montague,-,5,194,30,253,,
Montague,-,6,307,55,404,,
Monterey,-,1,283,47,402,,
Montgomery,-,1,216,82,329,,
Mount Washington,-,1,56,9,72,,
Nahant,-,1,"1,359",335,"1,936",,
Nantucket,-,1,"3,008",604,"3,968",,
Natick,-,1,730,161,957,,
Natick,-,2,"1,117",270,"1,517",,
Natick,-,3,"1,088",239,"1,453",,
Natick,-,4,802,223,"1,131",,
Natick,-,5,"1,057",251,"1,411",,
Natick,-,6,"1,109",263,"1,503",,
Natick,-,7,"1,131",262,"1,529",,
Natick,-,8,970,194,"1,284",,
Natick,-,9,"1,027",247,"1,412",,
Natick,-,10,"1,192",363,"1,745",,
Needham,-,A,995,207,"1,311",,
Needham,-,B,941,210,"1,331",,
Needham,-,C,"1,009",208,"1,379",,
Needham,-,D,"1,020",232,"1,415",,
Needham,-,E,"1,087",267,"1,533",,
Needham,-,F,"1,125",247,"1,555",,
Needham,-,G,"1,096",223,"1,502",,
Needham,-,H,"1,106",251,"1,546",,
Needham,-,I,"1,248",220,"1,641",,
Needham,-,J,984,184,"1,321",,
New Ashford,-,1,88,14,110,,
New Bedford,1,A,646,87,801,,
New Bedford,1,B,809,94,971,,
New Bedford,1,C,507,82,618,,
New Bedford,1,D,568,96,698,,
New Bedford,1,E,614,62,721,,
New Bedford,1,F,641,85,776,,
New Bedford,1,G,594,89,743,,
New Bedford,2,A,155,28,193,,
New Bedford,2,B,293,25,332,,
New Bedford,2,C,378,31,438,,
New Bedford,2,D,433,55,513,,
New Bedford,2,E,581,66,688,,
New Bedford,2,F,452,42,522,,
New Bedford,2,G,571,66,659,,
New Bedford,3,A,198,16,232,,
New Bedford,3,B,387,47,460,,
New Bedford,3,C,317,43,381,,
New Bedford,3,D,339,48,420,,
New Bedford,3,E,557,58,650,,
New Bedford,3,F,620,53,726,,
New Bedford,3,G,443,54,535,,
New Bedford,4,A,336,26,391,,
New Bedford,4,B,409,23,455,,
New Bedford,4,C,538,34,608,,
New Bedford,4,D,337,39,401,,
New Bedford,4,E,383,53,462,,
New Bedford,4,F,473,44,551,,
New Bedford,4,G,420,32,487,,
New Bedford,5,A,351,21,391,,
New Bedford,5,B,516,64,630,,
New Bedford,5,C,431,27,492,,
New Bedford,5,D,592,62,704,,
New Bedford,5,E,722,73,851,,
New Bedford,5,F,611,51,716,,
New Bedford,5,G,802,84,954,,
New Bedford,6,A,601,77,743,,
New Bedford,6,B,567,62,672,,
New Bedford,6,C,270,25,324,,
New Bedford,6,D,225,23,266,,
New Bedford,6,E,279,24,329,,
New Bedford,6,F,264,31,326,,
New Bedford,6,G,429,26,488,,
New Braintree,-,1,262,87,386,,
New Marlborough,-,1,370,107,543,,
New Salem,-,1,289,95,445,,
Newbury,-,1,"1,175",358,"1,702",,
Newbury,-,2,"1,030",346,"1,530",,
Newburyport,1,P,274,79,383,,
Newburyport,1,1,775,168,"1,053",,
Newburyport,2,1,984,197,"1,339",,
Newburyport,3,1,986,238,"1,380",,
Newburyport,4,1,"1,007",236,"1,393",,
Newburyport,5,1,916,261,"1,307",,
Newburyport,6,1,"1,087",253,"1,487",,
Newton,1,1,731,141,995,,
Newton,1,2,845,134,"1,131",,
Newton,1,3,769,122,"1,011",,
Newton,1,4,566,136,829,,
Newton,2,1,"1,045",230,"1,472",,
Newton,2,2,854,137,"1,139",,
Newton,2,3,"1,396",188,"1,790",,
Newton,3,1,820,212,"1,186",,
Newton,3,2,944,146,"1,225",,
Newton,3,3,738,181,"1,058",,
Newton,3,4,842,173,"1,145",,
Newton,4,1,836,154,"1,148",,
Newton,4,2,877,139,"1,168",,
Newton,4,3,700,124,935,,
Newton,4,4,778,155,"1,057",,
Newton,5,1,686,129,935,,
Newton,5,2,964,148,"1,254",,
Newton,5,3,"1,039",152,"1,335",,
Newton,5,4,"1,011",170,"1,312",,
Newton,6,1,"1,047",133,"1,353",,
Newton,6,2,947,143,"1,258",,
Newton,6,3,972,151,"1,294",,
Newton,6,4,"1,066",172,"1,414",,
Newton,7,1,727,148,992,,
Newton,7,2,"1,040",152,"1,360",,
Newton,7,3,428,59,561,,
Newton,7,4,577,105,785,,
Newton,8,1,"1,023",146,"1,292",,
Newton,8,2,782,122,999,,
Newton,8,3,974,185,"1,296",,
Newton,8,4,790,109,999,,
Norfolk,-,1,754,327,"1,245",,
Norfolk,-,2,810,220,"1,151",,
Norfolk,-,3,747,249,"1,117",,
Norfolk,-,4,251,80,376,,
N. Adams,1,1,617,66,742,,
N. Adams,2,2,751,94,891,,
N. Adams,3,3,470,71,591,,
N. Adams,4,4,792,106,977,,
N. Adams,5,5,579,69,695,,
N. Andover,-,1,837,225,"1,220",,
N. Andover,-,2,929,257,"1,348",,
N. Andover,-,3,958,240,"1,320",,
N. Andover,-,4,"1,075",358,"1,661",,
N. Andover,-,5,536,160,778,,
N. Andover,-,6,993,400,"1,592",,
N. Andover,-,7,949,326,"1,465",,
N. Andover,-,8,"1,008",377,"1,530",,
N. Attleborough,-,1,462,138,660,,
N. Attleborough,-,2,650,194,917,,
N. Attleborough,-,3,850,292,"1,292",,
N. Attleborough,-,4,473,125,659,,
N. Attleborough,-,5,628,197,889,,
N. Attleborough,-,6,749,252,"1,096",,
N. Attleborough,-,7,872,283,"1,272",,
N. Attleborough,-,8,930,258,"1,314",,
N. Attleborough,-,9,732,201,"1,034",,
N. Brookfield,-,1,"1,203",327,"1,716",,
N. Reading,-,1,"1,272",360,"1,806",,
N. Reading,-,2,"1,088",268,"1,505",,
N. Reading,-,3,998,314,"1,457",,
N. Reading,-,4,"1,246",340,"1,760",,
Northampton,1,A,416,70,619,,
Northampton,1,B,785,122,"1,141",,
Northampton,2,A,441,38,692,,
Northampton,2,B,386,58,618,,
Northampton,3,A,621,89,911,,
Northampton,3,B,540,91,804,,
Northampton,4,A,379,53,563,,
Northampton,4,B,578,85,912,,
Northampton,5,A,650,77,871,,
Northampton,5,B,616,77,869,,
Northampton,6,A,724,114,921,,
Northampton,6,B,790,121,"1,039",,
Northampton,7,A,612,113,856,,
Northampton,7,B,725,133,"1,021",,
Northborough,-,1,"1,168",272,"1,564",,
