City/Town,Ward,Pct,Edward J. Markey,Gabriel E. Gomez,Total Votes Cast,,
Boston,1,6,140,48,189,,
Boston,1,7,161,53,219,,
Boston,1,8,241,76,324,,
Boston,1,9,122,31,156,,
Boston,1,10,76,24,101,,
Boston,1,11,220,143,369,,
Boston,1,12,193,159,353,,
Boston,1,13,285,144,432,,
Boston,1,14,109,83,192,,
Boston,1,15,0,0,0,,
Boston,2,1,321,203,528,,
Boston,2,2,335,192,530,,
Boston,2,3,286,161,453,,
Boston,2,4,171,117,292,,
Boston,2,5,237,164,405,,
Boston,2,6,339,198,545,,
Boston,2,7,224,157,383,,
Boston,3,1,530,402,939,,
Boston,3,2,226,155,385,,
Boston,3,3,168,106,275,,
Boston,3,4,221,150,371,,
Boston,3,5,525,238,765,,
Boston,3,6,496,267,770,,
Boston,3,7,836,167,"1,009",,
Boston,3,8,629,165,799,,
Boston,4,1,521,138,661,,
Boston,4,2,523,197,720,,
Boston,4,3,312,41,354,,
Boston,4,4,435,91,527,,
Boston,4,5,326,69,397,,
Boston,4,6,243,80,325,,
Boston,4,7,211,36,247,,
Boston,4,8,196,52,249,,
Boston,4,9,100,5,105,,
Boston,4,10,43,14,57,,
Boston,5,1,875,198,"1,075",,
Boston,5,2,183,33,218,,
Boston,5,2A,122,35,158,,
Boston,5,3,346,182,529,,
Boston,5,4,355,135,492,,
Boston,5,5,151,80,232,,
Boston,5,6,289,196,486,,
Boston,5,7,349,199,550,,
Boston,5,8,326,159,486,,
Boston,5,9,402,202,609,,
Boston,5,10,240,83,323,,
Boston,5,11,268,122,392,,
Boston,6,1,467,199,671,,
Boston,6,2,157,87,247,,
Boston,6,3,187,133,325,,
Boston,6,4,168,169,343,,
Boston,6,5,165,171,343,,
Boston,6,6,196,231,437,,
Boston,6,7,179,203,389,,
Boston,6,8,169,207,382,,
Boston,6,9,153,242,403,,
Boston,7,1,165,201,374,,
Boston,7,2,151,240,399,,
Boston,7,3,251,293,559,,
Boston,7,4,176,188,373,,
Boston,7,5,161,121,290,,
Boston,7,6,164,70,236,,
Boston,7,7,176,44,222,,
Boston,7,8,156,94,255,,
Boston,7,9,165,74,240,,
Boston,7,10,189,24,214,,
Boston,8,1,183,26,212,,
Boston,8,2,410,63,476,,
Boston,8,3,214,5,219,,
Boston,8,4,104,3,107,,
Boston,8,5,238,16,254,,
Boston,8,6,64,14,78,,
Boston,8,7,158,10,169,,
Boston,9,1,332,52,386,,
Boston,9,2,434,75,509,,
Boston,9,3,573,37,612,,
Boston,9,4,301,14,318,,
Boston,9,5,469,23,493,,
Boston,10,1,209,31,240,,
Boston,10,2,186,28,215,,
Boston,10,3,145,24,170,,
Boston,10,4,340,40,381,,
Boston,10,5,221,39,261,,
Boston,10,6,190,21,211,,
Boston,10,7,257,19,278,,
Boston,10,8,383,52,443,,
Boston,10,9,498,50,551,,
Boston,11,1,204,11,217,,
Boston,11,2,335,9,347,,
Boston,11,3,230,5,235,,
Boston,11,4,413,27,444,,
Boston,11,5,362,19,382,,
Boston,11,6,352,29,386,,
Boston,11,7,456,37,495,,
Boston,11,8,408,42,452,,
Boston,11,9,328,34,363,,
Boston,11,10,399,24,428,,
Boston,12,1,365,8,375,,
Boston,12,2,424,13,438,,
Boston,12,3,236,11,248,,
Boston,12,4,213,6,220,,
Boston,12,5,233,4,239,,
Boston,12,6,194,6,202,,
Boston,12,7,475,20,496,,
Boston,12,8,146,1,147,,
Boston,12,9,221,14,236,,
Boston,13,1,303,18,321,,
Boston,13,2,81,3,85,,
Boston,13,3,164,30,196,,
Boston,13,4,179,9,189,,
Boston,13,5,156,32,191,,
Boston,13,6,249,50,304,,
Boston,13,7,204,92,297,,
Boston,13,8,171,62,235,,
Boston,13,9,240,60,304,,
Boston,13,10,402,191,602,,
Boston,14,1,367,18,387,,
Boston,14,2,461,16,478,,
Boston,14,3,198,3,203,,
Boston,14,4,219,5,224,,
Boston,14,5,206,3,209,,
Boston,14,6,216,9,225,,
Boston,14,7,186,7,194,,
Boston,14,8,276,10,287,,
Boston,14,9,197,10,209,,
Boston,14,10,231,12,244,,
Boston,14,11,174,1,177,,
Boston,14,12,155,3,159,,
Boston,14,13,226,5,231,,
Boston,14,14,296,4,300,,
Boston,15,1,241,16,257,,
Boston,15,2,159,6,166,,
Boston,15,3,125,3,129,,
Boston,15,4,320,37,359,,
Boston,15,5,210,8,220,,
Boston,15,6,124,60,187,,
Boston,15,7,187,12,202,,
Boston,15,8,138,29,167,,
Boston,15,9,189,49,243,,
Boston,16,1,172,50,222,,
Boston,16,2,117,75,194,,
Boston,16,3,217,53,277,,
Boston,16,4,208,60,273,,
Boston,16,5,236,106,343,,
Boston,16,6,285,67,355,,
Boston,16,7,205,180,394,,
Boston,16,8,286,172,467,,
Boston,16,9,216,244,466,,
Boston,16,10,186,168,358,,
Boston,16,11,302,178,483,,
Boston,16,12,255,275,535,,
Boston,17,1,229,14,243,,
Boston,17,2,138,18,157,,
Boston,17,3,360,33,394,,
Boston,17,4,448,55,505,,
Boston,17,5,150,3,155,,
Boston,17,6,271,24,296,,
Boston,17,7,148,3,151,,
Boston,17,8,229,9,239,,
Boston,17,9,291,26,320,,
Boston,17,10,332,9,343,,
Boston,17,11,114,13,127,,
Boston,17,12,247,25,272,,
Boston,17,13,425,102,530,,
Boston,17,14,280,38,320,,
Boston,18,1,466,19,486,,
Boston,18,2,386,5,392,,
Boston,18,3,422,10,433,,
Boston,18,4,361,14,376,,
Boston,18,5,484,17,503,,
Boston,18,6,489,38,528,,
Boston,18,7,311,53,364,,
Boston,18,8,557,75,634,,
Boston,18,9,344,107,456,,
Boston,18,10,508,109,619,,
Boston,18,11,289,51,342,,
Boston,18,12,314,136,452,,
Boston,18,13,178,31,212,,
Boston,18,14,176,28,205,,
Boston,18,15,366,27,393,,
Boston,18,16,356,237,600,,
Boston,18,17,323,116,445,,
Boston,18,18,422,112,536,,
Boston,18,19,448,128,584,,
Boston,18,20,374,252,628,,
Boston,18,21,473,19,493,,
Boston,18,22,343,165,510,,
Boston,18,23,295,16,314,,
Boston,19,1,446,25,472,,
Boston,19,2,514,206,721,,
Boston,19,3,393,60,455,,
Boston,19,4,577,36,614,,
Boston,19,5,472,63,536,,
Boston,19,6,648,44,693,,
Boston,19,7,511,55,571,,
Boston,19,8,345,32,377,,
Boston,19,9,293,29,324,,
Boston,19,10,439,80,520,,
Boston,19,11,235,27,263,,
Boston,19,12,343,61,406,,
Boston,19,13,230,58,290,,
Boston,20,1,437,158,603,,
Boston,20,2,404,121,530,,
Boston,20,3,293,196,494,,
Boston,20,4,416,88,507,,
Boston,20,5,347,277,631,,
Boston,20,6,435,277,715,,
Boston,20,7,245,153,408,,
Boston,20,8,276,123,401,,
Boston,20,9,293,128,422,,
Boston,20,10,355,305,663,,
Boston,20,11,195,109,305,,
Boston,20,12,230,189,421,,
Boston,20,13,208,165,373,,
Boston,20,14,216,211,431,,
Boston,20,15,339,268,610,,
Boston,20,16,339,345,690,,
Boston,20,17,413,310,730,,
Boston,20,18,230,144,379,,
Boston,20,19,229,172,402,,
Boston,20,20,356,195,560,,
Boston,21,1,197,42,241,,
Boston,21,2,44,5,49,,
Boston,21,3,109,15,126,,
Boston,21,4,108,23,132,,
Boston,21,5,160,28,188,,
Boston,21,6,221,58,279,,
Boston,21,7,175,41,219,,
Boston,21,8,195,38,236,,
Boston,21,9,205,33,238,,
Boston,21,10,183,56,241,,
Boston,21,11,205,71,279,,
Boston,21,12,300,72,373,,
Boston,21,13,455,127,584,,
Boston,21,14,131,27,159,,
Boston,21,15,166,31,197,,
Boston,21,16,271,101,374,,
Boston,22,1,264,85,351,,
Boston,22,2,266,80,348,,
Boston,22,3,244,104,349,,
Boston,22,4,236,90,328,,
Boston,22,5,120,41,163,,
Boston,22,6,126,51,179,,
Boston,22,7,253,97,354,,
Boston,22,8,192,120,313,,
Boston,22,9,195,65,264,,
Boston,22,10,280,120,403,,
Boston,22,11,161,89,253,,
Boston,22,12,190,85,278,,
Boston,22,13,157,79,237,,
Bourne,-,1,176,299,480,,
Bourne,-,2,253,490,747,,
Bourne,-,3,127,217,345,,
Bourne,-,4,272,459,733,,
Bourne,-,5,333,422,760,,
Bourne,-,6,263,353,620,,
Bourne,-,7,213,378,596,,
Boxborough,-,1,736,591,"1,334",,
Boxford,-,1,202,449,655,,
Boxford,-,2,264,491,763,,
Boxford,-,3,249,456,708,,
Boylston,-,1,419,660,"1,086",,
Braintree,-,1A,252,405,662,,
Braintree,-,1B,218,306,529,,
Braintree,-,2A,301,456,762,,
Braintree,-,2B,283,409,701,,
Braintree,-,3A,262,281,543,,
Braintree,-,3B,293,319,620,,
Braintree,-,4A,245,263,513,,
Braintree,-,4B,195,264,460,,
Braintree,-,5A,291,390,688,,
Braintree,-,5B,268,373,646,,
Braintree,-,6A,290,461,759,,
Braintree,-,6B,293,446,749,,
Brewster,-,1,580,516,"1,099",,
Brewster,-,2,542,499,"1,048",,
Brewster,-,3,424,470,902,,
Bridgewater,-,1,231,454,688,,
Bridgewater,-,2,252,430,687,,
Bridgewater,-,3,274,504,780,,
Bridgewater,-,4,127,179,307,,
Bridgewater,-,5,82,103,185,,
Bridgewater,-,6,176,209,389,,
Bridgewater,-,7,260,364,626,,
Brimfield,-,1,283,520,809,,
Brockton,1,A,228,94,324,,
Brockton,1,B,312,220,539,,
Brockton,1,C,210,147,359,,
Brockton,1,D,306,284,600,,
Brockton,2,A,256,18,275,,
Brockton,2,B,175,47,222,,
Brockton,2,C,163,31,195,,
Brockton,2,D,223,133,359,,
Brockton,3,A,277,115,393,,
Brockton,3,B,220,55,276,,
Brockton,3,C,269,269,542,,
Brockton,3,D,300,272,575,,
Brockton,4,A,142,36,180,,
Brockton,4,B,241,130,374,,
Brockton,4,C,236,163,402,,
Brockton,4,D,248,154,408,,
Brockton,5,A,191,56,249,,
Brockton,5,B,303,144,452,,
Brockton,5,C,248,103,354,,
Brockton,5,D,304,172,479,,
Brockton,6,A,128,98,227,,
Brockton,6,B,255,221,481,,
Brockton,6,C,213,143,361,,
Brockton,6,D,231,217,450,,
Brockton,7,A,241,61,303,,
Brockton,7,B,353,97,455,,
Brockton,7,C,295,102,402,,
Brockton,7,D,249,169,423,,
Brookfield,-,1,250,413,665,,
Brookline,-,1,590,139,732,,
Brookline,-,2,412,58,472,,
Brookline,-,3,687,141,834,,
Brookline,-,4,597,114,714,,
Brookline,-,5,769,146,916,,
Brookline,-,6,797,97,898,,
Brookline,-,7,613,80,695,,
Brookline,-,8,750,101,852,,
Brookline,-,9,714,111,826,,
Brookline,-,10,600,108,708,,
Brookline,-,11,706,114,825,,
Brookline,-,12,844,176,"1,023",,
Brookline,-,13,614,171,786,,
Brookline,-,14,546,190,738,,
Brookline,-,15,581,295,878,,
Brookline,-,16,660,219,881,,
Buckland,-,1,328,129,463,,
Burlington,-,1,353,459,817,,
Burlington,-,2,222,207,435,,
Burlington,-,3,357,371,734,,
Burlington,-,4,316,328,648,,
Burlington,-,5,317,411,731,,
Burlington,-,6,298,402,704,,
Burlington,-,7,272,277,553,,
Cambridge,1,1,366,103,470,,
Cambridge,1,2,404,101,511,,
Cambridge,1,3,463,96,565,,
Cambridge,2,1,478,37,518,,
Cambridge,2,2,43,15,59,,
Cambridge,2,3,195,38,237,,
Cambridge,3,1,422,79,509,,
Cambridge,3,2,347,32,382,,
Cambridge,3,2A,219,10,231,,
Cambridge,3,3,517,47,569,,
Cambridge,4,1,690,37,728,,
Cambridge,4,2,722,76,803,,
Cambridge,4,3,207,22,230,,
Cambridge,5,1,634,55,693,,
Cambridge,5,2,695,66,762,,
Cambridge,5,3,522,51,574,,
Cambridge,6,1,746,82,830,,
Cambridge,6,2,668,72,742,,
Cambridge,6,3,743,88,836,,
Cambridge,7,1,799,49,852,,
Cambridge,7,2,315,35,354,,
Cambridge,7,3,167,13,180,,
Cambridge,8,1,475,57,535,,
Cambridge,8,2,533,63,597,,
Cambridge,8,3,96,12,109,,
Cambridge,9,1,"1,116",132,"1,254",,
Cambridge,9,2,861,135,"1,001",,
Cambridge,9,3,737,138,879,,
Cambridge,10,1,903,94,999,,
Cambridge,10,2,"1,009",93,"1,104",,
Cambridge,10,3,624,77,703,,
Cambridge,11,1,379,24,405,,
Cambridge,11,2,938,118,"1,062",,
Cambridge,11,3,726,101,833,,
Canton,-,1,315,376,695,,
Canton,-,2,475,435,912,,
Canton,-,3,330,377,709,,
Canton,-,4,386,523,913,,
Canton,-,5,357,435,800,,
Canton,-,6,363,354,724,,
Carlisle,-,1,919,685,"1,614",,
Carver,-,1,204,366,575,,
Carver,-,2,210,355,568,,
Carver,-,3,302,496,806,,
Charlemont,-,1,174,100,275,,
Charlton,-,1,174,361,536,,
Charlton,-,2,147,371,522,,
Charlton,-,3,159,364,526,,
Charlton,-,4,133,358,493,,
Chatham,-,1,"1,030","1,403","2,445",,
Chelmsford,-,1,429,513,947,,
Chelmsford,-,2,289,337,628,,
Chelmsford,-,3,362,512,880,,
Chelmsford,-,4,229,381,614,,
Chelmsford,-,5,358,451,815,,
Chelmsford,-,6,392,542,935,,
Chelmsford,-,7,451,623,"1,080",,
Chelmsford,-,8,420,508,932,,
Chelmsford,-,9,417,516,939,,
Chelsea,1,1,90,27,122,,
Chelsea,1,2,60,19,81,,
Chelsea,1,3,106,16,122,,
Chelsea,1,4,86,10,97,,
Chelsea,2,1,292,127,431,,
Chelsea,2,2,105,18,130,,
Chelsea,2,3,75,12,89,,
Chelsea,2,4,92,15,107,,
Chelsea,3,1,121,20,143,,
Chelsea,3,2,132,48,180,,
Chelsea,3,3,152,34,188,,
Chelsea,3,4,107,40,148,,
Chelsea,4,1,108,43,155,,
Chelsea,4,2,203,112,322,,
Chelsea,4,3,158,87,250,,
Chelsea,4,4,135,55,194,,
Cheshire,-,1,310,194,513,,
Chester,-,1,95,184,282,,
Chesterfield,-,1,163,143,308,,
Chicopee,1,A,179,255,437,,
Chicopee,1,B,270,302,580,,
Chicopee,2,A,165,112,277,,
Chicopee,2,B,215,249,467,,
Chicopee,3,A,161,162,323,,
Chicopee,3,B,133,110,247,,
Chicopee,4,A,187,236,429,,
Chicopee,4,B,193,196,394,,
Chicopee,5,A,153,194,349,,
Chicopee,5,B,185,197,388,,
Chicopee,6,AN,69,67,137,,
Chicopee,6,AS,134,194,331,,
Chicopee,6,BE,164,364,529,,
Chicopee,6,BW,33,67,103,,
Chicopee,7,A,123,99,226,,
Chicopee,7,B,160,129,292,,
Chicopee,8,A,192,257,452,,
Chicopee,8,B,157,192,354,,
Chicopee,9,A,213,252,468,,
Chicopee,9,B,266,311,580,,
Chilmark,-,1,255,79,334,,
Clarksburg,-,1,144,79,224,,
Clinton,-,1,332,419,760,,
Clinton,-,2,318,377,712,,
Clinton,-,3,328,421,754,,
Clinton,-,4,377,400,787,,
Cohasset,-,1,493,937,"1,441",,
Cohasset,-,2,536,843,"1,381",,
Colrain,-,1,194,127,324,,
Concord,-,1,725,308,"1,038",,
Concord,-,2,810,339,"1,152",,
Concord,-,3,801,405,"1,208",,
Concord,-,4,781,373,"1,160",,
Concord,-,5,518,249,768,,
Conway,-,1,448,162,612,,
Cummington,-,1,159,66,226,,
Dalton,-,1,406,209,"1,052",,
Dalton,-,2,397,205,"1,033",,
Danvers,-,1,285,249,541,,
Danvers,-,2,282,312,600,,
Danvers,-,3,202,255,459,,
Danvers,-,4,280,353,634,,
Danvers,-,5,332,379,715,,
Danvers,-,6,284,421,709,,
Danvers,-,7,303,358,667,,
Danvers,-,8,169,294,468,,
Dartmouth,-,1,153,260,414,,
Dartmouth,-,2,186,196,385,,
Dartmouth,-,3,10,4,14,,
Dartmouth,-,4,232,202,436,,
Dartmouth,-,5,319,277,601,,
Dartmouth,-,6,170,186,357,,
Dartmouth,-,7,255,316,574,,
Dartmouth,-,8,478,402,882,,
Dartmouth,-,9,423,428,855,,
Dedham,-,1,605,422,"1,033",,
Dedham,-,2,401,406,815,,
Dedham,-,3,313,309,631,,
Dedham,-,4,371,340,715,,
Dedham,-,5,388,433,830,,
Dedham,-,6,406,423,835,,
Dedham,-,7,401,513,920,,
Deerfield,-,1,812,422,"1,240",,
Dennis,-,1,481,616,"1,102",,
Dennis,-,2,514,618,"1,136",,
Dennis,-,3,302,372,681,,
Dennis,-,4,424,469,898,,
Dennis,-,5,341,381,723,,
Dighton,-,1,166,302,469,,
Dighton,-,2,170,324,501,,
Douglas,-,1,106,311,420,,
Douglas,-,2,141,330,473,,
Douglas,-,3,120,292,416,,
Dover,-,1,626,"1,026","1,663",,
Dracut,-,1,154,264,423,,
Dracut,-,2,164,288,457,,
Dracut,-,3,212,441,660,,
Dracut,-,4,205,486,707,,
Dracut,-,5,180,344,528,,
Dracut,-,6,249,334,591,,
Dracut,-,6A,11,8,20,,
Dracut,-,7,181,317,499,,
Dracut,-,8,256,504,764,,
Dracut,-,9,195,363,566,,
Dudley,-,1,318,537,870,,
Dudley,-,2,249,424,682,,
Dudley,-,3,231,381,625,,
Dunstable,-,1,254,409,668,,
Duxbury,-,1,286,415,703,,
Duxbury,-,2,253,451,704,,
Duxbury,-,3,238,330,568,,
Duxbury,-,4,204,339,547,,
Duxbury,-,5,219,356,579,,
Duxbury,-,6,224,357,581,,
E. Bridgewater,-,1,186,308,498,,
E. Bridgewater,-,2,164,312,477,,
E. Bridgewater,-,3,253,420,679,,
E. Bridgewater,-,4,191,332,524,,
E. Brookfield,-,1,125,323,450,,
E. Longmeadow,-,1,266,498,768,,
E. Longmeadow,-,2,307,415,727,,
E. Longmeadow,-,3,277,459,741,,
E. Longmeadow,-,4,279,624,906,,
Eastham,-,1,994,866,"1,875",,
Easthampton,-,1,416,227,644,,
Easthampton,-,2,385,150,541,,
Easthampton,-,3,412,175,593,,
Easthampton,-,4,552,246,804,,
Easthampton,-,5,359,335,700,,
Easton,-,1,145,241,389,,
Easton,-,2,344,440,784,,
Easton,-,3,226,328,563,,
Easton,-,4,273,474,748,,
Easton,-,5,353,361,717,,
Easton,-,6,240,354,599,,
Edgartown,-,1,555,368,924,,
Egremont,-,1,270,79,349,,
Erving,-,1,141,112,258,,
Essex,-,1,417,525,947,,
Everett,1,1,272,97,374,,
Everett,1,2,221,98,326,,
Everett,2,1,216,113,332,,
Everett,2,2,206,89,296,,
Everett,3,1,374,170,546,,
Everett,3,2,269,126,398,,
Everett,4,1,309,169,485,,
Everett,4,2,274,132,416,,
Everett,5,1,278,131,412,,
Everett,5,2,266,96,366,,
Everett,6,1,275,121,398,,
Everett,6,2,262,98,362,,
Fairhaven,-,1,232,233,470,,
Fairhaven,-,2,238,218,457,,
Fairhaven,-,3,163,129,293,,
Fairhaven,-,4,196,215,416,,
Fairhaven,-,5,221,247,471,,
Fairhaven,-,6,191,219,413,,
Fall River,1,A,191,140,336,,
Fall River,1,B,157,93,254,,
Fall River,1,C,133,95,230,,
Fall River,2,A,110,31,144,,
Fall River,2,B,86,32,120,,
Fall River,2,C,94,76,170,,
Fall River,3,A,195,92,290,,
Fall River,3,B,167,73,246,,
Fall River,3,C,159,107,270,,
Fall River,4,A,133,57,191,,
Fall River,4,B,144,36,181,,
Fall River,4,C,187,41,231,,
Fall River,5,A,86,28,116,,
Fall River,5,B,80,30,113,,
Fall River,5,B1,10,5,15,,
Fall River,5,C,97,17,117,,
Fall River,6,A,185,126,315,,
Fall River,6,B,151,39,193,,
Fall River,6,C,156,100,262,,
Fall River,6,C1,4,1,5,,
Fall River,7,A,192,139,333,,
Fall River,7,B,109,46,159,,
Fall River,7,C,198,55,259,,
Fall River,8,A,158,73,234,,
Fall River,8,B,286,181,473,,
Fall River,8,C,279,178,462,,
Fall River,9,A,340,261,603,,
Fall River,9,B,214,128,344,,
Fall River,9,C,218,141,361,,
Falmouth,-,1,913,447,"1,366",,
Falmouth,-,2,631,421,"1,060",,
Falmouth,-,3,475,546,"1,029",,
Falmouth,-,4,487,525,"1,013",,
Falmouth,-,5,577,622,"1,207",,
Falmouth,-,6,496,492,989,,
Falmouth,-,7,364,477,851,,
Falmouth,-,8,397,492,894,,
Falmouth,-,9,336,389,725,,
Fitchburg,1,A,117,164,282,,
Fitchburg,1,B,171,215,391,,
Fitchburg,2,A,94,84,180,,
Fitchburg,2,B,157,261,424,,
Fitchburg,3,A,263,380,645,,
Fitchburg,3,B,163,210,377,,
Fitchburg,4,A,117,120,239,,
Fitchburg,4,B,149,116,267,,
Fitchburg,5,A,229,377,610,,
Fitchburg,5,B,112,63,175,,
Fitchburg,6,A,202,283,488,,
Fitchburg,6,B,126,122,250,,
Florida,-,1,53,45,100,,
Foxborough,-,1,251,313,568,,
Foxborough,-,2,360,424,788,,
Foxborough,-,3,311,412,727,,
Foxborough,-,4,311,402,720,,
Foxborough,-,5,237,400,641,,
Framingham,-,1,668,440,"1,113",,
Framingham,-,2,646,410,"1,064",,
Framingham,-,3,445,226,676,,
Framingham,-,4,618,395,"1,018",,
Framingham,-,5,573,347,928,,
Framingham,-,6,528,346,876,,
Framingham,-,7,485,312,801,,
Framingham,-,8,513,230,746,,
Framingham,-,9,296,176,478,,
Framingham,-,10,234,99,333,,
Framingham,-,11,623,405,"1,031",,
Framingham,-,12,289,138,433,,
Framingham,-,13,388,157,549,,
Framingham,-,14,205,72,278,,
Framingham,-,15,230,104,338,,
Framingham,-,16,113,56,170,,
Framingham,-,17,84,22,107,,
Framingham,-,18,152,108,264,,
