City/Town,Ward,Pct,Edward J. Markey,Gabriel E. Gomez,Total Votes Cast,,
Franklin,-,1,300,370,678,,
Franklin,-,2,244,336,584,,
Franklin,-,3,331,309,644,,
Franklin,-,4,292,436,734,,
Franklin,-,5,305,414,726,,
Franklin,-,6,278,289,576,,
Franklin,-,7,309,474,786,,
Franklin,-,8,275,437,716,,
Freetown,-,1,153,268,424,,
Freetown,-,2,196,252,450,,
Freetown,-,3,181,295,477,,
Gardner,1,A,205,221,430,,
Gardner,1,B,38,76,114,,
Gardner,2,A,139,160,301,,
Gardner,2,B,114,184,301,,
Gardner,3,A,148,124,274,,
Gardner,3,B,210,189,405,,
Gardner,4,A,146,124,271,,
Gardner,4,B,84,76,160,,
Gardner,5,A,115,120,236,,
Gardner,5,B,167,242,412,,
Georgetown,-,1,221,369,593,,
Georgetown,-,2,188,360,550,,
Georgetown,-,3,188,278,468,,
Gill,-,1,236,115,353,,
Gloucester,1,1,464,307,774,,
Gloucester,1,2,311,224,538,,
Gloucester,2,1,186,122,310,,
Gloucester,2,2,258,105,367,,
Gloucester,3,1,218,139,358,,
Gloucester,3,2,257,186,446,,
Gloucester,4,1,293,274,568,,
Gloucester,4,2,520,325,849,,
Gloucester,5,1,363,364,735,,
Gloucester,5,2,360,348,709,,
Goshen,-,1,144,94,239,,
Gosnold,-,1,15,15,30,,
Grafton,-,1,264,399,668,,
Grafton,-,2,237,410,647,,
Grafton,-,3,247,381,632,,
Grafton,-,4,189,325,515,,
Grafton,-,5,300,452,753,,
Granby,-,1,319,377,705,,
Granby,-,2,221,377,602,,
Granville,-,1,105,260,366,,
Great Barrington,-,A,278,78,356,,
Great Barrington,-,B,319,62,382,,
Great Barrington,-,C,225,35,262,,
Great Barrington,-,D,356,90,447,,
Greenfield,-,1,210,148,362,,
Greenfield,-,2,355,209,569,,
Greenfield,-,3,299,128,435,,
Greenfield,-,4,327,128,457,,
Greenfield,-,5,363,116,487,,
Greenfield,-,6,315,82,401,,
Greenfield,-,7,205,102,310,,
Greenfield,-,8,186,43,229,,
Greenfield,-,9,192,127,320,,
Groton,-,1,464,438,916,,
Groton,-,2,347,404,754,,
Groton,-,3,417,374,809,,
Groveland,-,1,284,476,762,,
Groveland,-,2,274,493,769,,
Hadley,-,1,840,444,"1,288",,
Halifax,-,1,251,482,740,,
Halifax,-,2,247,430,683,,
Hamilton,-,1,279,390,671,,
Hamilton,-,2,245,383,631,,
Hamilton,-,3,204,267,472,,
Hampden,-,1,340,723,"1,069",,
Hancock,-,1,69,44,115,,
Hanover,-,1,237,552,792,,
Hanover,-,2,266,506,775,,
Hanover,-,3,272,485,763,,
Hanover,-,4,207,524,734,,
Hanson,-,1,205,418,630,,
Hanson,-,2,273,480,755,,
Hanson,-,3,185,355,545,,
Hardwick,-,1,314,226,546,,
Harvard,-,1,975,686,"1,672",,
Harwich,-,1,530,508,"1,041",,
Harwich,-,2,476,520,"1,001",,
Harwich,-,3,409,495,908,,
Harwich,-,4,353,344,702,,
Hatfield,-,1,480,342,826,,
Haverhill,1,1,103,71,175,,
Haverhill,1,2,198,126,327,,
Haverhill,1,3,148,186,336,,
Haverhill,2,1,162,165,328,,
Haverhill,2,2,138,213,354,,
Haverhill,2,3,110,90,202,,
Haverhill,3,1,112,45,159,,
Haverhill,3,2,184,119,308,,
Haverhill,3,3,142,165,307,,
Haverhill,4,1,223,326,556,,
Haverhill,4,2,279,393,677,,
Haverhill,4,3,233,329,569,,
Haverhill,5,1,238,259,504,,
Haverhill,5,2,226,336,568,,
Haverhill,5,3,208,446,656,,
Haverhill,6,1,164,206,371,,
Haverhill,6,2,239,288,537,,
Haverhill,6,3,234,312,548,,
Haverhill,7,1,276,337,616,,
Haverhill,7,2,171,222,393,,
Haverhill,7,3,214,363,582,,
Hawley,-,1,45,45,93,,
Heath,-,1,124,71,196,,
Hingham,-,1,415,400,823,,
Hingham,-,2,397,498,903,,
Hingham,-,3,427,571,"1,005",,
Hingham,-,4,372,554,927,,
Hingham,-,5,249,396,647,,
Hingham,-,5A,465,325,796,,
Hingham,-,6,370,574,949,,
Hinsdale,-,1,199,128,332,,
Holbrook,-,1,210,258,471,,
Holbrook,-,2,191,283,478,,
Holbrook,-,3,184,290,476,,
Holbrook,-,4,202,224,428,,
Holden,-,1,320,539,867,,
Holden,-,2,344,564,914,,
Holden,-,3,348,504,856,,
Holden,-,4,316,564,884,,
Holden,-,5,371,604,979,,
Holland,-,1,193,382,583,,
Holliston,-,1,484,528,"1,020",,
Holliston,-,2,455,389,848,,
Holliston,-,3,426,353,780,,
Holliston,-,4,372,411,785,,
Holyoke,1,A,138,20,161,,
Holyoke,1,B,129,39,169,,
Holyoke,2,A,152,63,219,,
Holyoke,2,B,61,29,90,,
Holyoke,3,A,230,105,338,,
Holyoke,3,B,256,209,467,,
Holyoke,4,A,87,30,120,,
Holyoke,4,B,167,69,240,,
Holyoke,5,A,302,385,690,,
Holyoke,5,B,287,156,446,,
Holyoke,6,A,208,86,295,,
Holyoke,6,B,204,119,324,,
Holyoke,7,A,364,333,700,,
Holyoke,7,B,359,206,569,,
Hopedale,-,1,485,649,"1,143",,
Hopkinton,-,1,381,469,852,,
Hopkinton,-,2,336,453,792,,
Hopkinton,-,3,314,489,808,,
Hopkinton,-,4,338,465,808,,
Hubbardston,-,1,391,678,"1,084",,
Hudson,-,1,271,277,553,,
Hudson,-,2,214,203,422,,
Hudson,-,3,242,350,598,,
Hudson,-,4,275,366,646,,
Hudson,-,5,346,350,696,,
Hudson,-,6,194,173,371,,
Hudson,-,7,209,174,389,,
Hull,-,1,494,366,864,,
Hull,-,2,364,342,707,,
Hull,-,3,433,442,883,,
Huntington,-,1,171,278,452,,
Ipswich,-,1,525,345,874,,
Ipswich,-,2,542,451,998,,
Ipswich,-,3,334,439,774,,
Ipswich,-,4,377,399,777,,
Kingston,-,1,209,323,533,,
Kingston,-,2,217,405,624,,
Kingston,-,3,174,357,538,,
Kingston,-,4,247,353,603,,
Lakeville,-,1,204,407,618,,
Lakeville,-,2,185,450,637,,
Lakeville,-,3,202,459,666,,
Lancaster,-,1,277,450,729,,
Lancaster,-,2,302,466,774,,
Lanesborough,-,1,404,189,595,,
Lawrence,A,1,174,90,265,,
Lawrence,A,2,156,26,183,,
Lawrence,A,3,120,71,192,,
Lawrence,A,4,128,60,190,,
Lawrence,B,1,353,62,422,,
Lawrence,B,2,200,36,238,,
Lawrence,B,3,189,43,235,,
Lawrence,B,4,378,22,403,,
Lawrence,C,1,107,27,135,,
Lawrence,C,2,194,103,298,,
Lawrence,C,3,191,17,209,,
Lawrence,C,4,217,27,247,,
Lawrence,D,1,158,73,234,,
Lawrence,D,2,214,18,233,,
Lawrence,D,3,204,27,234,,
Lawrence,D,4,193,24,219,,
Lawrence,E,1,216,226,444,,
Lawrence,E,2,205,228,436,,
Lawrence,E,3,135,62,200,,
Lawrence,E,4,182,69,254,,
Lawrence,F,1,162,183,348,,
Lawrence,F,2,138,37,177,,
Lawrence,F,3,127,46,174,,
Lawrence,F,4,159,76,236,,
Lee,-,1,677,261,943,,
Leicester,-,1,183,371,558,,
Leicester,-,2,146,290,447,,
Leicester,-,3,149,345,499,,
Leicester,-,4,184,345,535,,
Lenox,-,1,964,294,"1,262",,
Leominster,1,A,209,315,525,,
Leominster,1,B,217,317,535,,
Leominster,1,C,110,188,300,,
Leominster,2,A,129,119,249,,
Leominster,2,B,143,183,327,,
Leominster,2,C,88,103,192,,
Leominster,3,A,136,180,320,,
Leominster,3,B,198,319,521,,
Leominster,3,C,207,346,555,,
Leominster,4,A,221,383,604,,
Leominster,4,B,166,414,585,,
Leominster,4,C,123,172,301,,
Leominster,5,A,146,185,336,,
Leominster,5,B,205,319,526,,
Leominster,5,C,112,149,263,,
Leverett,-,1,581,94,677,,
Lexington,-,1,615,202,820,,
Lexington,-,2,951,220,"1,179",,
Lexington,-,3,693,187,885,,
Lexington,-,4,843,278,"1,123",,
Lexington,-,5,772,284,"1,058",,
Lexington,-,6,775,321,"1,102",,
Lexington,-,7,781,261,"1,046",,
Lexington,-,8,747,265,"1,015",,
Lexington,-,9,710,291,"1,008",,
Leyden,-,1,148,70,218,,
Lincoln,-,1,913,307,"1,224",,
Lincoln,-,2,479,221,700,,
Littleton,-,1,354,381,740,,
Littleton,-,2,367,364,739,,
Littleton,-,3,350,339,693,,
Longmeadow,-,A,410,424,836,,
Longmeadow,-,B,348,393,746,,
Longmeadow,-,C,346,466,817,,
Longmeadow,-,D,338,455,796,,
Longmeadow,-,E,386,399,786,,
Lowell,1,1,187,78,266,,
Lowell,1,2,350,435,785,,
Lowell,1,3,356,354,721,,
Lowell,2,1,74,36,111,,
Lowell,2,2,189,31,221,,
Lowell,2,3,272,77,355,,
Lowell,3,1,135,117,254,,
Lowell,3,2,118,53,172,,
Lowell,3,3,129,75,207,,
Lowell,4,1,168,110,280,,
Lowell,4,2,97,44,141,,
Lowell,4,3,136,46,184,,
Lowell,5,1,134,138,277,,
Lowell,5,2,119,70,192,,
Lowell,5,3,139,151,291,,
Lowell,6,1,211,228,446,,
Lowell,6,2,236,201,442,,
Lowell,6,3,230,210,447,,
Lowell,7,1,133,73,210,,
Lowell,7,2,125,36,163,,
Lowell,7,3,76,29,108,,
Lowell,8,1,159,90,251,,
Lowell,8,2,167,135,303,,
Lowell,8,3,313,255,574,,
Lowell,9,1,154,117,277,,
Lowell,9,2,241,183,427,,
Lowell,9,3,143,148,292,,
Lowell,10,1,185,122,310,,
Lowell,10,2,106,53,162,,
Lowell,10,3,68,26,95,,
Lowell,11,1,127,111,238,,
Lowell,11,2,179,177,358,,
Lowell,11,3,206,143,352,,
Ludlow,-,1,208,283,494,,
Ludlow,-,2,138,185,326,,
Ludlow,-,3,160,362,528,,
Ludlow,-,4,229,260,495,,
Ludlow,-,5,144,249,395,,
Ludlow,-,6,235,408,654,,
Lunenburg,-,A,177,362,542,,
Lunenburg,-,B,188,292,482,,
Lunenburg,-,C,175,339,517,,
Lunenburg,-,D,200,330,533,,
Lynn,1,1,382,395,778,,
Lynn,1,2,369,345,718,,
Lynn,1,3,344,242,591,,
Lynn,1,4,291,189,486,,
Lynn,2,1,404,327,734,,
Lynn,2,2,235,84,321,,
Lynn,2,3,159,55,218,,
Lynn,2,4,162,61,224,,
Lynn,3,1,234,143,379,,
Lynn,3,2,199,85,289,,
Lynn,3,3,203,101,306,,
Lynn,3,4,262,106,369,,
Lynn,4,1,114,18,133,,
Lynn,4,2,184,34,219,,
Lynn,4,3,230,50,282,,
Lynn,4,4,312,122,436,,
Lynn,5,1,217,106,326,,
Lynn,5,2,110,15,126,,
Lynn,5,3,119,18,137,,
Lynn,5,4,424,117,544,,
Lynn,6,1,200,63,267,,
Lynn,6,2,121,29,150,,
Lynn,6,3,193,38,235,,
Lynn,6,4,157,58,215,,
Lynn,7,1,377,207,588,,
Lynn,7,2,272,164,438,,
Lynn,7,3,170,91,263,,
Lynn,7,4,188,106,295,,
Lynnfield,-,1,238,425,666,,
Lynnfield,-,2,201,299,505,,
Lynnfield,-,3,218,335,555,,
Lynnfield,-,4,237,526,769,,
Malden,1,1,280,82,365,,
Malden,1,2,369,120,493,,
Malden,2,1,381,125,511,,
Malden,2,2,374,182,558,,
Malden,3,1,423,172,601,,
Malden,3,2,555,247,808,,
Malden,4,1,263,87,355,,
Malden,4,2,242,67,316,,
Malden,5,1,369,98,470,,
Malden,5,2,547,253,808,,
Malden,6,1,386,167,555,,
Malden,6,2,418,171,594,,
Malden,7,1,294,61,356,,
Malden,7,2,375,92,472,,
Malden,8,1,394,161,558,,
Malden,8,2,222,113,335,,
Manchester-by-the-Sea,-,1,730,804,"1,545",,
Mansfield,-,1,238,462,704,,
Mansfield,-,2,294,358,654,,
Mansfield,-,3,248,402,654,,
Mansfield,-,4,222,364,587,,
Mansfield,-,5,227,253,484,,
Mansfield,-,6,252,249,505,,
Marblehead,-,1,558,475,"1,046",,
Marblehead,-,2,525,442,972,,
Marblehead,-,3,430,367,806,,
Marblehead,-,4,492,517,"1,016",,
Marblehead,-,5,536,406,951,,
Marblehead,-,6,488,440,932,,
Marion,-,1,604,743,"1,360",,
Marlborough,1,1,281,203,492,,
Marlborough,1,2,306,366,677,,
Marlborough,2,1,273,272,548,,
Marlborough,2,2,191,184,379,,
Marlborough,3,1,159,114,277,,
Marlborough,3,2,289,274,565,,
Marlborough,4,1,99,100,200,,
Marlborough,4,2,305,325,633,,
Marlborough,5,1,165,90,259,,
Marlborough,5,2,201,211,413,,
Marlborough,6,1,161,144,308,,
Marlborough,6,2,292,294,595,,
Marlborough,7,1,245,181,429,,
Marlborough,7,2,178,239,418,,
Marshfield,-,1,281,421,702,,
Marshfield,-,2,305,497,804,,
Marshfield,-,3,321,378,702,,
Marshfield,-,4,314,431,747,,
Marshfield,-,5,254,387,645,,
Marshfield,-,6,392,596,992,,
Marshfield,-,7,277,556,834,,
Mashpee,-,1,415,450,868,,
Mashpee,-,2,225,396,625,,
Mashpee,-,3,151,296,448,,
Mashpee,-,4,265,303,570,,
Mashpee,-,5,366,601,969,,
Mattapoisett,-,1,759,925,"1,710",,
Maynard,-,1,357,266,629,,
Maynard,-,2,379,228,616,,
Maynard,-,3,352,255,612,,
Maynard,-,4,332,221,559,,
Medfield,-,1,342,433,780,,
Medfield,-,2,309,444,761,,
Medfield,-,3,343,473,822,,
Medfield,-,4,282,457,743,,
Medford,1,1,395,165,569,,
Medford,1,2,470,212,690,,
Medford,2,1,453,227,681,,
Medford,2,2,482,317,811,,
Medford,3,1,531,337,872,,
Medford,3,2,557,452,"1,014",,
Medford,4,1,290,95,387,,
Medford,4,2,566,197,768,,
Medford,5,1,398,140,541,,
Medford,5,2,389,98,492,,
Medford,6,1,857,225,"1,092",,
Medford,6,2,643,324,972,,
Medford,7,1,316,104,422,,
Medford,7,2,309,179,496,,
Medford,8,1,585,274,866,,
Medford,8,2,453,211,670,,
Medway,-,1,209,343,557,,
Medway,-,2,282,317,604,,
Medway,-,3,316,338,658,,
Medway,-,4,293,363,664,,
Melrose,1,1,385,216,606,,
Melrose,1,2,326,175,501,,
Melrose,2,1,301,248,555,,
Melrose,2,2,298,192,491,,
Melrose,3,1,357,183,546,,
Melrose,3,2,287,153,442,,
Melrose,4,1,245,154,399,,
Melrose,4,2,244,324,569,,
Melrose,5,1,241,147,388,,
Melrose,5,2,248,160,411,,
Melrose,6,1,244,131,381,,
Melrose,6,2,251,224,478,,
Melrose,7,1,222,165,389,,
Melrose,7,2,284,204,489,,
Mendon,-,1,404,718,"1,126",,
Merrimac,-,1,293,334,629,,
Merrimac,-,2,283,394,680,,
Methuen,-,1,219,334,558,,
Methuen,-,2,139,45,185,,
Methuen,-,3,223,291,520,,
Methuen,-,4,269,288,562,,
Methuen,-,5,175,193,370,,
Methuen,-,6,216,284,502,,
Methuen,-,7,236,358,597,,
Methuen,-,8,244,487,736,,
Methuen,-,9,181,404,590,,
Methuen,-,10,211,318,529,,
Methuen,-,11,243,490,743,,
Methuen,-,12,174,369,548,,
Middleborough,-,1,472,698,"1,178",,
Middleborough,-,2,191,255,449,,
Middleborough,-,3,201,464,667,,
Middleborough,-,4,160,263,425,,
Middleborough,-,5,235,430,669,,
Middleborough,-,6,178,333,514,,
Middlefield,-,1,90,56,147,,
Middleton,-,1,263,471,737,,
Middleton,-,2,267,436,708,,
Milford,-,1,191,164,358,,
Milford,-,2,251,210,466,,
Milford,-,3,194,261,461,,
Milford,-,4,206,168,377,,
Milford,-,5,324,374,703,,
Milford,-,6,258,276,535,,
Milford,-,7,219,323,543,,
Milford,-,8,306,325,634,,
Millbury,-,1,197,337,541,,
Millbury,-,2,262,503,769,,
Millbury,-,3,211,341,554,,
Millbury,-,4,198,301,506,,
Millis,-,1,351,429,789,,
Millis,-,2,303,435,748,,
Millis,-,3,323,408,737,,
Millville,-,1,151,337,489,,
Milton,-,1,464,148,616,,
Milton,-,2,575,224,804,,
Milton,-,3,417,361,784,,
Milton,-,4,421,258,685,,
Milton,-,5,373,281,660,,
Milton,-,6,364,437,808,,
Milton,-,7,311,388,703,,
Milton,-,8,337,395,739,,
Milton,-,9,311,497,813,,
Milton,-,10,334,122,458,,
Monroe,-,1,9,11,20,,
Monson,-,A,189,292,482,,
Monson,-,B,167,303,471,,
Monson,-,C,182,300,487,,
Montague,-,1,417,122,540,,
Montague,-,2,218,97,321,,
Montague,-,3,185,107,297,,
Montague,-,4,191,156,351,,
Montague,-,5,170,31,204,,
Montague,-,6,151,109,263,,
Monterey,-,1,213,45,258,,
Montgomery,-,1,72,169,241,,
Mount Washington,-,1,33,15,48,,
Nahant,-,1,621,522,"1,147",,
Nantucket,-,1,"1,114",877,"1,996",,
Natick,-,1,251,137,389,,
Natick,-,2,486,302,796,,
Natick,-,3,514,307,830,,
Natick,-,4,440,261,705,,
Natick,-,5,460,358,822,,
Natick,-,6,454,322,777,,
Natick,-,7,511,318,830,,
Natick,-,8,501,255,759,,
Natick,-,9,435,322,763,,
Natick,-,10,614,469,"1,090",,
Needham,-,A,386,231,622,,
Needham,-,B,500,314,816,,
Needham,-,C,501,345,853,,
Needham,-,D,499,286,788,,
Needham,-,E,514,360,876,,
Needham,-,F,560,272,838,,
Needham,-,G,581,304,890,,
Needham,-,H,554,371,927,,
Needham,-,I,576,277,855,,
Needham,-,J,503,291,796,,
New Ashford,-,1,54,19,73,,
New Bedford,1,A,209,139,350,,
New Bedford,1,B,162,110,274,,
New Bedford,1,C,145,121,267,,
New Bedford,1,D,165,135,305,,
New Bedford,1,E,182,114,296,,
New Bedford,1,F,137,139,278,,
New Bedford,2,A,26,20,47,,
New Bedford,2,B,79,41,123,,
New Bedford,2,C,86,37,125,,
New Bedford,2,D,92,72,166,,
New Bedford,2,E,140,92,236,,
New Bedford,2,F,123,87,211,,
New Bedford,3,A,40,24,64,,
New Bedford,3,B,85,24,112,,
New Bedford,3,C,109,39,150,,
New Bedford,3,D,130,53,183,,
New Bedford,3,E,165,117,284,,
New Bedford,3,F,192,103,296,,
New Bedford,4,A,124,22,148,,
New Bedford,4,B,178,36,216,,
New Bedford,4,C,231,53,287,,
New Bedford,4,D,147,37,184,,
New Bedford,4,E,127,54,183,,
New Bedford,4,F,150,42,193,,
New Bedford,5,A,87,35,123,,
New Bedford,5,B,227,89,317,,
New Bedford,5,C,152,72,226,,
New Bedford,5,D,224,88,316,,
New Bedford,5,E,239,157,400,,
New Bedford,5,F,242,158,404,,
New Bedford,6,A,135,97,237,,
New Bedford,6,B,152,91,248,,
New Bedford,6,C,109,20,130,,
New Bedford,6,D,47,14,61,,
New Bedford,6,E,77,22,99,,
New Bedford,6,F,92,37,132,,
New Braintree,-,1,101,153,255,,
New Marlborough,-,1,215,101,318,,
New Salem,-,1,168,127,296,,
Newbury,-,1,522,484,"1,010",,
Newbury,-,2,398,534,937,,
Newburyport,1,P,107,100,207,,
Newburyport,1,1,436,259,699,,
Newburyport,2,1,559,224,787,,
Newburyport,3,1,512,308,825,,
Newburyport,4,1,521,367,893,,
Newburyport,5,1,268,319,593,,
Newburyport,6,1,376,364,742,,
Newton,1,1,341,183,533,,
Newton,1,2,502,125,634,,
Newton,1,3,479,131,614,,
Newton,1,4,319,213,535,,
Newton,2,1,508,174,686,,
Newton,2,2,419,119,542,,
Newton,2,3,686,193,886,,
Newton,2,4,738,177,915,,
Newton,3,1,559,219,783,,
Newton,3,2,598,190,791,,
Newton,3,3,433,190,627,,
Newton,3,4,466,191,664,,
Newton,4,1,468,160,629,,
Newton,4,2,563,132,699,,
Newton,4,3,354,97,459,,
Newton,4,4,443,152,604,,
Newton,5,1,416,151,570,,
Newton,5,2,603,133,739,,
Newton,5,3,771,188,961,,
Newton,5,4,761,200,963,,
Newton,6,1,449,158,611,,
Newton,6,2,662,142,807,,
Newton,6,3,794,119,915,,
Newton,6,4,754,192,949,,
Newton,7,1,417,212,633,,
Newton,7,2,694,197,894,,
Newton,7,3,161,51,212,,
Newton,7,4,251,123,377,,
Newton,8,1,453,266,721,,
Newton,8,2,455,264,719,,
Newton,8,3,554,230,784,,
Newton,8,4,318,126,445,,
Norfolk,-,1,167,310,479,,
Norfolk,-,2,336,555,897,,
Norfolk,-,3,252,518,778,,
N. Adams,1,1,234,95,332,,
N. Adams,2,2,210,78,289,,
N. Adams,3,3,179,38,221,,
N. Adams,4,4,272,133,406,,
N. Adams,5,5,220,69,290,,
N. Andover,-,1,262,328,590,,
N. Andover,-,2,288,426,722,,
N. Andover,-,3,286,304,594,,
N. Andover,-,4,344,467,812,,
N. Andover,-,5,182,295,480,,
N. Andover,-,6,254,546,801,,
N. Andover,-,7,243,346,590,,
N. Andover,-,8,246,428,677,,
N. Attleborough,-,1,238,280,531,,
N. Attleborough,-,2,324,481,824,,
N. Attleborough,-,3,350,645,"1,016",,
N. Attleborough,-,4,257,248,511,,
N. Attleborough,-,5,251,357,621,,
N. Attleborough,-,6,388,543,949,,
N. Attleborough,-,7,411,610,"1,038",,
N. Attleborough,-,8,324,592,926,,
N. Attleborough,-,9,325,517,854,,
N. Brookfield,-,1,270,626,900,,
N. Reading,-,1,299,476,778,,
N. Reading,-,2,253,373,633,,
N. Reading,-,3,262,468,736,,
N. Reading,-,4,357,475,835,,
Northampton,1,A,402,70,481,,
Northampton,1,B,805,210,"1,039",,
Northampton,2,A,771,91,869,,
Northampton,2,B,346,35,384,,
Northampton,3,A,593,115,722,,
Northampton,3,B,535,70,621,,
Northampton,4,A,387,41,434,,
Northampton,4,B,689,115,821,,
Northampton,5,A,608,129,750,,
Northampton,5,B,711,158,887,,
Northampton,6,A,635,303,960,,
Northampton,6,B,688,271,981,,
Northampton,7,A,707,216,938,,
Northampton,7,B,675,262,950,,
Northborough,-,1,360,419,787,,
Northborough,-,2,388,451,844,,
Northborough,-,3,426,471,903,,
Northborough,-,4,386,562,954,,
Northbridge,-,1,219,439,664,,
Northbridge,-,2,214,376,591,,
Northbridge,-,3,156,379,539,,
Northbridge,-,4,185,468,656,,
Northfield,-,1,395,251,651,,
Norton,-,1,223,332,556,,
Norton,-,2,214,352,569,,
Norton,-,3,266,300,568,,
Norton,-,4,252,345,598,,
Norton,-,5,114,205,322,,
Norwell,-,1,312,469,787,,
Norwell,-,2,339,603,943,,
Norwell,-,3,329,571,906,,
Norwood,-,1,340,373,719,,
Norwood,-,2,312,329,646,,
Norwood,-,3,321,350,677,,
Norwood,-,4,413,474,893,,
Norwood,-,5,229,175,407,,
Norwood,-,6,198,223,428,,
Norwood,-,7,269,325,597,,
Norwood,-,8,367,320,696,,
Norwood,-,9,299,418,720,,
Oak Bluffs,-,1,726,395,"1,127",,
Oakham,-,1,152,336,490,,
Orange,-,1,228,337,569,,
Orange,-,2,264,344,614,,
Orleans,-,1,"1,219","1,095","2,319",,
Otis,-,1,157,121,280,,
Oxford,-,1,188,389,582,,
Oxford,-,2,188,338,527,,
Oxford,-,3,201,343,548,,
Oxford,-,4,163,338,502,,
Palmer,-,1,218,304,529,,
Palmer,-,1A,38,27,65,,
Palmer,-,2,223,397,628,,
Palmer,-,3,226,243,472,,
Palmer,-,4,222,272,499,,
Paxton,-,1,404,730,"1,142",,
Peabody,1,1,266,300,573,,
Peabody,1,2,304,365,676,,
Peabody,1,3,259,262,527,,
Peabody,2,1,173,89,265,,
Peabody,2,2,142,110,254,,
Peabody,2,3,206,251,464,,
Peabody,3,1,143,75,222,,
Peabody,3,2,220,159,383,,
Peabody,3,3,223,247,479,,
Peabody,4,1,229,260,494,,
Peabody,4,2,208,220,432,,
Peabody,4,3,198,163,361,,
Peabody,4,3A,583,395,985,,
Peabody,5,1,270,373,646,,
Peabody,5,2,234,223,460,,
Peabody,5,3,253,280,536,,
Peabody,6,1,264,365,631,,
Peabody,6,2,253,337,593,,
Peabody,6,3,275,375,654,,
Pelham,-,1,427,56,484,,
Pembroke,-,1,270,456,728,,
Pembroke,-,2,235,384,621,,
Pembroke,-,3,221,382,610,,
Pembroke,-,4,215,434,655,,
Pembroke,-,5,222,437,659,,
Pepperell,-,1,227,440,671,,
Pepperell,-,2,350,513,867,,
Pepperell,-,3,288,450,743,,
Peru,-,1,84,54,139,,
Petersham,-,1,193,194,393,,
Phillipston,-,1,107,196,304,,
Pittsfield,1,A,222,83,312,,
Pittsfield,1,B,295,118,415,,
Pittsfield,2,A,119,29,151,,
Pittsfield,2,B,297,90,389,,
Pittsfield,3,A,411,133,547,,
Pittsfield,3,B,417,134,551,,
Pittsfield,4,A,440,178,621,,
Pittsfield,4,B,516,254,772,,
Pittsfield,5,A,353,109,463,,
Pittsfield,5,B,286,109,396,,
Pittsfield,6,A,377,108,488,,
Pittsfield,6,B,213,90,306,,
Pittsfield,7,A,169,59,231,,
Pittsfield,7,B,299,107,408,,
Plainfield,-,1,165,48,214,,
Plainville,-,1,203,301,508,,
Plainville,-,2,164,266,435,,
Plainville,-,3,145,318,469,,
Plymouth,-,1,223,250,474,,
Plymouth,-,2,335,376,715,,
Plymouth,-,3,291,273,569,,
Plymouth,-,4,318,345,669,,
Plymouth,-,5,299,503,806,,
Plymouth,-,6,301,412,722,,
Plymouth,-,7,239,334,578,,
Plymouth,-,8,291,488,784,,
Plymouth,-,9,169,286,461,,
Plymouth,-,10,216,244,461,,
Plymouth,-,11,342,529,877,,
Plymouth,-,12,211,423,638,,
Plymouth,-,13,311,407,720,,
Plymouth,-,14,222,435,658,,
Plymouth,-,15,723,927,"1,661",,
Plympton,-,1,266,420,697,,
Princeton,-,1,466,661,"1,133",,
Provincetown,-,1,957,111,"1,068",,
Quincy,1,1,241,252,498,,
Quincy,1,2,199,131,333,,
Quincy,1,3,282,254,541,,
Quincy,1,4,321,395,723,,
Quincy,1,5,364,409,785,,
Quincy,2,1,247,225,477,,
Quincy,2,2,310,234,550,,
Quincy,2,3,138,84,223,,
Quincy,2,3A,72,56,130,,
Quincy,2,4,189,170,362,,
Quincy,2,5,285,222,513,,
Quincy,3,1,283,270,560,,
Quincy,3,2,314,236,554,,
Quincy,3,3,188,147,340,,
Quincy,3,4,280,350,634,,
Quincy,3,5,179,149,333,,
Quincy,4,1,188,225,415,,
Quincy,4,2,279,279,561,,
Quincy,4,3,246,331,585,,
Quincy,4,4,180,137,320,,
Quincy,4,5,235,178,421,,
Quincy,5,1,237,139,390,,
Quincy,5,2,310,191,507,,
Quincy,5,3,338,244,592,,
Quincy,5,4,244,255,502,,
Quincy,5,5,310,268,587,,
Quincy,6,1,235,195,431,,
Quincy,6,2,166,127,295,,
Quincy,6,3,369,313,687,,
Quincy,6,4,248,191,444,,
Quincy,6,5,420,540,976,,
Randolph,-,1,291,104,403,,
Randolph,-,2,297,106,405,,
Randolph,-,3,260,139,402,,
Randolph,-,4,287,160,448,,
Randolph,-,5,268,118,387,,
Randolph,-,6,251,105,358,,
Randolph,-,7,296,115,413,,
Randolph,-,8,427,107,538,,
Randolph,-,9,311,100,414,,
Randolph,-,10,284,138,427,,
Randolph,-,11,287,157,445,,
Randolph,-,12,289,174,471,,
Raynham,-,1,144,276,423,,
Raynham,-,1A,29,42,72,,
Raynham,-,2,169,283,453,,
Raynham,-,2A,21,67,88,,
Raynham,-,3,187,283,473,,
Raynham,-,4,166,271,439,,
Reading,-,1,410,466,878,,
Reading,-,2,295,328,628,,
Reading,-,3,298,335,636,,
Reading,-,4,332,321,658,,
Reading,-,5,335,268,609,,
Reading,-,6,248,269,518,,
Reading,-,7,375,358,737,,
Reading,-,8,313,344,659,,
Rehoboth,-,1,163,333,497,,
Rehoboth,-,2,235,367,605,,
Rehoboth,-,3,198,303,504,,
Revere,1,1,199,140,344,,
Revere,1,2,196,114,312,,
Revere,1,3,228,131,360,,
Revere,2,1,131,71,206,,
Revere,2,2,161,59,222,,
