City/Town,Ward,Pct,Elizabeth A. Warren,Scott P. Brown,Total Votes Cast,
Everett,1,1,646,374,"1,036",
Everett,1,2,597,317,931,
Everett,2,1,691,352,"1,051",
Everett,2,2,636,291,943,
Everett,3,1,802,480,"1,299",
Everett,3,2,757,444,"1,218",
Everett,4,1,732,462,"1,210",
Everett,4,2,729,354,"1,099",
Everett,5,1,718,434,"1,160",
Everett,5,2,746,384,"1,143",
Everett,6,1,667,404,"1,078",
Everett,6,2,695,368,"1,073",
Fairhaven,-,1,782,671,"1,466",
Fairhaven,-,2,797,604,"1,411",
Fairhaven,-,3,624,480,"1,111",
Fairhaven,-,4,769,633,"1,425",
Fairhaven,-,5,790,699,"1,502",
Fairhaven,-,6,746,616,"1,376",
Fall River,1,A,933,570,"1,541",
Fall River,1,B,763,335,"1,136",
Fall River,1,C,793,387,"1,199",
Fall River,2,A,610,230,863,
Fall River,2,B,561,239,826,
Fall River,2,C,676,295,"1,017",
Fall River,3,A,810,363,"1,218",
Fall River,3,B,826,346,"1,196",
Fall River,3,C,760,391,"1,171",
Fall River,4,A,598,267,896,
Fall River,4,B,665,202,899,
Fall River,4,C,736,163,997,
Fall River,5,A,512,139,665,
Fall River,5,B,420,98,535,
Fall River,5,B1,87,27,121,
Fall River,5,C,604,177,804,
Fall River,6,A,839,449,"1,306",
Fall River,6,B,694,247,965,
Fall River,6,C,732,357,"1,111",
Fall River,6,C1,16,9,25,
Fall River,7,A,744,440,"1,209",
Fall River,7,B,585,271,873,
Fall River,7,C,734,256,"1,019",
Fall River,8,A,665,313,"1,005",
Fall River,8,B,972,619,"1,619",
Fall River,8,C,"1,016",610,"1,664",
Fall River,9,A,"1,082",792,"1,914",
Fall River,9,B,703,437,"1,172",
Fall River,9,C,762,472,"1,287",
Falmouth,-,1,"1,604",820,"2,445",
Falmouth,-,2,"1,220",883,"2,117",
Falmouth,-,3,"1,018","1,065","2,096",
Falmouth,-,4,"1,025","1,129","2,168",
Falmouth,-,5,"1,115","1,289","2,424",
Falmouth,-,6,"1,168","1,122","2,301",
Falmouth,-,7,951,"1,097","2,059",
Falmouth,-,8,920,"1,174","2,104",
Falmouth,-,9,952,964,"1,929",
Fitchburg,1,A,576,457,"1,038",
Fitchburg,1,B,606,544,"1,167",
Fitchburg,2,A,509,330,846,
Fitchburg,2,B,701,742,"1,455",
Fitchburg,3,A,780,"1,127","1,920",
Fitchburg,3,B,619,668,"1,290",
Fitchburg,4,A,369,354,739,
Fitchburg,4,B,566,375,948,
Fitchburg,5,A,710,"1,042","1,763",
Fitchburg,5,B,568,280,857,
Fitchburg,6,A,750,757,"1,517",
Fitchburg,6,B,585,411,"1,013",
Florida,-,1,221,164,393,
Foxborough,-,1,766,"1,002","1,778",
Foxborough,-,2,836,"1,281","2,132",
Foxborough,-,3,744,"1,271","2,029",
Foxborough,-,4,802,"1,199","2,012",
Foxborough,-,5,665,"1,165","1,832",
Framingham,-,1,"1,231","1,082","2,336",
Framingham,-,2,"1,243","1,028","2,281",
Framingham,-,3,"1,066",768,"1,842",
Framingham,-,4,"1,179","1,037","2,230",
Framingham,-,5,"1,191",899,"2,105",
Framingham,-,6,"1,180",959,"2,155",
Framingham,-,7,"1,009",837,"1,855",
Framingham,-,8,"1,204",679,"1,900",
Framingham,-,9,848,540,"1,396",
Framingham,-,10,681,375,"1,071",
Framingham,-,11,"1,201","1,093","2,300",
Framingham,-,12,613,416,"1,036",
Framingham,-,13,912,519,"1,447",
Framingham,-,14,650,284,944,
Framingham,-,15,684,325,"1,016",
Framingham,-,16,422,159,586,
Framingham,-,17,550,92,651,
Framingham,-,18,596,307,912,
Franklin,-,1,829,"1,260","2,104",
Franklin,-,2,787,"1,162","1,962",
Franklin,-,3,877,"1,268","2,155",
Franklin,-,4,821,"1,503","2,339",
Franklin,-,5,896,"1,401","2,308",
Franklin,-,6,864,"1,137","2,008",
Franklin,-,7,858,"1,551","2,427",
Franklin,-,8,777,"1,455","2,243",
Freetown,-,1,657,898,"1,565",
Freetown,-,2,780,787,"1,583",
Freetown,-,3,648,891,"1,553",
Gardner,1,A,512,571,"1,094",
Gardner,1,B,173,255,431,
Gardner,2,A,438,445,889,
Gardner,2,B,446,561,"1,013",
Gardner,3,A,407,347,762,
Gardner,3,B,502,489,999,
Gardner,4,A,443,368,820,
Gardner,4,B,303,242,548,
Gardner,5,A,343,354,703,
Gardner,5,B,451,563,"1,020",
Georgetown,-,1,722,"1,101","1,832",
Georgetown,-,2,601,"1,004","1,615",
Georgetown,-,3,572,923,"1,500",
Gill,-,1,594,293,900,
Gloucester,1,1,984,835,"1,845",
Gloucester,1,2,769,739,"1,518",
Gloucester,2,1,581,582,"1,177",
Gloucester,2,2,695,467,"1,176",
Gloucester,3,1,719,572,"1,304",
Gloucester,3,2,677,691,"1,381",
Gloucester,4,1,818,828,"1,659",
Gloucester,4,2,"1,134",824,"1,975",
Gloucester,5,1,866,944,"1,828",
Gloucester,5,2,876,935,"1,826",
Goshen,-,1,359,253,616,
Gosnold,-,1,43,44,87,
Grafton,-,1,790,"1,129","1,927",
Grafton,-,2,833,"1,130","1,972",
Grafton,-,3,779,"1,058","1,849",
Grafton,-,4,701,906,"1,619",
Grafton,-,5,903,"1,246","2,163",
Granby,-,1,895,955,"1,871",
Granby,-,2,713,934,"1,660",
Granville,-,1,301,594,900,
Great Barrington,-,A,736,219,969,
Great Barrington,-,B,724,212,944,
Great Barrington,-,C,583,131,718,
Great Barrington,-,D,770,213,990,
Greenfield,-,1,560,314,894,
Greenfield,-,2,721,442,"1,182",
Greenfield,-,3,623,285,928,
Greenfield,-,4,699,339,"1,066",
Greenfield,-,5,773,258,"1,050",
Greenfield,-,6,736,199,948,
Greenfield,-,7,526,289,825,
Greenfield,-,8,591,182,789,
Greenfield,-,9,491,288,792,
Groton,-,1,960,"1,139","2,242",
Groton,-,2,856,"1,183","2,081",
Groton,-,3,925,"1,043","2,039",
Groveland,-,1,737,"1,236","1,990",
Groveland,-,2,738,"1,264","2,012",
Hadley,-,1,"1,978","1,129","3,130",
Halifax,-,1,807,"1,258","2,075",
Halifax,-,2,768,"1,251","2,029",
Hamilton,-,1,714,934,"1,668",
Hamilton,-,2,616,"1,010","1,635",
Hamilton,-,3,496,715,"1,226",
Hampden,-,1,"1,070","1,824","2,918",
Hancock,-,1,215,164,383,
Hanover,-,1,665,"1,358","2,028",
Hanover,-,2,729,"1,406","2,156",
Hanover,-,3,759,"1,332","2,107",
Hanover,-,4,589,"1,505","2,105",
Hanson,-,1,614,"1,181","1,817",
Hanson,-,2,762,"1,254","2,037",
Hanson,-,3,659,"1,093","1,771",
Hardwick,-,1,608,701,"1,322",
Harvard,-,1,"1,982","1,609","3,642",
Harwich,-,1,"1,049","1,083","2,148",
Harwich,-,2,"1,028","1,054","2,086",
Harwich,-,3,960,"1,122","2,091",
Harwich,-,4,933,936,"1,880",
Hatfield,-,1,"1,205",831,"2,049",
Haverhill,1,1,554,292,857,
Haverhill,1,2,729,451,"1,190",
Haverhill,1,3,604,524,"1,142",
Haverhill,2,1,573,559,"1,142",
Haverhill,2,2,530,749,"1,288",
Haverhill,2,3,508,322,840,
Haverhill,3,1,535,181,730,
Haverhill,3,2,580,400,990,
Haverhill,3,3,619,486,"1,109",
Haverhill,4,1,613,950,"1,578",
Haverhill,4,2,681,"1,010","1,710",
Haverhill,4,3,673,917,"1,608",
Haverhill,5,1,726,759,"1,496",
Haverhill,5,2,651,948,"1,610",
Haverhill,5,3,627,"1,170","1,804",
Haverhill,6,1,655,685,"1,351",
Haverhill,6,2,716,737,"1,465",
Haverhill,6,3,731,876,"1,617",
Haverhill,7,1,662,859,"1,532",
Haverhill,7,2,643,729,"1,380",
Haverhill,7,3,631,"1,044","1,684",
Hawley,-,1,116,79,201,
Heath,-,1,268,162,435,
Hingham,-,1,945,"1,191","2,152",
Hingham,-,2,965,"1,410","2,388",
Hingham,-,3,"1,004","1,355","2,373",
Hingham,-,4,869,"1,477","2,355",
Hingham,-,5,608,"1,067","1,685",
Hingham,-,5A,568,439,"1,010",
Hingham,-,6,865,"1,400","2,288",
Hinsdale,-,1,666,386,"1,067",
Holbrook,-,1,686,687,"1,384",
Holbrook,-,2,628,808,"1,439",
Holbrook,-,3,617,784,"1,411",
Holbrook,-,4,659,645,"1,312",
Holden,-,1,819,"1,295","2,125",
Holden,-,2,847,"1,233","2,091",
Holden,-,3,793,"1,226","2,031",
Holden,-,4,820,"1,260","2,086",
Holden,-,5,894,"1,366","2,276",
Holland,-,1,524,795,"1,334",
Holliston,-,1,997,"1,290","2,299",
Holliston,-,2,"1,046","1,101","2,162",
Holliston,-,3,964,949,"1,927",
Holliston,-,4,882,"1,058","1,948",
Holyoke,1,A,827,78,924,
Holyoke,1,B,753,113,900,
Holyoke,2,A,692,207,921,
Holyoke,2,B,644,86,739,
Holyoke,3,A,945,335,"1,300",
Holyoke,3,B,852,589,"1,455",
Holyoke,4,A,634,98,746,
Holyoke,4,B,785,214,"1,015",
Holyoke,5,A,894,912,"1,810",
Holyoke,5,B,878,387,"1,290",
Holyoke,6,A,840,312,"1,159",
Holyoke,6,B,870,374,"1,254",
Holyoke,7,A,850,732,"1,592",
Holyoke,7,B,968,484,"1,466",
Hopedale,-,1,"1,363","1,925","3,314",
Hopkinton,-,1,863,"1,276","2,158",
Hopkinton,-,2,903,"1,282","2,193",
Hopkinton,-,3,871,"1,297","2,185",
Hopkinton,-,4,850,"1,304","2,167",
Hubbardston,-,1,929,"1,671","2,631",
Hudson,-,1,761,751,"1,526",
Hudson,-,2,560,693,"1,263",
Hudson,-,3,691,929,"1,633",
Hudson,-,4,735,917,"1,662",
Hudson,-,5,759,881,"1,649",
Hudson,-,6,573,541,"1,121",
Hudson,-,7,648,565,"1,226",
Hull,-,1,"1,157",951,"2,120",
Hull,-,2,945,933,"1,889",
Hull,-,3,"1,068","1,023","2,102",
Huntington,-,1,502,605,"1,113",
Ipswich,-,1,"1,074",942,"2,028",
Ipswich,-,2,"1,168","1,124","2,308",
Ipswich,-,3,741,"1,311","2,066",
Ipswich,-,4,893,"1,106","2,011",
Kingston,-,1,686,984,"1,680",
Kingston,-,2,627,"1,210","1,848",
Kingston,-,3,588,"1,207","1,804",
Kingston,-,4,686,977,"1,674",
Lakeville,-,1,672,"1,183","1,890",
Lakeville,-,2,638,"1,300","1,962",
Lakeville,-,3,667,"1,351","2,049",
Lancaster,-,1,716,"1,093","1,827",
Lancaster,-,2,777,"1,123","1,916",
Lanesborough,-,1,"1,078",499,"1,612",
Lawrence,A,1,739,219,967,
Lawrence,A,2,647,73,735,
Lawrence,A,3,602,247,861,
Lawrence,A,4,594,130,732,
Lawrence,B,1,851,131,998,
Lawrence,B,2,770,69,852,
Lawrence,B,3,811,106,928,
Lawrence,B,4,940,84,"1,041",
Lawrence,C,1,652,99,764,
Lawrence,C,2,756,278,"1,043",
Lawrence,C,3,713,46,775,
Lawrence,C,4,859,85,953,
Lawrence,D,1,751,216,975,
Lawrence,D,2,769,63,848,
Lawrence,D,3,608,55,681,
Lawrence,D,4,655,75,741,
Lawrence,E,1,761,578,"1,356",
Lawrence,E,2,743,523,"1,276",
Lawrence,E,3,641,213,863,
Lawrence,E,4,671,216,901,
Lawrence,F,1,684,538,"1,241",
Lawrence,F,2,681,130,823,
Lawrence,F,3,656,145,810,
Lawrence,F,4,681,198,888,
Lee,-,1,"2,017",931,"3,000",
Leicester,-,1,610,886,"1,504",
Leicester,-,2,541,735,"1,298",
Leicester,-,3,536,853,"1,407",
Leicester,-,4,545,825,"1,386",
Lenox,-,1,"2,218",825,"3,079",
Leominster,1,A,620,931,"1,562",
Leominster,1,B,650,854,"1,512",
Leominster,1,C,497,574,"1,078",
Leominster,2,A,490,401,899,
Leominster,2,B,575,607,"1,185",
Leominster,2,C,400,331,736,
Leominster,3,A,526,480,"1,013",
Leominster,3,B,585,850,"1,442",
Leominster,3,C,669,867,"1,544",
Leominster,4,A,632,976,"1,612",
Leominster,4,B,536,927,"1,478",
Leominster,4,C,486,532,"1,021",
Leominster,5,A,568,587,"1,164",
Leominster,5,B,683,812,"1,502",
Leominster,5,C,542,471,"1,025",
Leverett,-,1,"1,005",227,"1,242",
Lexington,-,1,"1,135",614,"1,762",
Lexington,-,2,"1,537",651,"2,197",
Lexington,-,3,"1,221",555,"1,794",
Lexington,-,4,"1,411",744,"2,174",
Lexington,-,5,"1,378",799,"2,189",
Lexington,-,6,"1,303",820,"2,135",
Lexington,-,7,"1,357",737,"2,106",
Lexington,-,8,"1,327",688,"2,027",
Lexington,-,9,"1,253",789,"2,055",
Leyden,-,1,306,155,463,
Lincoln,-,1,"1,525",704,"2,246",
Lincoln,-,2,923,568,"1,504",
Littleton,-,1,860,985,"1,851",
Littleton,-,2,842,"1,063","1,917",
Littleton,-,3,783,882,"1,673",
Longmeadow,-,A,904,"1,038","1,956",
Longmeadow,-,B,783,897,"1,702",
Longmeadow,-,C,872,"1,110","1,994",
Longmeadow,-,D,810,"1,184","2,007",
Longmeadow,-,E,889,956,"1,859",
Lowell,1,1,613,302,928,
Lowell,1,2,836,"1,135","1,979",
Lowell,1,3,829,930,"1,766",
Lowell,2,1,448,219,675,
Lowell,2,2,773,144,928,
Lowell,2,3,818,291,"1,120",
Lowell,3,1,534,375,919,
Lowell,3,2,472,241,737,
Lowell,3,3,488,274,789,
Lowell,4,1,666,386,"1,066",
Lowell,4,2,466,199,676,
Lowell,4,3,553,220,796,
Lowell,5,1,520,478,"1,012",
Lowell,5,2,526,288,824,
Lowell,5,3,588,558,"1,157",
Lowell,6,1,625,625,"1,265",
Lowell,6,2,763,727,"1,500",
Lowell,6,3,702,646,"1,367",
Lowell,7,1,486,267,771,
Lowell,7,2,606,188,804,
Lowell,7,3,387,201,611,
Lowell,8,1,552,338,903,
Lowell,8,2,611,446,"1,076",
Lowell,8,3,818,831,"1,659",
Lowell,9,1,602,424,"1,031",
Lowell,9,2,713,553,"1,275",
Lowell,9,3,565,455,"1,025",
Lowell,10,1,606,408,"1,021",
Lowell,10,2,449,162,616,
Lowell,10,3,409,157,580,
Lowell,11,1,553,385,951,
Lowell,11,2,600,618,"1,224",
Lowell,11,3,648,518,"1,175",
Ludlow,-,1,842,897,"1,754",
Ludlow,-,2,616,629,"1,256",
Ludlow,-,3,670,"1,125","1,809",
Ludlow,-,4,846,813,"1,681",
Ludlow,-,5,535,715,"1,263",
Ludlow,-,6,820,"1,129","1,963",
Lunenburg,-,A,600,981,"1,589",
Lunenburg,-,B,589,745,"1,341",
Lunenburg,-,C,554,977,"1,543",
Lunenburg,-,D,573,892,"1,475",
Lynn,1,1,808,"1,015","1,834",
Lynn,1,2,897,"1,013","1,928",
Lynn,1,3,857,762,"1,634",
Lynn,1,4,845,656,"1,516",
Lynn,2,1,986,866,"1,868",
Lynn,2,2,803,316,"1,132",
Lynn,2,3,664,150,822,
Lynn,2,4,647,199,855,
Lynn,3,1,857,480,"1,349",
Lynn,3,2,768,368,"1,154",
Lynn,3,3,741,312,"1,066",
Lynn,3,4,849,350,"1,210",
Lynn,4,1,525,117,650,
Lynn,4,2,592,130,729,
Lynn,4,3,789,219,"1,022",
Lynn,4,4,850,367,"1,228",
Lynn,5,1,664,418,"1,096",
Lynn,5,2,499,105,618,
Lynn,5,3,535,102,639,
Lynn,5,4,936,386,"1,342",
Lynn,6,1,632,292,938,
Lynn,6,2,452,128,590,
Lynn,6,3,738,218,966,
Lynn,6,4,603,195,813,
Lynn,7,1,976,627,"1,618",
Lynn,7,2,915,540,"1,463",
Lynn,7,3,662,349,"1,025",
Lynn,7,4,721,417,"1,152",
Lynnfield,-,1,570,"1,318","1,895",
Lynnfield,-,2,531,"1,059","1,598",
Lynnfield,-,3,626,"1,165","1,802",
Lynnfield,-,4,518,"1,464","1,997",
Malden,1,1,777,323,"1,108",
Malden,1,2,921,433,"1,367",
Malden,2,1,738,389,"1,140",
Malden,2,2,825,551,"1,391",
Malden,3,1,910,522,"1,459",
Malden,3,2,"1,092",708,"1,818",
Malden,4,1,696,323,"1,042",
Malden,4,2,617,232,865,
Malden,5,1,914,401,"1,336",
Malden,5,2,"1,003",765,"1,779",
Malden,6,1,956,564,"1,537",
Malden,6,2,902,550,"1,479",
Malden,7,1,828,261,"1,101",
Malden,7,2,888,381,"1,286",
Malden,8,1,867,563,"1,449",
Malden,8,2,648,387,"1,048",
Manchester-by-the-Sea,-,1,"1,673","1,848","3,543",
Mansfield,-,1,773,"1,363","2,168",
Mansfield,-,2,826,"1,248","2,104",
Mansfield,-,3,775,"1,394","2,202",
Mansfield,-,4,734,"1,282","2,060",
Mansfield,-,5,802,932,"1,767",
Mansfield,-,6,852,972,"1,858",
Marblehead,-,1,"1,087","1,068","2,172",
Marblehead,-,2,"1,088","1,081","2,178",
Marblehead,-,3,"1,000",992,"1,999",
Marblehead,-,4,958,"1,240","2,204",
Marblehead,-,5,984,"1,071","2,064",
Marblehead,-,6,959,"1,121","2,087",
Marion,-,1,"1,503","1,723","3,241",
Marlborough,1,1,606,546,"1,165",
Marlborough,1,2,711,941,"1,659",
Marlborough,2,1,605,774,"1,388",
Marlborough,2,2,580,582,"1,171",
Marlborough,3,1,482,396,885,
Marlborough,3,2,642,776,"1,428",
Marlborough,4,1,399,334,740,
Marlborough,4,2,682,847,"1,536",
Marlborough,5,1,474,354,838,
Marlborough,5,2,582,646,"1,235",
Marlborough,6,1,491,456,958,
Marlborough,6,2,696,837,"1,541",
Marlborough,7,1,589,544,"1,138",
Marlborough,7,2,516,615,"1,139",
Marshfield,-,1,890,"1,266","2,168",
Marshfield,-,2,851,"1,450","2,311",
Marshfield,-,3,908,"1,232","2,146",
Marshfield,-,4,794,"1,243","2,049",
Marshfield,-,5,723,"1,152","1,884",
Marshfield,-,6,899,"1,483","2,389",
Marshfield,-,7,739,"1,458","2,208",
Mashpee,-,1,850,972,"1,827",
Mashpee,-,2,641,893,"1,552",
Mashpee,-,3,628,792,"1,432",
Mashpee,-,4,757,720,"1,490",
Mashpee,-,5,779,"1,247","2,041",
Mattapoisett,-,1,"1,786","2,176","4,078",
Maynard,-,1,722,720,"1,444",
Maynard,-,2,870,597,"1,474",
Maynard,-,3,778,690,"1,477",
Maynard,-,4,777,637,"1,422",
Medfield,-,1,754,"1,037","1,811",
Medfield,-,2,677,"1,156","1,850",
Medfield,-,3,744,"1,238","2,002",
Medfield,-,4,657,"1,138","1,807",
Medford,1,1,950,649,"1,642",
Medford,1,2,"1,008",693,"1,711",
Medford,2,1,990,782,"1,786",
Medford,2,2,"1,002",934,"1,943",
Medford,3,1,"1,068",962,"2,046",
Medford,3,2,"1,058","1,023","2,092",
Medford,4,1,957,325,"1,296",
Medford,4,2,"1,251",658,"1,936",
Medford,5,1,"1,090",551,"1,655",
Medford,5,2,"1,037",349,"1,395",
Medford,6,1,"1,593",581,"2,188",
Medford,6,2,"1,130",792,"1,947",
Medford,7,1,743,330,"1,084",
Medford,7,2,887,627,"1,534",
Medford,8,1,"1,169",788,"1,976",
Medford,8,2,"1,051",642,"1,711",
Medway,-,1,659,"1,090","1,758",
Medway,-,2,761,"1,036","1,807",
Medway,-,3,739,"1,055","1,802",
Medway,-,4,756,"1,157","1,928",
Melrose,1,1,657,572,"1,235",
Melrose,1,2,625,480,"1,113",
Melrose,2,1,578,645,"1,231",
Melrose,2,2,588,534,"1,129",
Melrose,3,1,652,506,"1,165",
Melrose,3,2,576,451,"1,038",
Melrose,4,1,565,415,984,
Melrose,4,2,485,807,"1,295",
Melrose,5,1,523,390,919,
Melrose,5,2,597,481,"1,086",
Melrose,6,1,570,456,"1,034",
Melrose,6,2,541,614,"1,163",
Melrose,7,1,554,547,"1,106",
Melrose,7,2,565,567,"1,138",
Mendon,-,1,"1,215","2,200","3,438",
Merrimac,-,1,779,"1,014","1,808",
Merrimac,-,2,746,"1,039","1,796",
Methuen,-,1,764,"1,001","1,781",
Methuen,-,2,829,237,"1,081",
Methuen,-,3,782,945,"1,743",
Methuen,-,4,811,907,"1,734",
Methuen,-,5,788,685,"1,492",
Methuen,-,6,798,911,"1,728",
Methuen,-,7,807,"1,163","1,979",
Methuen,-,8,731,"1,467","2,218",
Methuen,-,9,680,"1,320","2,010",
Methuen,-,10,860,928,"1,797",
Methuen,-,11,769,"1,427","2,206",
Methuen,-,12,706,"1,182","1,903",
Middleborough,-,1,956,"1,530","2,505",
Middleborough,-,2,653,953,"1,629",
Middleborough,-,3,744,"1,317","2,087",
Middleborough,-,4,616,887,"1,532",
Middleborough,-,5,737,"1,315","2,093",
Middleborough,-,6,672,"1,082","1,780",
Middlefield,-,1,168,122,294,
Middleton,-,1,813,"1,530","2,355",
Middleton,-,2,814,"1,480","2,301",
Milford,-,1,586,554,"1,147",
Milford,-,2,770,733,"1,520",
Milford,-,3,628,817,"1,457",
Milford,-,4,728,578,"1,315",
Milford,-,5,912,"1,235","2,168",
Milford,-,6,773,863,"1,650",
Milford,-,7,736,"1,074","1,823",
Milford,-,8,878,981,"1,871",
Millbury,-,1,649,912,"1,571",
Millbury,-,2,766,"1,204","1,981",
Millbury,-,3,714,"1,034","1,752",
Millbury,-,4,678,838,"1,523",
Millis,-,1,654,919,"1,580",
Millis,-,2,625,936,"1,580",
Millis,-,3,655,950,"1,615",
Millville,-,1,579,975,"1,565",
Milton,-,1,"1,209",359,"1,578",
Milton,-,2,"1,136",555,"1,696",
Milton,-,3,862,850,"1,719",
Milton,-,4,"1,014",613,"1,635",
Milton,-,5,680,669,"1,360",
Milton,-,6,741,"1,038","1,787",
Milton,-,7,683,882,"1,580",
Milton,-,8,727,978,"1,715",
Milton,-,9,622,"1,100","1,736",
Milton,-,10,817,337,"1,161",
Monroe,-,1,26,27,53,
Monson,-,A,658,798,"1,460",
Monson,-,B,545,828,"1,384",
Monson,-,C,627,831,"1,470",
Montague,-,1,727,215,946,
Montague,-,2,514,202,724,
Montague,-,3,445,236,694,
Montague,-,4,468,266,739,
Montague,-,5,403,80,492,
Montague,-,6,430,223,658,
Monterey,-,1,403,126,536,
Montgomery,-,1,204,306,510,
Mount Washington,-,1,83,25,110,
Nahant,-,1,"1,202","1,104","2,320",
Nantucket,-,1,"3,435","2,653","6,145",
Natick,-,1,819,522,"1,348",
Natick,-,2,941,905,"1,855",
Natick,-,3,"1,044",935,"1,986",
Natick,-,4,983,742,"1,739",
Natick,-,5,984,"1,001","2,001",
Natick,-,6,974,918,"1,907",
Natick,-,7,"1,082",833,"1,934",
Natick,-,8,"1,055",782,"1,852",
Natick,-,9,"1,052",893,"1,964",
Natick,-,10,"1,179","1,093","2,278",
Needham,-,A,837,722,"1,572",
Needham,-,B,899,815,"1,746",
Needham,-,C,874,926,"1,839",
Needham,-,D,908,831,"1,756",
Needham,-,E,962,902,"1,873",
Needham,-,F,"1,025",784,"1,824",
Needham,-,G,767,702,"1,483",
Needham,-,H,902,918,"1,825",
Needham,-,I,972,818,"1,812",
Needham,-,J,908,769,"1,696",
New Ashford,-,1,102,52,155,
New Bedford,1,A,739,516,"1,279",
New Bedford,1,B,745,429,"1,193",
New Bedford,1,C,700,435,"1,149",
New Bedford,1,D,674,506,"1,197",
New Bedford,1,E,726,407,"1,150",
New Bedford,1,F,705,497,"1,227",
New Bedford,2,A,260,75,340,
New Bedford,2,B,441,214,663,
New Bedford,2,C,446,156,612,
New Bedford,2,D,527,282,820,
New Bedford,2,E,624,333,969,
New Bedford,2,F,669,314,996,
New Bedford,3,A,381,120,509,
New Bedford,3,B,565,132,717,
New Bedford,3,C,493,142,664,
New Bedford,3,D,622,208,844,
New Bedford,3,E,817,366,"1,201",
New Bedford,3,F,788,380,"1,177",
New Bedford,4,A,632,78,731,
New Bedford,4,B,964,182,"1,162",
New Bedford,4,C,838,230,"1,095",
New Bedford,4,D,694,195,908,
New Bedford,4,E,624,257,902,
New Bedford,4,F,766,164,948,
New Bedford,5,A,556,167,734,
New Bedford,5,B,770,240,"1,026",
New Bedford,5,C,664,286,964,
New Bedford,5,D,831,332,"1,185",
New Bedford,5,E,892,557,"1,468",
New Bedford,5,F,860,426,"1,301",
New Bedford,6,A,689,388,"1,108",
New Bedford,6,B,652,296,965,
New Bedford,6,C,405,100,519,
New Bedford,6,D,375,96,495,
New Bedford,6,E,474,134,625,
New Bedford,6,F,570,226,811,
New Braintree,-,1,235,324,560,
New Marlborough,-,1,528,304,842,
New Salem,-,1,351,251,608,
Newbury,-,1,"1,078","1,155","2,245",
Newbury,-,2,895,"1,327","2,236",
Newburyport,1,P,226,239,466,
Newburyport,1,1,840,617,"1,470",
Newburyport,2,1,"1,162",658,"1,829",
Newburyport,3,1,"1,028",793,"1,833",
Newburyport,4,1,"1,051",947,"2,007",
Newburyport,5,1,674,966,"1,659",
Newburyport,6,1,818,969,"1,799",
Newton,1,1,782,528,"1,327",
Newton,1,2,989,435,"1,432",
Newton,1,3,974,366,"1,350",
Newton,1,4,732,608,"1,356",
Newton,2,1,920,503,"1,431",
Newton,2,2,765,328,"1,100",
Newton,2,3,"1,193",471,"1,671",
Newton,2,4,"1,217",434,"1,655",
Newton,3,1,994,553,"1,561",
Newton,3,2,"1,019",475,"1,502",
Newton,3,3,877,565,"1,448",
Newton,3,4,892,543,"1,443",
Newton,4,1,866,460,"1,333",
Newton,4,2,927,314,"1,256",
Newton,4,3,687,301,997,
Newton,4,4,850,472,"1,338",
Newton,5,1,855,442,"1,302",
Newton,5,2,"1,036",367,"1,413",
Newton,5,3,"1,243",525,"1,774",
Newton,5,4,"1,245",524,"1,774",
Newton,6,1,876,466,"1,353",
Newton,6,2,"1,136",389,"1,537",
Newton,6,3,"1,272",345,"1,627",
Newton,6,4,"1,272",439,"1,724",
Newton,7,1,850,534,"1,400",
Newton,7,2,"1,196",579,"1,780",
Newton,7,3,519,281,812,
Newton,7,4,448,311,762,
Newton,8,1,891,727,"1,626",
Newton,8,2,789,762,"1,555",
Newton,8,3,949,618,"1,583",
Newton,8,4,607,369,979,
Norfolk,-,1,405,852,"1,263",
Norfolk,-,2,803,"1,570","2,386",
Norfolk,-,3,673,"1,415","2,092",
N. Adams,1,1,815,341,"1,175",
N. Adams,2,2,806,302,"1,123",
N. Adams,3,3,746,248,"1,006",
N. Adams,4,4,907,427,"1,348",
N. Adams,5,5,852,283,"1,159",
N. Andover,-,1,785,927,"1,721",
N. Andover,-,2,810,"1,227","2,054",
N. Andover,-,3,827,"1,052","1,891",
N. Andover,-,4,851,"1,326","2,193",
N. Andover,-,5,564,834,"1,406",
N. Andover,-,6,675,"1,542","2,227",
N. Andover,-,7,704,"1,129","1,845",
N. Andover,-,8,644,"1,347","2,006",
N. Attleborough,-,1,539,687,"1,232",
N. Attleborough,-,2,596,"1,035","1,641",
N. Attleborough,-,3,532,"1,161","1,706",
N. Attleborough,-,4,581,710,"1,303",
N. Attleborough,-,5,553,879,"1,449",
N. Attleborough,-,6,568,"1,134","1,713",
N. Attleborough,-,7,665,"1,278","1,954",
N. Attleborough,-,8,566,"1,118","1,691",
N. Attleborough,-,9,577,"1,062","1,646",
N. Brookfield,-,1,877,"1,490","2,386",
N. Reading,-,1,716,"1,512","2,250",
N. Reading,-,2,816,"1,222","2,051",
N. Reading,-,3,810,"1,387","2,219",
N. Reading,-,4,868,"1,407","2,284",
Northampton,1,A,771,137,927,
Northampton,1,B,"1,074",284,"1,402",
Northampton,2,A,"1,123",132,"1,278",
Northampton,2,B,693,63,800,
Northampton,3,A,"1,102",179,"1,316",
Northampton,3,B,"1,033",164,"1,220",
Northampton,4,A,842,103,970,
Northampton,4,B,905,170,"1,115",
Northampton,5,A,856,199,"1,083",
Northampton,5,B,975,201,"1,204",
Northampton,6,A,874,383,"1,279",
Northampton,6,B,938,348,"1,320",
