City/Town,Ward,Pct,Elizabeth A. Warren,Scott P. Brown,Total Votes Cast,
Beverly,5,2,816,999,"1,830",
Beverly,6,1,879,"1,134","2,027",
Beverly,6,2,816,"1,273","2,102",
Billerica,-,1,880,"1,086","1,974",
Billerica,-,2,803,"1,124","1,939",
Billerica,-,3,757,"1,057","1,826",
Billerica,-,4,636,910,"1,557",
Billerica,-,5,777,"1,290","2,074",
Billerica,-,6,593,982,"1,583",
Billerica,-,7,771,971,"1,753",
Billerica,-,8,748,"1,306","2,077",
Billerica,-,9,719,"1,102","1,825",
Billerica,-,10,760,"1,186","1,952",
Billerica,-,11,640,"1,035","1,686",
Blackstone,-,1,605,777,"1,388",
Blackstone,-,2,638,814,"1,457",
Blackstone,-,3,563,933,"1,499",
Blandford,-,1,263,399,667,
Bolton,-,1,"1,354","1,717","3,086",
Boston,1,1,604,251,863,
Boston,1,2,423,184,621,
Boston,1,3,917,264,"1,194",
Boston,1,4,264,113,388,
Boston,1,5,440,235,691,
Boston,1,6,384,183,573,
Boston,1,7,508,173,691,
Boston,1,8,675,248,940,
Boston,1,9,413,164,585,
Boston,1,10,300,95,400,
Boston,1,11,545,361,914,
Boston,1,12,499,394,907,
Boston,1,13,728,431,"1,171",
Boston,1,14,371,249,633,
Boston,1,15,19,2,21,
Boston,2,1,717,693,"1,420",
Boston,2,2,"1,049",604,"1,669",
Boston,2,3,593,549,"1,151",
Boston,2,4,538,386,936,
Boston,2,5,588,583,"1,179",
Boston,2,6,781,613,"1,414",
Boston,2,7,512,444,961,
Boston,3,1,"1,186","1,164","2,372",
Boston,3,2,590,538,"1,137",
Boston,3,3,532,469,"1,010",
Boston,3,4,572,551,"1,136",
Boston,3,5,"1,125",684,"1,817",
Boston,3,6,"1,395","1,050","2,465",
Boston,3,7,"1,832",631,"2,480",
Boston,3,8,"1,631",749,"2,472",
Boston,4,1,"1,044",404,"1,454",
Boston,4,2,"1,271",708,"1,991",
Boston,4,3,720,228,955,
Boston,4,4,"1,025",354,"1,390",
Boston,4,5,770,323,"1,108",
Boston,4,6,650,242,913,
Boston,4,7,744,231,985,
Boston,4,8,718,252,989,
Boston,4,9,608,108,736,
Boston,4,10,414,128,553,
Boston,5,1,"1,980",644,"2,662",
Boston,5,2,662,187,864,
Boston,5,2A,425,186,620,
Boston,5,3,767,523,"1,293",
Boston,5,4,995,564,"1,571",
Boston,5,5,301,219,524,
Boston,5,6,678,663,"1,348",
Boston,5,7,890,691,"1,594",
Boston,5,8,815,575,"1,406",
Boston,5,9,"1,137",738,"1,899",
Boston,5,10,983,379,"1,386",
Boston,5,11,540,374,925,
Boston,6,1,"1,335",734,"2,088",
Boston,6,2,389,342,739,
Boston,6,3,507,501,"1,015",
Boston,6,4,511,570,"1,093",
Boston,6,5,486,574,"1,073",
Boston,6,6,447,628,"1,085",
Boston,6,7,403,588,997,
Boston,6,8,447,610,"1,065",
Boston,6,9,417,644,"1,074",
Boston,7,1,393,578,977,
Boston,7,2,504,738,"1,247",
Boston,7,3,597,785,"1,399",
Boston,7,4,559,587,"1,164",
Boston,7,5,484,366,866,
Boston,7,6,488,255,755,
Boston,7,7,526,115,656,
Boston,7,8,417,266,690,
Boston,7,9,519,214,741,
Boston,7,10,674,52,737,
Boston,8,1,587,95,686,
Boston,8,2,"1,074",285,"1,374",
Boston,8,3,714,45,765,
Boston,8,4,427,18,450,
Boston,8,5,807,60,877,
Boston,8,6,242,30,276,
Boston,8,7,534,40,584,
Boston,9,1,999,169,"1,185",
Boston,9,2,"1,070",308,"1,395",
Boston,9,3,"1,618",161,"1,806",
