City/Town,Ward,Pct,Edward M. Kennedy,Kenneth G. Chase,Total Votes Cast,
Billerica,-,9,703,434,"1,169",
Billerica,-,10,812,490,"1,338",
Billerica,-,11,692,442,"1,162",
Blackstone,-,1,600,271,901,
Blackstone,-,2,615,348,989,
Blackstone,-,3,625,437,"1,092",
Blandford,-,1,259,217,490,
Bolton,-,1,"1,241",883,"2,194",
Boston,1,1,360,89,494,
Boston,1,2,243,53,320,
Boston,1,3,503,88,641,
Boston,1,4,157,59,226,
Boston,1,5,249,68,344,
Boston,1,6,226,52,305,
Boston,1,7,293,66,383,
Boston,1,8,340,84,464,
Boston,1,9,253,54,345,
Boston,1,10,175,40,225,
Boston,1,11,443,133,645,
Boston,1,12,449,168,677,
Boston,1,13,527,184,774,
Boston,1,14,280,98,418,
Boston,1,15,4,0,4,
Boston,2,1,685,228,971,
Boston,2,2,633,179,855,
Boston,2,3,555,213,808,
Boston,2,4,418,122,576,
Boston,2,5,535,187,763,
Boston,2,6,671,232,962,
Boston,2,7,438,140,619,
Boston,3,1,"1,208",377,"1,673",
Boston,3,2,456,142,637,
Boston,3,3,445,123,600,
Boston,3,4,487,181,723,
Boston,3,5,935,261,"1,234",
Boston,3,6,884,343,"1,270",
Boston,3,7,"1,298",165,"1,504",
Boston,3,8,884,199,"1,235",
Boston,4,1,849,130,"1,013",
Boston,4,2,856,188,"1,092",
Boston,4,3,534,81,633,
Boston,4,4,833,84,951,
Boston,4,5,500,99,624,
Boston,4,6,395,92,505,
Boston,4,7,494,68,580,
Boston,4,8,357,52,428,
Boston,4,9,184,14,215,
Boston,4,10,149,21,174,
Boston,5,1,"1,275",231,"1,638",
Boston,5,2,669,103,797,
Boston,5,3,615,215,857,
Boston,5,4,661,187,870,
Boston,5,5,246,83,344,
Boston,5,6,558,195,776,
Boston,5,7,727,251,"1,014",
Boston,5,8,630,222,891,
Boston,5,9,798,241,"1,061",
Boston,5,10,496,128,646,
Boston,5,11,450,136,604,
Boston,6,1,652,152,857,
Boston,6,2,317,95,448,
Boston,6,3,411,131,572,
Boston,6,4,417,158,615,
Boston,6,5,390,163,603,
Boston,6,6,456,178,710,
