City/Town,Ward,Pct,John F. Kerry,Jeffrey K. Beatty,Total Votes Cast,,
Duxbury,-,2,884,905,"1,862",,
Duxbury,-,3,809,715,"1,603",,
Duxbury,-,4,757,620,"1,431",,
Duxbury,-,5,740,623,"1,430",,
Duxbury,-,6,792,657,"1,527",,
E. Bridgewater,-,1,893,697,"1,699",,
E. Bridgewater,-,2,959,754,"1,842",,
E. Bridgewater,-,3,"1,065",747,"1,945",,
E. Bridgewater,-,4,925,699,"1,738",,
E. Brookfield,-,1,582,528,"1,184",,
E. Longmeadow,-,1,"1,144",735,"2,037",,
E. Longmeadow,-,2,"1,111",676,"1,948",,
E. Longmeadow,-,3,"1,226",954,"2,326",,
E. Longmeadow,-,4,"1,098","1,048","2,329",,
Eastham,-,1,"2,146","1,514","3,843",,
Easthampton,-,1,"1,231",431,"1,790",,
Easthampton,-,2,"1,234",287,"1,659",,
Easthampton,-,3,"1,156",297,"1,577",,
Easthampton,-,4,"1,407",439,"1,968",,
Easthampton,-,5,"1,241",563,"1,935",,
Easton,-,1,723,554,"1,356",,
Easton,-,2,"1,240",867,"2,230",,
Easton,-,3,"1,126",714,"1,994",,
Easton,-,4,"1,110",842,"2,080",,
Easton,-,5,"1,298",867,"2,294",,
Easton,-,6,"1,128",843,"2,106",,
Edgartown,-,1,"1,598",742,"2,472",,
Egremont,-,1,653,144,847,,
Erving,-,1,566,181,806,,
Essex,-,1,"1,243",827,"2,209",,
Everett,1,1,505,171,733,,
Everett,1,2,411,131,580,,
Everett,1,3,455,113,626,,
Everett,2,1,513,164,720,,
Everett,2,2,458,157,654,,
Everett,2,3,474,129,643,,
Everett,3,1,690,235,"1,001",,
Everett,3,2,487,111,639,,
Everett,3,3,543,178,775,,
Everett,4,1,590,216,861,,
Everett,4,2,506,126,690,,
Everett,4,3,480,147,684,,
Everett,5,1,615,173,845,,
Everett,5,2,456,143,650,,
Everett,5,3,493,141,677,,
Everett,6,1,551,178,783,,
Everett,6,2,481,172,710,,
Everett,6,3,506,147,712,,
Fairhaven,-,1,930,403,"1,415",,
Fairhaven,-,2,"1,001",411,"1,510",,
Fairhaven,-,3,901,288,"1,275",,
Fairhaven,-,4,925,368,"1,385",,
Fairhaven,-,5,942,373,"1,426",,
Fairhaven,-,6,963,445,"1,497",,
Fall River,1,A,951,242,"1,314",,
Fall River,1,B,729,198,"1,036",,
Fall River,1,C,702,172,958,,
Fall River,1,D,844,179,"1,127",,
Fall River,2,A,709,130,930,,
Fall River,2,B,705,126,915,,
Fall River,2,C,858,155,"1,133",,
Fall River,3,A,922,200,"1,232",,
Fall River,3,B,"1,014",203,"1,340",,
Fall River,3,C,899,222,"1,240",,
Fall River,4,A,756,170,"1,027",,
Fall River,4,B,656,102,847,,
Fall River,4,C,804,102,996,,
Fall River,5,A,531,69,655,,
Fall River,5,B,512,94,685,,
Fall River,5,C,595,67,738,,
Fall River,6,A,968,262,"1,350",,
Fall River,6,B,707,107,913,,
Fall River,6,C,781,183,"1,049",,
Fall River,7,A,521,90,663,,
Fall River,7,B,583,172,873,,
Fall River,7,C,520,133,727,,
Fall River,7,D,638,117,831,,
Fall River,8,A,586,143,797,,
Fall River,8,B,880,316,"1,323",,
Fall River,8,C,921,265,"1,314",,
Fall River,8,D,655,177,936,,
Fall River,9,A,"1,338",508,"2,045",,
Fall River,9,B,913,266,"1,325",,
Fall River,9,C,"1,089",312,"1,509",,
Falmouth,-,1,"1,549",632,"2,282",,
Falmouth,-,2,"1,245",658,"2,003",,
Falmouth,-,3,"1,247",833,"2,185",,
Falmouth,-,4,"1,232",797,"2,131",,
Falmouth,-,5,"1,326","1,034","2,473",,
Falmouth,-,6,"1,324",777,"2,210",,
Falmouth,-,7,"1,137",812,"2,051",,
Falmouth,-,8,"1,289",936,"2,331",,
Falmouth,-,9,"1,174",743,"2,020",,
Fitchburg,1,A,731,240,"1,028",,
Fitchburg,1,B,790,349,"1,225",,
Fitchburg,2,A,567,215,835,,
Fitchburg,2,B,742,323,"1,142",,
Fitchburg,3,A,"1,292",724,"2,140",,
Fitchburg,3,B,880,475,"1,456",,
Fitchburg,4,A,555,285,903,,
Fitchburg,4,B,519,202,780,,
Fitchburg,5,A,"1,010",681,"1,793",,
Fitchburg,5,B,513,168,722,,
Fitchburg,6,A,877,453,"1,419",,
Fitchburg,6,B,671,235,989,,
Florida,-,1,281,99,430,,
Foxborough,-,1,991,607,"1,705",,
Foxborough,-,2,"1,061",688,"1,862",,
Foxborough,-,3,"1,031",767,"1,928",,
Foxborough,-,4,989,706,"1,828",,
Foxborough,-,5,987,719,"1,826",,
Framingham,-,1,"1,364",663,"2,147",,
Framingham,-,2,"1,447",665,"2,217",,
Framingham,-,3,"1,218",517,"1,838",,
Framingham,-,4,"1,465",669,"2,258",,
Framingham,-,5,"1,356",595,"2,081",,
Framingham,-,6,"1,365",573,"2,045",,
Framingham,-,7,"1,218",518,"1,848",,
Framingham,-,8,"1,241",450,"1,786",,
Framingham,-,9,872,341,"1,280",,
Framingham,-,10,772,267,"1,097",,
Framingham,-,11,"1,476",719,"2,291",,
Framingham,-,12,665,292,"1,013",,
Framingham,-,13,916,308,"1,290",,
Framingham,-,14,692,195,947,,
Framingham,-,15,793,202,"1,050",,
Framingham,-,16,358,90,476,,
Framingham,-,17,469,56,569,,
Framingham,-,18,606,189,852,,
Franklin,-,1,"1,104",720,"1,937",,
Franklin,-,2,"1,172",752,"2,047",,
Franklin,-,3,"1,220",634,"1,981",,
Franklin,-,4,"1,231",903,"2,255",,
Franklin,-,5,"1,222",759,"2,103",,
Franklin,-,6,"1,147",726,"1,994",,
Franklin,-,7,"1,227",868,"2,202",,
Franklin,-,8,"1,277",852,"2,274",,
Freetown,-,1,886,601,"1,610",,
Freetown,-,2,942,530,"1,596",,
Freetown,-,3,922,601,"1,632",,
Gardner,1,A,592,383,"1,025",,
Gardner,1,B,456,229,736,,
Gardner,1,C,115,55,185,,
Gardner,2,A,499,232,792,,
Gardner,2,B,603,316,991,,
Gardner,3,A,449,167,657,,
Gardner,3,B,628,244,933,,
Gardner,4,A,471,255,785,,
Gardner,4,B,367,163,576,,
Gardner,5,A,492,214,758,,
Gardner,5,B,606,318,990,,
Georgetown,-,1,"1,301",999,"2,412",,
Georgetown,-,2,"1,259",963,"2,334",,
Gill,-,1,674,186,919,,
Gloucester,1,1,"1,171",524,"1,860",,
Gloucester,1,2,969,440,"1,536",,
Gloucester,2,1,822,268,"1,175",,
Gloucester,2,2,854,238,"1,194",,
Gloucester,3,1,874,303,"1,290",,
Gloucester,3,2,919,370,"1,404",,
Gloucester,4,1,"1,059",469,"1,656",,
Gloucester,4,2,"1,320",506,"1,993",,
Gloucester,5,1,"1,066",545,"1,740",,
Gloucester,5,2,"1,059",617,"1,836",,
Goshen,-,1,393,172,612,,
Gosnold,-,1,44,33,80,,
Grafton,-,1,"1,023",703,"1,825",,
Grafton,-,2,"1,437","1,092","2,671",,
Grafton,-,3,"1,271",892,"2,286",,
Grafton,-,4,"1,263",842,"2,245",,
Granby,-,1,"2,117","1,238","3,584",,
Granville,-,1,408,391,879,,
Great Barrington,-,A,786,149,"1,005",,
Great Barrington,-,B,795,139,991,,
Great Barrington,-,C,683,85,815,,
Great Barrington,-,D,766,142,963,,
Greenfield,-,1,673,239,983,,
Greenfield,-,2,873,313,"1,281",,
Greenfield,-,3,683,175,938,,
Greenfield,-,4,742,198,"1,005",,
Greenfield,-,5,773,151,"1,014",,
Greenfield,-,6,663,120,862,,
Greenfield,-,7,661,180,906,,
Greenfield,-,8,635,84,783,,
Greenfield,-,9,573,159,799,,
Groton,-,1,"1,129",773,"2,077",,
Groton,-,2,"1,124",790,"2,054",,
Groton,-,3,"1,140",753,"2,006",,
Groveland,-,1,"2,037","1,626","3,867",,
Hadley,-,1,"2,210",703,"3,103",,
Halifax,-,1,"1,135",905,"2,200",,
Halifax,-,2,"1,035",742,"1,897",,
Hamilton,-,1,983,695,"1,777",,
Hamilton,-,2,926,722,"1,726",,
Hamilton,-,3,614,534,"1,225",,
Hampden,-,1,"1,588","1,149","2,994",,
Hancock,-,1,262,106,399,,
Hanover,-,1,969,890,"1,993",,
Hanover,-,2,"1,017",859,"1,986",,
Hanover,-,3,"1,058",868,"2,048",,
Hanover,-,4,"1,065",974,"2,145",,
Hanson,-,1,974,722,"1,799",,
Hanson,-,2,920,774,"1,797",,
Hanson,-,3,954,806,"1,886",,
Hardwick,-,1,842,473,"1,415",,
Harvard,-,1,"2,058","1,219","3,489",,
Harwich,-,1,"1,029",937,"2,082",,
Harwich,-,2,984,948,"2,033",,
Harwich,-,3,"1,088","1,042","2,225",,
Harwich,-,4,925,785,"1,803",,
Hatfield,-,1,"1,502",513,"2,122",,
Haverhill,1,1,575,175,814,,
Haverhill,1,2,542,161,764,,
Haverhill,1,3,757,328,"1,180",,
Haverhill,2,1,659,330,"1,072",,
Haverhill,2,2,747,442,"1,282",,
Haverhill,2,3,529,180,765,,
Haverhill,3,1,562,109,732,,
Haverhill,3,1A,28,7,40,,
Haverhill,3,2,614,205,904,,
Haverhill,3,3,732,330,"1,145",,
Haverhill,4,1,876,514,"1,510",,
Haverhill,4,2,976,700,"1,795",,
Haverhill,4,3,868,558,"1,539",,
Haverhill,5,1,919,441,"1,455",,
Haverhill,5,2,973,594,"1,662",,
Haverhill,5,3,928,749,"1,785",,
Haverhill,6,1,876,457,"1,413",,
Haverhill,6,2,833,409,"1,357",,
Haverhill,6,3,849,472,"1,421",,
Haverhill,7,1,763,495,"1,355",,
Haverhill,7,2,819,437,"1,327",,
Haverhill,7,3,"1,008",680,"1,821",,
Hawley,-,1,106,57,176,,
Heath,-,1,289,120,444,,
Hingham,-,1,"1,136",719,"1,958",,
Hingham,-,2,"1,102",872,"2,083",,
Hingham,-,3,"1,243",835,"2,198",,
Hingham,-,4,"1,118",928,"2,153",,
Hingham,-,5,"1,098",870,"2,044",,
Hingham,-,6,"1,705","1,226","3,052",,
Hinsdale,-,1,751,260,"1,106",,
Holbrook,-,1,810,450,"1,351",,
Holbrook,-,2,824,508,"1,421",,
Holbrook,-,3,835,490,"1,400",,
Holbrook,-,4,792,376,"1,259",,
Holden,-,1,984,781,"1,884",,
Holden,-,2,"1,237",970,"2,324",,
Holden,-,3,"1,136",857,"2,111",,
Holden,-,4,"1,161",864,"2,174",,
Holden,-,5,"1,056",809,"1,972",,
Holland,-,1,722,491,"1,341",,
Holliston,-,1,"1,324",817,"2,259",,
Holliston,-,2,"1,305",710,"2,136",,
Holliston,-,3,"1,207",619,"1,915",,
Holliston,-,4,"1,154",713,"1,960",,
Holyoke,1,A,478,39,612,,
Holyoke,1,B,544,75,741,,
Holyoke,2,A,614,127,840,,
Holyoke,2,B,454,43,624,,
Holyoke,3,A,925,198,"1,239",,
Holyoke,3,B,935,333,"1,396",,
Holyoke,4,A,461,77,601,,
Holyoke,4,B,742,145,"1,003",,
Holyoke,5,A,"1,026",587,"1,755",,
Holyoke,5,B,892,247,"1,250",,
Holyoke,6,A,976,240,"1,345",,
Holyoke,6,B,868,254,"1,213",,
Holyoke,7,A,898,440,"1,457",,
Holyoke,7,B,969,359,"1,447",,
Hopedale,-,1,"1,999","1,209","3,394",,
Hopkinton,-,1,"1,183",783,"2,059",,
Hopkinton,-,2,"1,197",826,"2,154",,
Hopkinton,-,3,"1,202",893,"2,213",,
Hopkinton,-,4,"1,040",856,"1,968",,
Hubbardston,-,1,"1,214","1,139","2,556",,
Hudson,-,1,960,502,"1,554",,
Hudson,-,2,849,364,"1,290",,
Hudson,-,3,871,526,"1,471",,
Hudson,-,4,896,661,"1,670",,
Hudson,-,5,969,576,"1,655",,
Hudson,-,6,674,316,"1,059",,
Hudson,-,7,730,315,"1,127",,
Hull,-,1,"1,277",617,"2,039",,
Hull,-,2,"1,073",530,"1,721",,
Hull,-,3,"1,369",721,"2,203",,
Huntington,-,1,657,360,"1,143",,
Ipswich,-,1,"1,128",613,"1,862",,
Ipswich,-,2,"1,298",725,"2,141",,
Ipswich,-,3,"1,072",928,"2,118",,
Ipswich,-,4,"1,222",709,"2,046",,
Kingston,-,1,892,610,"1,600",,
Kingston,-,2,868,823,"1,784",,
Kingston,-,3,873,724,"1,678",,
Kingston,-,4,927,645,"1,674",,
Lakeville,-,1,974,770,"1,859",,
Lakeville,-,2,850,892,"1,882",,
Lakeville,-,3,913,971,"1,992",,
Lancaster,-,1,763,557,"1,406",,
Lancaster,-,2,"1,147",992,"2,268",,
Lanesborough,-,1,"1,202",346,"1,682",,
Lawrence,A,1,696,142,917,,
Lawrence,A,2,449,38,586,,
Lawrence,A,3,604,150,831,,
Lawrence,A,4,590,84,754,,
Lawrence,B,1,702,88,931,,
Lawrence,B,2,559,28,640,,
Lawrence,B,3,605,73,768,,
Lawrence,B,4,655,61,918,,
Lawrence,C,1,424,24,587,,
Lawrence,C,2,494,26,608,,
Lawrence,C,3,664,29,775,,
Lawrence,C,4,555,53,715,,
Lawrence,D,1,700,111,886,,
Lawrence,D,2,767,214,"1,060",,
Lawrence,D,3,507,75,667,,
Lawrence,D,4,644,53,820,,
Lawrence,E,1,784,320,"1,207",,
Lawrence,E,2,788,368,"1,232",,
Lawrence,E,3,538,121,713,,
Lawrence,E,4,575,141,800,,
Lawrence,F,1,770,324,"1,169",,
Lawrence,F,2,580,84,720,,
Lawrence,F,3,474,60,607,,
Lawrence,F,4,558,131,749,,
Lee,-,1,330,95,466,,
Lee,-,2,390,87,510,,
Lee,-,3,331,91,468,,
Lee,-,4,485,131,652,,
Lee,-,5,305,94,428,,
Lee,-,6,364,118,516,,
Leicester,-,1,781,568,"1,449",,
Leicester,-,2,739,409,"1,241",,
Leicester,-,3,797,563,"1,437",,
Leicester,-,4,796,496,"1,391",,
Lenox,-,1,"2,296",572,"3,051",,
Leominster,1,A,837,630,"1,562",,
Leominster,1,B,887,579,"1,547",,
Leominster,1,C,607,333,992,,
Leominster,2,A,560,223,840,,
Leominster,2,B,681,303,"1,060",,
Leominster,2,C,490,198,743,,
Leominster,3,A,613,302,975,,
Leominster,3,B,817,589,"1,487",,
Leominster,3,C,877,476,"1,419",,
Leominster,4,A,993,587,"1,676",,
Leominster,4,B,830,581,"1,499",,
Leominster,4,C,583,278,936,,
Leominster,5,A,762,357,"1,203",,
Leominster,5,B,861,535,"1,471",,
Leominster,5,C,639,237,942,,
Leverett,-,1,"1,035",143,"1,256",,
Lexington,-,1,"1,176",463,"1,736",,
Lexington,-,2,"1,611",416,"2,147",,
Lexington,-,3,"1,517",457,"2,067",,
Lexington,-,4,"1,484",461,"2,051",,
Lexington,-,5,"1,368",505,"1,984",,
Lexington,-,6,"1,437",556,"2,086",,
Lexington,-,7,"1,483",468,"2,058",,
Lexington,-,8,"1,400",450,"1,942",,
Lexington,-,9,"1,277",517,"1,891",,
Leyden,-,1,331,107,475,,
Lincoln,-,1,"1,306",375,"1,773",,
Lincoln,-,2,"1,138",385,"1,601",,
Lincoln,-,3,62,45,122,,
Littleton,-,1,"1,068",668,"1,830",,
Littleton,-,2,"1,061",652,"1,804",,
Littleton,-,3,890,582,"1,562",,
Longmeadow,-,A,"1,178",669,"1,974",,
Longmeadow,-,B,"1,152",630,"1,899",,
Longmeadow,-,C,"1,055",677,"1,839",,
Longmeadow,-,D,"1,123",743,"1,985",,
Longmeadow,-,E,"1,166",674,"1,977",,
Lowell,1,1,639,178,900,,
Lowell,1,2,"1,142",695,"1,972",,
Lowell,1,3,979,604,"1,681",,
Lowell,2,1,324,79,439,,
Lowell,2,2,523,65,661,,
Lowell,2,3,"1,004",240,"1,353",,
Lowell,3,1,621,193,877,,
Lowell,3,2,465,123,633,,
Lowell,3,3,510,158,754,,
Lowell,4,1,643,238,962,,
Lowell,4,2,454,114,632,,
Lowell,4,3,506,95,684,,
Lowell,5,1,513,280,858,,
Lowell,5,2,473,186,722,,
Lowell,5,3,647,333,"1,045",,
Lowell,6,1,824,449,"1,363",,
Lowell,6,2,900,434,"1,437",,
Lowell,6,3,922,365,"1,401",,
Lowell,7,1,481,138,680,,
Lowell,7,2,392,61,510,,
Lowell,7,3,296,76,434,,
Lowell,8,1,613,177,851,,
Lowell,8,2,642,287,"1,003",,
Lowell,8,3,"1,065",530,"1,718",,
Lowell,9,1,621,247,945,,
Lowell,9,2,780,375,"1,252",,
Lowell,9,3,642,288,"1,008",,
Lowell,10,1,641,248,966,,
Lowell,10,2,482,110,638,,
Lowell,10,3,349,64,454,,
Lowell,11,1,482,186,718,,
Lowell,11,2,678,387,"1,137",,
Lowell,11,3,785,329,"1,217",,
Ludlow,-,1,"1,068",453,"1,646",,
Ludlow,-,2,904,362,"1,400",,
Ludlow,-,3,"1,238",782,"2,164",,
Ludlow,-,4,"1,141",413,"1,707",,
Ludlow,-,5,591,333,994,,
Ludlow,-,6,"1,207",706,"2,065",,
Lunenburg,-,A,793,630,"1,507",,
Lunenburg,-,B,785,475,"1,336",,
Lunenburg,-,C,779,631,"1,507",,
Lunenburg,-,D,762,569,"1,406",,
Lynn,1,1,"1,245",669,"2,045",,
Lynn,1,2,"1,110",562,"1,793",,
Lynn,1,3,"1,070",405,"1,564",,
Lynn,1,4,969,399,"1,457",,
Lynn,2,1,"1,193",513,"1,819",,
Lynn,2,2,848,197,"1,099",,
Lynn,2,3,601,95,735,,
Lynn,2,4,594,127,761,,
Lynn,3,1,874,295,"1,233",,
Lynn,3,2,614,169,830,,
Lynn,3,3,202,267,"1,045",,
Lynn,3,4,756,215,"1,032",,
Lynn,4,1,503,49,593,,
Lynn,4,2,477,65,580,,
Lynn,4,3,664,112,839,,
Lynn,4,4,889,231,"1,189",,
Lynn,5,1,733,206,993,,
Lynn,5,2,469,64,572,,
Lynn,5,3,434,63,526,,
Lynn,5,4,"1,025",234,"1,331",,
Lynn,6,1,653,151,859,,
Lynn,6,2,413,63,521,,
Lynn,6,3,500,51,582,,
Lynn,6,4,665,151,880,,
Lynn,7,1,"1,130",347,"1,553",,
Lynn,7,2,991,295,"1,372",,
Lynn,7,3,801,207,"1,075",,
Lynn,7,4,768,259,"1,078",,
Lynnfield,-,1,878,864,"1,839",,
Lynnfield,-,2,907,781,"1,805",,
Lynnfield,-,3,794,628,"1,504",,
Lynnfield,-,4,846,922,"1,836",,
Malden,1,1,785,202,"1,055",,
Malden,1,2,875,275,"1,241",,
Malden,2,1,827,231,"1,142",,
Malden,2,2,893,371,"1,358",,
Malden,3,1,993,304,"1,378",,
Malden,3,2,"1,128",459,"1,691",,
Malden,4,1,743,213,"1,043",,
Malden,4,2,718,176,964,,
Malden,5,1,991,271,"1,351",,
Malden,5,2,"1,144",446,"1,706",,
Malden,6,1,"1,197",426,"1,732",,
Malden,6,2,950,284,"1,347",,
Malden,7,1,751,180,"1,000",,
Malden,7,2,904,207,"1,178",,
Malden,8,1,926,341,"1,352",,
Malden,8,2,754,253,"1,090",,
Manchester-by-the-Sea,-,1,"1,985","1,266","3,421",,
Mansfield,-,1,"1,166",815,"2,112",,
Mansfield,-,2,"1,143",723,"2,026",,
Mansfield,-,3,"1,123",774,"2,025",,
Mansfield,-,4,"1,082",665,"1,885",,
Mansfield,-,5,"1,079",597,"1,806",,
Mansfield,-,6,"1,128",561,"1,828",,
Marblehead,-,1,"1,124",644,"1,854",,
Marblehead,-,2,"1,045",512,"1,640",,
Marblehead,-,3,"1,007",504,"1,579",,
Marblehead,-,4,"1,046",769,"1,888",,
Marblehead,-,5,"1,157",542,"1,779",,
Marblehead,-,6,"1,132",686,"1,894",,
Marblehead,-,7,"1,031",712,"1,826",,
Marion,-,1,"1,745","1,238","3,134",,
Marlborough,1,1,788,409,"1,282",,
Marlborough,1,2,929,582,"1,591",,
Marlborough,2,1,824,484,"1,374",,
Marlborough,2,2,668,338,"1,053",,
Marlborough,3,1,490,212,759,,
Marlborough,3,2,902,549,"1,540",,
Marlborough,4,1,435,181,667,,
Marlborough,4,2,849,475,"1,408",,
Marlborough,5,1,543,210,834,,
Marlborough,5,2,886,448,"1,420",,
Marlborough,6,1,567,255,887,,
Marlborough,6,2,824,511,"1,402",,
Marlborough,7,1,612,312,987,,
Marlborough,7,2,711,418,"1,183",,
Marshfield,-,1,"1,252",802,"2,180",,
Marshfield,-,2,"1,190",924,"2,238",,
Marshfield,-,3,"1,073",685,"1,861",,
Marshfield,-,4,998,786,"1,888",,
Marshfield,-,5,"1,023",743,"1,868",,
Marshfield,-,6,"1,269","1,009","2,402",,
Marshfield,-,7,"1,104",961,"2,167",,
Mashpee,-,1,"1,003",718,"1,804",,
Mashpee,-,2,894,804,"1,784",,
Mashpee,-,3,705,523,"1,291",,
Mashpee,-,4,862,569,"1,575",,
Mashpee,-,5,786,811,"1,695",,
Mattapoisett,-,1,"1,170",819,"2,108",,
Mattapoisett,-,2,"1,096",726,"1,939",,
Maynard,-,1,856,451,"1,405",,
Maynard,-,2,887,383,"1,339",,
Maynard,-,3,990,477,"1,556",,
Maynard,-,4,890,397,"1,374",,
Medfield,-,1,"1,026",649,"1,783",,
Medfield,-,2,"1,019",702,"1,830",,
Medfield,-,3,"1,027",783,"1,916",,
Medfield,-,4,917,743,"1,764",,
Medford,1,1,"1,116",363,"1,575",,
Medford,1,2,"1,046",417,"1,544",,
Medford,2,1,"1,093",437,"1,653",,
Medford,2,2,"1,331",558,"1,995",,
Medford,3,1,"1,286",618,"2,041",,
Medford,3,2,"1,469",694,"2,296",,
Medford,4,1,693,180,932,,
Medford,4,2,"1,216",410,"1,713",,
Medford,5,1,"1,096",328,"1,529",,
Medford,5,2,"1,012",218,"1,320",,
Medford,6,1,"1,576",364,"2,028",,
Medford,6,2,"1,255",436,"1,804",,
Medford,7,1,"1,066",323,"1,486",,
Medford,7,2,"1,161",410,"1,673",,
Medford,8,1,"1,227",568,"1,919",,
Medford,8,2,"1,086",358,"1,556",,
Medway,-,1,"1,047",784,"1,910",,
Medway,-,2,916,592,"1,587",,
Medway,-,3,987,612,"1,699",,
Medway,-,4,"1,021",714,"1,830",,
Melrose,1,1,750,343,"1,157",,
Melrose,1,2,687,286,"1,022",,
Melrose,2,1,756,409,"1,230",,
Melrose,2,2,690,346,"1,113",,
Melrose,3,1,733,354,"1,163",,
Melrose,3,2,685,317,"1,064",,
Melrose,4,1,646,295,"1,008",,
Melrose,4,2,621,508,"1,191",,
Melrose,5,1,690,318,"1,067",,
Melrose,5,2,721,294,"1,089",,
Melrose,6,1,609,280,934,,
Melrose,6,2,697,391,"1,152",,
Melrose,7,1,617,315,996,,
Melrose,7,2,717,439,"1,219",,
Mendon,-,1,"1,670","1,372","3,248",,
Merrimac,-,1,"1,989","1,379","3,581",,
Methuen,-,1,"1,046",608,"1,782",,
Methuen,-,2,769,140,"1,007",,
Methuen,-,3,"1,045",630,"1,773",,
Methuen,-,4,"1,008",594,"1,723",,
Methuen,-,5,996,430,"1,540",,
Methuen,-,6,990,554,"1,637",,
Methuen,-,7,"1,151",651,"1,917",,
Methuen,-,8,964,876,"1,960",,
Methuen,-,9,"1,104",799,"2,019",,
Methuen,-,10,"1,019",556,"1,701",,
Methuen,-,11,"1,075",827,"2,042",,
Methuen,-,12,"1,112",761,"2,008",,
Middleborough,-,1,"1,442","1,274","2,899",,
Middleborough,-,2,894,570,"1,569",,
Middleborough,-,3,"1,031",837,"2,019",,
Middleborough,-,4,689,450,"1,263",,
Middleborough,-,5,"1,036",913,"2,096",,
Middleborough,-,6,794,643,"1,595",,
Middlefield,-,1,194,80,300,,
Middleton,-,1,"1,233","1,023","2,392",,
Middleton,-,2,"1,035",820,"1,976",,
Milford,-,1,833,429,"1,353",,
Milford,-,2,"1,129",568,"1,811",,
Milford,-,3,991,484,"1,580",,
Milford,-,4,938,423,"1,477",,
Milford,-,5,"1,240",738,"2,118",,
Milford,-,6,"1,155",604,"1,884",,
Milford,-,7,"1,234",801,"2,171",,
Millbury,-,1,938,508,"1,565",,
Millbury,-,2,"1,097",815,"2,001",,
Millbury,-,3,819,588,"1,514",,
Millbury,-,4,958,527,"1,589",,
Millis,-,1,817,504,"1,403",,
Millis,-,2,841,571,"1,509",,
Millis,-,3,965,616,"1,696",,
Millville,-,1,873,565,"1,547",,
Milton,-,1,"1,012",140,"1,208",,
Milton,-,2,"1,044",310,"1,425",,
Milton,-,3,959,389,"1,434",,
Milton,-,4,925,338,"1,347",,
Milton,-,5,736,409,"1,223",,
Milton,-,6,863,561,"1,534",,
Milton,-,7,834,474,"1,397",,
Milton,-,8,877,530,"1,517",,
Milton,-,9,764,603,"1,455",,
Milton,-,10,871,581,"1,560",,
Milton,-,11,"1,069",341,"1,491",,
Monroe,-,1,38,21,60,,
Monson,-,A,803,454,"1,362",,
Monson,-,B,889,562,"1,594",,
Monson,-,C,901,511,"1,544",,
Montague,-,1,759,138,962,,
Montague,-,2,552,129,741,,
Montague,-,3,581,148,779,,
Montague,-,4,563,154,754,,
Montague,-,5,383,48,487,,
Montague,-,6,492,124,662,,
Monterey,-,1,445,103,587,,
Montgomery,-,1,232,223,515,,
Mount Washington,-,1,93,20,118,,
Nahant,-,1,"1,464",697,"2,314",,
Nantucket,-,1,"3,991","1,717","6,081",,
Natick,-,1,976,324,"1,387",,
Natick,-,2,"1,148",574,"1,812",,
Natick,-,3,"1,194",561,"1,858",,
Natick,-,4,"1,035",423,"1,587",,
Natick,-,5,"1,076",582,"1,792",,
Natick,-,6,"1,146",590,"1,870",,
Natick,-,7,"1,310",580,"2,011",,
Natick,-,8,"1,136",459,"1,725",,
Natick,-,9,"1,178",592,"1,894",,
Natick,-,10,"1,310",739,"2,219",,
Needham,-,A,"1,042",440,"1,588",,
Needham,-,B,"1,055",525,"1,676",,
Needham,-,C,"1,062",482,"1,630",,
Needham,-,D,"1,078",493,"1,636",,
Needham,-,E,"1,185",557,"1,841",,
Needham,-,F,"1,234",502,"1,829",,
Needham,-,G,"1,169",540,"1,794",,
Needham,-,H,"1,182",594,"1,869",,
Needham,-,I,"1,278",525,"1,888",,
Needham,-,J,"1,067",444,"1,585",,
New Ashford,-,1,102,33,145,,
New Bedford,1,A,732,258,"1,080",,
New Bedford,1,B,877,303,"1,251",,
New Bedford,1,C,631,220,930,,
New Bedford,1,D,869,261,"1,206",,
New Bedford,1,E,878,212,"1,172",,
New Bedford,1,F,726,285,"1,083",,
New Bedford,1,G,743,252,"1,070",,
New Bedford,2,A,248,48,334,,
New Bedford,2,B,460,86,601,,
New Bedford,2,C,523,92,675,,
New Bedford,2,D,550,139,743,,
New Bedford,2,E,676,161,895,,
New Bedford,2,F,536,82,671,,
New Bedford,2,G,672,172,910,,
New Bedford,3,A,281,48,351,,
New Bedford,3,B,499,110,653,,
New Bedford,3,C,399,104,556,,
New Bedford,3,D,456,84,592,,
New Bedford,3,E,677,216,957,,
New Bedford,3,F,703,182,951,,
New Bedford,3,G,652,160,884,,
New Bedford,4,A,532,49,651,,
New Bedford,4,B,621,58,734,,
New Bedford,4,C,724,111,925,,
New Bedford,4,D,535,91,689,,
New Bedford,4,E,625,122,816,,
New Bedford,4,F,608,137,817,,
New Bedford,4,G,750,85,885,,
New Bedford,5,A,481,71,596,,
New Bedford,5,B,670,145,881,,
New Bedford,5,C,567,106,752,,
New Bedford,5,D,786,175,"1,043",,
New Bedford,5,E,759,189,"1,005",,
New Bedford,5,F,809,254,"1,143",,
New Bedford,5,G,847,295,"1,232",,
New Bedford,6,A,678,230,990,,
New Bedford,6,B,667,191,916,,
New Bedford,6,C,366,45,462,,
New Bedford,6,D,318,67,427,,
New Bedford,6,E,390,54,506,,
New Bedford,6,F,546,124,740,,
New Bedford,6,G,438,63,552,,
New Braintree,-,1,322,195,554,,
New Marlborough,-,1,602,173,838,,
New Salem,-,1,401,176,618,,
Newbury,-,1,"1,250",803,"2,193",,
