City/Town,Ward,Pct,Scott P. Brown,Martha Coakley,Total Votes Cast,,
Billerica,-,1,739,479,"1,237",,
Billerica,-,2,865,464,"1,344",,
Billerica,-,3,826,500,"1,335",,
Billerica,-,4,887,507,"1,406",,
Billerica,-,5,"1,060",478,"1,557",,
Billerica,-,6,752,384,"1,149",,
Billerica,-,7,831,498,"1,345",,
Billerica,-,8,940,430,"1,386",,
Billerica,-,9,879,375,"1,265",,
Billerica,-,10,950,470,"1,430",,
Billerica,-,11,858,387,"1,267",,
Blackstone,-,1,590,343,940,,
Blackstone,-,2,662,355,"1,034",,
Blackstone,-,3,850,354,"1,220",,
Blandford,-,1,343,196,550,,
Bolton,-,1,"1,362",996,"2,376",,
Boston,1,1,196,315,520,,
Boston,1,2,127,167,300,,
Boston,1,3,206,423,637,,
Boston,1,4,95,107,202,,
Boston,1,5,159,213,376,,
Boston,1,6,126,164,294,,
Boston,1,7,115,196,317,,
Boston,1,8,163,247,414,,
Boston,1,9,117,152,274,,
Boston,1,10,62,100,166,,
Boston,1,11,317,253,576,,
Boston,1,12,351,253,616,,
Boston,1,13,347,332,686,,
Boston,1,14,206,170,377,,
Boston,1,15,0,0,0,,
Boston,2,1,518,532,"1,059",,
Boston,2,2,442,529,985,,
Boston,2,3,392,491,886,,
Boston,2,4,293,302,603,,
Boston,2,5,431,413,849,,
Boston,2,6,490,481,985,,
Boston,2,7,349,338,696,,
Boston,3,1,837,871,"1,722",,
Boston,3,2,324,370,698,,
Boston,3,3,288,363,659,,
Boston,3,4,376,357,739,,
Boston,3,5,511,811,"1,335",,
Boston,3,6,651,796,"1,459",,
Boston,3,7,421,"1,337","1,776",,
Boston,3,8,469,786,"1,274",,
Boston,4,1,267,811,"1,085",,
Boston,4,2,408,817,"1,231",,
Boston,4,3,136,513,651,,
Boston,4,4,220,752,984,,
Boston,4,5,209,408,620,,
Boston,4,6,171,375,555,,
Boston,4,7,119,371,495,,
Boston,4,8,119,307,432,,
Boston,4,9,22,137,162,,
Boston,4,10,30,94,124,,
Boston,5,1,495,"1,136","1,645",,
Boston,5,2,235,621,864,,
Boston,5,3,361,567,935,,
Boston,5,4,306,649,961,,
Boston,5,5,136,221,360,,
Boston,5,6,381,488,875,,
Boston,5,7,449,631,"1,085",,
Boston,5,8,374,566,953,,
Boston,5,9,463,736,"1,204",,
Boston,5,10,221,458,688,,
Boston,5,11,229,410,645,,
Boston,6,1,423,724,"1,150",,
Boston,6,2,256,248,517,,
Boston,6,3,344,333,682,,
Boston,6,4,436,312,756,,
Boston,6,5,456,299,763,,
Boston,6,6,469,283,759,,
Boston,6,7,416,286,712,,
Boston,6,8,475,285,771,,
Boston,6,9,529,251,787,,
Boston,7,1,478,252,735,,
Boston,7,2,567,323,896,,
Boston,7,3,607,385,"1,007",,
Boston,7,4,413,305,731,,
Boston,7,5,274,244,525,,
Boston,7,6,199,266,470,,
Boston,7,7,81,184,267,,
Boston,7,8,180,207,404,,
Boston,7,9,145,276,430,,
Boston,7,10,45,303,349,,
Boston,8,1,37,269,306,,
Boston,8,2,173,629,814,,
Boston,8,3,11,319,332,,
Boston,8,4,6,152,161,,
Boston,8,5,19,377,398,,
Boston,8,6,26,116,143,,
Boston,8,7,21,260,284,,
Boston,9,1,85,521,610,,
Boston,9,2,175,686,866,,
Boston,9,3,75,851,946,,
Boston,9,4,26,440,479,,
Boston,9,5,30,617,651,,
Boston,10,1,51,242,297,,
Boston,10,2,56,264,326,,
Boston,10,3,72,234,311,,
Boston,10,4,124,420,555,,
Boston,10,5,86,354,447,,
Boston,10,6,60,312,376,,
Boston,10,7,34,380,420,,
Boston,10,8,91,506,603,,
Boston,10,9,133,770,909,,
Boston,11,1,19,350,371,,
Boston,11,2,20,423,444,,
Boston,11,3,17,344,362,,
Boston,11,4,40,510,558,,
Boston,11,5,29,546,585,,
Boston,11,6,58,478,541,,
Boston,11,7,57,678,744,,
Boston,11,8,93,695,791,,
Boston,11,9,63,475,545,,
Boston,11,10,53,616,674,,
Boston,12,1,16,506,528,,
Boston,12,2,18,687,710,,
Boston,12,3,21,302,332,,
Boston,12,4,17,292,315,,
Boston,12,5,9,286,299,,
Boston,12,6,10,273,287,,
Boston,12,7,24,646,683,,
Boston,12,8,9,210,220,,
Boston,12,9,8,328,338,,
Boston,13,1,24,395,424,,
Boston,13,2,8,134,144,,
Boston,13,3,73,308,387,,
Boston,13,4,11,267,286,,
Boston,13,5,13,249,278,,
Boston,13,6,86,366,463,,
Boston,13,7,178,289,474,,
Boston,13,8,146,284,437,,
Boston,13,9,129,360,494,,
Boston,13,10,393,547,958,,
Boston,14,1,22,515,540,,
Boston,14,2,29,696,734,,
Boston,14,3,10,350,362,,
Boston,14,4,22,405,429,,
Boston,14,5,12,295,308,,
Boston,14,6,16,292,312,,
Boston,14,7,18,315,336,,
Boston,14,8,9,411,421,,
Boston,14,9,13,249,266,,
Boston,14,10,14,343,364,,
Boston,14,11,9,246,258,,
Boston,14,12,8,226,235,,
Boston,14,13,11,331,347,,
Boston,14,14,14,403,418,,
Boston,15,1,21,401,427,,
Boston,15,2,12,263,276,,
Boston,15,3,23,179,206,,
Boston,15,4,69,466,544,,
Boston,15,5,12,340,359,,
Boston,15,6,105,178,288,,
Boston,15,7,20,251,272,,
Boston,15,8,66,203,273,,
Boston,15,9,70,240,314,,
Boston,16,1,106,259,375,,
Boston,16,2,168,175,346,,
Boston,16,3,117,363,484,,
Boston,16,4,155,300,461,,
Boston,16,5,223,344,575,,
Boston,16,6,163,462,631,,
Boston,16,7,331,325,664,,
Boston,16,8,272,411,691,,
Boston,16,9,491,321,825,,
Boston,16,10,301,247,554,,
Boston,16,11,362,393,764,,
Boston,16,12,459,365,833,,
Boston,17,1,22,315,338,,
Boston,17,2,36,233,273,,
Boston,17,3,53,577,639,,
Boston,17,4,123,699,831,,
Boston,17,5,13,214,229,,
Boston,17,6,61,457,524,,
Boston,17,7,10,221,231,,
Boston,17,8,20,370,391,,
Boston,17,9,59,402,464,,
Boston,17,10,24,477,506,,
Boston,17,11,19,168,192,,
Boston,17,12,54,367,425,,
Boston,17,13,207,502,723,,
Boston,17,14,95,385,482,,
Boston,18,1,31,662,704,,
Boston,18,2,12,531,548,,
Boston,18,3,14,617,636,,
Boston,18,4,29,559,594,,
Boston,18,5,37,670,714,,
Boston,18,6,62,761,830,,
Boston,18,7,125,420,551,,
Boston,18,8,171,851,"1,033",,
Boston,18,9,215,499,723,,
Boston,18,10,250,754,"1,015",,
Boston,18,11,92,387,482,,
Boston,18,12,238,457,709,,
Boston,18,13,71,287,361,,
Boston,18,14,59,291,354,,
Boston,18,15,57,487,547,,
Boston,18,16,448,468,923,,
Boston,18,17,224,449,685,,
Boston,18,18,259,537,805,,
Boston,18,19,278,671,962,,
Boston,18,20,470,492,978,,
Boston,18,21,32,734,772,,
Boston,18,22,366,523,901,,
Boston,18,23,46,349,399,,
Boston,19,1,53,652,707,,
Boston,19,2,371,744,"1,124",,
Boston,19,3,113,589,708,,
Boston,19,4,79,823,908,,
Boston,19,5,98,717,823,,
Boston,19,6,86,950,"1,046",,
Boston,19,7,125,699,833,,
Boston,19,8,75,502,586,,
Boston,19,9,64,442,507,,
Boston,19,10,187,642,837,,
Boston,19,11,45,342,391,,
Boston,19,12,114,450,569,,
Boston,19,13,123,389,517,,
Boston,20,1,263,517,800,,
Boston,20,2,244,590,842,,
Boston,20,3,390,430,829,,
Boston,20,4,156,582,746,,
Boston,20,5,462,457,929,,
Boston,20,6,491,549,"1,043",,
Boston,20,7,267,359,631,,
Boston,20,8,221,413,637,,
Boston,20,9,265,397,672,,
Boston,20,10,576,512,"1,100",,
Boston,20,11,225,300,527,,
Boston,20,12,360,339,706,,
Boston,20,13,287,289,583,,
Boston,20,14,353,316,675,,
Boston,20,15,515,476,"1,001",,
Boston,20,16,570,473,"1,055",,
Boston,20,17,616,549,"1,177",,
Boston,20,18,264,307,577,,
Boston,20,19,344,310,663,,
Boston,20,20,424,505,936,,
Boston,21,1,157,452,618,,
Boston,21,2,33,116,150,,
Boston,21,3,71,282,360,,
Boston,21,4,69,206,280,,
Boston,21,5,92,336,434,,
Boston,21,6,116,353,476,,
Boston,21,7,125,312,443,,
Boston,21,8,133,389,527,,
Boston,21,9,144,386,533,,
Boston,21,10,147,317,468,,
Boston,21,11,207,402,614,,
Boston,21,12,272,429,704,,
Boston,21,13,463,528,"1,005",,
Boston,21,14,82,276,361,,
Boston,21,15,124,343,474,,
Boston,21,16,230,499,741,,
Boston,22,1,214,533,756,,
Boston,22,2,188,514,710,,
Boston,22,3,233,439,685,,
Boston,22,4,193,342,544,,
Boston,22,5,120,229,359,,
Boston,22,6,138,262,403,,
Boston,22,7,181,406,596,,
Boston,22,8,276,329,615,,
Boston,22,9,222,331,556,,
Boston,22,10,262,477,751,,
Boston,22,11,202,249,456,,
Boston,22,12,180,279,471,,
Boston,22,13,184,245,435,,
Bourne,-,1,874,460,"1,349",,
Bourne,-,2,"1,018",487,"1,518",,
Bourne,-,3,633,362,"1,003",,
Bourne,-,4,952,516,"1,489",,
Bourne,-,5,998,579,"1,594",,
Bourne,-,6,662,405,"1,073",,
Boxborough,-,1,"1,087","1,141","2,249",,
Boxford,-,1,888,382,"1,275",,
Boxford,-,2,"1,021",431,"1,460",,
Boxford,-,3,928,426,"1,363",,
Boylston,-,1,"1,321",729,"2,073",,
Braintree,-,1,875,498,"1,386",,
Braintree,-,2,757,456,"1,233",,
Braintree,-,3,762,504,"1,283",,
Braintree,-,4,773,498,"1,287",,
Braintree,-,5,876,453,"1,339",,
Braintree,-,6,626,416,"1,058",,
Braintree,-,7,690,469,"1,177",,
Braintree,-,8,590,354,952,,
Braintree,-,9,895,555,"1,466",,
Braintree,-,10,729,454,"1,198",,
Braintree,-,11,887,471,"1,369",,
Braintree,-,12,860,484,"1,357",,
Brewster,-,1,941,816,"1,786",,
Brewster,-,2,900,831,"1,747",,
Brewster,-,3,910,783,"1,727",,
Bridgewater,-,1,"1,224",524,"1,761",,
Bridgewater,-,2,"1,181",475,"1,671",,
Bridgewater,-,3,"1,277",532,"1,822",,
Bridgewater,-,4,374,173,557,,
Bridgewater,-,5,700,375,"1,085",,
Bridgewater,-,6,468,263,741,,
Bridgewater,-,7,914,452,"1,385",,
Brimfield,-,1,995,489,"1,507",,
Brockton,1,A,272,389,668,,
Brockton,1,B,480,550,"1,036",,
Brockton,1,C,352,410,768,,
Brockton,1,D,743,583,"1,335",,
Brockton,2,A,52,304,361,,
Brockton,2,B,90,302,400,,
Brockton,2,C,73,234,311,,
Brockton,2,D,303,356,671,,
Brockton,3,A,244,378,632,,
Brockton,3,B,147,364,517,,
Brockton,3,C,724,539,"1,279",,
Brockton,3,D,666,512,"1,192",,
Brockton,4,A,106,242,352,,
Brockton,4,B,327,460,794,,
Brockton,4,C,444,474,924,,
Brockton,4,D,409,508,931,,
Brockton,5,A,160,366,539,,
Brockton,5,B,396,474,877,,
Brockton,5,C,258,405,670,,
Brockton,5,D,509,471,991,,
Brockton,6,A,272,300,575,,
Brockton,6,B,516,411,939,,
Brockton,6,C,439,432,878,,
Brockton,6,D,594,473,"1,076",,
Brockton,7,A,141,334,483,,
Brockton,7,B,256,535,803,,
Brockton,7,C,242,505,756,,
Brockton,7,D,423,457,892,,
Brookfield,-,1,813,430,"1,275",,
Brookline,-,1,287,916,"1,210",,
Brookline,-,2,197,650,853,,
Brookline,-,3,310,"1,013","1,329",,
Brookline,-,4,277,794,"1,075",,
Brookline,-,5,273,965,"1,248",,
Brookline,-,6,229,"1,130","1,365",,
Brookline,-,7,290,967,"1,269",,
Brookline,-,8,220,"1,051","1,280",,
Brookline,-,9,248,"1,002","1,262",,
Brookline,-,10,318,877,"1,202",,
Brookline,-,11,291,"1,061","1,358",,
Brookline,-,12,320,"1,099","1,428",,
Brookline,-,13,344,942,"1,293",,
Brookline,-,14,455,987,"1,452",,
Brookline,-,15,654,875,"1,535",,
Brookline,-,16,523,983,"1,517",,
Buckland,-,1,263,522,800,,
Burlington,-,1,"1,086",651,"1,748",,
Burlington,-,2,779,528,"1,319",,
Burlington,-,3,"1,039",717,"1,763",,
Burlington,-,4,716,542,"1,267",,
Burlington,-,5,"1,041",633,"1,683",,
Burlington,-,6,979,589,"1,581",,
Cambridge,1,1,372,825,"1,204",,
Cambridge,1,2,219,627,862,,
Cambridge,1,3,209,652,877,,
