City/Town,Ward,Pct,Obama/ Biden,Romney/ Ryan,Total Votes Cast,,,,
Bellingham,-,5,885,828,"1,760",,,,
Belmont,-,1,"1,238",576,"1,846",,,,
Belmont,-,2,"1,092",867,"1,984",,,,
Belmont,-,3,"1,163",511,"1,714",,,,
Belmont,-,4,"1,093",428,"1,556",,,,
Belmont,-,5,"1,154",543,"1,745",,,,
Belmont,-,6,"1,269",524,"1,842",,,,
Belmont,-,7,"1,212",507,"1,764",,,,
Belmont,-,8,"1,092",796,"1,939",,,,
Berkley,-,1,853,885,"1,782",,,,
Berkley,-,2,720,804,"1,556",,,,
Berlin,-,1,921,830,"1,814",,,,
Bernardston,-,1,809,329,"1,181",,,,
Beverly,1,1,939,683,"1,659",,,,
Beverly,1,2,"1,090",764,"1,900",,,,
Beverly,2,1,"1,001",452,"1,532",,,,
Beverly,2,2,"1,165",598,"1,809",,,,
Beverly,3,1,830,420,"1,287",,,,
Beverly,3,2,"1,042",617,"1,701",,,,
Beverly,4,1,629,459,"1,121",,,,
Beverly,4,2,"1,347",728,"2,128",,,,
Beverly,5,1,"1,084",811,"1,924",,,,
Beverly,5,2,985,806,"1,830",,,,
Beverly,6,1,"1,035",944,"2,027",,,,
Beverly,6,2,"1,011","1,046","2,102",,,,
Billerica,-,1,"1,093",836,"1,974",,,,
Billerica,-,2,982,919,"1,939",,,,
Billerica,-,3,910,882,"1,826",,,,
Billerica,-,4,770,751,"1,557",,,,
Billerica,-,5,960,"1,071","2,074",,,,
Billerica,-,6,757,790,"1,583",,,,
Billerica,-,7,903,807,"1,753",,,,
Billerica,-,8,929,"1,104","2,077",,,,
Billerica,-,9,854,934,"1,825",,,,
Billerica,-,10,921,983,"1,952",,,,
Billerica,-,11,760,882,"1,686",,,,
Blackstone,-,1,764,593,"1,388",,,,
Blackstone,-,2,771,658,"1,457",,,,
Blackstone,-,3,687,777,"1,499",,,,
Blandford,-,1,300,348,667,,,,
Bolton,-,1,"1,554","1,463","3,086",,,,
Boston,1,1,645,188,863,,,,
Boston,1,2,464,139,621,,,,
Boston,1,3,959,205,"1,194",,,,
Boston,1,4,286,90,388,,,,
Boston,1,5,484,183,691,,,,
Boston,1,6,414,138,573,,,,
Boston,1,7,547,128,691,,,,
Boston,1,8,731,186,940,,,,
Boston,1,9,445,123,585,,,,
Boston,1,10,315,77,400,,,,
Boston,1,11,601,291,914,,,,
Boston,1,12,557,328,907,,,,
Boston,1,13,814,338,"1,171",,,,
Boston,1,14,421,195,633,,,,
Boston,1,15,20,1,21,,,,
Boston,2,1,869,520,"1,420",,,,
Boston,2,2,"1,175",475,"1,669",,,,
Boston,2,3,702,430,"1,151",,,,
Boston,2,4,640,277,936,,,,
Boston,2,5,705,449,"1,179",,,,
Boston,2,6,919,456,"1,414",,,,
Boston,2,7,588,349,961,,,,
Boston,3,1,"1,382",941,"2,372",,,,
Boston,3,2,705,410,"1,137",,,,
Boston,3,3,641,341,"1,010",,,,
Boston,3,4,691,428,"1,136",,,,
Boston,3,5,"1,225",559,"1,817",,,,
Boston,3,6,"1,563",845,"2,465",,,,
Boston,3,7,"2,031",412,"2,480",,,,
Boston,3,8,"1,827",577,"2,472",,,,
Boston,4,1,"1,122",310,"1,454",,,,
Boston,4,2,"1,381",578,"1,991",,,,
Boston,4,3,771,169,955,,,,
Boston,4,4,"1,116",242,"1,390",,,,
Boston,4,5,831,260,"1,108",,,,
Boston,4,6,700,175,913,,,,
Boston,4,7,782,168,985,,,,
Boston,4,8,777,174,989,,,,
Boston,4,9,650,57,736,,,,
Boston,4,10,455,82,553,,,,
Boston,5,1,"2,102",505,"2,662",,,,
Boston,5,2,699,129,864,,,,
Boston,5,2A,468,139,620,,,,
Boston,5,3,833,435,"1,293",,,,
Boston,5,4,"1,126",408,"1,571",,,,
Boston,5,5,336,182,524,,,,
Boston,5,6,755,557,"1,348",,,,
Boston,5,7,"1,022",539,"1,594",,,,
Boston,5,8,911,463,"1,406",,,,
Boston,5,9,"1,277",587,"1,899",,,,
Boston,5,10,"1,042",291,"1,386",,,,
Boston,5,11,610,295,925,,,,
Boston,6,1,"1,466",572,"2,088",,,,
Boston,6,2,495,229,739,,,,
Boston,6,3,619,378,"1,015",,,,
Boston,6,4,637,430,"1,093",,,,
Boston,6,5,606,437,"1,073",,,,
Boston,6,6,575,488,"1,085",,,,
Boston,6,7,497,475,997,,,,
Boston,6,8,565,468,"1,065",,,,
Boston,6,9,510,547,"1,074",,,,
Boston,7,1,479,480,977,,,,
Boston,7,2,646,565,"1,247",,,,
Boston,7,3,760,614,"1,399",,,,
Boston,7,4,688,439,"1,164",,,,
Boston,7,5,554,286,866,,,,
Boston,7,6,543,189,755,,,,
Boston,7,7,560,83,656,,,,
Boston,7,8,468,191,690,,,,
Boston,7,9,562,158,741,,,,
Boston,7,10,685,44,737,,,,
Boston,8,1,618,62,686,,,,
Boston,8,2,"1,150",199,"1,374",,,,
Boston,8,3,725,32,765,,,,
Boston,8,4,436,13,450,,,,
Boston,8,5,837,37,877,,,,
Boston,8,6,254,15,276,,,,
Boston,8,7,548,26,584,,,,
Boston,9,1,"1,054",118,"1,185",,,,
Boston,9,2,"1,154",217,"1,395",,,,
Boston,9,3,"1,673",101,"1,806",,,,
Boston,9,4,"1,187",64,"1,268",,,,
Boston,9,5,"1,274",16,"1,305",,,,
Boston,10,1,541,53,605,,,,
Boston,10,2,580,77,679,,,,
Boston,10,3,558,76,658,,,,
Boston,10,4,923,147,"1,100",,,,
Boston,10,5,659,98,795,,,,
Boston,10,6,674,38,733,,,,
Boston,10,7,"1,016",33,"1,070",,,,
Boston,10,8,951,107,"1,099",,,,
Boston,10,9,"1,241",132,"1,443",,,,
Boston,11,1,593,22,629,,,,
Boston,11,2,980,23,"1,014",,,,
Boston,11,3,791,18,816,,,,
Boston,11,4,"1,143",43,"1,225",,,,
Boston,11,5,908,39,973,,,,
Boston,11,6,757,53,863,,,,
Boston,11,7,"1,067",56,"1,166",,,,
Boston,11,8,"1,028",83,"1,153",,,,
Boston,11,9,625,57,725,,,,
Boston,11,10,928,45,"1,035",,,,
Boston,12,1,"1,074",10,"1,097",,,,
Boston,12,2,"1,406",13,"1,425",,,,
Boston,12,3,713,16,734,,,,
Boston,12,4,693,11,706,,,,
Boston,12,5,553,5,559,,,,
Boston,12,6,552,12,571,,,,
Boston,12,7,"1,406",26,"1,443",,,,
Boston,12,8,496,9,512,,,,
Boston,12,9,661,10,681,,,,
Boston,13,1,894,17,915,,,,
Boston,13,2,376,6,386,,,,
Boston,13,3,709,92,822,,,,
Boston,13,4,627,15,645,,,,
Boston,13,5,553,35,604,,,,
Boston,13,6,787,101,903,,,,
Boston,13,7,688,187,897,,,,
Boston,13,8,565,173,762,,,,
Boston,13,9,698,148,876,,,,
Boston,13,10,843,350,"1,232",,,,
Boston,14,1,"1,348",36,"1,389",,,,
Boston,14,2,"1,436",29,"1,472",,,,
Boston,14,3,765,4,772,,,,
Boston,14,4,851,21,876,,,,
Boston,14,5,687,5,695,,,,
Boston,14,6,651,13,671,,,,
Boston,14,7,725,13,747,,,,
Boston,14,8,758,14,776,,,,
Boston,14,9,843,13,870,,,,
Boston,14,10,770,12,787,,,,
Boston,14,11,634,11,646,,,,
Boston,14,12,489,10,503,,,,
Boston,14,13,700,9,717,,,,
Boston,14,14,778,5,791,,,,
Boston,15,1,918,20,948,,,,
Boston,15,2,648,7,656,,,,
Boston,15,3,374,18,394,,,,
Boston,15,4,"1,069",101,"1,181",,,,
Boston,15,5,769,22,806,,,,
Boston,15,6,350,112,473,,,,
Boston,15,7,625,16,642,,,,
Boston,15,8,528,86,629,,,,
Boston,15,9,572,114,697,,,,
Boston,16,1,535,132,689,,,,
Boston,16,2,374,132,523,,,,
Boston,16,3,793,134,941,,,,
Boston,16,4,671,165,852,,,,
Boston,16,5,735,207,959,,,,
Boston,16,6,"1,006",165,"1,194",,,,
Boston,16,7,612,300,931,,,,
