City/Town,Ward,Pct,Obama/ Biden,McCain/ Palin,Total Votes Cast,,,,,,
Bedford,-,3,"1,359",709,"2,114",,,,,,
Bedford,-,4,"1,069",717,"1,832",,,,,,
Belchertown,-,A,"1,109",616,"1,779",,,,,,
Belchertown,-,B,"1,200",743,"1,985",,,,,,
Belchertown,-,C,"1,263",859,"2,184",,,,,,
Belchertown,-,D,"1,257",465,"1,785",,,,,,
Bellingham,-,1,860,810,"1,715",,,,,,
Bellingham,-,2,776,693,"1,515",,,,,,
Bellingham,-,3,949,723,"1,744",,,,,,
Bellingham,-,4,936,917,"1,907",,,,,,
Bellingham,-,5,843,640,"1,532",,,,,,
Belmont,-,1,"1,305",478,"1,820",,,,,,
Belmont,-,2,"1,211",656,"1,910",,,,,,
Belmont,-,3,"1,079",413,"1,530",,,,,,
Belmont,-,4,"1,048",387,"1,499",,,,,,
Belmont,-,5,"1,132",504,"1,686",,,,,,
Belmont,-,6,"1,308",435,"1,794",,,,,,
Belmont,-,7,"1,184",418,"1,667",,,,,,
Belmont,-,8,"1,137",691,"1,906",,,,,,
Berkley,-,1,"1,585","1,558","3,275",,,,,,
Berlin,-,1,870,712,"1,653",,,,,,
Bernardston,-,1,849,354,"1,245",,,,,,
Beverly,1,1,867,638,"1,538",,,,,,
Beverly,1,2,"1,089",736,"1,884",,,,,,
Beverly,2,1,975,440,"1,475",,,,,,
Beverly,2,2,"1,058",499,"1,619",,,,,,
Beverly,3,1,722,412,"1,177",,,,,,
Beverly,3,2,922,582,"1,550",,,,,,
Beverly,4,1,"1,018",624,"1,683",,,,,,
Beverly,4,2,"1,332",630,"2,005",,,,,,
Beverly,5,1,"1,016",742,"1,799",,,,,,
Beverly,5,2,"1,021",760,"1,840",,,,,,
Beverly,6,1,"1,116",785,"1,959",,,,,,
Beverly,6,2,"1,111",932,"2,085",,,,,,
Billerica,-,1,929,735,"1,722",,,,,,
Billerica,-,2,925,832,"1,814",,,,,,
Billerica,-,3,925,824,"1,791",,,,,,
Billerica,-,4,914,858,"1,827",,,,,,
Billerica,-,5,921,"1,051","2,019",,,,,,
Billerica,-,6,745,739,"1,510",,,,,,
Billerica,-,7,963,791,"1,811",,,,,,
Billerica,-,8,867,930,"1,858",,,,,,
Billerica,-,9,807,853,"1,700",,,,,,
Billerica,-,10,906,898,"1,861",,,,,,
Billerica,-,11,798,769,"1,633",,,,,,
Blackstone,-,1,713,488,"1,252",,,,,,
Blackstone,-,2,759,616,"1,420",,,,,,
Blackstone,-,3,757,781,"1,598",,,,,,
Blandford,-,1,339,344,701,,,,,,
Bolton,-,1,"1,598","1,214","2,895",,,,,,
Boston,1,1,498,198,715,,,,,,
Boston,1,2,355,147,513,,,,,,
Boston,1,3,796,229,"1,062",,,,,,
Boston,1,4,194,99,302,,,,,,
Boston,1,5,372,175,572,,,,,,
Boston,1,6,345,140,509,,,,,,
Boston,1,7,446,164,627,,,,,,
Boston,1,8,569,204,790,,,,,,
Boston,1,9,350,128,492,,,,,,
Boston,1,10,242,94,345,,,,,,
Boston,1,11,476,351,856,,,,,,
Boston,1,12,505,394,920,,,,,,
Boston,1,13,665,339,"1,035",,,,,,
Boston,1,14,336,204,557,,,,,,
Boston,1,15,0,0,0,,,,,,
Boston,2,1,859,468,"1,361",,,,,,
Boston,2,2,"1,022",395,"1,446",,,,,,
Boston,2,3,773,334,"1,125",,,,,,
Boston,2,4,632,265,914,,,,,,
Boston,2,5,734,400,"1,152",,,,,,
Boston,2,6,809,475,"1,319",,,,,,
Boston,2,7,534,349,912,,,,,,
Boston,3,1,"1,556",650,"2,251",,,,,,
Boston,3,2,711,305,"1,043",,,,,,
Boston,3,3,717,259,"1,011",,,,,,
Boston,3,4,710,348,"1,086",,,,,,
Boston,3,5,"1,325",458,"1,832",,,,,,
Boston,3,6,"1,512",570,"2,133",,,,,,
Boston,3,7,"2,002",258,"2,293",,,,,,
Boston,3,8,"1,570",460,"2,101",,,,,,
Boston,4,1,"1,186",210,"1,420",,,,,,
Boston,4,2,"1,423",358,"1,812",,,,,,
Boston,4,3,801,105,921,,,,,,
Boston,4,4,"1,214",156,"1,393",,,,,,
Boston,4,5,803,191,"1,017",,,,,,
Boston,4,6,726,146,897,,,,,,
Boston,4,7,819,143,997,,,,,,
Boston,4,8,664,134,826,,,,,,
Boston,4,9,463,31,500,,,,,,
Boston,4,10,395,56,461,,,,,,
Boston,5,1,"1,900",361,"2,301",,,,,,
Boston,5,2,"1,205",225,"1,475",,,,,,
Boston,5,3,988,304,"1,317",,,,,,
Boston,5,4,"1,217",274,"1,519",,,,,,
Boston,5,5,389,109,505,,,,,,
Boston,5,6,835,329,"1,189",,,,,,
Boston,5,7,"1,143",377,"1,552",,,,,,
Boston,5,8,"1,063",328,"1,420",,,,,,
Boston,5,9,"1,429",414,"1,881",,,,,,
Boston,5,10,"1,041",242,"1,316",,,,,,
Boston,5,11,643,195,851,,,,,,
Boston,6,1,"1,216",379,"1,628",,,,,,
Boston,6,2,488,254,761,,,,,,
Boston,6,3,589,339,952,,,,,,
Boston,6,4,645,370,"1,050",,,,,,
Boston,6,5,552,427,994,,,,,,
Boston,6,6,503,467,989,,,,,,
Boston,6,7,540,419,980,,,,,,
Boston,6,8,512,468,"1,011",,,,,,
Boston,6,9,467,532,"1,018",,,,,,
Boston,7,1,467,440,934,,,,,,
Boston,7,2,548,561,"1,138",,,,,,
Boston,7,3,688,602,"1,337",,,,,,
Boston,7,4,633,394,"1,049",,,,,,
Boston,7,5,497,260,774,,,,,,
Boston,7,6,607,222,850,,,,,,
Boston,7,7,461,117,592,,,,,,
Boston,7,8,338,214,574,,,,,,
Boston,7,9,495,171,680,,,,,,
Boston,7,10,689,47,746,,,,,,
Boston,8,1,508,35,553,,,,,,
Boston,8,2,"1,036",125,"1,183",,,,,,
Boston,8,3,682,24,716,,,,,,
Boston,8,4,390,8,406,,,,,,
Boston,8,5,813,23,844,,,,,,
Boston,8,6,265,21,292,,,,,,
Boston,8,7,503,16,526,,,,,,
Boston,9,1,981,75,"1,073",,,,,,
Boston,9,2,"1,192",141,"1,351",,,,,,
Boston,9,3,"1,525",75,"1,624",,,,,,
Boston,9,4,"1,024",41,"1,075",,,,,,
Boston,9,5,"1,180",13,"1,208",,,,,,
Boston,10,1,475,65,552,,,,,,
Boston,10,2,573,66,662,,,,,,
Boston,10,3,546,79,647,,,,,,
Boston,10,4,857,171,"1,055",,,,,,
Boston,10,5,645,78,749,,,,,,
Boston,10,6,653,51,725,,,,,,
Boston,10,7,944,48,"1,007",,,,,,
Boston,10,8,904,94,"1,015",,,,,,
Boston,10,9,"1,131",124,"1,287",,,,,,
