City/Town,Ward,Pct,Kerry/ Edwards,Bush/ Cheney,Total Votes Cast,,,,,
Clinton,-,3,863,634,"1,530",,,,,
Clinton,-,4,928,511,"1,467",,,,,
Cohasset,-,1,"1,179","1,084","2,301",,,,,
Cohasset,-,2,"1,109","1,081","2,225",,,,,
Colrain,-,1,545,314,876,,,,,
Concord,-,1,"1,047",520,"1,597",,,,,
Concord,-,2,"1,414",671,"2,136",,,,,
Concord,-,3,"1,404",685,"2,126",,,,,
Concord,-,4,"1,392",685,"2,133",,,,,
Concord,-,5,"1,543",621,"2,213",,,,,
Conway,-,1,846,309,"1,194",,,,,
Cummington,-,1,370,173,549,,,,,
Dalton,-,1,"1,243",513,"1,781",,,,,
Dalton,-,2,"1,205",528,"1,751",,,,,
Danvers,-,1,942,678,"1,641",,,,,
Danvers,-,2,992,765,"1,783",,,,,
Danvers,-,3,806,728,"1,551",,,,,
Danvers,-,4,877,761,"1,663",,,,,
Danvers,-,5,887,796,"1,711",,,,,
Danvers,-,6,821,851,"1,700",,,,,
Danvers,-,7,925,754,"1,709",,,,,
Danvers,-,8,802,757,"1,579",,,,,
Dartmouth,-,1,923,541,"1,480",,,,,
Dartmouth,-,2,720,368,"1,097",,,,,
Dartmouth,-,3,615,240,865,,,,,
Dartmouth,-,4,"1,020",439,"1,481",,,,,
Dartmouth,-,5,"1,169",593,"1,778",,,,,
Dartmouth,-,6,"1,166",373,"1,556",,,,,
Dartmouth,-,7,"1,092",522,"1,631",,,,,
Dartmouth,-,8,"1,122",396,"1,530",,,,,
Dartmouth,-,9,"1,187",752,"1,970",,,,,
Dartmouth,-,10,"1,204",631,"1,863",,,,,
Dedham,-,1,970,744,"1,748",,,,,
Dedham,-,2,"1,119",686,"1,820",,,,,
Dedham,-,3,971,502,"1,494",,,,,
Dedham,-,4,"1,205",774,"2,020",,,,,
Dedham,-,5,"1,042",694,"1,759",,,,,
Dedham,-,6,"1,024",621,"1,678",,,,,
Dedham,-,7,"1,079",845,"1,956",,,,,
Deerfield,-,1,"2,115",861,"3,026",,,,,
Dennis,-,1,"1,043","1,015","2,113",,,,,
Dennis,-,2,"1,177",974,"2,194",,,,,
Dennis,-,3,874,652,"1,559",,,,,
Dennis,-,4,"1,098",880,"2,012",,,,,
Dennis,-,5,"1,054",804,"1,890",,,,,
Dighton,-,1,"1,745","1,477","3,273",,,,,
Douglas,-,1,949,"1,040","2,023",,,,,
Douglas,-,2,917,"1,008","1,946",,,,,
Dover,-,1,"1,605","1,688","3,363",,,,,
Dracut,-,1,729,711,"1,461",,,,,
Dracut,-,2,721,623,"1,374",,,,,
Dracut,-,3,801,800,"1,629",,,,,
Dracut,-,4,823,815,"1,655",,,,,
Dracut,-,5,687,707,"1,426",,,,,
Dracut,-,6,769,684,"1,474",,,,,
Dracut,-,6A,51,22,76,,,,,
Dracut,-,7,715,618,"1,357",,,,,
Dracut,-,8,875,893,"1,803",,,,,
Dracut,-,9,803,798,"1,616",,,,,
Dudley,-,1,674,495,"1,183",,,,,
Dudley,-,2,585,458,"1,055",,,,,
Dudley,-,3,816,726,"1,560",,,,,
Dudley,-,4,543,498,"1,061",,,,,
Dunstable,-,1,843,883,"1,757",,,,,
Duxbury,-,1,804,763,"1,595",,,,,
Duxbury,-,2,807,998,"1,837",,,,,
Duxbury,-,3,710,792,"1,518",,,,,
Duxbury,-,4,663,685,"1,370",,,,,
Duxbury,-,5,718,652,"1,395",,,,,
Duxbury,-,6,762,693,"1,474",,,,,
E. Bridgewater,-,1,784,792,"1,590",,,,,
E. Bridgewater,-,2,754,906,"1,672",,,,,
E. Bridgewater,-,3,785,828,"1,636",,,,,
E. Bridgewater,-,4,798,875,"1,698",,,,,
E. Brookfield,-,1,467,623,"1,100",,,,,
E. Longmeadow,-,1,"1,075",908,"2,018",,,,,
E. Longmeadow,-,2,"1,007",822,"1,845",,,,,
E. Longmeadow,-,3,"1,084","1,119","2,237",,,,,
E. Longmeadow,-,4,"1,040","1,152","2,228",,,,,
Eastham,-,1,"2,227","1,480","3,782",,,,,
Easthampton,-,1,"1,096",586,"1,720",,,,,
Easthampton,-,2,"1,041",359,"1,440",,,,,
Easthampton,-,3,"1,026",419,"1,494",,,,,
Easthampton,-,4,"1,205",584,"1,823",,,,,
Easthampton,-,5,"1,132",706,"1,858",,,,,
Easton,-,1,623,648,"1,294",,,,,
Easton,-,2,"1,134","1,036","2,208",,,,,
Easton,-,3,974,888,"1,888",,,,,
Easton,-,4,"1,027",944,"1,994",,,,,
Easton,-,5,"1,177",965,"2,171",,,,,
Easton,-,6,943,955,"1,922",,,,,
Edgartown,-,1,"1,539",793,"2,357",,,,,
Egremont,-,1,593,199,812,,,,,
Erving,-,1,500,263,781,,,,,
Essex,-,1,"1,123",954,"2,113",,,,,
Everett,1,1,529,216,752,,,,,
Everett,1,2,358,179,542,,,,,
Everett,1,3,394,212,613,,,,,
Everett,2,1,488,221,712,,,,,
Everett,2,2,435,220,661,,,,,
Everett,2,3,452,168,627,,,,,
Everett,3,1,676,318,"1,001",,,,,
Everett,3,2,464,189,660,,,,,
Everett,3,3,516,283,805,,,,,
Everett,4,1,573,311,899,,,,,
Everett,4,2,486,181,674,,,,,
Everett,4,3,468,211,692,,,,,
Everett,5,1,600,213,823,,,,,
Everett,5,2,415,235,655,,,,,
Everett,5,3,441,243,697,,,,,
Everett,6,1,485,243,734,,,,,
Everett,6,2,449,205,663,,,,,
Everett,6,3,490,177,678,,,,,
Fairhaven,-,1,919,435,"1,375",,,,,
Fairhaven,-,2,"1,058",417,"1,492",,,,,
Fairhaven,-,3,890,318,"1,219",,,,,
Fairhaven,-,4,919,369,"1,303",,,,,
Fairhaven,-,5,914,410,"1,337",,,,,
Fairhaven,-,6,983,469,"1,468",,,,,
Fall River,1,A,947,314,"1,277",,,,,
Fall River,1,B,710,240,981,,,,,
Fall River,1,C,741,227,984,,,,,
Fall River,1,D,795,221,"1,036",,,,,
Fall River,2,A,733,184,944,,,,,
Fall River,2,B,765,206,989,,,,,
Fall River,2,C,901,233,"1,145",,,,,
Fall River,3,A,962,288,"1,274",,,,,
Fall River,3,B,958,277,"1,252",,,,,
Fall River,3,C,956,259,"1,236",,,,,
Fall River,4,A,794,227,"1,036",,,,,
Fall River,4,B,620,152,794,,,,,
Fall River,4,C,871,177,"1,078",,,,,
Fall River,5,A,534,103,648,,,,,
Fall River,5,B,569,130,712,,,,,
Fall River,5,C,654,117,780,,,,,
Fall River,6,A,934,323,"1,281",,,,,
Fall River,6,B,765,160,955,,,,,
Fall River,6,C,870,291,"1,178",,,,,
Fall River,7,A,466,116,589,,,,,
Fall River,7,B,617,254,884,,,,,
Fall River,7,C,524,153,687,,,,,
Fall River,7,D,661,163,835,,,,,
Fall River,8,A,649,190,849,,,,,
Fall River,8,B,954,412,"1,392",,,,,
Fall River,8,C,"1,006",335,"1,362",,,,,
Fall River,8,D,690,233,940,,,,,
Fall River,9,A,"1,339",615,"1,992",,,,,
Fall River,9,B,975,313,"1,313",,,,,
Fall River,9,C,899,456,"1,379",,,,,
Falmouth,-,1,"1,618",692,"2,367",,,,,
Falmouth,-,2,"1,218",708,"1,960",,,,,
Falmouth,-,3,"1,200",935,"2,171",,,,,
Falmouth,-,4,"1,190",886,"2,104",,,,,
Falmouth,-,5,"1,362","1,092","2,496",,,,,
Falmouth,-,6,"1,292",893,"2,225",,,,,
Falmouth,-,7,"1,101",855,"1,980",,,,,
Falmouth,-,8,"1,169",959,"2,155",,,,,
Falmouth,-,9,"1,124",787,"1,940",,,,,
Fitchburg,1,A,707,316,"1,039",,,,,
Fitchburg,1,B,775,427,"1,216",,,,,
Fitchburg,2,A,503,290,806,,,,,
Fitchburg,2,B,765,392,"1,170",,,,,
Fitchburg,3,A,978,680,"1,679",,,,,
Fitchburg,3,B,867,549,"1,436",,,,,
Fitchburg,4,A,513,334,864,,,,,
Fitchburg,4,B,515,275,809,,,,,
Fitchburg,5,A,907,708,"1,640",,,,,
Fitchburg,5,B,419,219,643,,,,,
Fitchburg,6,A,789,510,"1,317",,,,,
Fitchburg,6,B,695,323,"1,041",,,,,
Florida,-,1,267,132,405,,,,,
Foxborough,-,1,926,717,"1,667",,,,,
Foxborough,-,2,"1,017",762,"1,801",,,,,
Foxborough,-,3,909,821,"1,767",,,,,
Foxborough,-,4,902,809,"1,749",,,,,
Foxborough,-,5,868,901,"1,794",,,,,
Framingham,-,1,"1,259",734,"2,039",,,,,
Framingham,-,2,"1,421",737,"2,189",,,,,
Framingham,-,3,"1,177",577,"1,788",,,,,
Framingham,-,4,"1,414",752,"2,214",,,,,
Framingham,-,5,"1,262",633,"1,928",,,,,
Framingham,-,6,"1,297",673,"2,000",,,,,
Framingham,-,7,"1,167",624,"1,823",,,,,
Framingham,-,8,"1,251",483,"1,757",,,,,
Framingham,-,9,810,380,"1,214",,,,,
Framingham,-,10,694,276,993,,,,,
Framingham,-,11,"1,362",819,"2,240",,,,,
Framingham,-,12,670,347,"1,031",,,,,
Framingham,-,13,861,364,"1,250",,,,,
Framingham,-,14,633,211,872,,,,,
Framingham,-,15,776,324,"1,123",,,,,
Framingham,-,16,320,141,470,,,,,
Framingham,-,17,376,129,509,,,,,
Framingham,-,18,489,244,754,,,,,
Franklin,-,1,998,784,"1,813",,,,,
Franklin,-,2,"1,041",847,"1,906",,,,,
Franklin,-,3,"1,090",797,"1,911",,,,,
Franklin,-,4,969,942,"1,937",,,,,
Franklin,-,5,"1,094",849,"1,973",,,,,
Franklin,-,6,"1,052",781,"1,871",,,,,
Franklin,-,7,983,986,"1,998",,,,,
Franklin,-,8,"1,041",988,"2,071",,,,,
Freetown,-,1,794,639,"1,462",,,,,
Freetown,-,2,851,627,"1,504",,,,,
Freetown,-,3,809,672,"1,506",,,,,
Gardner,1,A,523,374,919,,,,,
Gardner,1,B,390,250,651,,,,,
Gardner,1,C,97,71,171,,,,,
Gardner,2,A,556,270,840,,,,,
Gardner,2,B,531,369,912,,,,,
Gardner,3,A,489,198,701,,,,,
Gardner,3,B,589,310,921,,,,,
Gardner,4,A,454,291,754,,,,,
Gardner,4,B,361,186,554,,,,,
Gardner,5,A,460,242,710,,,,,
Gardner,5,B,577,395,993,,,,,
Georgetown,-,1,"1,091","1,047","2,167",,,,,
Georgetown,-,2,"1,012","1,044","2,094",,,,,
Gill,-,1,620,265,914,,,,,
Gloucester,1,1,"1,166",647,"1,849",,,,,
Gloucester,1,2,924,528,"1,476",,,,,
Gloucester,2,1,744,335,"1,099",,,,,
Gloucester,2,2,833,295,"1,155",,,,,
Gloucester,3,1,773,400,"1,196",,,,,
Gloucester,3,2,893,483,"1,407",,,,,
Gloucester,4,1,958,553,"1,555",,,,,
Gloucester,4,2,"1,261",601,"1,916",,,,,
Gloucester,5,1,985,655,"1,682",,,,,
Gloucester,5,2,999,688,"1,741",,,,,
Goshen,-,1,361,203,578,,,,,
Gosnold,-,1,41,34,77,,,,,
Grafton,-,1,"1,038",770,"1,835",,,,,
Grafton,-,2,"1,225","1,109","2,375",,,,,
Grafton,-,3,"1,085",937,"2,058",,,,,
Grafton,-,4,947,840,"1,813",,,,,
Granby,-,1,"1,895","1,406","3,344",,,,,
Granville,-,1,374,449,839,,,,,
Great Barrington,-,A,797,207,"1,022",,,,,
Great Barrington,-,B,769,189,986,,,,,
Great Barrington,-,C,609,130,764,,,,,
Great Barrington,-,D,761,204,983,,,,,
Greenfield,-,1,653,316,993,,,,,
Greenfield,-,2,778,447,"1,251",,,,,
Greenfield,-,3,639,222,884,,,,,
Greenfield,-,4,750,277,"1,053",,,,,
Greenfield,-,5,733,213,983,,,,,
Greenfield,-,6,695,188,905,,,,,
Greenfield,-,7,612,273,903,,,,,
Greenfield,-,8,621,175,824,,,,,
Greenfield,-,9,493,258,771,,,,,
Groton,-,1,"1,100",853,"1,996",,,,,
Groton,-,2,"1,020",850,"1,923",,,,,
Groton,-,3,"1,047",842,"1,932",,,,,
Groveland,-,1,"1,782","1,755","3,594",,,,,
Hadley,-,1,"2,054",953,"3,085",,,,,
Halifax,-,1,956,"1,034","2,009",,,,,
Halifax,-,2,938,859,"1,824",,,,,
Hamilton,-,1,864,860,"1,759",,,,,
Hamilton,-,2,777,816,"1,618",,,,,
Hamilton,-,3,479,705,"1,218",,,,,
Hampden,-,1,"1,379","1,421","2,848",,,,,
Hancock,-,1,251,143,399,,,,,
Hanover,-,1,904,"1,007","1,923",,,,,
Hanover,-,2,881,952,"1,858",,,,,
Hanover,-,3,934,968,"1,928",,,,,
Hanover,-,4,847,"1,041","1,913",,,,,
Hanson,-,1,871,809,"1,696",,,,,
Hanson,-,2,872,834,"1,727",,,,,
Hanson,-,3,827,893,"1,751",,,,,
Hardwick,-,1,778,549,"1,353",,,,,
Harvard,-,1,"2,086","1,206","3,405",,,,,
Harwich,-,1,"1,105",963,"2,130",,,,,
Harwich,-,2,"1,071",907,"2,026",,,,,
Harwich,-,3,"1,159","1,035","2,250",,,,,
Harwich,-,4,998,785,"1,824",,,,,
Hatfield,-,1,"1,369",690,"2,093",,,,,
Haverhill,1,1,477,269,764,,,,,
Haverhill,1,2,434,186,650,,,,,
Haverhill,1,3,639,408,"1,074",,,,,
Haverhill,2,1,607,377,998,,,,,
Haverhill,2,2,618,524,"1,161",,,,,
Haverhill,2,3,451,215,678,,,,,
Haverhill,3,1,382,180,615,,,,,
Haverhill,3,2,550,281,845,,,,,
Haverhill,3,3,593,415,"1,031",,,,,
Haverhill,4,1,794,606,"1,421",,,,,
Haverhill,4,2,867,696,"1,591",,,,,
Haverhill,4,3,753,649,"1,429",,,,,
Haverhill,5,1,802,537,"1,359",,,,,
Haverhill,5,2,811,692,"1,520",,,,,
Haverhill,5,3,739,863,"1,627",,,,,
Haverhill,6,1,706,485,"1,213",,,,,
Haverhill,6,2,758,489,"1,266",,,,,
Haverhill,6,3,741,569,"1,324",,,,,
Haverhill,7,1,716,552,"1,293",,,,,
Haverhill,7,2,645,509,"1,175",,,,,
Haverhill,7,3,836,830,"1,692",,,,,
Hawley,-,1,121,68,195,,,,,
Heath,-,1,268,156,434,,,,,
Hingham,-,1,"1,049",790,"1,905",,,,,
Hingham,-,2,"1,031",911,"1,972",,,,,
Hingham,-,3,"1,125",904,"2,070",,,,,
Hingham,-,4,997,"1,088","2,130",,,,,
Hingham,-,5,976,949,"1,974",,,,,
Hingham,-,6,"1,052",970,"2,074",,,,,
Hinsdale,-,1,741,310,"1,072",,,,,
Holbrook,-,1,779,546,"1,349",,,,,
Holbrook,-,2,809,641,"1,464",,,,,
Holbrook,-,3,727,585,"1,333",,,,,
Holbrook,-,4,729,513,"1,255",,,,,
Holden,-,1,858,830,"1,725",,,,,
Holden,-,2,"1,065","1,055","2,150",,,,,
Holden,-,3,"1,045",970,"2,046",,,,,
Holden,-,4,"1,049",940,"2,026",,,,,
Holden,-,5,972,893,"1,897",,,,,
Holland,-,1,570,578,"1,167",,,,,
Holliston,-,1,"1,172",838,"2,040",,,,,
Holliston,-,2,"1,224",776,"2,036",,,,,
Holliston,-,3,"1,137",653,"1,814",,,,,
Holliston,-,4,"1,038",806,"1,884",,,,,
Holyoke,1,A,479,122,614,,,,,
Holyoke,1,B,567,155,732,,,,,
Holyoke,2,A,530,237,778,,,,,
Holyoke,2,B,375,128,508,,,,,
Holyoke,3,A,827,362,"1,211",,,,,
Holyoke,3,B,908,442,"1,371",,,,,
Holyoke,4,A,416,170,599,,,,,
Holyoke,4,B,680,219,924,,,,,
Holyoke,5,A,969,645,"1,638",,,,,
Holyoke,5,B,797,359,"1,179",,,,,
Holyoke,6,A,882,350,"1,247",,,,,
Holyoke,6,B,806,370,"1,197",,,,,
Holyoke,7,A,877,540,"1,443",,,,,
Holyoke,7,B,920,415,"1,369",,,,,
Hopedale,-,1,"1,829","1,379","3,281",,,,,
Hopkinton,-,1,"1,038",849,"1,943",,,,,
Hopkinton,-,2,988,893,"1,903",,,,,
Hopkinton,-,3,992,936,"1,964",,,,,
Hopkinton,-,4,879,917,"1,833",,,,,
Hubbardston,-,1,"1,065","1,106","2,215",,,,,
Hudson,-,1,891,547,"1,462",,,,,
Hudson,-,2,731,364,"1,128",,,,,
Hudson,-,3,765,605,"1,393",,,,,
Hudson,-,4,740,678,"1,450",,,,,
Hudson,-,5,902,602,"1,529",,,,,
Hudson,-,6,584,346,954,,,,,
Hudson,-,7,657,344,"1,016",,,,,
Hull,-,1,"1,256",678,"1,964",,,,,
Hull,-,2,"1,116",564,"1,700",,,,,
Hull,-,3,"1,376",791,"2,193",,,,,
Huntington,-,1,532,499,"1,066",,,,,
Ipswich,-,1,"1,060",719,"1,818",,,,,
Ipswich,-,2,"1,163",815,"2,020",,,,,
Ipswich,-,3,955,"1,006","2,014",,,,,
Ipswich,-,4,"1,103",816,"1,954",,,,,
Kingston,-,1,803,712,"1,538",,,,,
Kingston,-,2,773,873,"1,665",,,,,
Kingston,-,3,738,770,"1,525",,,,,
Kingston,-,4,914,703,"1,640",,,,,
Lakeville,-,1,839,893,"1,766",,,,,
Lakeville,-,2,760,998,"1,792",,,,,
Lakeville,-,3,796,"1,023","1,846",,,,,
Lancaster,-,1,699,618,"1,347",,,,,
Lancaster,-,2,965,"1,038","2,052",,,,,
Lanesborough,-,1,"1,128",482,"1,625",,,,,
Lawrence,A,1,560,244,816,,,,,
Lawrence,A,2,321,101,427,,,,,
Lawrence,A,3,467,257,733,,,,,
Lawrence,A,4,420,174,605,,,,,
Lawrence,B,1,657,162,831,,,,,
Lawrence,B,2,445,79,531,,,,,
Lawrence,B,3,434,133,572,,,,,
Lawrence,B,4,536,128,675,,,,,
Lawrence,C,1,403,61,476,,,,,
Lawrence,C,2,356,75,440,,,,,
Lawrence,C,3,453,94,553,,,,,
Lawrence,C,4,444,103,557,,,,,
Lawrence,D,1,473,198,681,,,,,
Lawrence,D,2,667,313,989,,,,,
Lawrence,D,3,400,117,520,,,,,
Lawrence,D,4,530,113,655,,,,,
Lawrence,E,1,625,410,"1,052",,,,,
Lawrence,E,2,597,526,"1,142",,,,,
Lawrence,E,3,420,242,673,,,,,
Lawrence,E,4,470,250,728,,,,,
Lawrence,F,1,670,500,"1,184",,,,,
Lawrence,F,2,402,183,589,,,,,
Lawrence,F,3,337,137,485,,,,,
Lawrence,F,4,460,196,667,,,,,
Lee,-,1,376,144,530,,,,,
Lee,-,2,327,128,462,,,,,
Lee,-,3,324,120,453,,,,,
Lee,-,4,414,181,607,,,,,
Lee,-,5,338,132,474,,,,,
Lee,-,6,371,150,533,,,,,
Leicester,-,1,660,647,"1,324",,,,,
Leicester,-,2,686,472,"1,183",,,,,
Leicester,-,3,715,581,"1,316",,,,,
Leicester,-,4,713,615,"1,345",,,,,
Lenox,-,1,"2,248",795,"3,090",,,,,
Leominster,1,A,772,690,"1,491",,,,,
Leominster,1,B,797,639,"1,457",,,,,
Leominster,1,C,549,389,964,,,,,
Leominster,2,A,523,290,828,,,,,
Leominster,2,B,602,379,995,,,,,
Leominster,2,C,434,263,716,,,,,
Leominster,3,A,591,321,930,,,,,
Leominster,3,B,693,618,"1,326",,,,,
Leominster,3,C,787,575,"1,379",,,,,
Leominster,4,A,918,670,"1,605",,,,,
Leominster,4,B,707,681,"1,417",,,,,
Leominster,4,C,582,363,970,,,,,
Leominster,5,A,709,442,"1,163",,,,,
Leominster,5,B,814,621,"1,469",,,,,
Leominster,5,C,526,348,888,,,,,
Leverett,-,1,950,193,"1,169",,,,,
Lexington,-,1,"1,245",543,"1,805",,,,,
Lexington,-,2,"1,552",503,"2,100",,,,,
Lexington,-,3,"1,274",461,"1,757",,,,,
Lexington,-,4,"1,472",489,"2,008",,,,,
Lexington,-,5,"1,284",638,"1,949",,,,,
Lexington,-,6,"1,406",596,"2,040",,,,,
Lexington,-,7,"1,454",531,"2,022",,,,,
Lexington,-,8,"1,346",550,"1,928",,,,,
Lexington,-,9,"1,301",523,"1,858",,,,,
Leyden,-,1,311,138,462,,,,,
Lincoln,-,1,"1,275",410,"1,728",,,,,
Lincoln,-,2,"1,117",413,"1,555",,,,,
Lincoln,-,3,50,91,142,,,,,
Littleton,-,1,955,732,"1,726",,,,,
Littleton,-,2,934,695,"1,661",,,,,
Littleton,-,3,881,583,"1,501",,,,,
Longmeadow,-,A,"1,090",748,"1,910",,,,,
Longmeadow,-,B,"1,059",683,"1,803",,,,,
Longmeadow,-,C,931,702,"1,682",,,,,
Longmeadow,-,D,"1,054",796,"1,897",,,,,
Longmeadow,-,E,"1,023",698,"1,803",,,,,
Lowell,1,1,524,239,776,,,,,
Lowell,1,2,"1,127",816,"1,971",,,,,
Lowell,1,3,930,687,"1,636",,,,,
Lowell,2,1,213,81,304,,,,,
Lowell,2,2,475,145,626,,,,,
Lowell,2,3,573,213,803,,,,,
Lowell,3,1,486,273,768,,,,,
Lowell,3,2,367,204,586,,,,,
Lowell,3,3,449,228,686,,,,,
Lowell,4,1,593,295,913,,,,,
Lowell,4,2,337,144,488,,,,,
Lowell,4,3,373,179,560,,,,,
Lowell,5,1,487,374,876,,,,,
Lowell,5,2,433,240,684,,,,,
Lowell,5,3,554,449,"1,025",,,,,
Lowell,6,1,709,556,"1,290",,,,,
Lowell,6,2,728,525,"1,274",,,,,
Lowell,6,3,808,437,"1,264",,,,,
Lowell,7,1,417,223,651,,,,,
Lowell,7,2,306,115,426,,,,,
Lowell,7,3,232,105,339,,,,,
Lowell,8,1,514,239,764,,,,,
Lowell,8,2,609,332,959,,,,,
Lowell,8,3,"1,049",595,"1,670",,,,,
Lowell,9,1,563,332,909,,,,,
Lowell,9,2,723,470,"1,212",,,,,
Lowell,9,3,586,360,967,,,,,
Lowell,10,1,557,301,875,,,,,
Lowell,10,2,420,177,607,,,,,
Lowell,10,3,308,80,394,,,,,
Lowell,11,1,449,256,713,,,,,
Lowell,11,2,596,462,"1,078",,,,,
Lowell,11,3,700,422,"1,138",,,,,
Ludlow,-,1,983,553,"1,556",,,,,
Ludlow,-,2,880,489,"1,386",,,,,
Ludlow,-,3,"1,036",899,"1,952",,,,,
Ludlow,-,4,"1,133",539,"1,686",,,,,
Ludlow,-,5,521,355,886,,,,,
Ludlow,-,6,"1,135",748,"1,900",,,,,
Lunenburg,-,A,717,680,"1,412",,,,,
Lunenburg,-,B,705,525,"1,261",,,,,
Lunenburg,-,C,726,679,"1,435",,,,,
Lunenburg,-,D,684,591,"1,295",,,,,
Lynn,1,1,"1,176",790,"1,985",,,,,
Lynn,1,2,"1,098",671,"1,800",,,,,
Lynn,1,3,969,542,"1,534",,,,,
Lynn,1,4,911,496,"1,428",,,,,
Lynn,2,1,"1,154",587,"1,765",,,,,
Lynn,2,2,741,295,"1,047",,,,,
Lynn,2,3,490,129,624,,,,,
Lynn,2,4,465,196,667,,,,,
Lynn,3,1,817,435,"1,266",,,,,
Lynn,3,2,530,232,772,,,,,
Lynn,3,3,732,250,999,,,,,
Lynn,3,4,688,266,970,,,,,
Lynn,4,1,394,107,506,,,,,
Lynn,4,2,406,117,527,,,,,
Lynn,4,3,548,154,725,,,,,
Lynn,4,4,750,247,"1,014",,,,,
Lynn,5,1,655,309,982,,,,,
Lynn,5,2,380,93,478,,,,,
Lynn,5,3,420,109,534,,,,,
Lynn,5,4,833,290,"1,143",,,,,
Lynn,6,1,578,202,794,,,,,
Lynn,6,2,358,127,489,,,,,
Lynn,6,3,407,71,484,,,,,
Lynn,6,4,574,259,848,,,,,
Lynn,7,1,983,415,"1,412",,,,,
Lynn,7,2,937,367,"1,321",,,,,
Lynn,7,3,680,292,981,,,,,
Lynn,7,4,698,325,"1,041",,,,,
Lynnfield,-,1,807,977,"1,822",,,,,
Lynnfield,-,2,814,898,"1,742",,,,,
Lynnfield,-,3,736,740,"1,502",,,,,
Lynnfield,-,4,812,"1,011","1,846",,,,,
Malden,1,1,763,278,"1,050",,,,,
Malden,1,2,858,325,"1,218",,,,,
Malden,2,1,794,327,"1,134",,,,,
Malden,2,2,932,448,"1,397",,,,,
Malden,3,1,955,376,"1,351",,,,,
Malden,3,2,"1,160",502,"1,686",,,,,
Malden,4,1,675,264,952,,,,,
Malden,4,2,714,249,990,,,,,
Malden,5,1,877,276,"1,169",,,,,
Malden,5,2,"1,106",514,"1,643",,,,,
Malden,6,1,"1,159",537,"1,712",,,,,
Malden,6,2,926,360,"1,310",,,,,
Malden,7,1,686,229,926,,,,,
Malden,7,2,768,273,"1,056",,,,,
Malden,8,1,907,421,"1,347",,,,,
Malden,8,2,731,351,"1,101",,,,,
Manchester-by-the-Sea,-,1,"1,825","1,427","3,314",,,,,
Mansfield,-,1,970,"1,005","2,003",,,,,
Mansfield,-,2,"1,013",921,"1,964",,,,,
Mansfield,-,3,931,902,"1,854",,,,,
Mansfield,-,4,952,797,"1,780",,,,,
Mansfield,-,5,926,671,"1,627",,,,,
Mansfield,-,6,983,637,"1,659",,,,,
Marblehead,-,1,"1,078",685,"1,808",,,,,
Marblehead,-,2,975,570,"1,580",,,,,
Marblehead,-,3,963,555,"1,550",,,,,
Marblehead,-,4,"1,037",784,"1,838",,,,,
Marblehead,-,5,"1,090",610,"1,727",,,,,
Marblehead,-,6,"1,052",775,"1,853",,,,,
Marblehead,-,7,945,776,"1,756",,,,,
Marion,-,1,"1,744","1,270","3,075",,,,,
Marlborough,1,1,669,482,"1,204",,,,,
Marlborough,1,2,735,698,"1,473",,,,,
Marlborough,2,1,746,546,"1,311",,,,,
Marlborough,2,2,616,398,"1,038",,,,,
Marlborough,3,1,457,274,755,,,,,
Marlborough,3,2,701,635,"1,361",,,,,
Marlborough,4,1,366,241,624,,,,,
Marlborough,4,2,735,551,"1,330",,,,,
Marlborough,5,1,535,280,850,,,,,
Marlborough,5,2,781,529,"1,342",,,,,
Marlborough,6,1,503,324,846,,,,,
Marlborough,6,2,773,571,"1,366",,,,,
Marlborough,7,1,627,356,"1,002",,,,,
Marlborough,7,2,581,522,"1,131",,,,,
Marshfield,-,1,"1,077",895,"2,012",,,,,
Marshfield,-,2,"1,066",976,"2,084",,,,,
Marshfield,-,3,978,756,"1,763",,,,,
Marshfield,-,4,860,804,"1,701",,,,,
Marshfield,-,5,940,858,"1,840",,,,,
Marshfield,-,6,"1,080","1,054","2,164",,,,,
Marshfield,-,7,950,"1,044","2,016",,,,,
Mashpee,-,1,961,740,"1,738",,,,,
Mashpee,-,2,841,820,"1,694",,,,,
Mashpee,-,3,646,573,"1,237",,,,,
Mashpee,-,4,790,564,"1,384",,,,,
Mashpee,-,5,838,864,"1,741",,,,,
Mattapoisett,-,1,"1,149",902,"2,084",,,,,
Mattapoisett,-,2,"1,052",753,"1,826",,,,,
Maynard,-,1,807,535,"1,361",,,,,
Maynard,-,2,829,455,"1,304",,,,,
Maynard,-,3,916,519,"1,468",,,,,
Maynard,-,4,894,475,"1,397",,,,,
Medfield,-,1,935,748,"1,715",,,,,
Medfield,-,2,928,794,"1,750",,,,,
Medfield,-,3,937,862,"1,831",,,,,
Medfield,-,4,818,810,"1,668",,,,,
Medford,1,1,978,453,"1,452",,,,,
Medford,1,2,"1,069",475,"1,579",,,,,
Medford,2,1,"1,062",506,"1,598",,,,,
Medford,2,2,"1,281",693,"2,002",,,,,
Medford,3,1,"1,166",701,"1,888",,,,,
Medford,3,2,"1,374",817,"2,231",,,,,
Medford,4,1,656,219,894,,,,,
Medford,4,2,"1,145",492,"1,687",,,,,
Medford,5,1,"1,094",405,"1,535",,,,,
Medford,5,2,919,267,"1,210",,,,,
Medford,6,1,"1,433",409,"1,886",,,,,
Medford,6,2,"1,206",528,"1,765",,,,,
Medford,7,1,921,355,"1,300",,,,,
Medford,7,2,"1,083",507,"1,619",,,,,
Medford,8,1,"1,275",628,"1,940",,,,,
Medford,8,2,"1,075",477,"1,583",,,,,
