City/Town,Ward,Pct,Kerry/ Edwards,Bush/ Cheney,Total Votes Cast,,,,,
Bellingham,-,4,930,776,"1,732",,,,,
Bellingham,-,5,833,609,"1,469",,,,,
Belmont,-,1,"1,170",559,"1,757",,,,,
Belmont,-,2,"1,120",735,"1,889",,,,,
Belmont,-,3,"1,032",407,"1,462",,,,,
Belmont,-,4,"1,054",419,"1,515",,,,,
Belmont,-,5,"1,105",496,"1,637",,,,,
Belmont,-,6,"1,226",471,"1,730",,,,,
Belmont,-,7,"1,122",470,"1,622",,,,,
Belmont,-,8,"1,132",730,"1,908",,,,,
Berkley,-,1,"1,543","1,357","2,955",,,,,
Berlin,-,1,844,696,"1,573",,,,,
Bernardston,-,1,762,448,"1,236",,,,,
Beverly,1,1,821,658,"1,508",,,,,
Beverly,1,2,"1,070",729,"1,819",,,,,
Beverly,2,1,797,444,"1,272",,,,,
Beverly,2,2,957,473,"1,462",,,,,
Beverly,3,1,651,403,"1,073",,,,,
Beverly,3,2,920,593,"1,530",,,,,
Beverly,4,1,971,592,"1,592",,,,,
Beverly,4,2,"1,220",663,"1,916",,,,,
Beverly,5,1,"1,009",745,"1,793",,,,,
Beverly,5,2,"1,040",765,"1,826",,,,,
Beverly,6,1,"1,097",777,"1,915",,,,,
Beverly,6,2,990,949,"1,971",,,,,
Billerica,-,1,961,701,"1,690",,,,,
Billerica,-,2,863,769,"1,655",,,,,
Billerica,-,3,887,737,"1,645",,,,,
Billerica,-,4,862,784,"1,673",,,,,
Billerica,-,5,918,903,"1,851",,,,,
Billerica,-,6,707,690,"1,417",,,,,
Billerica,-,7,805,720,"1,549",,,,,
Billerica,-,8,898,884,"1,817",,,,,
Billerica,-,9,827,807,"1,660",,,,,
Billerica,-,10,964,774,"1,762",,,,,
Billerica,-,11,771,703,"1,503",,,,,
Blackstone,-,1,716,513,"1,246",,,,,
Blackstone,-,2,748,582,"1,346",,,,,
Blackstone,-,3,745,721,"1,489",,,,,
Blandford,-,1,315,335,669,,,,,
Bolton,-,1,"1,427","1,180","2,664",,,,,
Boston,1,1,464,181,658,,,,,
Boston,1,2,324,103,430,,,,,
Boston,1,3,649,166,830,,,,,
Boston,1,4,192,94,290,,,,,
Boston,1,5,238,131,373,,,,,
Boston,1,6,337,124,467,,,,,
Boston,1,7,373,142,526,,,,,
Boston,1,8,456,147,613,,,,,
Boston,1,9,331,106,444,,,,,
Boston,1,10,232,84,323,,,,,
Boston,1,11,532,275,821,,,,,
Boston,1,12,518,312,841,,,,,
Boston,1,13,701,307,"1,022",,,,,
Boston,1,14,376,179,560,,,,,
Boston,1,15,3,0,3,,,,,
Boston,2,1,739,413,"1,173",,,,,
Boston,2,2,827,355,"1,189",,,,,
Boston,2,3,707,350,"1,072",,,,,
Boston,2,4,560,224,796,,,,,
Boston,2,5,632,353,"1,001",,,,,
Boston,2,6,796,399,"1,217",,,,,
Boston,2,7,463,268,744,,,,,
Boston,3,1,"1,397",645,"2,075",,,,,
Boston,3,2,641,325,990,,,,,
Boston,3,3,624,255,897,,,,,
Boston,3,4,675,343,"1,037",,,,,
Boston,3,5,"1,195",432,"1,649",,,,,
Boston,3,6,"1,294",579,"1,914",,,,,
Boston,3,7,"1,639",283,"1,951",,,,,
Boston,3,8,"1,107",351,"1,485",,,,,
Boston,4,1,"1,107",209,"1,329",,,,,
Boston,4,2,"1,158",379,"1,563",,,,,
Boston,4,3,761,105,879,,,,,
Boston,4,4,"1,123",170,"1,307",,,,,
Boston,4,5,755,227,999,,,,,
Boston,4,6,618,162,803,,,,,
Boston,4,7,854,146,"1,031",,,,,
Boston,4,8,695,173,895,,,,,
Boston,4,9,455,75,537,,,,,
Boston,4,10,445,67,523,,,,,
Boston,5,1,"1,719",323,"2,072",,,,,
Boston,5,2,"1,086",219,"1,338",,,,,
Boston,5,3,841,382,"1,255",,,,,
Boston,5,4,"1,043",352,"1,420",,,,,
Boston,5,5,305,141,453,,,,,
Boston,5,6,859,372,"1,265",,,,,
Boston,5,7,"1,040",465,"1,546",,,,,
Boston,5,8,963,424,"1,417",,,,,
Boston,5,9,"1,303",457,"1,797",,,,,
Boston,5,10,852,264,"1,144",,,,,
Boston,5,11,580,247,843,,,,,
Boston,6,1,707,253,976,,,,,
Boston,6,2,430,184,626,,,,,
Boston,6,3,501,258,769,,,,,
Boston,6,4,519,290,828,,,,,
Boston,6,5,478,312,799,,,,,
Boston,6,6,544,384,943,,,,,
Boston,6,7,527,371,915,,,,,
Boston,6,8,481,433,931,,,,,
Boston,6,9,506,450,970,,,,,
Boston,7,1,467,377,855,,,,,
Boston,7,2,562,450,"1,028",,,,,
Boston,7,3,685,537,"1,237",,,,,
Boston,7,4,601,328,943,,,,,
Boston,7,5,397,228,637,,,,,
Boston,7,6,435,217,658,,,,,
Boston,7,7,429,96,529,,,,,
Boston,7,8,335,185,530,,,,,
Boston,7,9,407,156,574,,,,,
Boston,7,10,522,66,591,,,,,
Boston,8,1,359,45,406,,,,,
Boston,8,2,864,140,"1,018",,,,,
Boston,8,3,449,29,485,,,,,
Boston,8,4,314,15,330,,,,,
Boston,8,5,549,49,603,,,,,
Boston,8,6,179,33,214,,,,,
Boston,8,7,374,43,421,,,,,
Boston,9,1,953,131,"1,095",,,,,
Boston,9,2,"1,052",173,"1,243",,,,,
Boston,9,3,"1,259",83,"1,358",,,,,
Boston,9,4,853,59,923,,,,,
Boston,9,5,940,53,998,,,,,
Boston,10,1,397,71,473,,,,,
Boston,10,2,529,87,628,,,,,
Boston,10,3,552,83,649,,,,,
Boston,10,4,817,142,970,,,,,
Boston,10,5,607,82,710,,,,,
Boston,10,6,469,60,544,,,,,
Boston,10,7,653,63,721,,,,,
Boston,10,8,736,112,878,,,,,
Boston,10,9,961,148,"1,129",,,,,
Boston,11,1,454,26,486,,,,,
Boston,11,2,656,38,703,,,,,
Boston,11,3,444,26,474,,,,,
Boston,11,4,768,72,861,,,,,
Boston,11,5,721,58,794,,,,,
Boston,11,6,531,70,620,,,,,
Boston,11,7,810,80,917,,,,,
Boston,11,8,755,91,872,,,,,
Boston,11,9,569,79,665,,,,,
Boston,11,10,804,70,896,,,,,
Boston,12,1,801,35,842,,,,,
Boston,12,2,993,56,"1,051",,,,,
Boston,12,3,490,34,526,,,,,
Boston,12,4,481,27,511,,,,,
Boston,12,5,431,21,458,,,,,
Boston,12,6,407,23,432,,,,,
Boston,12,7,998,66,"1,073",,,,,
Boston,12,8,367,34,404,,,,,
Boston,12,9,468,25,496,,,,,
Boston,13,1,558,33,597,,,,,
Boston,13,2,224,28,254,,,,,
Boston,13,3,639,101,752,,,,,
Boston,13,4,431,22,455,,,,,
Boston,13,5,367,49,422,,,,,
Boston,13,6,563,112,686,,,,,
Boston,13,7,473,177,667,,,,,
Boston,13,8,375,213,600,,,,,
Boston,13,9,496,181,683,,,,,
Boston,13,10,806,281,"1,105",,,,,
Boston,14,1,812,53,870,,,,,
Boston,14,2,"1,069",56,"1,130",,,,,
Boston,14,3,577,22,599,,,,,
Boston,14,4,626,56,688,,,,,
Boston,14,5,459,26,485,,,,,
